"event_number","event_type_group","event_description","approximate_location","neighbourhood_id","neighbourhood_name","dispatch_date","dispatch_time","dispatch_year","dispatch_month_name","dispatch_month_number","dispatch_day_number","day_of_week","event_close_date","event_close_time","equipment_assigned","latitude","longitude","location","count","geometry_point"
"E21031330","MD","MEDICAL","No location","5010","ALLENDALE","2021-05-25T00:00:00.000","13:36:04","2021","MAY","05","25","Tuesday","2021-05-25T00:00:00.000","15:17:47",,"53.50290485441657","-113.50308797965204","
,  
(53.50290485441657, -113.50308797965204)","1",
"E21031412","RC","RESCUE","MCDOUGALL HILL NW / MACDONALD DR NW","1090","DOWNTOWN","2021-05-25T00:00:00.000","21:12:02","2021","MAY","05","25","Tuesday","2021-05-25T00:00:00.000","21:37:12",,"53.540441320507355","-113.49015089160127","
,  
(53.540441320507355, -113.49015089160127)","1",
"E21031385","AL","ALARMS","No location","2420","KILLARNEY","2021-05-25T00:00:00.000","18:33:35","2021","MAY","05","25","Tuesday","2021-05-25T00:00:00.000","18:39:10",,"53.58647711212202","-113.47684064980484","
,  
(53.58647711212202, -113.47684064980484)","1",
"E21031248","MD","MEDICAL","No location","1100","EASTWOOD","2021-05-25T00:00:00.000","07:12:31","2021","MAY","05","25","Tuesday","2021-05-25T00:00:00.000","08:32:36",,"53.5740001432479","-113.46701654604205","
,  
(53.5740001432479, -113.46701654604205)","1",
"E21031378","FR","FIRE","No location","6340","KAMEYOSEK","2021-05-25T00:00:00.000","18:01:44","2021","MAY","05","25","Tuesday","2021-05-25T00:00:00.000","18:33:25",,"53.46372450344085","-113.43610016019127","
,  
(53.46372450344085, -113.43610016019127)","1",
"E21031396","CA","CITIZEN ASSIST","90 ST NW / 91 ST NW","1010","ALBERTA AVENUE","2021-05-25T00:00:00.000","19:27:27","2021","MAY","05","25","Tuesday","2021-05-25T00:00:00.000","19:43:27",,"53.56104690289146","-113.48000104683142","
,  
(53.56104690289146, -113.48000104683142)","1",
"E21031222","MD","MEDICAL","No location","3240","INGLEWOOD","2021-05-25T00:00:00.000","00:38:21","2021","MAY","05","25","Tuesday","2021-05-25T00:00:00.000","02:12:09",,"53.56143305202648","-113.53482132922294","
,  
(53.56143305202648, -113.53482132922294)","1",
"E21031356","MD","MEDICAL","153 ST NW / STONY PLAIN RD NW","4090","CANORA","2021-05-25T00:00:00.000","15:17:43","2021","MAY","05","25","Tuesday","2021-05-25T00:00:00.000","16:16:40",,"53.541287532190964","-113.5850372170273","
,  
(53.541287532190964, -113.5850372170273)","1",
"E21031250","MD","MEDICAL","No location","2500","MATT BERRY","2021-05-25T00:00:00.000","07:30:56","2021","MAY","05","25","Tuesday","2021-05-25T00:00:00.000","09:00:44",,"53.62756297316736","-113.43285708370945","
,  
(53.62756297316736, -113.43285708370945)","1",
"E21031388","MD","MEDICAL","125 ST NW / 126 ST NW","3250","KENSINGTON","2021-05-25T00:00:00.000","18:38:52","2021","MAY","05","25","Tuesday","2021-05-25T00:00:00.000","21:42:51",,"53.59642980173846","-113.5388639399319","
,  
(53.59642980173846, -113.5388639399319)","1",
