"title","date_and_time","begins","ends","city_or_town","neighbourhood_id","neighbourhood","where","cost","event_category","event_type","event_link","event_venue","event_id","where_to_purchase_tickets","tickets_phone","category_calendar","web_link","public_engagement_category","short_description","project_name","additional_information","notes_1","notes_2"
"132 Avenue Renewal - Final Designs Survey","Ongoing through Thursday, October 13, 2022, 11:55pm","2022-09-06T06:00:00.000","2022-10-13T23:55:00.000","Edmonton",,,"Online",,"Survey","Public Engagement","https://www.edmonton.ca/attractions_events/schedule_festivals_events/events-calendar?trumbaEmbed=view%3devent%26eventid%3d162270761",,"162270761",,,"Public Engagement|External","https://www.edmontoninsightcommunity.ca/c/a/6Sfirj5kohgF1BNflHLNK4","Surveys and Focus Groups",,"132 Avenue Renewal",,"The purpose of this survey is to share the final design and gather your feedback on how the design aligns with the project Vision and Guiding Principles. You might find it helpful to also have the &ldquo;What We Heard&rdquo; reports from earlier engagement phases.&nbsp;<a href=""https://www.edmontoninsightcommunity.ca/c/a/6Sfirj5kohgF1BNflHLNK4"" target=""_blank""><strong>Start the survey here</strong></a>",
"District Planning Open House - West Henday & West Edmonton Districts","Thursday, September 22, 2022, 5 - 8pm","2022-09-22T16:00:00.000","2022-09-22T20:00:00.000","Edmonton",,,"Westview Village, 10770 Winterburn Road Edmonton, AB T5S 1T7",,"Public Meeting or similar event","Public Engagement","https://www.edmonton.ca/attractions_events/schedule_festivals_events/events-calendar?trumbaEmbed=view%3devent%26eventid%3d162236942",,"162236942",,,"Public Engagement|External","https://www.edmonton.ca/city_government/urban_planning_and_design/district-planning-public-engagement","In Person Engagement",,"District Planning",,"Come share your feedback on District Planning and the Zoning Bylaw Renewal Initiative. Edmontonians are encouraged to attend the district open house where they reside and are welcome to attend any or all of the other district open house events.",
"District Planning Open House - Whitemud and Scona Districts","Wednesday, September 21, 2022, 6 - 9pm","2022-09-21T17:00:00.000","2022-09-21T21:00:00.000","Edmonton",,,"Yellowbird East Community League, 10710 19 Ave NW, Edmonton, AB T6J 6W9",,"Public Meeting or similar event","Public Engagement","https://www.edmonton.ca/attractions_events/schedule_festivals_events/events-calendar?trumbaEmbed=view%3devent%26eventid%3d162236895",,"162236895",,,"Public Engagement|External","https://www.edmonton.ca/city_government/urban_planning_and_design/district-planning-public-engagement","In Person Engagement",,"District Planning",,"Come share your feedback on District Planning and the Zoning Bylaw Renewal Initiative. Edmontonians are encouraged to attend the district open house where they reside and are welcome to attend any or all of the other district open house events.",
"District Planning Open House - Jasper Place, Northwest & Central Districts","Monday, September 19, 2022, 5 - 8pm","2022-09-19T16:00:00.000","2022-09-19T20:00:00.000","Edmonton",,,"Canora Community League, 10425 - 152 Street Edmonton, AB T5P 4P1",,"Public Meeting or similar event","Public Engagement","https://www.edmonton.ca/attractions_events/schedule_festivals_events/events-calendar?trumbaEmbed=view%3devent%26eventid%3d162236834",,"162236834",,,"Public Engagement|External","https://www.edmonton.ca/city_government/urban_planning_and_design/district-planning-public-engagement","In Person Engagement",,"District Planning",,"Come share your feedback on District Planning and the Zoning Bylaw Renewal Initiative. Edmontonians are encouraged to attend the district open house where they reside and are welcome to attend any or all of the other district open house events.",
"District Planning Open House - Central & 118 Avenue Districts","Thursday, September 15, 2022, 5 - 8pm","2022-09-15T16:00:00.000","2022-09-15T20:00:00.000","Edmonton",,,"Queen Mary Park Community League 10844 117 St NW Edmonton, AB T5H 3N5",,"Public Meeting or similar event","Public Engagement","https://www.edmonton.ca/attractions_events/schedule_festivals_events/events-calendar?trumbaEmbed=view%3devent%26eventid%3d162236807",,"162236807",,,"Public Engagement|External","https://www.edmonton.ca/city_government/urban_planning_and_design/district-planning-public-engagement","In Person Engagement",,"District Planning",,"Come share your feedback on District Planning and the Zoning Bylaw Renewal Initiative. Edmontonians are encouraged to attend the district open house where they reside and are welcome to attend any or all of the other district open house events.",
"District Planning Open House - Mill Woods & Meadows and Ellerslie Districts","Tuesday, September 13, 2022, 5 - 8pm","2022-09-13T16:00:00.000","2022-09-13T20:00:00.000","Edmonton",,,"Woodvale Community League, 540 50 St NW Edmonton, AB T6L 6B6",,"Public Meeting or similar event","Public Engagement","https://www.edmonton.ca/attractions_events/schedule_festivals_events/events-calendar?trumbaEmbed=view%3devent%26eventid%3d162236790",,"162236790",,,"Public Engagement|External","https://www.edmonton.ca/city_government/urban_planning_and_design/district-planning-public-engagement","In Person Engagement",,"District Planning",,"Come share your feedback on District Planning and the Zoning Bylaw Renewal Initiative. Edmontonians are encouraged to attend the district open house where they reside and are welcome to attend any or all of the other district open house events.",
"District Planning Open House - Southwest, Whitemud & Rabbit Hill Districts","Monday, September 12, 2022, 5 - 8pm","2022-09-12T16:00:00.000","2022-09-12T20:00:00.000","Edmonton",,,"Ellerslie Rugby Park Inc, 11004 -104 Ave Ellerslie Rd SW Edmonton, AB T6W 1A2",,"Public Meeting or similar event","Public Engagement","https://www.edmonton.ca/attractions_events/schedule_festivals_events/events-calendar?trumbaEmbed=view%3devent%26eventid%3d162236666",,"162236666",,,"Public Engagement|External","https://www.edmonton.ca/city_government/urban_planning_and_design/district-planning-public-engagement","In Person Engagement",,"District Planning",,"Come share your feedback on District Planning and the Zoning Bylaw Renewal Initiative. Edmontonians are encouraged to attend the district open house where they reside and are welcome to attend any or all of the other district open house events.",
"District Planning Open House - Horse Hill & Northeast Districts","Thursday, September 8, 2022, 5 - 8pm","2022-09-08T16:00:00.000","2022-09-08T20:00:00.000","Edmonton",,,"The Quarry Golf , 945 167 Ave NE Edmonton, AB T5Y 6L2",,"Public Meeting or similar event","Public Engagement","https://www.edmonton.ca/attractions_events/schedule_festivals_events/events-calendar?trumbaEmbed=view%3devent%26eventid%3d162236605",,"162236605",,,"Public Engagement|External","https://www.edmonton.ca/city_government/urban_planning_and_design/district-planning-public-engagement","In Person Engagement",,"District Planning",,"Come share your feedback on District Planning and the Zoning Bylaw Renewal Initiative. Edmontonians are encouraged to attend the district open house where they reside and are welcome to attend any or all of the other district open house events.",
"District Planning Open House - West Edmonton, West Henday & Jasper Place Districts","Wednesday, September 7, 2022, 5 - 8pm","2022-09-07T16:00:00.000","2022-09-07T20:00:00.000","Edmonton",,,"Belmead Community League, 9109 182 St NW, Edmonton, AB T5T 2Y9",,"Public Meeting or similar event","Public Engagement","https://www.edmonton.ca/attractions_events/schedule_festivals_events/events-calendar?trumbaEmbed=view%3devent%26eventid%3d162236540",,"162236540",,,"Public Engagement|External","https://www.edmonton.ca/city_government/urban_planning_and_design/district-planning-public-engagement","In Person Engagement",,"District Planning",,"Come share your feedback on District Planning and the Zoning Bylaw Renewal Initiative. Edmontonians are encouraged to attend the district open house where they reside and are welcome to attend any or all of the other district open house events.",
"Zoning Bylaw Renewal Initiative Engaged Edmonton Digital Engagement","Ongoing through Monday, December 12, 2022, 11:55pm","2022-09-06T05:00:00.000","2022-12-13T00:55:00.000","Edmonton",,,"Online",,"Public Meeting or similar event","Public Engagement","https://www.edmonton.ca/attractions_events/schedule_festivals_events/events-calendar?trumbaEmbed=view%3devent%26eventid%3d162219900",,"162219900",,,"Public Engagement|External","https://engaged.edmonton.ca/zoningbylawrenewal","Digital Engagement",,"Zoning Bylaw Renewal Initiative",,"Zoning is everywhere in our city. It sets the rules for what types of development can go where and the types of activities that occur there. It&#39;s the rulebook of how to build and use land in Edmonton.&nbsp;Learn more on our <a href=""https://engaged.edmonton.ca/zoningbylawrenewal"" target=""_blank""><strong>Zoning Bylaw Renewal Engaged Edmonton Page</strong></a>",
