"policy_number","url","policy_title","policy_date","prepared_by","supercedes","reference","policy_statement","fme_rejection_code"
"C110","Policy Link (http://www.edmonton.ca/city_government/documents/PoliciesDirectives/C110.pdf)","City/Community Leagues Relations",,,"New","Council Minutes 1980 02 12 pg. 253","1. Each community leagues is a desirable vehicle for the provision of certain services which are of benefit to the residents of the neighbourhood and the City. 2. The Community League is a useful mechanism for debate of area concerns and presentation of views and recommendations to Council. 3. Participation in Community League activity is a desirable element in a democracy which seeks to place decision making for appropriate activities at the neighbourhood level. 4. The Community League Structure educate and trains citizens in Governance and provides opportunities for citizens to volunteer their efforts to the Community. 5. The Edmonton Federation of Community Leagues is the Representative and Co-ordinating body of Edmontonâ€™s Community Leagues.","INVALID_INPUT"
"C167B","Policy Link (http://www.edmonton.ca/city_government/documents/PoliciesDirectives/C167B.pdf)","Recreation User Fee","2014-09-03","Community Services","C167A","City Council 2008 09 17City Council 2014 09 10","The City of Edmonton provides a variety of recreation, culture, leisure and sporting opportunities for residents and visitors. The Recreation User Fee Policy furthers the aims of The Way Ahead: City of Edmontonâ€™s Strategic Plan whose goal is to improve the livability in the City of Edmonton. While the delivery of recreation services addresses a basic human need and reflects the values of our community and the desire to present Edmonton as a vibrant City, a Recreation User Fee Policy provides a balanced approach for establishing fees in consideration of the following objectives: ï‚§ Ensuring that fees contribute to the publicâ€™s effective and efficient use of City resources. ï‚§ Reducing the reliance on property taxes, by recovering a portion of the costs for various services from the user(s) that primarily benefit from them. ï‚§ Providing a consistent and equitable process that encourages accessibility and participation. ï‚§ Identifying the relative pricing provided to various user segments. ï‚§ Establishing meaningful and realistic goals that provide enough flexibility to meet evolving social values and changing fiscal pressures.",
"C187A","Policy Link (http://www.edmonton.ca/city_government/documents/PoliciesDirectives/C187A.pdf)","Enhancing Community Facility Services through Partnerships","2009-09-28","Community Services","C187","C187 Agreements with Non-Profit Organizations for the Cooperative Operation of Recreation Facilities, 10 March 1981","The City will actively encourage and support public recreation and leisure partnership opportunities that enhance Community Facility Services and may include capital development, operations and programming.",
"C200B","Policy Link (http://www.edmonton.ca/city_government/documents/PoliciesDirectives/C200B.pdf)","Financing of Local Improvements","2008-01-09","Corporate Services Department","C200A","City Council 2008 02 13City Council 2002 01 09City Council 1986 05 27Municipal Government Act, R.S.A. 2000, c. M-26, as amended","1. Debt financing to be recovered by Local Improvement assessments will be controlled by Council, considering approved financing guidelines. 2. In servicing New Residential Subdivisions, the Property Share of the Cost of the Local Improvements will not be eligible for City debenture financing. 3. Local Improvements of any Developed Residential Subdivision will be eligible for financing from City debentures recovered by Local Improvements assessments. 4. In servicing new and developed industrial and commercial property, the Property Share of the Cost of the Local Improvements will be eligible for financing by City debentures recovered by Local Improvements assessments if the conditions outlined in section 2.04, General Guidelines, of this Policy are met. 5. Local Improvements initiated and constructed by the City will be financed by Local Improvement assessments unless Council decides a portion of the Costs will be recovered from other financing sources or utility rates. 6. All Costs incurred by the City for servicing of property by Local Improvements will be recovered from assessment s against benefiting properties.",
"C203C","Policy Link (http://www.edmonton.ca/city_government/documents/PoliciesDirectives/C203C.pdf)","Debt Management Fiscal Policy","2008-07-23","Corporate Services","C203B","City Council 2008 07 23City Council 2002 09 17City Council 1991 12 03City Council Minutes 1986 12 09City Council Minutes 1984 02 28 pg. 558, 559City Council Minutes 1982 03 09 pg. 44City Council Minutes 1980 08 12 pg. 1689-91Municipal Government Act, R.S.A 2000, C.26 (asamended)Debt Limit, A.R. 255/2000City Policy C304B â€“ Utility Fiscal Policy (as amended)City Policy C200B â€“ Financing of Local Improvements(as amended)","1. Debt is an ongoing component of the City's capital financing structure and is integrated into the City's long-term plans and strategies. 2. Debt must be Affordable and Sustainable. The City must maintain Flexibility to issue Debt in response to emerging financing needs. 3. Debt must be structured in a way that is fair and equitable to those who pay and benefit from the underlying assets over time. 4. Debt decisions must contribute to a sustainable and vibrant City by balancing quality of life and financial considerations. 5. The issuance of new Debt must be approved by City Council. 6. Debt must be managed, monitored and reported upon.",
"C211G","Policy Link (http://www.edmonton.ca/city_government/documents/PoliciesDirectives/C211G.pdf)","Community Investment Grants to Organizations and Individuals","2013-04-03","Community Services","C211F","City Council 2006 06 20City Council 2002 07 22City Council 2001 07 31City Council 1996 12 10City Council 1994 10 11City Council 1993 10 26City Council 1992 01 14City Council 1990 11 17City Council 1983 11 15City Council 1983 09 27City Council 1983 08 16City Council 1982 02 23","The City of Edmonton May Provide: A. Limited operating assistance to not-for-profit organizations of Edmonton whose programs or activities result in benefits to Edmonton however an applicant that can accomplish an adequate level of activity without a grant, may not be recommended for a grant. B. Limited financial assistance to not-for-profits organizations or individuals resident in Edmonton travelling to a western Canadian, national or international arts, recreation, multicultural or sport event. C. Limited financial assistance to not-for-profit organizations hosting provincial, western Canadian, national or international recreation, multicultural or sport events in Edmonton.",
"C212D","Policy Link (https://www.edmonton.ca/city_government/documents/PoliciesDirectives/C212D.pdf)","Investment","2009-07-03","Finance and Treasury Department","C212C","City Council 2006 03 07City Council 2001 03 20City Council 1995 02 07Municipal Government Act, R.S.A. 2000,c. M-26 (as amended), Section 250Investment Regulation, A.R. 66/2000 (as amended)Major Cities Investment Regulation, A.R. 249/2000 (as amended)","The City of Edmonton will invest, or cause to be invested, funds under its control in permitted capital markets to maximize returns at a prudent level of risk.",
"C214","Policy Link (http://www.edmonton.ca/city_government/documents/PoliciesDirectives/C214.pdf)","Reporting of Assessment Adjustments Processed Between Property Tax Bylaw and Billing Periods","2002-01-30","Corporate Services","New","Executive Committee Meeting Minutes of January 23, 2002","That tax revenue variances arising from assessment adjustments processed between Property Tax Bylaw and tax billing periods that flow into the general government operating results are reported to City Council as part of the regular Financial Performance Reporting. The Administration will also include a recommended course of action for dealing with significant variances.",
"C215","Policy Link (https://www.edmonton.ca/city_government/documents/PoliciesDirectives/C215.pdf)","Downtown Retail and Commercial Complex Reinvestment Policy","2002-04-08","Planning and Development Department","New","City Council 2002 01 29Municipal Government Act, RSA 2000, c.M-26","Pursuant to Section 6 of the Municipal Government Act and the Policies of the Capital City Downtown Plan: This Policy provides a program framework such that owners of existing major retail and or commercial complexes located within the downtown commercial core ï‚· Who are planning interior renovations; and ï‚· Can make a plausible case that these renovations will increase City tax revenues, may be eligible for program funding in an amount related to the projected increase in revenue. The program funds must be spent on approved exterior renovations to the subject property that improve downtown streetscape by enhancement of both building aesthetics and functionality with regard to the interface between public pedestrian space and street oriented retail and commercial activities.",
"C216B","Policy Link (http://www.edmonton.ca/city_government/documents/PoliciesDirectives/C216B.pdf)","FaÃ§ade Improvement Program Policy","2014-08-19","Sustainable Developement","C216A","City Council 2002 10 21City Council 2002 01 29Municipal Government Act, RSA 2000, c. M-26City Council 2008 05 14","The City of Edmonton supports the revitalization of main street commercial areas in need of added support. The purpose of the Policy is to encourage property owners of existing street-level retail and/or commercial buildings located within Business Revitalization Zones and other council supported initiative areas to invest in the improvement of the appearance and/or functionality and/or accessibility of their buildings storefront and/or facade. Improvements must enhance the interface between the public pedestrian space and commercial activities and have a positive aesthetic impact on the existing street.",
"C217C","Policy Link (http://www.edmonton.ca/city_government/documents/PoliciesDirectives/C217C.pdf)","Reserve and Equity Accounts","2015-12-15","Financial Services","C217B","City Council 2006 11 28City Council 2002 10 29City Council 1997 05 20City Council 1986 11 25Municipal Government Act, R.S.A. 2000, C.M-26, as amended","1. In compliance with this policy and the Municipal Government Act, the establishment of all Reserve and equity accounts and the transfers to and from these accounts require Council approval through the budget. 2. The financial stabilization Reserve must have a minimum balance of 5.0% with a target balance of 8.3% of current general government expenses (excluding non-cash amortization). One hundred percent of any annual general government surplus will be placed in the financial stabilization Reserve. Any balance above the target will be applied evenly to the three subsequent yearsâ€™ operating budgets or applied to significant onetime operating expenses or capital priorities. In the event of a balance below the minimum level, a strategy will be adopted to achieve the minimum level over a period not to exceed three years, including replenishing the Reserve with any unplanned one-time revenues, previously committed one-time contingent funds or appropriated items that are no longer required for their original purpose. Other Reserve and equity account balances will be reassessed and where appropriate, amounts transferred to the financial stabilization Reserve. 3. Reserve and equity account balances will be reviewed on a periodic basis, with recommendations made to City Council.",
"C304D","Policy Link (http://www.edmonton.ca/city_government/documents/PoliciesDirectives/C304D.pdf)","Drainage Services Utility Fiscal Policy","2014-07-03","Financial Services and Utilities","C304C","C304B Council Minutes 2006 06 20/21, Pg. 47C125 Council Minutes 1984 07 10, Pg. 1049C126 Council Minutes 1982 03 23, Pg. 542C304 Council Minutes 1977 04 14, Pgs. 842-7C304 City Council June 1, 2011","1. The Utility is to be operated in a manner that balances the best service at the lowest cost (public utility) while employing private sector approaches to rate setting. 2. The Utility will be subject to Local Access Fee, similar to private utilities for the use of public right of ways and in lieu of property taxes. The Local Access Fee will be up to 8% of Qualifying Revenues, as determined by City Council. 3. The Utility is exempt from Dividend payment to the City of Edmonton. 4. Similar to private utilities, each Utility will account for the cost of service under a full cost accounting approach. 5. Where government grants are not provided for the exclusive use of the Utility, access to government grants requires the completion of a business case that takes into account the overall needs of the community. The allocation of grant funding to the Utility will be based on prioritization of all City capital projects through the Capital Budget Process. 6. For Utility provision of non-regulated services and where such services require significant capital investment and/or have net operating costs, a business case is to be prepared to inform funding decisions to be made by City Council. 7. Each Utility is to contribute towards achieving the Cityâ€™s Strategic Plan.",
"C307","Policy Link (http://www.edmonton.ca/city_government/documents/PoliciesDirectives/C307.pdf)","Parkland and North Saskatchewan River Valley Utility Installation","1989-03-14","Parks and Recreation","1083","City Council 1989 06 06Comm. Admin. Committee 1978 05 17Comm. Ref. #11394, 1977 09 09","Damage to City of Edmonton Parkland including the North Saskatchewan River Valley, Incurred through utility installations will be minimized. All costs to restore Parkland and River Valley damage by utility or other agencies, installations shall be borne by the responsible utility or other agencies.",
"C409I","Policy Link (http://www.edmonton.ca/city_government/documents/PoliciesDirectives/C409I.pdf)","Snow and Ice Control","2015-11-26","Transportation Services","C409H","City Council 2011 09 27City Council 2010 05 12City Council 2007 07 17City Council 2007 03 20City Council 2006 03 21City Council 2001 09 11City Council 1989 12 12City Council 1984 01 10City Council 1982 03 09City Council 1981 02 24City Council 1978 11 14","Ensure that roadways are maintained in such a manner as to minimize economic loss to the community, prevent or reduce accident and injury, and facilitate the handling of emergencies by the emergency responders and police services.",
"C415","Policy Link (https://www.edmonton.ca/city_government/documents/PoliciesDirectives/C415.pdf)","Postponement of Second Mortgage","1985-01-22","Real Estate & Supply Services","C199","Council Minutes, Pg. 99, 1983 01 11;Pg. 613, 1983 04 12; Pg. 214, 1983 12 13;Pg. 48, 1985 01 22","1. The City will allow postponement of its rights under its second mortgage, only when the combined amount of the new first mortgage and the current balance of the city second mortgage does not exceed 90% of the current appraised value of the property. 2. If a property is transferred to a new owner, the new owner may assume the existing City of Edmonton second mortgage on the property but not the rights under the accompanying forgiveness agreement. However, if new owners are approved under the Alberta Family Assistance Purchase Plan Program sponsored by Alberta Home Mortgage Corporation, they will be entitled to assume all of the rights of the existing forgiveness agreement which accompanies the City of Edmonton Second Mortgage. 3. Postponement of the City of Edmontonâ€™s rights under its second mortgage will only be granted in favour of a first mortgage. 4. Costs of administering the postponement of a Second Mortgage will borne by the applicant.",
"C417A","Policy Link (https://www.edmonton.ca/city_government/documents/PoliciesDirectives/C417A.pdf)","Family and Community Support Services Program","2006-01-17","Community Services","C417","City Council â€“ 1987 01 03Family and Community Support Services Act and RegulationCity Bylaws 12005 and 11926","The City of Edmonton will participate in the Family and Community Support Services Program as funded by the Province of Alberta in concert with the City of Edmonton. As a long term, sustainable funder through this program the City of Edmonton is committed to providing leadership in: ï‚· working in partnership with community to identify and address community social needs and build capacity. ï‚· translating knowledge and information so as to bring a variety of groups together to address preventive social service solutions. ï‚· working closely with other funders to support the social infrastructure in the city. ï‚· being accountable to the Province for the achievement of outcomes in the Family and Community Supports Services Act and Regulation.",
"C419A","Policy Link (http://www.edmonton.ca/city_government/documents/PoliciesDirectives/C419A.pdf)","Civic Protocol","2011-10-24","Corporate Communications","C419, 1050, 1089, C198, 1053, C185, C002","Council Services 2011 10 24City Council 1992 05 12Commission Board 1983 09 21City Council 1981 05 14Commission Board 1978 07 261976 05 05, 1976 03 25","Official City of Edmonton participation in protocol events, presentations and programs which have a significant public profile will be implemented according to accepted standards of protocol. In support of this Corporate Communication will: (a) ensure protocol events, activities and presentations, as defined in this policy, are carried out in a professional manner. (b) support Council sanctioned twinning activities to ensure they further promote stronger ties and goodwill between Edmonton and its official twin cities. (c) ensure special recognition documents, materials, gifts and promotional items reflect appropriate local themes and when appropriate, the corporate identity. (d) advise and assist elected officials and senior management in all areas of protocol.",
"C420","Policy Link (https://www.edmonton.ca/city_government/documents/PoliciesDirectives/C420.pdf)","Corporate Communications","1991-06-21","Corporate Communications","1082, 1003, 1058, 1067, 1087, 1105","City Council 1991 08 20Commission Board 1983 08 24Commission Board 1981 12 02Commission Board 1977 04 13","The City of Edmonton, through its Departments and Offices, is committed to fostering a comprehensive understanding of the direction, programs and services of the Corporation to its publics. In support of this Corporate Communications will: (a) Ensure that through effective integration and quality control of timely, accurate and comprehensible communications activities, a positive image of the corporation is communicated to appropriate publics. (b) Advise and assist elected officials, senior management and departmental communications staff in areas related to media relations, public relations, creative production, advertising, marketing, special events and protocol. (c) Ensure comprehensive and appropriate use of copyrighted corporate trademarks including the City Signature, Crest, Flag, Flower and Hat. (d) Manage the production and delivery of all advertising and creative services for corporate wide programs and initiatives as well as advise and provide assistance for departmental programs and initiatives.",
