"electoral_area","primary_role","first_name","last_name","email","photo_url","url","address_line_1","address_line_2","locality","province","postal_code","phone","fax"
"City-Wide","Mayor","Don","Iveson","mayorsoffice@edmonton.ca","https://webdocs.edmonton.ca/web/images/occ/councillors/mayor.jpg","https://www.edmonton.ca/city_government/city_organization/the-mayor","2nd Floor, City Hall","1 Sir Winston Churchill Square","Edmonton","Alberta","T5J 2R7","7804968100","7804968292"
"Ward 1","Councillor","Andrew","Knack","andrew.knack@edmonton.ca","https://webdocs.edmonton.ca/web/images/occ/councillors/ward-1-councillor.jpg","https://www.edmonton.ca/city_government/city_organization/ward-1-councillor","2nd Floor, City Hall","1 Sir Winston Churchill Square","Edmonton","Alberta","T5J 2R7","7804968122","7804968113"
"Ward 2","Councillor","Bev","Esslinger","bev.esslinger@edmonton.ca","https://webdocs.edmonton.ca/web/images/occ/councillors/ward-2-councillor.jpg","https://www.edmonton.ca/city_government/city_organization/ward-2-councillor","2nd Floor, City Hall","1 Sir Winston Churchill Square","Edmonton","Alberta","T5J 2R7","7804968136","7804968113"
"Ward 3","Councillor","Jon","Dziadyk","jon.dziadyk@edmonton.ca","https://webdocs.edmonton.ca/web/images/occ/councillors/ward-3-councillor.jpg","https://www.edmonton.ca/city_government/city_organization/ward-3-councillor","2nd Floor, City Hall","1 Sir Winston Churchill Square","Edmonton","Alberta","T5J 2R7","7804968128","7804968113"
"Ward 4","Councillor","Aaron","Paquette","aaron.paquette@edmonton.ca","https://webdocs.edmonton.ca/web/images/occ/councillors/ward-4-councillor.jpg","https://www.edmonton.ca/city_government/city_organization/ward-4-councillor","2nd Floor, City Hall","1 Sir Winston Churchill Square","Edmonton","Alberta","T5J 2R7","7804968138","7804968113"
"Ward 5","Councillor","Sarah","Hamilton","sarah.hamilton@edmonton.ca","https://webdocs.edmonton.ca/web/images/occ/councillors/ward-5-councillor.jpg","https://www.edmonton.ca/city_government/city_organization/ward-5-councillor","2nd Floor, City Hall","1 Sir Winston Churchill Square","Edmonton","Alberta","T5J 2R7","7804968120","7804968113"
"Ward 6","Councillor","Scott","McKeen","scott.mckeen@edmonton.ca","https://webdocs.edmonton.ca/web/images/occ/councillors/ward-6-councillor.jpg","https://www.edmonton.ca/city_government/city_organization/ward-6-councillor","2nd Floor, City Hall","1 Sir Winston Churchill Square","Edmonton","Alberta","T5J 2R7","7804968140","7804968113"
"Ward 7","Councillor","Tony","Caterina","tony.caterina@edmonton.ca","https://webdocs.edmonton.ca/web/images/occ/councillors/ward-7-councillor.jpg","https://www.edmonton.ca/city_government/city_organization/ward-7-councillor","2nd Floor, City Hall","1 Sir Winston Churchill Square","Edmonton","Alberta","T5J 2R7","7804968333","7804968113"
"Ward 8","Councillor","Ben","Henderson","ben.henderson@edmonton.ca","https://webdocs.edmonton.ca/web/images/occ/councillors/ward-8-councillor.jpg","https://www.edmonton.ca/city_government/city_organization/ward-8-councillor","2nd Floor, City Hall","1 Sir Winston Churchill Square","Edmonton","Alberta","T5J 2R7","7804968146","7804968113"
"Ward 9","Councillor","Tim","Cartmell","tim.cartmell@edmonton.ca","https://webdocs.edmonton.ca/web/images/occ/councillors/ward-9-councillor.jpg","https://www.edmonton.ca/city_government/city_organization/ward-9-councillor","2nd Floor, City Hall","1 Sir Winston Churchill Square","Edmonton","Alberta","T5J 2R7","7804968130","7804968113"
"Ward 10","Councillor","Michael","Walters","michael.walters@edmonton.ca","https://webdocs.edmonton.ca/web/images/occ/councillors/ward-10-councillor.jpg","https://www.edmonton.ca/city_government/city_organization/ward-10-councillor","2nd Floor, City Hall","1 Sir Winston Churchill Square","Edmonton","Alberta","T5J 2R7","7804968132","7804968113"
"Ward 11","Councillor","Mike","Nickel","mike.nickel@edmonton.ca","https://webdocs.edmonton.ca/web/images/occ/councillors/ward-11-councillor.jpg","https://www.edmonton.ca/city_government/city_organization/ward-11-councillor","2nd Floor, City Hall","1 Sir Winston Churchill Square","Edmonton","Alberta","T5J 2R7","7804968142","7804968113"
"Ward 12","Councillor","Mohinder","Banga","mohinder.banga@edmonton.ca","https://webdocs.edmonton.ca/web/images/occ/councillors/ward-12-councillor.jpg","https://www.edmonton.ca/city_government/city_organization/ward-12-councillor","2nd Floor, City Hall","1 Sir Winston Churchill Square","Edmonton","Alberta","T5J 2R7","7804968148","7804968113"
