"city_file_number","permit_type","permit_class","permit_date","status","description_of_development","address","legal_description","neighbourhood_id","neighbourhood","neighbourhood_classification","ward","zoning","land_parcel_count","latitude","longitude","location","geometry_point"
"279309709-001","Minor Development Permit","Class A","2018-05-07T00:00:00.000","Approved","To construct a Single Detached House with a veranda.","17457 - 77A STREET NW","Plan 1722312 Blk 17 Lot 8","2463","CRYSTALLINA NERA WEST","Developing","tastawiyiniwak Ward","RPL","1","53.63679042693829","-113.45970410047742","
,  
(53.63679042693829, -113.45970410047742)","POINT (-114.00101932779603 0.0004851232733566)"
"253619011-001","Minor Development Permit","Class A","2017-06-06T00:00:00.000","Approved","To demolish a commercial building","10975 - 101 STREET NW","Plan A5 Blk 20 Lots 12-13","1140","MCCAULEY","Central Core","O-day'min Ward","CB2","1","53.557187367966044","-113.49332195211124","
,  
(53.557187367966044, -113.49332195211124)","POINT (-114.00101962982053 0.0004844032955907)"
"166853474-001","House Combo Permit","Class A","2015-01-29T00:00:00.000","Approved","To construct a Single Detached House with a front veranda.","2531 - 20 AVENUE NW","Plan 1425229 Blk 6 Lot 1","6444","LAUREL","Developing","Sspomitapi Ward","RPL","1","53.450051191104734","-113.37894772304364","
,  
(53.450051191104734, -113.37894772304364)","POINT (-114.00101860227659 0.0004834342918082)"
"274639481-001","Major Development Permit","Not Available",,"Other","To construct a Religious Assembly building.","345 - 71 STREET SW","Plan 3309KS Blk 2 Lot F",,,,,"US","1","53.429518533776246","-113.44594125205319","
,  
(53.429518533776246, -113.44594125205319)","POINT (-114.00101920414988 0.0004832485821514)"
"392331030-002","Major Development Permit","Not Available",,"Other",,"704 - DANIELS WAY SW","Plan 1822696 Blk 7 Lot 39","5463","DESROCHERS AREA","Developing","Ipiihkoohkanipiaohtsi Ward","RA7","1","53.4006859080714","-113.5439336524441","
,  
(53.4006859080714, -113.5439336524441)","POINT (-114.00102008451863 0.0004829878026071)"
"179167534-001","Sign Permit","Class A","2015-10-09T00:00:00.000","Approved","To install (2) Fascia On-premises Signs (Tommy Gun's Original Barbershop).","15424 - 37 STREET NW","Plan 1224580 Blk 3 Lot 8","2311","GORMAN",,"Dene Ward","DC1","1","53.61680882790484","-113.39983038114222","
,  
(53.61680882790484, -113.39983038114222)","POINT (-114.00101878988745 0.0004849425478014)"
"263190625-001","House Combo Permit","Class A","2017-11-15T00:00:00.000","Approved","To construct a Single Detached House with a veranda and fireplace.","9672 - 223 STREET NW","Plan 1425542 Blk 24 Lot 42","4487","SECORD","Developing","Nakota Isga Ward","RSL","1","53.53581679674959","-113.70099623046441","
,  
(53.53581679674959, -113.70099623046441)","POINT (-114.00102149557688 0.0004842100073385)"
"299774701-001","Sign Permit","Not Available",,"Other",,"3596 - ALLAN DRIVE SW","Condo Common Area (Plan 1721160)","5505","AMBLESIDE",,"pihêsiwin Ward",,"1","53.42835163843833","-113.5922662122609","
,  
(53.42835163843833, -113.5922662122609)","POINT (-114.00102051874083 0.0004832380280506)"
"275238082-001","House Combo Permit","Not Available",,"Other",".","10010 - 113 AVENUE NW","Plan RN43 Blk 3 Lot 1","1230","SPRUCE AVENUE",,,"RF3","1","53.562837498232064","-113.49317646028067","
,  
(53.562837498232064, -113.49317646028067)","POINT (-114.00101962851342 0.0004844543987545)"
"418768873-002","Sign Permit","Class A","2022-01-18T00:00:00.000","Approved","To install (2) Fascia On-Premises Signs (EDO JAPAN).","5368 - WINDERMERE BOULEVARD NW","Plan 0822223 Blk 14 Lot 2","5505","AMBLESIDE",,"pihêsiwin Ward","UVCa","1","53.43605951416879","-113.60341260979266","
,  
(53.43605951416879, -113.60341260979266)","POINT (-114.00102061888063 0.0004833077426974)"
"225510508-001","Minor Development Permit","Class A","2016-07-06T00:00:00.000","Approved","To demolish an Accessory Building (rear detached Garage, 6.78m x 6.14m).","6212 - 94B AVENUE NW","Plan 6258KS Blk 14 Lot 39","6550","OTTEWELL","Mature","Métis Ward","RF1","1","53.53415566519971","-113.42794834051236","
,  
(53.53415566519971, -113.42794834051236)","POINT (-114.00101904250064 0.0004841949830697)"
"296150100-001","Minor Development Permit","Class A","2018-11-01T00:00:00.000","Approved","To construct a Single Detached House with veranda.","22321 - 93A AVENUE NW","Plan 1723442 Blk 27 Lot 61","4487","SECORD","Developing","Nakota Isga Ward","RMD","1","53.528772488426725","-113.7026073959156","
,  
(53.528772488426725, -113.7026073959156)","POINT (-114.00102151005167 0.0004841462943928)"
