"ab_school_number","school_name","postal_code","ward","phone_number","fax_number","email","website","grade_level","grades_offered","programs","location","location_1","geometry_point"
"8200","J.J. Bowlen","T5A 1K5","73","7804753730","7804732137","8200web@ecsd.net","http://www.jjbowlen.ecsd.net","Junior","Grade 7 to Grade 9",,"(53.605272,-113.4364)","6110 144 AVE NW
,  
(53.605272, -113.4364)","POINT (-113.4364 53.605272)"
"1726","Cardinal Collins","T5Y 3E7","73","7809442002","7809442011","1726web@ecsd.net","https://www.ecsd.net/schools/1726/Pages/default.aspx","Outreach","Grade 9 to Grade 12",,"(53.601559,-113.401737)","3802 139 AVE NW
,  
(53.601559, -113.401737)","POINT (-113.401737 53.601559)"
"8220","St. Leo","T5W 1N9","73","7804773372","7804777756","8220web@ecsd.net","https://www.ecsd.net/schools/8220/Pages/default.aspx","Elementary","Pre-Kindergarten to Grade 6","Full Day Kindergarten","(53.5755282,-113.4253767)","5412 121 AVE NW
,  
(53.5755282, -113.4253767)","POINT (-113.4253767 53.5755282)"
"8003","Father Leo Green","T5C 2R7","73","7804760606","7804720673","8003web@ecsd.net","https://www.ecsd.net/schools/8003/Pages/default.aspx","Elementary","Kindergarten to Grade 6","French Immersion, Spanish Bilingual","(53.6076026,-113.4560058)","7512 144 AVE NW
,  
(53.6076026, -113.4560058)","POINT (-113.4560058 53.6076026)"
"8041","St. Elizabeth","T6K 1H7","77","7804627022","7804637411","8041web@ecsd.net","https://www.ecsd.net/schools/8041/Pages/default.aspx","Elementary","Pre-Kindergarten to Grade 6","Full Day Kindergarten","(53.4688012,-113.4514124)","7712 36 AVE NW
,  
(53.4688012, -113.4514124)","POINT (-113.4514124 53.4688012)"
"8057","St. Charles","T5X 4X4","72","7804565222","7804565231","8057web@ecsd.net","https://www.ecsd.net/schools/8057/Pages/default.aspx","Elementary","Kindergarten to Grade 6",,"(53.6328169,-113.5033571)","10423 172 AVE NW
,  
(53.6328169, -113.5033571)","POINT (-113.5033571 53.6328169)"
"1427","Sister Annata Brockman","T6M 0L7","74","7804440250","7804440392","1427web@ecsd.net","http://www.sisterannatabrockman.ecsd.net/","Elementary, Junior","Kindergarten to Grade 9","Filipino Language and Culture","(53.489526,-113.679528)","355 HEMINGWAY RD NW
,  
(53.489526, -113.679528)","POINT (-113.679528 53.489526)"
"8024","St. John Bosco","T5Z 3V4","72","7804713140","7804713293","8024web@ecsd.net","http://www.stjohnbosco.ecsd.net","Elementary","Kindergarten to Grade 6",,"(53.6218484,-113.4574732)","7411 161A AVE NW
,  
(53.6218484, -113.4574732)","POINT (-113.4574732 53.6218484)"
"8032","St. Stanislaus","T6J 1M3","76","7804340295","7804340334","8032web@ecsd.net","https://www.ecsd.net/schools/8032/Pages/default.aspx","Elementary","Kindergarten to Grade 6","French Immersion","(53.4743073,-113.52595)","3855 114 ST NW
,  
(53.4743073, -113.52595)","POINT (-113.52595 53.4743073)"
"8221","St. Mark","T5M 1L1","71","7804551684","7804549883","8221web@ecsd.net","http://www.stmark.ecsd.net","Junior","Grade 7 to Grade 9","Recreation Academy","(53.5674241,-113.553941)","11625 125 ST NW
,  
(53.5674241, -113.553941)","POINT (-113.553941 53.5674241)"
"8043","Katherine Therrien","T5X 1Y7","71","7804560175","7804574362","8043web@ecsd.net","https://www.ecsd.net/schools/8043/Pages/default.aspx","Elementary","Pre-Kindergarten to Grade 6",,"(53.6120597,-113.5271951)","15040 118 ST NW
,  
(53.6120597, -113.5271951)","POINT (-113.5271951 53.6120597)"
"8051","St. Teresa","T6J 5B1","76","7804376022","7804376457","8051web@ecsd.net","https://www.ecsd.net/schools/8051/Pages/default.aspx","Elementary","Kindergarten to Grade 6","Spanish Bilingual","(53.457387,-113.5270738)","11350 25 AVE NW
,  
(53.457387, -113.5270738)","POINT (-113.5270738 53.457387)"
"8230","St. Elizabeth Seton","T5A 2V6","73","7804787751","7804787764","8230web@ecsd.net","http://www.stelizabethseton.ecsd.net","Elementary, Junior","Kindergarten to Grade 9","Full Day Kindergarten,Enhanced Academic Program (EAP),Spanish Language and Culture","(53.5953623,-113.396972)","3711 135 AVE NW
,  
(53.5953623, -113.396972)","POINT (-113.396972 53.5953623)"
"8001","Annunciation","T5R 2S5","74","7804844319","7804843072","8001web@ecsd.net","https://www.ecsd.net/schools/8001/Pages/default.aspx","Elementary","Kindergarten to Grade 6","International Baccalaureate - Primary Years Programme,Full Day Kindergarten","(53.5302343,-113.6065415)","9325 165 ST NW
,  
(53.5302343, -113.6065415)","POINT (-113.6065415 53.5302343)"
"8405","St. Francis Xavier","T5R 0A7","74","7804892571","7804862564","8405web@ecsd.net","http://www.stfrancisxavier.ecsd.net","Senior","Grade 10 to Grade 12","Advanced Placement,Spanish Language and Culture,Baseball Academy,Golf Academy,Hockey Academy,Lacrosse Academy,Soccer Academy","(53.5297893,-113.6034119)","9250 163 ST NW
,  
(53.5297893, -113.6034119)","POINT (-113.6034119 53.5297893)"
"8229","St. Vincent","T5N 2J6","75","7804524474","7804516463","8229web@ecsd.net","http://www.stvincent.ecsd.net","Elementary","Pre-Kindergarten to Grade 6",,"(53.5484167,-113.5604677)","10530 138 ST NW
,  
(53.5484167, -113.5604677)","POINT (-113.5604677 53.5484167)"
"8028","St. Martin","T6H 0L7","75","7804344848","7804348230","8028web@ecsd.net","http://www.stmartin.ecsd.net","Elementary","Kindergarten to Grade 6","Ukrainian Bilingual,Ukrainian Dance","(53.4887561,-113.5227512)","11310 51 AVE NW
,  
(53.4887561, -113.5227512)","POINT (-113.5227512 53.4887561)"
"1430","Mother Margaret Mary","T6R 0R9","76","7809882279","7809882356","1430web@ecsd.net","https://www.ecsd.net/schools/1430/Pages/default.aspx","Senior","Grade 10 to Grade 12","Advanced Placement,Golf Academy,Spanish Language and Culture","(53.458824,-113.579493)","2010 LEGER RD NW
,  
(53.458824, -113.579493)","POINT (-113.579493 53.458824)"
"8061","Good Shepherd","T6M 1W1","74","7804444299","7804831379","8061web@ecsd.net","https://www.ecsd.net/schools/8061/Pages/default.aspx","Elementary","Pre-Kindergarten to Grade 6",,"(53.4915674,-113.6357429)","18111 57 AVE NW
,  
(53.4915674, -113.6357429)","POINT (-113.6357429 53.4915674)"
"8010","Our Lady of Peace","T5P 1G2","71","7804891222","7804890868","8010web@ecsd.net","https://www.ecsd.net/schools/8010/Pages/default.aspx","Elementary","Pre-Kindergarten to Grade 6","Full Day Kindergarten,Nehiyaw Pimatisiwin Cree","(53.5557046,-113.5952592)","15911 110 AVE NW
,  
(53.5557046, -113.5952592)","POINT (-113.5952592 53.5557046)"
"8238","St. Kateri","T6L 6M3","77","7804403322","7804402101","8238web@ecsd.net","https://www.ecsd.net/schools/8238/Pages/default.aspx","Elementary","Pre-Kindergarten to Grade 6",,"(53.4763035,-113.4008081)","3807 41 AVE NW
,  
(53.4763035, -113.4008081)","POINT (-113.4008081 53.4763035)"
"8049","Anne Fitzgerald","T5A 4G3","73","7804759619","7804768430","8049web@ecsd.net","http://www.annefitzgerald.ecsd.net","Elementary","Pre-Kindergarten to Grade 6","Full Day Kindergarten","(53.5944903,-113.3837889)","699 CLAREVIEW RD NW
,  
(53.5944903, -113.3837889)","POINT (-113.3837889 53.5944903)"
"8042","St. Anne","T5E 6B2","72","7804783288","7804730475","8042web@ecsd.net","http://www.stanne.ecsd.net","Elementary","Pre-Kindergarten to Grade 6","Full Day Kindergarten","(53.603873,-113.4852063)","14105 94 ST NW
,  
(53.603873, -113.4852063)","POINT (-113.4852063 53.603873)"
"8225","St. Paul","T5N 0C7","75","7804521510","7804521681","8225web@ecsd.net","https://www.ecsd.net/schools/8225/Pages/default.aspx/","Elementary","Kindergarten to Grade 6","Spanish Language and Culture","(53.5331863,-113.5719435)","14410 96 AVE NW
,  
(53.5331863, -113.5719435)","POINT (-113.5719435 53.5331863)"
"8404","Archbishop O'Leary","T5E 0X8","72","7804766251","7804722579","8404web@ecsd.net","http://www.archbishopoleary.ecsd.net","Senior","Grade 10 to Grade 12","Advanced Placement,Italian Language and Culture,Soccer Academy,Spanish Language and Culture","(53.5928729,-113.4751525)","8760 132 AVE NW
,  
(53.5928729, -113.4751525)","POINT (-113.4751525 53.5928729)"
"8004","H.E. Beriault","T5R 2T7","74","7804895490","7804863654","8004web@ecsd.net","https://www.ecsd.net/schools/8004/Pages/default.aspx","Junior","Grade 7 to Grade 9","Enhanced Academic Program (EAP)","(53.5155954,-113.6087138)","8125 167 ST NW
,  
(53.5155954, -113.6087138)","POINT (-113.6087138 53.5155954)"
