"schoolyear","districtcode","district","schoolcode","organization","race","gender","grade","specialdemo","geography","subgroup","staff_type","staff_category","job_classification","experience_group","retention_type","same_school_retention_rate","transfer_rate_within_district","transfer_rate_between_districts","turnover_rate","same_school_numerator","transfer_within_district_numerator","transfer_between_districts_numerator","turnover_numerator","total_number_of_staff"
"2015","0","State of Delaware","0","State of Delaware","African American","All Educators","All Educators","All Educators","All Educators","African American","Professional","Classroom Teacher","ALL","ALL","One Year Percentage","85.2","4.6","3.5","6.7","748","40","31","59","878"
"2015","0","State of Delaware","0","State of Delaware","African American","All Educators","All Educators","Regular","All Educators","African American/Regular School","Professional","Classroom Teacher","ALL","ALL","One Year Percentage","87.5","5.2","2.2","5.2","679","40","17","40","776"
"2015","0","State of Delaware","0","State of Delaware","African American","All Educators","All Educators","Charter","All Educators","African American/Charter School","Professional","Classroom Teacher","ALL","ALL","One Year Percentage","67.6","0","13.7","18.6","69","0","14","19","102"
"2015","0","State of Delaware","0","State of Delaware","African American","All Educators","All Educators","Regular","All Educators","African American/Regular School","Professional","Classroom Teacher","ALL","Early Career","One Year Percentage","77","3","7","13","77","3","7","13","100"
"2015","0","State of Delaware","0","State of Delaware","African American","All Educators","All Educators","All Educators","All Educators","African American","Professional","Classroom Teacher","ALL","Early Career","One Year Percentage","71.5","1.9","11.4","15.2","113","3","18","24","158"
"2015","0","State of Delaware","0","State of Delaware","African American","All Educators","All Educators","Charter","All Educators","African American/Charter School","Professional","Classroom Teacher","ALL","Early Career","One Year Percentage","62.1","0","19","19","36","0","11","11","58"
"2015","0","State of Delaware","0","State of Delaware","African American","All Educators","All Educators","Regular","All Educators","African American/Regular School","Professional","Classroom Teacher","ALL","Experienced","One Year Percentage","89.1","5.5","1.5","4","602","37","10","27","676"
"2015","0","State of Delaware","0","State of Delaware","African American","All Educators","All Educators","All Educators","All Educators","African American","Professional","Classroom Teacher","ALL","Experienced","One Year Percentage","88.2","5.1","1.8","4.9","635","37","13","35","720"
"2015","0","State of Delaware","0","State of Delaware","African American","All Educators","All Educators","Charter","All Educators","African American/Charter School","Professional","Classroom Teacher","ALL","Experienced","One Year Percentage","75","0","6.8","18.2","33","0","3","8","44"
"2015","0","State of Delaware","0","State of Delaware","African American","All Educators","All Educators","All Educators","All Educators","African American","Professional","Classroom Teacher","ALL","ALL","Two Year Percentage","71.9","9.7","5","13.4","610","82","42","114","848"
"2015","0","State of Delaware","0","State of Delaware","African American","All Educators","All Educators","Regular","All Educators","African American/Regular School","Professional","Classroom Teacher","ALL","ALL","Two Year Percentage","74.4","10.8","3.4","11.4","563","82","26","86","757"
