"schoolyear","districtcode","district","schoolcode","organization","race","gender","grade","specialdemo","geography","subgroup","rowstatus","studentschronicallyabsent","students","pctstudentschronicallyabsent","avgdaysenrolled","avgdaysabsent"
"2015","0","State of Delaware","0","State of Delaware","Hispanic/Latino","All Students","1st Grade","All Students","All Students","Hispanic/Latino/1st Grade","REPORTED","252","2125","11.86","153.87135278514589","7.4274977895667549"
"2015","0","State of Delaware","0","State of Delaware","Hispanic/Latino","All Students","2nd Grade","All Students","All Students","Hispanic/Latino/2nd Grade","REPORTED","216","1898","11.38","153.74652777777777","6.7425595238095237"
"2015","0","State of Delaware","0","State of Delaware","Hispanic/Latino","All Students","3rd Grade","All Students","All Students","Hispanic/Latino/3rd Grade","REPORTED","170","1892","8.99","156.28140703517587","6.2592964824120605"
"2015","0","State of Delaware","0","State of Delaware","Hispanic/Latino","All Students","4th Grade","All Students","All Students","Hispanic/Latino/4th Grade","REPORTED","149","1837","8.11","156.60860549507518","6.1886988076723695"
"2015","0","State of Delaware","0","State of Delaware","Hispanic/Latino","All Students","5th Grade","All Students","All Students","Hispanic/Latino/5th Grade","REPORTED","153","1655","9.24","157.18630295995357","6.4468949506674402"
"2015","0","State of Delaware","0","State of Delaware","Hispanic/Latino","All Students","6th Grade","All Students","All Students","Hispanic/Latino/6th Grade","REPORTED","201","1738","11.57","157.12171052631578","7.5975877192982457"
"2015","0","State of Delaware","0","State of Delaware","Hispanic/Latino","All Students","7th Grade","All Students","All Students","Hispanic/Latino/7th Grade","REPORTED","224","1593","14.06","157.29546827794562","8.2012084592145023"
"2015","0","State of Delaware","0","State of Delaware","Hispanic/Latino","All Students","8th Grade","All Students","All Students","Hispanic/Latino/8th Grade","REPORTED","236","1386","17.03","157.48196948682386","8.9389736477115118"
"2015","0","State of Delaware","0","State of Delaware","Hispanic/Latino","All Students","9th Grade","All Students","All Students","Hispanic/Latino/9th Grade","REPORTED","492","1763","27.91","149.90463362068965","12.963900862068966"
"2015","0","State of Delaware","0","State of Delaware","Hispanic/Latino","All Students","10th Grade","All Students","All Students","Hispanic/Latino/10th Grade","REPORTED","336","1444","23.27","157.70956873315365","11.609838274932615"
"2015","0","State of Delaware","0","State of Delaware","Hispanic/Latino","All Students","11th Grade","All Students","All Students","Hispanic/Latino/11th Grade","REPORTED","235","1043","22.53","162.00187617260789","12.089118198874296"
"2015","0","State of Delaware","0","State of Delaware","Hispanic/Latino","All Students","Twelfth","All Students","All Students","Hispanic/Latino/Twelfth","REPORTED","335","1081","30.99","164.57479601087942","15.012692656391659"
