"companyname","address1","address2","city","state","zipcode","website","contact1","phone1","fax1","email1","contracttitle","mwbecertified","vetservdisabled","delawarevendor","contracturl","expiredate","geocoded_location","awarded_vendor","count"
"Grassbusters Landscaping Company Inc","935 Rahway Drive",,"Newark","DE","19711",,"No Primary Contact Listed","000-000-0000",,,"US 301 LANDSCAPING, PHASE III","N","N","Y","http://mmp.delaware.gov/Contracts/Details/5181","2022-09-03T00:00:00.000","935 Rahway Drive
Newark, DE 19711
(39.681195, -75.779856)","Y","1"
"Schlosser & Associates Mechanical Contractors Inc","2047 Sunset Lake Road","PO Box 7984","Newark","DE","19714",,"Mark Ferelli","302-738-7333",,"mferelli@saamci.com","Morris Community Corrections Center - Sanitary Line Replacement","N","N","Y","http://mmp.delaware.gov/Contracts/Details/5255","2022-09-13T00:00:00.000","2047 Sunset Lake Road
Newark, DE 19714
(39.638285, -75.728798)","Y","1"
"DA Nolt Inc","53 Cross Keys Road",,"Berlin","NJ","08009","http://www.danolt.com","Rich O'Brien","856-753-9333","856-753-4963","rich@danolt.com","Central Elementary School - Renovations","N","N","N","http://mmp.delaware.gov/Contracts/Details/5543","2022-09-14T00:00:00.000","53 Cross Keys Road
Berlin, NJ 08009
(39.796108, -74.934831)","Y","1"
"Delmarva Veteran Builders LLC","120 East Market Street",,"Salisbury","MD","21801","www.delmarvaveteranbuilders.com","Kathryn Ellis","443-736-1584",,"kathryn@delmarvaveteranbuilders.com","Central Elementary School - Renovations","N","N","N","http://mmp.delaware.gov/Contracts/Details/5543","2022-09-14T00:00:00.000","120 East Market Street
Salisbury, MD 21801
(38.364521, -75.599418)","Y","1"
"Richard Y Johnson and Son Inc","18404 Johnson Road PO Box 105",,"Lincoln","DE","19960",,"Dean Johnson","302-422-3732",,"djohnson@ryjson.com","Howard T Ennis School ? New Special Needs School","N","N","Y","http://mmp.delaware.gov/Contracts/Details/5025","2022-09-16T00:00:00.000","18404 Johnson Road PO Box 105
Lincoln, DE 19960
(38.87103, -75.4244)","Y","1"
"Richard E Pierson Construction Co Inc","426 Swedesboro Road",,"Pilesgrove","NJ","08098","www.repierson.com","No Primary Contact Listed","000-000-0000",,,"REMOVAL OF BRIDGE 3-928R, LEWES RR SWING BRIDGE","N","N","N","http://mmp.delaware.gov/Contracts/Details/5198","2022-09-16T00:00:00.000","426 Swedesboro Road
Pilesgrove, NJ 08098
(39.688891, -75.318247)","Y","1"
"Perkins and Will","411 W Chapel Hill Street","Suite 200","Durham","NC","27701","www.perkinswill.com","Ms. Zena Howard","919-433-5357",,"zena.howard@perkinswill.com","Master Plan Updates","N","N","N","http://mmp.delaware.gov/Contracts/Details/3541","2022-09-16T00:00:00.000","411 W Chapel Hill Street
Durham, NC 27701
(35.996979, -78.908165)","Y","1"
"Fahey Sales, A Jeff Martin Auctioneers Inc Company","2910 9th Street East",,"Glencoe","MN","55336",,"James D. Fahey","320-854-3510",,"jimfahey@faheysales.com","Auction Services","N","N","N","http://mmp.delaware.gov/Contracts/Details/5253","2022-09-24T00:00:00.000","2910 9th Street East
Glencoe, MN 55336
(44.76807, -94.120746)","Y","1"
"Royal Consulting Firm Inc","8101 Felbrigg Hall Road",,"Glendale","MD","20769",,"Dr. Bernice Garnett Alston,","000-000-0000",,"balston@royalconsultingfirm.com","Project Coordination Services - Supplemental Bid","N","N","N","http://mmp.delaware.gov/Contracts/Details/883","2022-09-29T00:00:00.000","8101 Felbrigg Hall Road
Glendale, MD 20769
(39.005285, -76.810637)","Y","1"
"MR Public Health Consulting","2044 Waverly Street",,"Philadelphia","PA","19146",,"Meena Ramakrishnan","443-253-8874",,"mennaramakri@gmail.com","Project Coordination Services - Supplemental Bid","N","N","N","http://mmp.delaware.gov/Contracts/Details/883","2022-09-29T00:00:00.000","2044 Waverly Street
Philadelphia, PA 19146
(39.946534, -75.176189)","Y","1"
