"fiscal_year","department","division","amount"
"2017","ADVISORY COUNC EXCEPTNL CITIZN","ADVSRY CNCL FOR EXCEP CITIZENS","275897.52"
"2017","DELAWARE NATIONAL GUARD","DELAWARE NATIONAL GUARD","19607157.49"
"2017","DEPT OF AGRICULTURE","ADMINISTRATION","2631920.87"
"2017","DEPT OF AGRICULTURE","AG LANDSPRESERVATIONFOUNDATION","3793709.97"
"2017","DEPT OF AGRICULTURE","AGRICULTURE COMPLIANCE","513142.71"
"2017","DEPT OF AGRICULTURE","ANIMAL HEALTH","953241.40"
"2017","DEPT OF AGRICULTURE","FOOD PRODUCTS INSPECTION","1874370.44"
"2017","DEPT OF AGRICULTURE","FOREST SERVICE","2336567.72"
"2017","DEPT OF AGRICULTURE","HARNESS RACING COMMISSION","27914853.23"
"2017","DEPT OF AGRICULTURE","NUTRIENT MANAGEMENT","1404764.88"
"2017","DEPT OF AGRICULTURE","PESTICIDES","1017786.54"
"2017","DEPT OF AGRICULTURE","PLANNING","369496.60"
"2017","DEPT OF AGRICULTURE","PLANT INDUSTRIES","927229.29"
"2017","DEPT OF AGRICULTURE","THOROUGHBRED RACING COMMISSION","13795695.71"
"2017","DEPT OF AGRICULTURE","WEIGHTS & MEASURES","568295.31"
"2017","DEPT OF CORRECTIONS","ADMINISTRATIVE SERVICES","3202667.27"
"2017","DEPT OF CORRECTIONS","BAYLOR WOMEN'S CORRECT INSTITU","10504850.67"
"2017","DEPT OF CORRECTIONS","BUR CHIEF-COMMUNITY CORRECTION","890002.71"
"2017","DEPT OF CORRECTIONS","BUREAU CHIEF-PRISONS","689200.53"
"2017","DEPT OF CORRECTIONS","CENTRAL OFFENDER RECORDS","2073346.49"
"2017","DEPT OF CORRECTIONS","DELAWARE CORRECTIONAL INDUSTRI","3558536.96"
"2017","DEPT OF CORRECTIONS","DOC - ADMIN INFO TECHNOLOGY","2438780.75"
"2017","DEPT OF CORRECTIONS","DOC-MEDICAL TREATMENT SRVS","72877715.50"
"2017","DEPT OF CORRECTIONS","EDUCATION","480128.42"
"2017","DEPT OF CORRECTIONS","E HOUSE ARREST","0.87"
"2017","DEPT OF CORRECTIONS","FACILITIES MAINTENANCE","8913469.31"
"2017","DEPT OF CORRECTIONS","FOOD SERVICES","17092498.44"
"2017","DEPT OF CORRECTIONS","HOWARD R YOUNG CORRECT INSTITU","30423915.82"
"2017","DEPT OF CORRECTIONS","HUMAN RESOURCES/EMPL DEV CTR","5702160.58"
"2017","DEPT OF CORRECTIONS","JAMES T. VAUGHN CORRECTIONAL C","60933488.74"
"2017","DEPT OF CORRECTIONS","KENT CTY COMMUNITY CORRECTION","6534330.81"
"2017","DEPT OF CORRECTIONS","NEW CASTLE CTY COMMUNITY CORRE","7010393.52"
"2017","DEPT OF CORRECTIONS","OFFICE OF THE COMMISSIONER","2348541.87"
"2017","DEPT OF CORRECTIONS","PROBATION AND PAROLE","29949345.45"
"2017","DEPT OF CORRECTIONS","SPECIAL OPERATIONS","7111401.01"
"2017","DEPT OF CORRECTIONS","SUSSEX CORRECTIONAL INST","35109538.30"
"2017","DEPT OF CORRECTIONS","SUSSEX CTY COMMUNITY CORRECTIO","7383003.52"
"2017","DEPT OF EDUCATION","ACADEMY OF DOVER CHARTER SCHL","3216656.71"
"2017","DEPT OF EDUCATION","ADVISORY COUNCIL","269360.19"
"2017","DEPT OF EDUCATION","APPOQUINIMINK SCHOOL DISTRICT","140421657.90"
"2017","DEPT OF EDUCATION","AUTISTIC OFFICE ADMINISTRATION","35290147.91"
"2017","DEPT OF EDUCATION","BRANDYWINE SCHOOL DISTRICT","177094193.27"
"2017","DEPT OF EDUCATION","CAESAR RODNEY SCHOOL DISTRICT","100840945.22"
"2017","DEPT OF EDUCATION","CAMPUS COMMUNITY SCHOOL","4482157.82"
"2017","DEPT OF EDUCATION","CAPE HENLOPEN SCHOOL DISTRICT","142107630.39"
"2017","DEPT OF EDUCATION","CAPITAL SCHOOL DISTRICT","102140282.44"
"2017","DEPT OF EDUCATION","CHRISTINA SCHOOL DISTRICT","248943537.96"
"2017","DEPT OF EDUCATION","COLONIAL SCHOOL DISTRICT","144111853.40"
"2017","DEPT OF EDUCATION","DE ACADEMY OF PUB SAFETY","3847278.18"
"2017","DEPT OF EDUCATION","DE COLLEGE PREPARATORY ACADEMY","138219.35"
"2017","DEPT OF EDUCATION","DELAWARE MILITARY ACADEMY","6547940.11"
"2017","DEPT OF EDUCATION","DELMAR SCHOOL DISTRICT","17255421.34"
"2017","DEPT OF EDUCATION","DEPARTMENT OF EDUCATION","144135955.40"
"2017","DEPT OF EDUCATION","DIVISION FUNDING","952304"
"2017","DEPT OF EDUCATION","DRIVER TRAINING","1292332.58"
"2017","DEPT OF EDUCATION","EAST SIDE CHARTER SCHOOL","7632547.98"
"2017","DEPT OF EDUCATION","EDUCATION BLOCK GRANTS","4430436.03"
"2017","DEPT OF EDUCATION","FAMILY FOUNDATIONS ACADEMY","9562034.49"
"2017","DEPT OF EDUCATION","GATEWAY LAB SCHOOL","4975543.10"
"2017","DEPT OF EDUCATION","HOWARD T. ENNIS SCHOOL","10832335.87"
"2017","DEPT OF EDUCATION","INDIAN RIVER SCHOOL DISTRICT","152537663.51"
"2017","DEPT OF EDUCATION","JOHN G LEACH SCHOOL","10252049.68"
"2017","DEPT OF EDUCATION","JOHN S CHARLTON SCHOOL","16443495.35"
"2017","DEPT OF EDUCATION","K-12 PASS THROUGH PROGRAMS","1306300"
"2017","DEPT OF EDUCATION","KUUMBA ACADEMY CHARTER SCHOOL","8633631.07"
"2017","DEPT OF EDUCATION","LAKE FOREST SCHOOL DISTRICT","54338448.26"
"2017","DEPT OF EDUCATION","LAS AMERICAS ASPIRA","8887094.20"
"2017","DEPT OF EDUCATION","LAUREL SCHOOL DISTRICT","46266512.81"
"2017","DEPT OF EDUCATION","MEADOWOOD SCHOOL","12698043.69"
"2017","DEPT OF EDUCATION","MILFORD SCHOOL DISTRICT","53066355.90"
"2017","DEPT OF EDUCATION","MOT CHARTER SCHOOL","14117256.71"
"2017","DEPT OF EDUCATION","NCCDSC","2736987.19"
"2017","DEPT OF EDUCATION","NEWARK CHARTER SCHOOL","27768471.83"
"2017","DEPT OF EDUCATION","NEW CASTLE COUNTY VO-TECH SCH","111126629.85"
"2017","DEPT OF EDUCATION","ODYSSEY CHARTER","17489332.92"
"2017","DEPT OF EDUCATION","OPTION ILC","12520838.30"
"2017","DEPT OF EDUCATION","OTHER ITEMS","420625.76"
"2017","DEPT OF EDUCATION","POLYTECH SCHOOL DISTRICT","32445154.54"
"2017","DEPT OF EDUCATION","POSITIVE OUTCOMES CHARTER SCHL","3731375.25"
"2017","DEPT OF EDUCATION","PRESTIGE ACADEMY","2284287.98"
"2017","DEPT OF EDUCATION","PROVIDENCE CREEK ACAD CHTR SCH","7411899.17"
"2017","DEPT OF EDUCATION","REACH OFFICE ADMINISTRATION","10135584.06"
"2017","DEPT OF EDUCATION","RED CLAY CONSOLIDATED SCH DIST","273458928.60"
"2017","DEPT OF EDUCATION","RED CLAY ILC","8973878.67"
"2017","DEPT OF EDUCATION","SEAFORD SCHOOL DISTRICT","51792479.87"
"2017","DEPT OF EDUCATION","SMYRNA SCHOOL DISTRICT","75124470.99"
"2017","DEPT OF EDUCATION","SPECIAL NEEDS PROGRAMS","36149488.44"
"2017","DEPT OF EDUCATION","STERCK OFFICE ADMINISTRATION","11728792.65"
"2017","DEPT OF EDUCATION","SUSSEX ACADEMY OF ARTS/SCIENCE","7225630.37"
"2017","DEPT OF EDUCATION","SUSSEX TECHNICAL SCHL DISTRICT","29847769.76"
"2017","DEPT OF EDUCATION","THE CHARTER SCHOOL OF WILMNGTN","10482540.84"
"2017","DEPT OF EDUCATION","THOMAS A EDISON CHARTER SCHOOL","9364947.23"
"2017","DEPT OF EDUCATION","TRANSPORTATION","4776741.13"
"2017","DEPT OF EDUCATION","WOODBRIDGE SCHOOL DISTRICT","36534615.14"
"2017","DEPT OF EDUCATION CONTINUED","ACADEMIA ANTONIA ALONSO","5610856.46"
"2017","DEPT OF EDUCATION CONTINUED","DELAWARE DESIGN-LAB HS","4075989.58"
"2017","DEPT OF EDUCATION CONTINUED","DELAWARE STEM ACADEMY","351968.69"
"2017","DEPT OF EDUCATION CONTINUED","EARLY COLLEGE HIGH SCHOOL","3832389.05"
"2017","DEPT OF EDUCATION CONTINUED","FIRST STATE MILITARY ACADEMY","3986924.71"
"2017","DEPT OF EDUCATION CONTINUED","FIRST STATE MONTESSORI ACADEMY","5447416.79"
"2017","DEPT OF EDUCATION CONTINUED","FREIRE CHARTER SCHOOL","4190505.01"
"2017","DEPT OF EDUCATION CONTINUED","GREAT OAKS CHARTER SCHOOL","4458486.08"
"2017","DEPT OF EDUCATION CONTINUED","THE DELAWARE MET","6863.00"
"2017","DEPT OF ELECTIONS","KENT COUNTY ELECTIONS","956573.28"
"2017","DEPT OF ELECTIONS","NEW CASTLE COUNTY ELECTIONS","2095780.77"
"2017","DEPT OF ELECTIONS","STATE ELECTION COMMISSIONER","4461931.67"
"2017","DEPT OF ELECTIONS","SUSSEX COUNTY ELECTIONS","499506.85"
"2017","DEPT OF FINANCE","ACCOUNTING","5594784.21"
"2017","DEPT OF FINANCE","OFFICE OF THE SECRETARY","57718014.04"
"2017","DEPT OF FINANCE","REVENUE","23360736.13"
"2017","DEPT OF FINANCE","STATE LOTTERY OFFICE","48199311.60"
"2017","DEPT OF HEALTH & SOCIAL SVS","ADMINISTRATION/COMMUNITY SVCS","36160156.76"
"2017","DEPT OF HEALTH & SOCIAL SVS","ADMINISTRATION-DEV DISABIL","5822548.20"
"2017","DEPT OF HEALTH & SOCIAL SVS","ADMINISTRATION-MENTAL HEALTH","7129744.30"
"2017","DEPT OF HEALTH & SOCIAL SVS","CHILD SUPPORT SERVICES","28400112.93"
"2017","DEPT OF HEALTH & SOCIAL SVS","COMMUNITY HEALTH","115214176.72"
"2017","DEPT OF HEALTH & SOCIAL SVS","COMMUNITY MENTAL HEALTH","54138775.03"
"2017","DEPT OF HEALTH & SOCIAL SVS","COMMUNITY SERVICES","37639996.72"
"2017","DEPT OF HEALTH & SOCIAL SVS","DELAWARE PSYCHIATRIC CENTER","35604883.75"
"2017","DEPT OF HEALTH & SOCIAL SVS","DIRECTOR'S OFC/SUPPORT SERVICE","10043203.47"
"2017","DEPT OF HEALTH & SOCIAL SVS","EMERGENCY MEDICAL SVCS","10845572.02"
"2017","DEPT OF HEALTH & SOCIAL SVS","FACILITY OPERATIONS","23662625.78"
"2017","DEPT OF HEALTH & SOCIAL SVS","GOVERNOR BACON HOSPITAL","10749806.27"
"2017","DEPT OF HEALTH & SOCIAL SVS","HOSPITAL F/T CHRONICALLY ILL","30667158.80"
"2017","DEPT OF HEALTH & SOCIAL SVS","L/T CARE RESIDENTS PROTECTION","4803669.61"
"2017","DEPT OF HEALTH & SOCIAL SVS","MANAGEMENT SERVICES","40350051.87"
"2017","DEPT OF HEALTH & SOCIAL SVS","MEDICAID & MEDICAL ASSISTANCE","2190013034.33"
"2017","DEPT OF HEALTH & SOCIAL SVS","OFFICE O/T SECRETARY","16559209.46"
"2017","DEPT OF HEALTH & SOCIAL SVS","SOCIAL SERVICES","151852119.76"
"2017","DEPT OF HEALTH & SOCIAL SVS","STATE SERVICE CENTERS","31662220.29"
"2017","DEPT OF HEALTH & SOCIAL SVS","STOCKLEY CENTER","17589700.29"
"2017","DEPT OF HEALTH & SOCIAL SVS","SUBSTANCE ABUSE","23423375.06"
"2017","DEPT OF HEALTH & SOCIAL SVS","VISUALLY IMPAIRED SERVICES","6646691.94"
"2017","DEPT OF LABOR","ADMINISTRATIVE SUPPORT","2181789.96"
"2017","DEPT OF LABOR","ANTIDISCRIMINATION","560998.34"
"2017","DEPT OF LABOR","DISABILITY DETERMINATION SVCS.","6788033.70"
"2017","DEPT OF LABOR","EMPLOYMENT & TRAINING SERVICES","23298122.82"
"2017","DEPT OF LABOR","OCCUPATIONAL & LABOR MARKET","888184.54"
"2017","DEPT OF LABOR","OFFICE OF THE SECRETARY","2032381.03"
"2017","DEPT OF LABOR","OFFICE OF WORKERS'COMPENSATION","9393740.38"
"2017","DEPT OF LABOR","OFF OF LABOR LAW ENFORCEMENT","1184995.07"
