"schoolyear","districtcode","districtname","schoolcode","organization","race","gender","grade","specialdemo","geography","subgroup","staff_type","staff_category","job_classification","total","staffcount_salary_lt_30k","staffcount_salary_30k_37k","staffcount_salary_37k_44k","staffcount_salary_44k_51k","staffcount_salary_51k_58k","staffcount_salary_58k_65k","staffcount_salary_65k_72k","staffcount_salary_72k_79k","staffcount_salary_79k_86k","staffcount_salary_86k_93k","staffcount_salary_93k_100k","staffcount_salary_gt_100k"
"2020","0","State of Delaware","0","State of Delaware","African American","All Educators","All Educators","ALL","All Educators","African American","Non-Professional","Skilled & Service Workers","Crafts & Trades","8",,"1",,"4",,"3",,,,,,
"2020","0","State of Delaware","0","State of Delaware","African American","All Educators","All Educators","ALL","All Educators","African American","Non-Professional","Skilled & Service Workers","Technical","21",,"2","8","4","2","1","2","1","1",,,
"2020","0","State of Delaware","0","State of Delaware","African American","All Educators","All Educators","ALL","All Educators","African American","Professional","Classroom Teacher","Teacher, Regular Secondary","423","1","2","42","63","58","38","64","45","55","35","18","2"
"2020","0","State of Delaware","0","State of Delaware","African American","All Educators","All Educators","ALL","Kent County","African American/Kent County","Non-Professional","Skilled & Service Workers","Crafts & Trades","1",,,,"1",,,,,,,,
"2020","0","State of Delaware","0","State of Delaware","African American","All Educators","All Educators","ALL","Kent County","African American/Kent County","Professional","Instructional Support","ALL","33",,"1",,"5","3","6","7","4","4","1",,"2"
"2020","0","State of Delaware","0","State of Delaware","African American","All Educators","All Educators","ALL","Kent County","African American/Kent County","Professional","Official/Administrative","Supervisor, General Support","6",,"1",,,,"1",,,,,,"4"
"2020","0","State of Delaware","0","State of Delaware","African American","All Educators","All Educators","ALL","Sussex County","African American/Sussex County","Non-Professional","Skilled & Service Workers","Cafeteria Worker","16","16",,,,,,,,,,,
"2020","0","State of Delaware","0","State of Delaware","African American","Female","All Educators","ALL","All Educators","African American/Female","Non-Professional","Skilled & Service Workers","Secretarial","124","5","16","14","24","37","21","4","1",,"2",,
"2020","0","State of Delaware","0","State of Delaware","African American","Female","All Educators","ALL","All Educators","African American/Female","Professional","Official/Administrative","Administrative Assistant","3",,,,,"1",,,"1",,,,"1"
"2020","0","State of Delaware","0","State of Delaware","African American","Female","All Educators","ALL","All Educators","African American/Female","Professional","Official/Administrative","Supervisor, General Support","7",,,,,"3","1",,,,,,"3"
"2020","0","State of Delaware","0","State of Delaware","African American","Female","All Educators","ALL","New Castle County","African American/Female/New Castle County","Non-Professional","Skilled & Service Workers","Custodial","79","5","13","33","26","2",,,,,,,
