"industry","sector","subsector","industry_group","_4_digit_naics","business_to_remain_open","notes"
"Utilities","Utilities","Electric Power Generation, Transmission, and Distribution","null","2211","true","null"
"Utilities","Utilities","Natural Gas Distribution","null","2212","true","null"
"Utilities","Utilities","Watr, Sewage, and Other Systems","null","2213","true","null"
"Trade, Transportation, and Utilities","Retail Trade","Health and Personal Care Stores","null","4461","true","null"
"Natural Resources and Mining","Agriculture, Forestry, Fishing, and Hunting","Crop Production","Oilseed and Grain Farming","1111","true","null"
"Natural Resources and Mining","Agriculture, Forestry, Fishing, and Hunting","Crop Production","Vegetable and Melon Farming","1112","true","null"
"Natural Resources and Mining","Agriculture, Forestry, Fishing, and Hunting","Crop Production","Fruit and Tree Nut Farming","1113","true","null"
"Natural Resources and Mining","Agriculture, Forestry, Fishing, and Hunting","Crop Production","Greenhouse, Nursery, and Floriculture Production","1114","true","null"
"Natural Resources and Mining","Agriculture, Forestry, Fishing, and Hunting","Crop Production","Other Crop Farming","1119","true","null"
"Natural Resources and Mining","Agriculture, Forestry, Fishing, and Hunting","Animal Production","Cattle Ranching and Farming","1121","true","null"
"Natural Resources and Mining","Agriculture, Forestry, Fishing, and Hunting","Animal Production","Hog and Pig Farming","1122","true","null"
"Natural Resources and Mining","Agriculture, Forestry, Fishing, and Hunting","Animal Production","Poultry and Egg Production","1123","true","null"
"Natural Resources and Mining","Agriculture, Forestry, Fishing, and Hunting","Animal Production","Sheep and Goat Farming","1124","true","null"
"Natural Resources and Mining","Agriculture, Forestry, Fishing, and Hunting","Animal Production","Aquaculture","1125","true","null"
"Natural Resources and Mining","Agriculture, Forestry, Fishing, and Hunting","Animal Production","Other Animal Production","1129","true","null"
"Natural Resources and Mining","Agriculture, Forestry, Fishing, and Hunting","Forestry and Logging","Timber and Tract Operations","1131","true","null"
"Natural Resources and Mining","Agriculture, Forestry, Fishing, and Hunting","Forestry and Logging","Forest Nurseries and Local Gathering of Forest Products","1132","true","null"
"Natural Resources and Mining","Agriculture, Forestry, Fishing, and Hunting","Forestry and Logging","Logging","1133","true","null"
"Natural Resources and Mining","Agriculture, Forestry, Fishing, and Hunting","Fishing, Hunting, and Trapping","Fishing","1141","true","null"
"Natural Resources and Mining","Agriculture, Forestry, Fishing, and Hunting","Fishing, Hunting, and Trapping","Hunting and Trapping","1142","true","null"
"Natural Resources and Mining","Agriculture, Forestry, Fishing, and Hunting","Support Activities for Agriculture and Forestry","Support Activities for Crop Production","1151","true","null"
"Natural Resources and Mining","Agriculture, Forestry, Fishing, and Hunting","Support Activities for Agriculture and Forestry","Support Activities for Animal Production","1152","true","null"
"Natural Resources and Mining","Agriculture, Forestry, Fishing, and Hunting","Support Activities for Agriculture and Forestry","Support Activities for Forestry","1153","true","null"
"Mining, Quarrying, and Oil and Gas Extraction","Mining, Quarrying, and Oil and Gas Extraction","Oil and Gas Extraction","null","2111","true","null"
"Mining, Quarrying, and Oil and Gas Extraction","Mining, Quarrying, and Oil and Gas Extraction","Mining","Coal Mining","2121","true","null"
"Mining, Quarrying, and Oil and Gas Extraction","Mining, Quarrying, and Oil and Gas Extraction","Mining","Metal Ore Mining","2122","true","null"
"Mining, Quarrying, and Oil and Gas Extraction","Mining, Quarrying, and Oil and Gas Extraction","Mining","Nonmetallic Mineral Mining and Quarrying","2123","true","null"
"Mining, Quarrying, and Oil and Gas Extraction","Mining, Quarrying, and Oil and Gas Extraction","Support Activities for Mining","null","2131","true","null"
"Construction","Construction","Construction of Buildings","Residential Building Construction","2361","true","null"
"Construction","Construction","Construction of Buildings","Nonresidential Building Construction","2362","true","null"
"Construction","Construction","Heavy and Civil Engineering Construction","Utility System Construction","2371","true","null"
"Construction","Construction","Heavy and Civil Engineering Construction","Land Subdivision","2372","true","null"
"Construction","Construction","Heavy and Civil Engineering Construction","Highway, Street, and Bridge Construction","2373","true","null"
"Construction","Construction","Heavy and Civil Engineering Construction","Other Heavy Civil Engineering Construction","2379","true","null"
"Construction","Construction","Specialty Trade Contractors","Foundation, Structure, and Building Exterior Contractors","2381","true","null"
"Construction","Construction","Specialty Trade Contractors","Building Equipment Contractors","2382","true","null"
"Construction","Construction","Specialty Trade Contractors","Building Finishing Contractors","2383","true","null"
"Construction","Construction","Specialty Trade Contractors","Other Specialty Trade Contractors","2389","true","null"
"Manufacturing","Manufacturing","Food Manufacturing","Animal Food Manufacturing","3111","true","null"
"Manufacturing","Manufacturing","Food Manufacturing","Grain and Oilseed Milling","3112","true","null"
"Manufacturing","Manufacturing","Food Manufacturing","Sugar and Confectionary Product Manufacturing","3113","true","null"
"Manufacturing","Manufacturing","Food Manufacturing","Fruit and Vegetable Preserving and Specialty Food Manufacturing","3114","true","null"
"Manufacturing","Manufacturing","Food Manufacturing","Dairy Product Manufacturing","3115","true","null"
"Manufacturing","Manufacturing","Food Manufacturing","Animal Slaughtering and Processing","3116","true","null"
"Manufacturing","Manufacturing","Food Manufacturing","Seafood Product Preparation and Packaging","3117","true","null"
"Manufacturing","Manufacturing","Food Manufacturing","Bakeries and Tortilla Manufacturing","3118","true","null"
"Manufacturing","Manufacturing","Food Manufacturing","Other Food Manufacturing","3119","true","null"
"Manufacturing","Manufacturing","Beverage and Tobacco Product Manufacturing","Beverage Manufacturing","3121","true","null"
"Manufacturing","Manufacturing","Beverage and Tobacco Product Manufacturing","Tobacco Manufacturing","3122","true","null"
"Manufacturing","Manufacturing","Textile Mills","Fiber, Yarn, and Thread Mills","3131","true","null"
"Manufacturing","Manufacturing","Textile Mills","Fabric Mills","3132","true","null"
"Manufacturing","Manufacturing","Textile Mills","Textile and Fabric Finishing and Fabric Coating Mills","3133","true","null"
"Manufacturing","Manufacturing","Textile Product Mills","Textile Furnishing Mills","3141","true","null"
"Manufacturing","Manufacturing","Textile Product Mills","Other Textile Product Mill","3149","true","null"
"Manufacturing","Manufacturing","Apparel Manufacturing","Apparel Knitting Mills","3151","true","null"
"Manufacturing","Manufacturing","Apparel Manufacturing","Cut and Sew Apparel Manufacturing","3152","true","null"
"Manufacturing","Manufacturing","Apparel Manufacturing","Apparel Accessories and Other Apparel Manufacturing","3159","true","null"
"Manufacturing","Manufacturing","Leather and Allied Product Manufacturing","Leather and Hide Tanning and Finishing","3161","true","null"
"Manufacturing","Manufacturing","Leather and Allied Product Manufacturing","Footwear Manufacturing","3162","true","null"
"Manufacturing","Manufacturing","Leather and Allied Product Manufacturing","Other Leather and Allied Product Manufacturing","3169","true","null"
"Manufacturing","Manufacturing","Wood Product Manufacturing","Sawmills and Wood Preservation","3211","true","null"
"Manufacturing","Manufacturing","Wood Product Manufacturing","Veneer, Plywood, and Engineered Wood Product Manufacturing","3212","true","null"
"Manufacturing","Manufacturing","Wood Product Manufacturing","Other Wood Product Manufacturing","3219","true","null"
"Manufacturing","Manufacturing","Paper Manufacturing","Pulp, Paper, and Paperboard Mills","3221","true","null"
"Manufacturing","Manufacturing","Paper Manufacturing","Converted Paper Product Manufacturing","3222","true","null"
"Manufacturing","Manufacturing","Printing and Related Support Activities","null","3231","true","null"
"Manufacturing","Manufacturing","Petroleum and Coal Products Manufacturing","null","3241","true","null"
"Manufacturing","Manufacturing","Chemical Manufacturing","Basic Chemical Manufacturing","3251","true","null"
"Manufacturing","Manufacturing","Chemical Manufacturing","Resin, Synthetic Rubber, and Artificial Synthetic Fibers and Filaments Manufacturing","3252","true","null"
"Manufacturing","Manufacturing","Chemical Manufacturing","Pesticide, Fertilizer, and Other Agricultural Chemical Manufacturing","3253","true","null"
"Manufacturing","Manufacturing","Chemical Manufacturing","Pharmaceutical and Medicine Manufacturing","3254","true","null"
"Manufacturing","Manufacturing","Chemical Manufacturing","Paint, Coating, and Adhesive Manufacturing","3255","true","null"
"Manufacturing","Manufacturing","Chemical Manufacturing","Soap, Cleaning Compound, and Toilet Preparation Manufacturing","3256","true","null"
"Manufacturing","Manufacturing","Chemical Manufacturing","Other Chemical Product and Preparation Manufacturing","3259","true","null"
"Manufacturing","Manufacturing","Plastics and Rubber Products Manufacturing","Plastics Product Manufacturing","3261","true","null"
"Manufacturing","Manufacturing","Plastics and Rubber Products Manufacturing","Rubber Product Manufacturing","3262","true","null"
"Manufacturing","Manufacturing","Nonmetallic Mineral Product Manufacturing","Clay Product and Refractory Manufacturing","3271","true","null"
"Manufacturing","Manufacturing","Nonmetallic Mineral Product Manufacturing","Glass and Glass Product Manufacturing","3272","true","null"
"Manufacturing","Manufacturing","Nonmetallic Mineral Product Manufacturing","Cement and Concrete Product Manufacturing","3273","true","null"
"Manufacturing","Manufacturing","Nonmetallic Mineral Product Manufacturing","Lime and Gypsum Product Manufacturing","3274","true","null"
"Manufacturing","Manufacturing","Nonmetallic Mineral Product Manufacturing","Other Nonmetallic Mineral Product Manufacturing","3279","true","null"
"Manufacturing","Manufacturing","Primary Metal Manufacturing","Iron and Steel Mills and Ferroalloy Manufacturing","3311","true","null"
"Manufacturing","Manufacturing","Primary Metal Manufacturing","Steel Product Manufacturing from Purchased Steel","3312","true","null"
"Manufacturing","Manufacturing","Primary Metal Manufacturing","Alumina and Aluminum Product and Processing","3313","true","null"
"Manufacturing","Manufacturing","Primary Metal Manufacturing","Nonferrous Metal (except Aluminum) Production and Processing","3314","true","null"
"Manufacturing","Manufacturing","Primary Metal Manufacturing","Foundries","3315","true","null"
"Manufacturing","Manufacturing","Fabricated Metal Product Manufacturing","Foring and Stamping","3321","true","null"
"Manufacturing","Manufacturing","Fabricated Metal Product Manufacturing","Cutlery and Handtool Manufacturing","3322","true","null"
"Manufacturing","Manufacturing","Fabricated Metal Product Manufacturing","Architectural and Structural Metals Manufacturing","3323","true","null"
"Manufacturing","Manufacturing","Fabricated Metal Product Manufacturing","Boiler, Tank, and Shipping Container Manufacturing","3324","true","null"
"Manufacturing","Manufacturing","Fabricated Metal Product Manufacturing","Hardware Manufacturing","3325","true","null"
"Manufacturing","Manufacturing","Fabricated Metal Product Manufacturing","Spring and Wire Product Manufacturing","3326","true","null"
"Manufacturing","Manufacturing","Fabricated Metal Product Manufacturing","Machine Shops, Turned Product, and Screw, Nut, and Bolt Manufacturing","3327","true","null"
"Manufacturing","Manufacturing","Fabricated Metal Product Manufacturing","Coating, Engraving, Heat Turning, and Allied Activities","3328","true","null"
"Manufacturing","Manufacturing","Fabricated Metal Product Manufacturing","Other Fabricated Metal and Product Manufacturing","3329","true","null"
"Manufacturing","Manufacturing","Machinery Manufacturing","Agriculture, Construction, and Mining Machinery Manufacturing","3331","true","null"
"Manufacturing","Manufacturing","Machinery Manufacturing","Industrial Machinery Manufacturing","3332","true","null"
"Manufacturing","Manufacturing","Machinery Manufacturing","Commercial and Service Industry Machinery Manufacturing","3333","true","null"
"Manufacturing","Manufacturing","Machinery Manufacturing","Ventilation, Heating, Air-Conditioning, and Commercial Refrigeration Equipment Manufacturing","3334","true","null"
"Manufacturing","Manufacturing","Machinery Manufacturing","Metalworking Machinery Manufacturing","3335","true","null"
"Manufacturing","Manufacturing","Machinery Manufacturing","Engine, Turbine, and Power Transmission Equipment Manufacturing","3336","true","null"
"Manufacturing","Manufacturing","Machinery Manufacturing","Other General Purpose Machinery Manufacturing","3339","true","null"
"Manufacturing","Manufacturing","Computer and Electronic Product Manufacturing","Computer and Peripheral Equipment Manufacturing","3341","true","null"
"Manufacturing","Manufacturing","Computer and Electronic Product Manufacturing","Communications Equipment Manufacturing","3342","true","null"
"Manufacturing","Manufacturing","Computer and Electronic Product Manufacturing","Audio and Video Equipment Manufacturing","3343","true","null"
"Manufacturing","Manufacturing","Computer and Electronic Product Manufacturing","Semiconductor and Other Electrical Component Manufacturing","3344","true","null"
"Manufacturing","Manufacturing","Computer and Electronic Product Manufacturing","Navigational, Measuring, Electromedical, and Control Instruments Manufacturing","3345","true","null"
"Manufacturing","Manufacturing","Computer and Electronic Product Manufacturing","Manufacturing and Reproducing Magnetic and Optical Media","3346","true","null"
"Manufacturing","Manufacturing","Electrical Equipment, Appliance, and Component Manufacturing","Electric Lighting Equipment Manufacturing","3351","true","null"
"Manufacturing","Manufacturing","Electrical Equipment, Appliance, and Component Manufacturing","Household Appliance Manufacturing","3352","true","null"
"Manufacturing","Manufacturing","Electrical Equipment, Appliance, and Component Manufacturing","Electrical Equipment Manufacturing","3353","true","null"
"Manufacturing","Manufacturing","Electrical Equipment, Appliance, and Component Manufacturing","Other Electrical Equipment and Component Manufacturing","3359","true","null"
"Manufacturing","Manufacturing","Transportation Equipment Manufacturing","Motor Vehicle Manufacturing","3361","true","null"
"Manufacturing","Manufacturing","Transportation Equipment Manufacturing","Motor Vehicle Body and Trailer Manufacturing","3362","true","null"
"Trade, Transportation, and Utilities","Retail Trade","Gasoline Stations","null","4471","true","null"
"Manufacturing","Manufacturing","Transportation Equipment Manufacturing","Motor Vehicle Parts Manufacturing","3363","true","null"
"Manufacturing","Manufacturing","Transportation Equipment Manufacturing","Aerospace Product and Parts Manufacturing","3364","true","null"
"Manufacturing","Manufacturing","Transportation Equipment Manufacturing","Railroad Rolling Stock Manufacturing","3365","true","null"
"Manufacturing","Manufacturing","Transportation Equipment Manufacturing","Ship and Boat Building","3366","true","null"
"Manufacturing","Manufacturing","Transportation Equipment Manufacturing","Other Transportation Equipment Manufacturing","3369","true","null"
"Manufacturing","Manufacturing","Furniture and Related Product Manufacturing","Household and Institutional Furniture and Kitchen Cabinet Manufacturing","3371","true","null"
"Manufacturing","Manufacturing","Furniture and Related Product Manufacturing","Office Furniture (including Fixtures) Manufacturing","3372","true","null"
"Manufacturing","Manufacturing","Furniture and Related Product Manufacturing","Other Furniture Related Product Manufacturing","3379","true","null"
"Manufacturing","Manufacturing","Miscellaneous Manufacturing","Medical Equipment and Supplies Manufacturing","3391","true","null"
"Manufacturing","Manufacturing","Miscellaneous Manufacturing","Other Miscellaneous Manufacturing","3399","true","null"
"Trade, Transportation, and Utilities","Wholesale Trade","Merchant Wholesalers, Durable Goods","Motor Vehicle and Motor Vehicle Parts and Supplies Merchant Wholesalers","4231","true","null"
"Trade, Transportation, and Utilities","Wholesale Trade","Merchant Wholesalers, Durable Goods","Furniture and Home Furnishing Merchant Wholesalers","4232","false","null"
"Trade, Transportation, and Utilities","Wholesale Trade","Merchant Wholesalers, Durable Goods","Lumber and Other Construction Materials Merchant Wholesalers","4233","true","null"
"Trade, Transportation, and Utilities","Wholesale Trade","Merchant Wholesalers, Durable Goods","Professional and Commercial Equipment and Supplies Merchant Wholesalers","4234","true","null"
"Trade, Transportation, and Utilities","Wholesale Trade","Merchant Wholesalers, Durable Goods","Metal and Mineral (except Petroleum) Merchant Wholesalers","4235","true","null"
"Trade, Transportation, and Utilities","Wholesale Trade","Merchant Wholesalers, Durable Goods","Electrical and Electronic Goods Merchant Wholesalers","4236","true","null"
"Trade, Transportation, and Utilities","Wholesale Trade","Merchant Wholesalers, Durable Goods","Hardware, and Plumbing and Heating Equipment and Supplies Merchant Wholesalers","4237","true","null"
"Trade, Transportation, and Utilities","Wholesale Trade","Merchant Wholesalers, Durable Goods","Machinery, Equipment, and Supplies Merchant Wholesalers","4238","true","null"
"Trade, Transportation, and Utilities","Wholesale Trade","Merchant Wholesalers, Durable Goods","Miscellaneous Durable Goods Merchant Wholesalers","4239","false","null"
"Trade, Transportation, and Utilities","Wholesale Trade","Merchant Wholesalers, Nondurable Goods","Paper and Product Merchant Whoelsalers","4241","true","null"
"Trade, Transportation, and Utilities","Wholesale Trade","Merchant Wholesalers, Nondurable Goods","Drugs and Druggists' Sundries Merchant Wholesalers","4242","true","null"
"Trade, Transportation, and Utilities","Wholesale Trade","Merchant Wholesalers, Nondurable Goods","Apparel, Piece Goods, and Notions Merchant Wholesalers","4243","false","null"
"Trade, Transportation, and Utilities","Wholesale Trade","Merchant Wholesalers, Nondurable Goods","Grocery and Related Product Wholesalers","4244","true","null"
"Trade, Transportation, and Utilities","Wholesale Trade","Merchant Wholesalers, Nondurable Goods","Farm Product Raw Material Merchant Wholesalers","4245","true","null"
"Trade, Transportation, and Utilities","Wholesale Trade","Merchant Wholesalers, Nondurable Goods","Chemical and Allied Products Merchant Wholesalers","4246","true","null"
"Trade, Transportation, and Utilities","Wholesale Trade","Merchant Wholesalers, Nondurable Goods","Petroleum and Petroleum Products Merchant Wholesalers","4247","true","null"
"Trade, Transportation, and Utilities","Wholesale Trade","Merchant Wholesalers, Nondurable Goods","Beer, Wine, and Distilled Alcoholic Beverage Merchant Wholesalers","4248","true","null"
"Trade, Transportation, and Utilities","Wholesale Trade","Merchant Wholesalers, Nondurable Goods","Miscellaneous Nondurable Goods Merchant Wholesalers","4249","true","null"
"Trade, Transportation, and Utilities","Wholesale Trade","Wholesale Electronic Markets and Agents & Brokers","null","4251","true","null"
"Trade, Transportation, and Utilities","Retail Trade","Motor Vehicle and Parts Dealers","Automobile Dealers","4411","false","Allowed to sell at showrooms by appointment only, no more than two appointments per half hour."
"Trade, Transportation, and Utilities","Retail Trade","Motor Vehicle and Parts Dealers","Other Motor Vehicle Dealers","4412","false","Allowed to sell at showrooms by appointment only, no more than two appointments per half hour."
"Trade, Transportation, and Utilities","Retail Trade","Motor Vehicle and Parts Dealers","Automotive Parts, Accessories, and Tire Stores","4413","true","null"
"Trade, Transportation, and Utilities","Retail Trade","Furniture and Home Furnishing Stores","Furniture Stores","4421","false","Allowed to sell at showrooms by appointment only, no more than two appointments per half hour."
"Trade, Transportation, and Utilities","Retail Trade","Furniture and Home Furnishing Stores","Home Furnishings Stores","4422","false","Allowed to sell at showrooms by appointment only, no more than two appointments per half hour."
"Trade, Transportation, and Utilities","Retail Trade","Electronics and Appliance Stores","null","4431","true","With the exception of 443142, which is designated nonessential."
"Trade, Transportation, and Utilities","Retail Trade","Building Material, Garden Equipment, & Supplies Dealers","Building Material and Supplies Dealers","4441","true","null"
"Trade, Transportation, and Utilities","Retail Trade","Building Material, Garden Equipment, & Supplies Dealers","Lawn and Garden Equipment and Supplies Stores","4442","true","null"
"Trade, Transportation, and Utilities","Retail Trade","Food and Beverage Stores","Grocery Stores","4451","true","null"
"Trade, Transportation, and Utilities","Retail Trade","Food and Beverage Stores","Specialty Food Stores","4452","true","null"
"Trade, Transportation, and Utilities","Retail Trade","Food and Beverage Stores","Beer, Wine, and Liquor Stores","4453","true","null"
"Trade, Transportation, and Utilities","Retail Trade","Clothing and Clothing Accessories Stores","Clothing Stores","4481","false","Permitted to provide curbside pickup options to customers utilizing safe social distancing. Also allowed to sell in-store by appointment only, no more than two appointments per half hour."
"Trade, Transportation, and Utilities","Retail Trade","Clothing and Clothing Accessories Stores","Shoe Stores","4482","false","Permitted to provide curbside pickup options to customers utilizing safe social distancing. Also allowed to sell in-store by appointment only, no more than two appointments per half hour."
"Trade, Transportation, and Utilities","Retail Trade","Clothing and Clothing Accessories Stores","Jewelry, Luggage, and Leather Goods Stores","4483","false","Permitted to provide curbside pickup options to customers utilizing safe social distancing."
"Trade, Transportation, and Utilities","Retail Trade","Sporting Goods, Hobby, Book, and Music Stores","Sporting Goods, Hobby, and Musical Instrument Stores","4511","false","Allowed to sell at showrooms by appointment only, no more than two appointments per half hour."
"Trade, Transportation, and Utilities","Retail Trade","Sporting Goods, Hobby, Book, and Music Stores","Book, Periodical, and Music Stores","4512","false","Permitted to provide curbside pickup options to customers utilizing safe social distancing. Also allowed to sell in-store by appointment only, no more than two appointments per half hour."
"Trade, Transportation, and Utilities","Retail Trade","General Merchandise Stores","Department Stores","4522","false","Permitted to provide curbside pickup options to customers utilizing safe social distancing. Also allowed to sell in-store by appointment only, no more than two appointments per half hour."
"Trade, Transportation, and Utilities","Retail Trade","General Merchandise Stores","Other General Merchandise Stores","4523","false","Permitted to provide curbside pickup options to customers utilizing safe social distancing. Also allowed to sell in-store by appointment only, no more than two appointments per half hour."
"Trade, Transportation, and Utilities","Retail Trade","Miscellaneous Store Retailers","Florists","4531","false","Permitted to provide curbside pickup options to customers utilizing safe social distancing. Also allowed to sell in-store by appointment only, no more than two appointments per half hour."
"Trade, Transportation, and Utilities","Retail Trade","Miscellaneous Store Retailers","Office Supplies, Stationery, and Gift Stores","4532","false","Permitted to provide curbside pickup options to customers utilizing safe social distancing. Also allowed to sell in-store by appointment only, no more than two appointments per half hour."
"Trade, Transportation, and Utilities","Retail Trade","Miscellaneous Store Retailers","Used Merchandise Stores","4533","false","Permitted to provide curbside pickup options to customers utilizing safe social distancing. Also allowed to sell in-store by appointment only, no more than two appointments per half hour."
"Trade, Transportation, and Utilities","Retail Trade","Miscellaneous Store Retailers","Other Miscellaneous Store Retailers","4539","false","Permitted to provide curbside pickup options to customers utilizing safe social distancing. Also allowed to sell in-store by appointment only, no more than two appointments per half hour."
"Trade, Transportation, and Utilities","Retail Trade","Nonstore Retailers","Electronic Shopping and Mail-Order Houses","4541","true","null"
"Trade, Transportation, and Utilities","Retail Trade","Nonstore Retailers","Vending Machine Operators","4542","false","Permitted to operate to service customers who perform public health or public safety functions."
"Trade, Transportation, and Utilities","Retail Trade","Nonstore Retailers","Direct Selling Establishments","4543","true","null"
