"schoolyear","districtcode","district","schoolcode","organization","race","gender","grade","specialdemo","geography","subgroup","rowstatus","dropouts","students","pctdropouts"
"2015","0","State of Delaware","0","State of Delaware","Hispanic/Latino","All Students","9th Grade","All Students","All Students","Hispanic/Latino/9th Grade","REPORTED","71","1653","4.3"
"2015","0","State of Delaware","0","State of Delaware","Hispanic/Latino","All Students","10th Grade","All Students","All Students","Hispanic/Latino/10th Grade","REPORTED","47","1347","3.5"
"2015","0","State of Delaware","0","State of Delaware","Hispanic/Latino","All Students","11th Grade","All Students","All Students","Hispanic/Latino/11th Grade","REPORTED","20","1021","2.0"
"2015","0","State of Delaware","0","State of Delaware","Hispanic/Latino","All Students","Twelfth","All Students","All Students","Hispanic/Latino/Twelfth","REPORTED","20","965","2.1"
"2015","0","State of Delaware","0","State of Delaware","Hispanic/Latino","All Students","All Students","All Students","All Students","Hispanic/Latino","REPORTED","158","4986","3.2"
"2015","0","State of Delaware","0","State of Delaware","Hispanic/Latino","Female","9th Grade","Active EL Students","All Students","Hispanic/Latino/Female/9th Grade/Active EL Students","REPORTED","8","122","6.6"
"2015","0","State of Delaware","0","State of Delaware","Hispanic/Latino","Female","9th Grade","Low-Income","All Students","Hispanic/Latino/Female/9th Grade/Low-Income","REPORTED","6","307","2.0"
"2015","0","State of Delaware","0","State of Delaware","Hispanic/Latino","Female","9th Grade","Non-EL Students","All Students","Hispanic/Latino/Female/9th Grade/Non-EL Students","REPORTED","14","341","4.1"
"2015","0","State of Delaware","0","State of Delaware","Hispanic/Latino","Female","9th Grade","Non-Foster Care","All Students","Hispanic/Latino/Female/9th Grade/Non-Foster Care","REPORTED","22","786","2.8"
"2015","0","State of Delaware","0","State of Delaware","Hispanic/Latino","Female","9th Grade","Non-Homeless","All Students","Hispanic/Latino/Female/9th Grade/Non-Homeless","REPORTED","22","786","2.8"
"2015","0","State of Delaware","0","State of Delaware","Hispanic/Latino","Female","9th Grade","Non Low-Income","All Students","Hispanic/Latino/Female/9th Grade/Non Low-Income","REPORTED","16","479","3.3"
"2015","0","State of Delaware","0","State of Delaware","Hispanic/Latino","Female","9th Grade","Non-SWD","All Students","Hispanic/Latino/Female/9th Grade/Non-SWD","REPORTED","20","705","2.8"
"2015","0","State of Delaware","0","State of Delaware","Hispanic/Latino","Female","9th Grade","Students with Disabilities","All Students","Hispanic/Latino/Female/9th Grade/Students with Disabilities","REDACTED",,"81",
"2015","0","State of Delaware","0","State of Delaware","Hispanic/Latino","Female","10th Grade","Active EL Students","All Students","Hispanic/Latino/Female/10th Grade/Active EL Students","REPORTED","6","91","6.6"
"2015","0","State of Delaware","0","State of Delaware","Hispanic/Latino","Female","10th Grade","Low-Income","All Students","Hispanic/Latino/Female/10th Grade/Low-Income","REDACTED",,"235",
