"schoolyear","districtcode","district","schoolcode","organization","assessmentname","contentarea","race","gender","grade","specialdemo","geography","subgroup","rowstatus","tested","proficient","pctproficient","scalescoreavg"
"2019","0","State of Delaware","0","State of Delaware","Delaware System of Student Assessment (DeSSA)","SCI","Hispanic/Latino","All Students","5th Grade","All Students","All Students","Hispanic/Latino/5th Grade","REPORTED","2047","321","15.68","561.96"
"2019","0","State of Delaware","0","State of Delaware","Delaware System of Student Assessment (DeSSA)","SCI","Hispanic/Latino","All Students","8th Grade","All Students","All Students","Hispanic/Latino/8th Grade","REPORTED","1812","296","16.34","570.49"
"2019","0","State of Delaware","0","State of Delaware","Delaware System of Student Assessment (DeSSA)","SCI","Hispanic/Latino","All Students","9th Grade","All Students","All Students","Hispanic/Latino/9th Grade","REPORTED","377","117","31.03","584.31"
"2019","0","State of Delaware","0","State of Delaware","Delaware System of Student Assessment (DeSSA)","SCI","Hispanic/Latino","All Students","10th Grade","All Students","All Students","Hispanic/Latino/10th Grade","REPORTED","1200","449","37.42","590.38"
"2019","0","State of Delaware","0","State of Delaware","Delaware System of Student Assessment (DeSSA)","SCI","Hispanic/Latino","All Students","11th Grade","All Students","All Students","Hispanic/Latino/11th Grade","REPORTED","55","15","27.27","578.22"
"2019","0","State of Delaware","0","State of Delaware","Delaware System of Student Assessment (DeSSA)","SCI","Hispanic/Latino","All Students","12th Grade","All Students","All Students","Hispanic/Latino/12th Grade","REDACTED",,,,
"2019","0","State of Delaware","0","State of Delaware","Delaware System of Student Assessment (DeSSA)","SCI","Hispanic/Latino","All Students","All Students","All Students","All Students","Hispanic/Latino","REPORTED","5504","1200","21.80","572.69"
"2019","0","State of Delaware","0","State of Delaware","Delaware System of Student Assessment (DeSSA)","SCI","Hispanic/Latino","Female","5th Grade","Active EL Students","All Students","Hispanic/Latino/Female/5th Grade/Active EL Students","REPORTED","478","22","4.60","546.25"
"2019","0","State of Delaware","0","State of Delaware","Delaware System of Student Assessment (DeSSA)","SCI","Hispanic/Latino","Female","5th Grade","Homeless","All Students","Hispanic/Latino/Female/5th Grade/Homeless","REDACTED",,,,
"2019","0","State of Delaware","0","State of Delaware","Delaware System of Student Assessment (DeSSA)","SCI","Hispanic/Latino","Female","5th Grade","Low-Income","All Students","Hispanic/Latino/Female/5th Grade/Low-Income","REPORTED","455","53","11.65","555.44"
"2019","0","State of Delaware","0","State of Delaware","Delaware System of Student Assessment (DeSSA)","SCI","Hispanic/Latino","Female","5th Grade","Military Connected Youth","All Students","Hispanic/Latino/Female/5th Grade/Military Connected Youth","REPORTED","26","11","42.31","587.81"
"2019","0","State of Delaware","0","State of Delaware","Delaware System of Student Assessment (DeSSA)","SCI","Hispanic/Latino","Female","5th Grade","Non-EL Students","All Students","Hispanic/Latino/Female/5th Grade/Non-EL Students","REPORTED","526","140","26.62","578.84"
"2019","0","State of Delaware","0","State of Delaware","Delaware System of Student Assessment (DeSSA)","SCI","Hispanic/Latino","Female","5th Grade","Non-Foster Care","All Students","Hispanic/Latino/Female/5th Grade/Non-Foster Care","REPORTED","1004","162","16.14","563.33"
"2019","0","State of Delaware","0","State of Delaware","Delaware System of Student Assessment (DeSSA)","SCI","Hispanic/Latino","Female","5th Grade","Non-Homeless","All Students","Hispanic/Latino/Female/5th Grade/Non-Homeless","REPORTED","992","161","16.23","563.56"
"2019","0","State of Delaware","0","State of Delaware","Delaware System of Student Assessment (DeSSA)","SCI","Hispanic/Latino","Female","5th Grade","Non Low-Income","All Students","Hispanic/Latino/Female/5th Grade/Non Low-Income","REPORTED","549","109","19.85","569.86"
"2019","0","State of Delaware","0","State of Delaware","Delaware System of Student Assessment (DeSSA)","SCI","Hispanic/Latino","Female","5th Grade","Non-SWD","All Students","Hispanic/Latino/Female/5th Grade/Non-SWD","REPORTED","866","158","18.24","567.3"
"2019","0","State of Delaware","0","State of Delaware","Delaware System of Student Assessment (DeSSA)","SCI","Hispanic/Latino","Female","5th Grade","Students with Disabilities","All Students","Hispanic/Latino/Female/5th Grade/Students with Disabilities","REDACTED","138",,,
"2019","0","State of Delaware","0","State of Delaware","Delaware System of Student Assessment (DeSSA)","SCI","Hispanic/Latino","Female","8th Grade","Active EL Students","All Students","Hispanic/Latino/Female/8th Grade/Active EL Students","REDACTED","158",,,
"2019","0","State of Delaware","0","State of Delaware","Delaware System of Student Assessment (DeSSA)","SCI","Hispanic/Latino","Female","8th Grade","Homeless","All Students","Hispanic/Latino/Female/8th Grade/Homeless","REDACTED",,,,
"2019","0","State of Delaware","0","State of Delaware","Delaware System of Student Assessment (DeSSA)","SCI","Hispanic/Latino","Female","8th Grade","Low-Income","All Students","Hispanic/Latino/Female/8th Grade/Low-Income","REPORTED","341","38","11.14","567.47"
"2019","0","State of Delaware","0","State of Delaware","Delaware System of Student Assessment (DeSSA)","SCI","Hispanic/Latino","Female","8th Grade","Military Connected Youth","All Students","Hispanic/Latino/Female/8th Grade/Military Connected Youth","REDACTED","15",,,
"2019","0","State of Delaware","0","State of Delaware","Delaware System of Student Assessment (DeSSA)","SCI","Hispanic/Latino","Female","8th Grade","Non-EL Students","All Students","Hispanic/Latino/Female/8th Grade/Non-EL Students","REPORTED","727","130","17.88","575.26"
"2019","0","State of Delaware","0","State of Delaware","Delaware System of Student Assessment (DeSSA)","SCI","Hispanic/Latino","Female","8th Grade","Non-Foster Care","All Students","Hispanic/Latino/Female/8th Grade/Non-Foster Care","REPORTED","885","130","14.69","571.35"
"2019","0","State of Delaware","0","State of Delaware","Delaware System of Student Assessment (DeSSA)","SCI","Hispanic/Latino","Female","8th Grade","Non-Homeless","All Students","Hispanic/Latino/Female/8th Grade/Non-Homeless","REPORTED","873","129","14.78","571.42"
"2019","0","State of Delaware","0","State of Delaware","Delaware System of Student Assessment (DeSSA)","SCI","Hispanic/Latino","Female","8th Grade","Non Low-Income","All Students","Hispanic/Latino/Female/8th Grade/Non Low-Income","REPORTED","544","92","16.91","573.78"
