Company Name,SBFCertNum,Contact Name,Address 1,Address 2,City,State,Tel,Fax,WebSite,EMail,Wholesale,Retail,Manufacturing,Service,Construction,Architecture and Engineering Services,Small Business,NAICSCode1,NAICSCode2,NAICSCode3,NAICSCode4,NAICSCode5,NAICSCode6,NAICSCode7,NAICSCode8,NAICSCode9,NAICSCode10,NAICSCode11,NAICSCode12,NAICSCode13,NAICSCode14,NAICSCode15,NAICSCode16,NAICSCode17,NAICSCode18,NAICSCode19,NAICSCode20,NAICSCode21,NAICSCode22,NAICSCode23,NAICSCode24,NAICSCode25,NAICSCode26,NAICSCode27,NAICSCode28,NAICSCode29,NAICSCode30,NAICSCode31,NAICSCode32,NAICSCode33,NAICSCode34,NAICSCode35,NAICSCode36,NAICSCode37,NAICSCode38,Geocoded Location
"1st State Staffing Solutions, LLC",SBF20121430,Gary Carter,1050 Industrial Drive,,Middletown,DE,3022859044,,http://www.1ststatestaffingsolutions.com,support@1stStateStaffingSolutions.com,,,,YES,,,YES,561320,561311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1050 Industrial Drive
Middletown, DE 19709
(39.435521, -75.721501)"
"39 Degrees North Architects, LLC",SBF20071394,Mary McClenaghan,123 N. 3rd Street,2nd Floor,Philadelphia,PA,2154403939,,http://www.39northarchitects.com,mary@39northarchitects.com,,,,,,YES,YES,541310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"123 N. 3rd Street
Philadelphia, PA 19106
(39.952685, -75.145123)"
"3rd Wave Brewing Co., LLC",SBF22081596,Lori Clough,501 N. Bi-State Blvd.,,Delmar,DE,3029070423,,http://www.3rdWaveBrewingCo.com,BrewMaster@3rdWaveBrewingCo.com,YES,YES,YES,,,,YES,312120,424810,722410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"501 N. Bi-State Blvd.
Delmar, DE 18840
(38.460769, -75.57414)"
7 Jewel Logistics LLC,SBF22061588,Kevin McAllister,2 North Sherman Drive,,Bear,DE,4093509759,,,,,,,YES,,,YES,541614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2 North Sherman Drive
Bear, DE 19701
(39.634893, -75.665697)"
"ABBI PRINT, LLC",SBF18083033,Abdoulaye Coumbassa,321 S. 60th Street,,Philadelphia,PA,2154718801,2154718806,http://www.abbiprint.com,acoumbassa@abbiprint.com,,,,YES,,,YES,323111,323113,323117,313310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"321 S. 60th Street
Philadelphia, PA 19143
(39.955834, -75.242041)"
"Absolute Solutions and Associates, LLC",DE20033386,Kevin Lisenby,7603 Georgia Avenue NW,Suite 402,Washington,DC,2026309469,8007240163,http://www.absolute-saa.com,info@absolute-saa.com,YES,,,,,,YES,423990,423730,423610,423850,423440,423720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"7603 Georgia Avenue NW
Washington, DC 20012
(38.981911, -77.026536)"
"Absolute Staffing & Consulting Solutions, LLC",SBF20061376,Tawanda Huff,"532 Baltimore Boulevard, Suite 305",,Westminster,MD,4108489480,4108489486,http://www.ascs1.com,huff.t@ascs1.com,,,,YES,,,YES,561320,524291,541990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"532 Baltimore Boulevard, Suite 305
Westminster, MD 21157
(39.567072, -76.978098)"
"Absolute Supply and Services, LLC",DE22054074,Paula Tilghman,4592 Beech Road,,Temple Hills,MD,3014564927,8885599693,http://www.absolute-sas.com,ptilghman@absolute-sas.com,YES,,,,,,,423730,423990,423720,238210,238220,423610,423850,425120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4592 Beech Road
Temple Hills, MD 20748
(38.8243, -76.939371)"
"Accent Consulting Group of Delaware, LLC",SBF19013093,Milton Booth,21691 D Street,,Rehoboth Beach,DE,3022125051,,,MiltonBooth21691@yahoo.com,,,,YES,,,YES,531320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"21691 D Street
Rehoboth Beach, DE 199717413
(38.690376, -75.12677)"
"Access Dental, LLC",SBF18061188,Karen Rose,446 S. New Street,,Dover,DE,3026743303,3026743304,http://www.accessdentalllc.com,smile@accessdentalllc.com,,,,YES,,,YES,621210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"446 S. New Street
Dover, DE 19904
(39.154111, -75.526946)"
