"permitnumber","projectname","owneroperator","project_location","datereceived","projecttype","delegateagency","permitstatuscode","latitude","longitude","estimatedarea","constructcounty","geocoded_location"
"2588","Peninsula at Long Neck, Phase 2 Parcel J (Sailside)","REDUS PENINSULA MILLSBORO LLC","East end of Road 299 (Bay Farm Road)","2007-08-23T00:00:00.000","Residential","Sussex Conservation District","Active","38.606500","-75.164667","13.60",,"(38.6065, -75.164667)"
"6592","Egret Shores","Stafford Street Capital, LLC","Substation Road","2021-12-07T09:24:00.000","Residential","Sussex Conservation District","Active","38.532541","-75.128062","49.31","Sussex","(38.532541, -75.128062)"
"2385","Dagsboro-Frankford Sanitary Sewer Dist. Delaware Ave. Ext.","Sussex County, Delaware","Delaware Avenue, South of Mill Street","2007-03-19T00:00:00.000","County","Sussex Conservation District","Closed","38.516667","-75.233333","0.20","Sussex","(38.516667, -75.233333)"
"4454","GORDON HEIGHT SLOT 35 &36 AND PARTS OF 26 &27","D SHINNING EQUITABLE OWNER","HAINES AVENUE AND GOV PRINTZ BLVD","2013-11-26T00:00:00.000","Commercial","New Castle County Department of Land Use","Active","39.758333","-75.495833","0.80",,"(39.758333, -75.495833)"
"6706","Mountaire Farms Parking Lot C","Mountaire Farms of Delaware, Inc","29005 John J. Williams Highway","2022-04-19T08:06:00.000","Industrial","Sussex Conservation District","Active","38.596527","-75.260511","3.31","Sussex","(38.596527, -75.260511)"
"1290","Hockessin Animal Hospital","Damme, Bruce","643 Yorklyn Road","2004-08-19T00:00:00.000","Commercial","New Castle County Department of Land Use","Closed","39.789722","-75.693889","0.74","New Castle","(39.789722, -75.693889)"
"5327","PARCEL 14 PENCADER CORPORATE CENTER","BIZARRE, LLC.","PLEASANT VALLEY AND PENCADER DRIVE","2016-11-01T00:00:00.000","Industrial","New Castle County Department of Land Use","Active","39.612000","-75.769600","3.30",,"(39.612, -75.7696)"
"6684","Exceptional Care for Children","Exceptional Care for Children","11 Independence Way","2022-03-25T09:53:00.000","Commercial","New Castle County Department of Land Use","Active","39.647000","-75.765000","3.10","New Castle","(39.647, -75.765)"
"5020","JAMISON POULTRY PLAN","JAMISON, RICHARD","4640 WOOODPECKER ROAD","2015-11-13T00:00:00.000","Ag Structures","Sussex Conservation District","Closed","38.631100","-75.664200","5.00",,"(38.6311, -75.6642)"
"6079","Pilottown Road Sewer & Water Improvements","Lewes BPW","Pilottown Road","2019-10-29T13:07:00.000","Municipal","Sussex Conservation District","Active","38.780224","-75.151083","4.07","Sussex","(38.780224, -75.151083)"
"1981","Hertrich Capitol Mazda","Regional Builders Inc","1127 DuPont Highway","2006-04-20T00:00:00.000","Commercial","Kent Conservation District","Closed","39.242222","-75.868611","7.55","Kent","(39.242222, -75.868611)"
"0880","Dupont Edgemoor Closure Design for four surface impoundments","DuPont Stine Haskell Research Center","Edgemoor Plant","2003-10-01T00:00:00.000","Industrial","New Castle County Department of Land Use","Closed","39.750000","-75.500000","10.00","New Castle","(39.75, -75.5)"
"1021","Lot M - Maintenance Shop","Christina River Stevedores, LLC","Golding Avenue and Pigeon Point Road","2004-01-12T00:00:00.000","Industrial","New Castle County Department of Land Use","Closed","39.717222","-75.538889","2.50","New Castle","(39.717222, -75.538889)"
"2646","Westown Town Center - Phase 2","Westown Town Center","675 Middletown - Warwick Road","2007-10-25T00:00:00.000","Commercial","Middletown (Town Of)","Closed","39.445833","-75.737500","10.80","New Castle","(39.445833, -75.7375)"
"3965","PETTYJOHN WOODS SPRAY IRRIGATION PROJECT","TOWN OF GEORGETOWN","ADJACENT TO THE TOWN OF GEORGETOWN'S WWTP OFF OF CEDAR LANE","2012-04-30T00:00:00.000","Municipal","Sussex Conservation District","Closed","38.665039","-75.331106","1.00","Sussex","(38.665039, -75.331106)"
"4040","MCROBIE FARM","MCROBIE, DAVID AND HARRY","DELMAR ROAD","2012-08-10T00:00:00.000","Other","Sussex Conservation District","Closed","38.466700","-75.618900","6.50","Sussex","(38.4667, -75.6189)"
"2164","Brackenville Plaza (Happy Harrys)","Diamond State Management","Brackentville Road & Lancaster Pike (rt 48)","2006-09-19T00:00:00.000","Commercial","New Castle County Department of Land Use","Closed","39.780556","-75.680000","2.00","New Castle","(39.780556, -75.68)"
"5523","LITTLE CREEK BOAT RAMP","DIVISION OF FISH AND WILDLIFE","BAYSIDE DRIVE SR 9 NE OF SOUTH LITTLE CREEK ROAD INTERSECTION","2017-07-10T00:00:00.000","State","DE DNREC - Watershed Stewardship","Closed","39.160200","-75.444800","1.90","Kent","(39.1602, -75.4448)"
"4313","MONTERO POULTRY PLAN","EDWIN, MONTERO","14185 OAK BRANCH ROAD","2013-07-08T00:00:00.000","Other","Sussex Conservation District","Closed","38.478219","-75.502338","7.40","Sussex","(38.478219, -75.502338)"
"0662","Boardwalk Condominiums","Surf Avenue LLC","Philadelphia and Laurel Avenue and Boardwalk","2003-04-21T00:00:00.000","Residential","Sussex Conservation District","Closed","38.712500","-75.080556","0.30","Sussex","(38.7125, -75.080556)"
"3519","BDP INVESTMENTS LLC","BDP Investments LLC","GEORGETOWN","2010-08-27T00:00:00.000","Commercial","Sussex Conservation District","Closed","38.707500","-75.337500","5.85","Sussex","(38.7075, -75.3375)"
"1774","Hardy Self Storage","Hardy, Paul","US Route 113 (e/s)","2005-10-11T00:00:00.000","Commercial","Sussex Conservation District","Active","38.468611","-75.233889","2.27",,"(38.468611, -75.233889)"
"6503","Hardy Self Storage of Bridgeville","BB & Pops LLC","Corner of Route 404 & Uncle Willie's Road","2021-07-19T11:13:00.000","Commercial","Sussex Conservation District","Active","38.720799","-75.587184","3.90","Sussex","(38.720799, -75.587184)"
"1582","Camden Business Centerff, Phase II","E & D Holding, LLC","Extension of existing business park off of Brenda Lane","2005-04-22T00:00:00.000","Industrial","Kent Conservation District","Closed","39.110000","-75.563333","5.50","Kent","(39.11, -75.563333)"
"2954","Kalmar Nyckel and Challeng Program (DE-0399)","City of Wilmington","1112 & 1124 East 7th Street","2008-09-04T00:00:00.000","Other","DE DNREC - Watershed Stewardship","Closed","39.737559","-75.535657","1.36","New Castle","(39.737559, -75.535657)"
"4715","2014 SYSTEM WIDE RELIABILITY PROJECT","EASTERN SHORE NATURAL GAS COMPANY","2.5 + MILES OF GAS PIPELINE INSTALLATION NEAR BEAR","2014-10-20T00:00:00.000","Utility","DE DNREC - Watershed Stewardship","Closed","39.589900","-75.716600","10.70","New Castle","(39.5899, -75.7166)"
"2556","Central Delaware Business Park, Lot 6A, Sentinel Self Storage, Inc.","Sentinel Self Storage, Inc","Holly Oak Lane","2007-07-25T00:00:00.000","Commercial","Kent Conservation District","Closed","39.219722","-75.580278","2.60",,"(39.219722, -75.580278)"
"3353","Baltimore AirCoil","Baltimore AirCoil Company Inc","1162 Holly Hill Road","2010-01-27T00:00:00.000","Industrial","Kent Conservation District","Closed","38.921667","-75.469722","4.66",,"(38.921667, -75.469722)"
"5220","BR 3- 299 OVER MEADOW BRANCH","DELAWARE DEPARTMENT OF TRANSPORATION","BI STATE BLVD T201507301","2016-06-30T00:00:00.000","DelDOT","Delaware (State of) Department of Transportation - Highway Operations Field Serv","Closed","38.476944","-75.571944","0.60","Sussex","(38.476944, -75.571944)"
"3212","Phase III Water Main Improvements","Town of Laurel","5th, 6th, Willow and Spruce Streets","2009-06-24T00:00:00.000","Municipal","Sussex Conservation District","Closed","38.554167","-75.566667","1.53","Sussex","(38.554167, -75.566667)"
"1684","State Line Auto & Trailer Sales","Parrott Jr, James H","2500 South of Intersection of Route 13 and SCR 452","2005-07-27T00:00:00.000","Commercial","Sussex Conservation District","Closed","38.784167","-75.928889","1.90","Sussex","(38.784167, -75.928889)"
"5237","Black Bird Farms","Black Bird Farms, LLC","Blackbird Station Road","2016-07-18T00:00:00.000","Ag Structures","New Castle Conservation District","Closed","39.367533","-75.687740","40.00",,"(39.367533, -75.68774)"
"0464","St. Jones River Greenway, Isaac Branch Seg., Phase I","Kent County Levy Court","Dover","2002-10-17T00:00:00.000","County","Kent Conservation District","Closed","39.146944","-75.509167","3.10","Kent","(39.146944, -75.509167)"
"5450","STAR CAMPUS EARTHEN BERM","1743 Holdings, LLC.","STAR CAMPUS UNIVIERSITY OF DELAWARE","2017-03-27T00:00:00.000","Other","DE DNREC - Watershed Stewardship","Active","39.665278","-75.761944","15.10",,"(39.665278, -75.761944)"
"2261","Village Brooke","Samanda Properties LLC","SW of US 13 and SCR 468","2006-11-30T00:00:00.000","Residential","Sussex Conservation District","Active","38.573611","-75.571389","76.00",,"(38.573611, -75.571389)"
"1401","Delaware Veterans Post #1 Expansion","Delaware Veterans Home, Inc","2535 Veterans Drive","2004-12-02T00:00:00.000","Commercial","New Castle County Department of Land Use","Closed","39.745833","-75.510556","0.15","New Castle","(39.745833, -75.510556)"
"6065","T201904003 Task 3 SR 1 and SR 5 Int. Imp.","Delaware Department of Transportation","Coastal Highway/Union Street Extended","2019-09-06T09:14:00.000","DelDOT","Delaware (State of) Department of Transportation - Highway Operations Field Serv","Closed","38.822000","-75.308000","2.40","Sussex","(38.822, -75.308)"
"5891","DEEP CREEK TAX DITCH MAINTENANCE DIPOUT","DEEP CREEK TAX DITCH","SEASHORE HIGHWAY","2018-11-13T00:00:00.000","Tax Ditch/Maintenance","DE DNREC - Watershed Stewardship","Active","38.685067","-75.480360","27.60",,"(38.685067, -75.48036)"
"3997","BR1-330 over Cool Run","Delaware Department of Transportation","Marrows Rd - T200707104","2012-06-04T00:00:00.000","DelDOT","Delaware (State of) Department of Transportation - Highway Operations Field Serv","Closed","39.670278","-75.727778","0.50","New Castle","(39.670278, -75.727778)"
