"schoolyear","districtcode","district","schoolcode","organization","race","gender","grade","specialdemo","geography","subgroup","rowstatus","students","eoyenrollment","pctofeoyenrollment","fallenrollment"
"2015","0","State of Delaware","0","State of Delaware","White","All Students","9th Grade","All Students","All Students","White/9th Grade","REPORTED","5631","141336","3.98","134932"
"2015","0","State of Delaware","0","State of Delaware","White","All Students","Twelfth","All Students","All Students","White/Twelfth","REPORTED","4828","141336","3.42","134932"
"2015","0","State of Delaware","0","State of Delaware","White","All Students","All Students","All Students","All Students","White","REPORTED","65185","141336","46.12","134932"
"2015","0","State of Delaware","0","State of Delaware","White","Female","4th Grade","Homeless","All Students","White/Female/4th Grade/Homeless","REDACTED","37","141336","0.03",
"2015","0","State of Delaware","0","State of Delaware","White","Female","4th Grade","Low-Income","All Students","White/Female/4th Grade/Low-Income","REPORTED","600","141336","0.42","134932"
"2015","0","State of Delaware","0","State of Delaware","All Students","All Students","8th Grade","Homeless","All Students","8th Grade/Homeless","REDACTED","242","141336","0.17",
"2015","0","State of Delaware","0","State of Delaware","White","Male","Twelfth","Non-SWD","All Students","White/Male/Twelfth/Non-SWD","REPORTED","2053","141336","1.45","134932"
"2015","0","State of Delaware","0","State of Delaware","All Students","All Students","1st Grade","Homeless","All Students","1st Grade/Homeless","REDACTED","370","141336","0.26",
"2015","0","State of Delaware","0","State of Delaware","All Students","All Students","7th Grade","Homeless","All Students","7th Grade/Homeless","REDACTED","267","141336","0.19",
"2015","0","State of Delaware","0","State of Delaware","All Students","All Students","All Students","Homeless","All Students","Homeless","REDACTED","3986","141336","2.82",
"2015","86","Odyssey Charter School","0","Odyssey Charter School","All Students","Male","All Students","All Students","All Students","Male","REPORTED","464","949","48.89","933"
"2015","34","Colonial School District","418","Pleasantville Elementary School","White","Male","5th Grade","Homeless","All Students","White/Male/5th Grade/Homeless","REDACTED",,"545",,
"2015","0","State of Delaware","0","State of Delaware","Hispanic/Latino","All Students","1st Grade","All Students","All Students","Hispanic/Latino/1st Grade","REPORTED","2133","141336","1.51","134932"
"2015","0","State of Delaware","0","State of Delaware","Hispanic/Latino","All Students","2nd Grade","All Students","All Students","Hispanic/Latino/2nd Grade","REPORTED","1898","141336","1.34","134932"
"2015","0","State of Delaware","0","State of Delaware","Hispanic/Latino","All Students","3rd Grade","All Students","All Students","Hispanic/Latino/3rd Grade","REPORTED","1883","141336","1.33","134932"
"2015","0","State of Delaware","0","State of Delaware","Hispanic/Latino","All Students","4th Grade","All Students","All Students","Hispanic/Latino/4th Grade","REPORTED","1837","141336","1.30","134932"
"2015","0","State of Delaware","0","State of Delaware","Hispanic/Latino","All Students","5th Grade","All Students","All Students","Hispanic/Latino/5th Grade","REPORTED","1653","141336","1.17","134932"
"2015","0","State of Delaware","0","State of Delaware","Hispanic/Latino","All Students","6th Grade","All Students","All Students","Hispanic/Latino/6th Grade","REPORTED","1733","141336","1.23","134932"
"2015","0","State of Delaware","0","State of Delaware","Hispanic/Latino","All Students","7th Grade","All Students","All Students","Hispanic/Latino/7th Grade","REPORTED","1597","141336","1.13","134932"
"2015","0","State of Delaware","0","State of Delaware","Hispanic/Latino","All Students","8th Grade","All Students","All Students","Hispanic/Latino/8th Grade","REPORTED","1394","141336","0.99","134932"
"2015","0","State of Delaware","0","State of Delaware","Hispanic/Latino","All Students","9th Grade","All Students","All Students","Hispanic/Latino/9th Grade","REPORTED","1822","141336","1.29","134932"
"2015","0","State of Delaware","0","State of Delaware","Hispanic/Latino","All Students","10th Grade","All Students","All Students","Hispanic/Latino/10th Grade","REPORTED","1432","141336","1.01","134932"
"2015","0","State of Delaware","0","State of Delaware","Hispanic/Latino","All Students","11th Grade","All Students","All Students","Hispanic/Latino/11th Grade","REPORTED","1023","141336","0.72","134932"
"2015","0","State of Delaware","0","State of Delaware","Hispanic/Latino","All Students","Twelfth","All Students","All Students","Hispanic/Latino/Twelfth","REPORTED","1065","141336","0.75","134932"
"2015","0","State of Delaware","0","State of Delaware","Hispanic/Latino","All Students","All Students","All Students","All Students","Hispanic/Latino","REPORTED","21902","141336","15.50","134932"
"2015","0","State of Delaware","0","State of Delaware","Hispanic/Latino","All Students","Kindergarten","All Students","All Students","Hispanic/Latino/Kindergarten","REPORTED","2010","141336","1.42","134932"
"2015","0","State of Delaware","0","State of Delaware","Hispanic/Latino","Female","1st Grade","Active EL Students","All Students","Hispanic/Latino/Female/1st Grade/Active EL Students","REPORTED","694","141336","0.49","134932"
"2015","0","State of Delaware","0","State of Delaware","Hispanic/Latino","Female","1st Grade","Foster Care","All Students","Hispanic/Latino/Female/1st Grade/Foster Care","REDACTED",,"141336",,
