"fiscal_year","fiscal_period","department","division","vendor","category","fund_type","check_number","check_date","amount"
"2017","2","OTHER ELECTIVE OFFICES","REFUNDS & GRANTS","(AWR ADVISORS LLC)","CORP. FRANCHISE TAX","SPECIAL","1177293","2016-08-22T00:00:00.000","300"
"2017","1","DEPT OF EDUCATION","SEAFORD SCHOOL DISTRICT","1 WORLD GLOBES MAPS LLC","INSTRUCTIONAL SUPPLIES","GENERAL","1158292","2016-07-07T00:00:00.000","478"
"2017","1","DEPT OF EDUCATION","SEAFORD SCHOOL DISTRICT","1 WORLD GLOBES MAPS LLC","INSTRUCTIONAL SUPPLIES","GENERAL","1158292","2016-07-07T00:00:00.000","55.95"
"2017","1","DEPT OF EDUCATION","SEAFORD SCHOOL DISTRICT","1 WORLD GLOBES MAPS LLC","INSTRUCTIONAL SUPPLIES","GENERAL","1158292","2016-07-07T00:00:00.000","144"
"2017","12","JUDICIAL","SUPERIOR COURT","10 DEGREES MEDIA","REVENUE REFUND","SPECIAL","1306516","2017-06-20T00:00:00.000","50"
"2017","1","DEPT OF HEALTH & SOCIAL SVS","COMMUNITY SERVICES","1100 NORMAN ESKRIDGE HIGHWAY LLC","CLIENT ASSISTANCE","GENERAL","1167738","2016-07-27T00:00:00.000","1288"
"2017","8","DEPT OF EDUCATION","CAPE HENLOPEN SCHOOL DISTRICT","11400 INC","OTHER PROFESSIONAL SERVICE","CAPITAL","1252941","2017-02-13T00:00:00.000","30000"
"2017","8","DEPT OF EDUCATION","LAUREL SCHOOL DISTRICT","11400 INC","CONSTRUCTION/BUILDING SERVICES","CAPITAL","1254742","2017-02-16T00:00:00.000","95000"
"2017","8","DEPT OF EDUCATION","CAPE HENLOPEN SCHOOL DISTRICT","11400 INC","OTHER PROFESSIONAL SERVICE","CAPITAL","1252941","2017-02-13T00:00:00.000","58722"
"2017","11","DEPT OF EDUCATION","CAPE HENLOPEN SCHOOL DISTRICT","11400 INC","OTHER PROFESSIONAL SERVICE","CAPITAL","1292060","2017-05-23T00:00:00.000","114413.4"
"2017","10","DEPT OF EDUCATION","LAUREL SCHOOL DISTRICT","11400 INC","CONSTRUCTION/BUILDING SERVICES","CAPITAL","1280146","2017-04-24T00:00:00.000","92720"
"2017","9","DEPT OF EDUCATION","LAUREL SCHOOL DISTRICT","11400 INC","CONSTRUCTION/BUILDING SERVICES","CAPITAL","1265083","2017-03-14T00:00:00.000","216647.5"
"2017","5","DEPT OF EDUCATION","CAPE HENLOPEN SCHOOL DISTRICT","11400 INC","OTHER PROFESSIONAL SERVICE","CAPITAL","1217073","2016-11-17T00:00:00.000","14850"
"2017","3","DEPT OF EDUCATION","INDIAN RIVER SCHOOL DISTRICT","11400 INC","BUILDING IMPROVEMENT","SPECIAL","1185778","2016-09-13T00:00:00.000","9025"
"2017","3","DEPT OF EDUCATION","CAPE HENLOPEN SCHOOL DISTRICT","11400 INC","OTHER PROFESSIONAL SERVICE","CAPITAL","1193007","2016-09-27T00:00:00.000","31473"
"2017","7","DEPT OF EDUCATION","LAUREL SCHOOL DISTRICT","11400 INC","CONSTRUCTION/BUILDING SERVICES","CAPITAL","1239066","2017-01-06T00:00:00.000","63317.5"
"2017","2","DEPT OF EDUCATION","INDIAN RIVER SCHOOL DISTRICT","11400 INC","BUILDING IMPROVEMENT","SPECIAL","1177350","2016-08-22T00:00:00.000","72090"
"2017","1","DEPT OF EDUCATION","INDIAN RIVER SCHOOL DISTRICT","11400 INC","BUILDING IMPROVEMENT","SPECIAL","1168303","2016-07-28T00:00:00.000","19475"
"2017","9","DEPT OF NATRL RES AND ENV CONT","ENERGY AND CLIMATE","1201 NORTH MARKET STREET LLC","ENERGY SAVINGS PROGRAM","SPECIAL","650932","2017-03-17T00:00:00.000","295300"
"2017","10","OTHER ELECTIVE OFFICES","REFUNDS & GRANTS","1212 CORPORATION INC","GRANTS IN AID","GENERAL","1275364","2017-04-07T00:00:00.000","10000"
"2017","6","OTHER ELECTIVE OFFICES","REFUNDS & GRANTS","1212 CORPORATION INC","GRANTS IN AID","GENERAL","1232271","2016-12-16T00:00:00.000","10000"
"2017","5","OTHER ELECTIVE OFFICES","REFUNDS & GRANTS","1212 CORPORATION INC","GRANTS IN AID","GENERAL","1223289","2016-11-23T00:00:00.000","10000"
"2017","5","OTHER ELECTIVE OFFICES","REFUNDS & GRANTS","1212 CORPORATION INC","GRANTS IN AID","GENERAL","1223097","2016-11-23T00:00:00.000","10000"
"2017","6","LEGAL","PUBLIC DEFENDER","13 THE CIRCLE LLC","BUILDINGS - OFFICE SPACE","GENERAL","1225247","2016-12-01T00:00:00.000","9178.15"
"2017","2","LEGAL","PUBLIC DEFENDER","13 THE CIRCLE LLC","BUILDINGS - OFFICE SPACE","GENERAL","1179726","2016-08-29T00:00:00.000","9178.15"
