"company_name","osdcertnum","contact_name","address_1","address_2","city","state","zip_code","tel","fax","website","email","building_trade","consultant","general_services","license_professional","manufacture","supplier","highway_construction","other_services","deldot","md_dot","nmsdc","paucp","wbenc","pamwb","wilmcity","njmwb","sam","mbe","wbe","_8_a","foreign_state","vobe","sdvobe","iwdbe","african","asian","subasian","hispanic","nativeamer","white","other","woman","disabled","veteran","naicscode1","naicscode2","naicscode3","naicscode4","naicscode5","naicscode6","naicscode7","naicscode8","naicscode9","naicscode10","naicscode11","naicscode12","naicscode13","naicscode14","naicscode15","naicscode16","naicscode17","naicscode18","naicscode19","naicscode20","naicscode21","naicscode22","naicscode23","naicscode24","naicscode25","naicscode26","naicscode27","naicscode28","naicscode29","naicscode30","naicscode31","certified"
"1st State Staffing Solutions, LLC","DE20123683","Vanessa Carter","1050 Industrial Drive",,"Middletown","DE","19709","3022859044",,"www.1ststatestaffingsolutions.com","support@1stStateStaffingSolutions.com",,,,,,,,"YES",,,,,,,,,,"YES",,,,,,,"YES",,,,,,,,,,"561320","561311","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Y"
"22nd Century Technologies, Inc.","DE20043483","Satvinder Singh","220 Davidson Avenue","Suite 118","Somerset","NJ","08873","8889987284","5014213750","www.tscti.com","govt@tscti.com",,"YES",,,,,,,,,,,,,,"YES",,"YES",,,,,,,,,"YES",,,,,,,,"541511","541513","541519","518210","541512","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Y"
"39 Degrees North Architects, LLC","DE20073589","Mary McClenaghan","123 N. 3rd Street","2nd Floor","Philadelphia","PA","19106","2154403939",,"www.39northarchitects.com","mary@39northarchitects.com",,,,"YES",,,,,,,,,"YES",,,,,,"YES",,,,,,,,,,,,,"YES",,,"541310","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Y"
"3D Building Supplies LLC","DE19103299","Laura Prizzi","402 King Farm Boulevard","Ste 125-232","Rockville","MD","20850","3018025088","3018693564","www.3Dbuildingsupplies.com","laura@3dbuildingsupplies.com",,,,,,"YES",,,,,,,,,,,,,"YES",,,,,,,,,,,"YES",,"YES",,,"425120","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Y"
"3rd Wave Brewing Co., LLC","DE22084143","Susan Vickers","501 N. Bi-State Blvd.",,"Delmar","DE","18840","3029070423",,"www.3rdWaveBrewingCo.com","BrewMaster@3rdWaveBrewingCo.com",,,,,"YES","YES",,,,,,,,,,,,,"YES",,,,,,,,,,,"YES",,"YES",,,"312120","424810","722410","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Y"
"4 Consulting, Inc.","DE21093877","Ruchi Anand","1050 W. Campbell Road","Suite 100","Richardson","TX","75080","2146988630","2146988630","www.fourci.com","ruchi@4ci-usa.com",,"YES",,,,,,,,,"YES",,"YES",,,,,"YES","YES",,,,,,,,"YES",,,,,"YES",,,"541511","541512","561320","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Y"
"7 Jewel Logistics LLC","DE22064125","Kevin McAllister","2 North Sherman Drive",,"Bear","DE","19701","4093509759",,,,,,,,,,,"YES",,,,,,,,,,"YES",,,,,,,"YES",,,,,,,,"YES",,"541614","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Y"
"84 Lumber Company","DE20123681","Margaret Magerko","1019 Route 519",,"Eight Four","PA","15330","7242288820","8773332291","www.84lumber.com","Amy.Criss@84lumber.biz","YES",,,,,"YES",,,,,,,"YES",,,,,,"YES",,,,,,,,,,,"YES",,"YES",,,"444110","444190","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Y"
"Abator Information Services, Inc.","DE20043481","Joanne Peterson","Abator","615 South Avenue","Pittsburgh","PA","15221","4122715922","4122715833","www.abator.com","joanne@abator.com",,"YES",,,,,,,,,,"YES",,,,,,,"YES",,,,,,,,,,,"YES",,"YES",,,"541611","541511","541512","518210","541618","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Y"
"ABBI PRINT, LLC","DE18083032","Abdoulaye Coumbassa","321 S. 60th Street",,"Philadelphia","PA","19143","2154718801","2154718806","www.abbiprint.com","acoumbassa@abbiprint.com",,,"YES",,,,,"YES",,,,"YES",,,,,,"YES",,,,,,,"YES",,,,,,,,,,"323111","323113","323117","313310","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Y"
