"the_geom","objectid_1","objectid","ftype","name","pic_url","thumb_url","sh_descr","descr_1","descr_2","location","season","vendor","website","lat","long"
"POINT (-75.249647999703 38.720920999714)","139","137","U-Pick","Lavender Fields at Warrington Manor","https://delawaregrown.com/wp-content/uploads/sites/160/2019/04/Placeholder-DG-1-of-1.jpg","https://delawaregrown.com/wp-content/uploads/sites/160/2019/04/Placeholder-DG-thumbnail-1-of-1.jpg",,,,"18869 Cool Springs Road, Milton",,"Learn more: 302-684-1514","http://lavenderfieldsde.com/","38.720921","-75.249648"
"POINT (-75.571360000403 39.120433000143)","122","120","U-Pick","Fifer Orchards","https://delawaregrown.com/wp-content/uploads/sites/160/2020/04/Delaware-Grown-Farmer-Markets-Stands-Large-68-of-585.jpg","https://delawaregrown.com/wp-content/uploads/sites/160/2020/04/Delaware-Grown-Farmer-Markets-Stands-Thumbnail-68-of-585.jpg","U-Pick Blueberries, Strawberries, Peaches, Apples, and Pumpkins","Our Farm and Country Store is located just west of Dover, Delaware and provides a unique farm market shopping experience.  Our staff is committed to high quality fruits and vegetables and remarkable customer service.","Check website for availability","1919 Allabands Mill Rd, Camden-Wyoming","Open April - December",,"http://www.fiferorchards.com","39.120433","-75.57136"
"POINT (-75.574237999554 38.460824999654)","154","180","Breweries","3rd Wave Brewing Co.","https://delawaregrown.com/wp-content/uploads/sites/160/2020/04/Delaware-Grown-Breweries-Medium-7-of-16.jpg","https://delawaregrown.com/wp-content/uploads/sites/160/2020/04/Delaware-Grown-Breweries-Thumbnail-7-of-16.jpg",,"Hours: 3-7 pm Monday; 3-9 pm Tuesday through Thursday; Noon to 10 pm Friday and Saturday; Noon to 6 pm Sunday",,"501 N. Bi-State Blvd., Delmar",,"Learn more: 302-907-0423","http://www.3rdwavebrewingco.com/","38.460825","-75.574238"
"POINT (-75.764299000096 39.612094000058)","161","187","Breweries","Midnight Oil Brewing Co.","https://delawaregrown.com/wp-content/uploads/sites/160/2020/04/Delaware-Grown-Breweries-Medium-18-of-12.jpg","https://delawaregrown.com/wp-content/uploads/sites/160/2020/04/Delaware-Grown-Breweries-Thumbnail-18-of-12.jpg",,,,"674 Pencader Drive, Newark",,"Learn more: 302-286-7641","https://www.facebook.com/midnightoilbrewingcompany/","39.612094","-75.764299"
"POINT (-75.526170000304 39.157531999725)","12","5","Farmers Markets","Capital City Farmers' Market","https://delawaregrown.com/wp-content/uploads/sites/160/2019/04/Capital-City-FM_asparagus-1.jpg","https://delawaregrown.com/wp-content/uploads/sites/160/2019/04/Capital-City-FM_asparagus-tb-1.jpg","Closed until furhter notice",,,"Downtown Dover",,"Vendor Information: 302-678-2940 or tina@downtowndoverpartnership.com","https://www.facebook.com/capitalcityfarmersmarket/","39.157532","-75.52617"
"POINT (-75.567420000346 38.97713000033)","108","151","Christmas Tree Growers","Poynters Tree Farm & Christmas Shop","https://delawaregrown.com/wp-content/uploads/sites/160/2019/04/Christmas-Tree-Samples-13-of-20.jpg","https://delawaregrown.com/wp-content/uploads/sites/160/2019/04/Christmas-Tree-Samples-Thumbnails-13-of-20.jpg",,,,"13480 S. DuPont Hwy, Felton",,"Learn more: 302-284-4801","https://www.facebook.com/Poynters-Tree-Farm-Christmas-Shop-448018675237001/","38.97713","-75.56742"
"POINT (-75.624390000432 39.454012999685)","145","143","Christmas Tree Growers","Coleman's Christmas Tree Farm","https://delawaregrown.com/wp-content/uploads/sites/160/2019/04/Christmas-Tree-Samples-9-of-20.jpg","https://delawaregrown.com/wp-content/uploads/sites/160/2019/04/Christmas-Tree-Samples-Thumbnails-9-of-20.jpg",,,,"550 Silver Run Road, Middletown",,"Learn more: 302-378-8949","http://www.colemanstreefarm.com/home.html","39.454013","-75.62439"
"POINT (-75.41896299985 38.878534000264)","64","78","Farm Stands","Nash's Veggies","https://delawaregrown.com/wp-content/uploads/sites/160/2020/04/Delaware-Grown-Farmer-Markets-Stands-Large-38-of-585.jpg","https://delawaregrown.com/wp-content/uploads/sites/160/2020/04/Delaware-Grown-Farmer-Markets-Stands-Thumbnail-38-of-585.jpg","A Small Farm Making a Big Difference",,,"19119 Jumping Jack Lane, Lincoln",,"Learn more: 302-242-8753","https://www.facebook.com/NashsVeggies/","38.878534","-75.418963"
"POINT (-75.56508600027 38.568996999704)","42","64","Farm Stands","Laurel Farmers Auction Market","https://delawaregrown.com/wp-content/uploads/sites/160/2019/04/Placeholder-DG-1-of-1.jpg","https://delawaregrown.com/wp-content/uploads/sites/160/2019/04/Placeholder-DG-thumbnail-1-of-1.jpg",,"Open Monday through Saturday July 4 through Labor Day",,"10667 Georgetown Road, Laurel",,"Learn more: 302-875-3147","https://laurelauctionmarket.com/","38.568997","-75.565086"
"POINT (-75.269266999794 38.762637999953)","117","115","CSAs","Totem Farms","https://delawaregrown.com/wp-content/uploads/sites/160/2020/04/Delaware-Grown-Farmer-Markets-Stands-Large-528-of-585.jpg","https://delawaregrown.com/wp-content/uploads/sites/160/2020/04/Delaware-Grown-Farmer-Markets-Stands-Thumbnail-528-of-585.jpg","Pick up at the farm: 16300 King Cole Drive, Milton",,,,,"Learn more: 302-930-1840","https://totemfarmsde.org/","38.762638","-75.269267"
"POINT (-75.727655000281 39.182760999994)","100","107","CSAs","Gravelly Run Farm","https://delawaregrown.com/wp-content/uploads/sites/160/2019/04/Placeholder-DG-1-of-1.jpg","https://delawaregrown.com/wp-content/uploads/sites/160/2019/04/Placeholder-DG-thumbnail-1-of-1.jpg","Pick up at the farm: 1436 Fords Corner Road, Hartley",,,,,"Learn more: 302-492-3326","https://www.localharvest.org/gravelly-run-farm-M37034","39.182761","-75.727655"
