"company","address","city","state","zip","phone_number","trade_classification","maximum_contract_dollar_value","dateexpire"
"Tudor Electric, Inc.","801 Otis Drive","Dover","DE","19901","(302) 736-1444","Electric Power","8465406.0000","2121-07-28T00:00:00.000"
"Enterprise Masonry Corporation","3010 Bellevue Ave","Wilmington","DE","19802","(302) 764-6858","Masonry","5559086.0000","2023-03-01T00:00:00.000"
"Summit Steel, Inc.","201 Edwards Avenue","New Castle","DE","19720","(302) 325-3220","Steel Erection","2176650.0000","2023-03-01T00:00:00.000"
"Brandywine Contractors Inc.","34 Industrial Blvd.","New Castle","DE","19720","(302) 325-2700","General Construction","25001430.0000","2023-07-18T00:00:00.000"
"Nickle Electric Companies","14 Mill Park Court","Newark","DE","19713","(302) 453-4000","Electric Power","8497989.0000","2022-12-17T00:00:00.000"
"Joseph M. Zimmer, Inc.","2225 Northwood Drive","Salisbury","MD","21801","(410) 546-5700","Mechanical/Plumbing","8312614.0000","2023-01-10T00:00:00.000"
"East Coast Plumbing & HVAC, Inc.","26 Brookhill Drive","Newark","DE","19702","(302) 266-0530","Mechanical Plumbing","7467194.0000","2023-02-09T00:00:00.000"
"Willow Construction, LLC","8649 Commer Drive","Easton","MD","21601","(410) 822-6000","Generla Construction","12068053.0000","2023-02-09T00:00:00.000"
"Jottan, Inc.","One Underwood Court","Delran","NJ","08075","(609) 447-6200","Roofing","4581195.0000","2023-02-09T00:00:00.000"
"Bausum & Duckett Electric, LLC","38190 Old Stage Road","Delmar","DE","19940","(302) 846-0536","Electric Power","9064835.0000","2023-03-28T00:00:00.000"
"I.D. Griffith, Inc.","735 South Market Street","Wilmington","DE","19801","(302) 656-8253","Mechanical/Plumbing","1365458.0000","2023-05-10T00:00:00.000"
"I.D. Griffth, Inc.","735 South Market Street","Wilmington","DE","19801","(302) 656-8253","Mechanical","10408384.0000","2023-05-10T00:00:00.000"
"Ventresca Bros., Inc.","2300 N Dupont Highway","New Castle","DE","19720","(302) 658-6436","Carpentry","3102880.0000","2023-01-13T00:00:00.000"
"The Tri-M Group, LLC","1050 Industrial Drive, Ste 240","Middletown","DE","19709","(610) 444-1000","Controls","3667590.0000","2023-05-02T00:00:00.000"
"The Whiting-Turner Contracting Company","131 Continental dr. Suite 404","Newark","DE","19713","(302) 292-0676","General Construction","271446962.0000","2023-07-18T00:00:00.000"
"Richard Y. Johnson & Son, Inc.","18404 Johnson Rd. PO Box 105","Lincoln","DE","19960","(302) 422-3732","General Construction","27176348.0000","2022-10-20T00:00:00.000"
"Superior Electric Service Company","36 Germay Drive","Wilmington","DE","19804","(302) 658-5949","Electric Power","11488271.0000","2023-06-09T00:00:00.000"
"Ventresca Bros., Inc.","2300 N Dupont Highway","New Castle","DE","19720","(302) 658-6436","General Construction","8621742.0000","2023-01-24T00:00:00.000"
"Quality Exteriors Inc.","60 hopkins Cemetery Road","Harrington","DE","19952","(302) 398-9283","Roofing","1968299.0000","2023-08-02T00:00:00.000"
"Bancroft Construction","1300 N. Grant Avenue Suite 101","Wilmington","DE","19806","(302) 655-3434","General Construction","101328947.0000","2023-05-31T00:00:00.000"
"Wohlsen Construction Company","501 Carr Road, Suite 101","Wilmington","DE","19809","(302) 324-9900","General Construction","83902125.0000","2023-05-03T00:00:00.000"
"Joseph Rizzo & Sons Construction Company","13 Rizzo Avenue","New Castle","DE","19720","(302) 656-8116","Masonry","7977430.0000","2023-05-31T00:00:00.000"
"Mid-Atlantic Steel, LLC","1144 River Road","New Castle","DE","19720","(302) 323-1800","Steel Erection","9345531.0000","2023-05-31T00:00:00.000"
"Atlantic Refrigeration & Air Condition, Inc.","17553 Nassau Commons Blvd","Lewes","DE","19958","(302) 856-9300","Mechanical/Plumbing","258000.0000","2023-05-31T00:00:00.000"
"Emory Hill & Company","10 Corporate Circle, Suite 100","New Castle","DE","19720","(302) 322-9500","General Construction","3128376.0000","2023-06-16T00:00:00.000"
"DXI Construction, Inc.","260 Hopewell Road","Churchville","MD","21028","(410) 879-8055","Site Work","40942695.0000","2023-06-16T00:00:00.000"
