"fiscal_year","fiscal_period","dept_name","div_name","merchant","cat_descr","trans_dt","merchandise_amt"
"2011","1","DEPT OF LABOR","VOCATIONAL REHABILITATION SVCS","IMAGISTICSINV 414232666","BUSINESS SERVICES-NOT ELSEWHERE CLASSIFIED","2010-05-08T00:00:00.000","108"
"2011","1","DEPT OF LABOR","VOCATIONAL REHABILITATION SVCS","IMAGISTICSINV 414232694","BUSINESS SERVICES-NOT ELSEWHERE CLASSIFIED","2010-05-08T00:00:00.000","24.37"
"2011","1","DEPT OF LABOR","VOCATIONAL REHABILITATION SVCS","IMAGISTICSINV 414233168","BUSINESS SERVICES-NOT ELSEWHERE CLASSIFIED","2010-05-08T00:00:00.000","108"
"2011","1","DEPT OF LABOR","VOCATIONAL REHABILITATION SVCS","IMAGISTICSINV 414233193","BUSINESS SERVICES-NOT ELSEWHERE CLASSIFIED","2010-05-08T00:00:00.000","9"
"2011","1","DEPT OF LABOR","VOCATIONAL REHABILITATION SVCS","IMAGISTICSINV 414233220","BUSINESS SERVICES-NOT ELSEWHERE CLASSIFIED","2010-05-08T00:00:00.000","108"
"2011","1","DEPT OF LABOR","VOCATIONAL REHABILITATION SVCS","IMAGISTICSINV 414366294","BUSINESS SERVICES-NOT ELSEWHERE CLASSIFIED","2010-06-12T00:00:00.000","9"
"2011","1","DEPT OF LABOR","VOCATIONAL REHABILITATION SVCS","IMAGISTICSINV 414366928","BUSINESS SERVICES-NOT ELSEWHERE CLASSIFIED","2010-06-12T00:00:00.000","17"
"2011","1","DEPT OF HEALTH AND SOCIAL SV","CHILD SUPPORT SERVICES","IMAGISTICSINV 203515918","BUSINESS SERVICES-NOT ELSEWHERE CLASSIFIED","2010-06-16T00:00:00.000","153"
"2011","1","DEPT OF HEALTH AND SOCIAL SV","CHILD SUPPORT SERVICES","IMAGISTICSINV 203515918","BUSINESS SERVICES-NOT ELSEWHERE CLASSIFIED","2010-06-16T00:00:00.000","297"
"2011","1","DEPT OF AGRICULTURE","ANIMAL HEALTH","CHARGEBACK CREDIT","INTERNAL TRANSACTION","2010-06-19T00:00:00.000","-32.88"
"2011","1","DEPT OF AGRICULTURE","FOREST SERVICE","DOVER RENT-ALL","EQUIPMENT RENTALLEASING SVS FURNTURE-TOOL RENTAL","2010-06-23T00:00:00.000","109.6"
"2011","1","DEPT OF NATRL RES AND ENV CONT","OFFICE OF THE SECRETARY","MOUNTAIN VIEW GRAND RESOR","OTHER SERVICES NOT ELSEWHERE CLASSIFIED","2010-06-23T00:00:00.000","-149"
"2011","1","DEL TECH AND COMM COLLEGE","DTCC - STANTON CAMPUS","KEEN COM GAS-NEW CASTL","INDUSTRIAL SUPPLIES NOT ELSEWHERE CLASSIFIED","2010-06-25T00:00:00.000","2354.86"
"2011","1","DEL TECH AND COMM COLLEGE","OWENS CAMPUS","FISHER AUTO PARTS","AUTOMOTIVE PARTS ACCESSORIES STORES","2010-06-25T00:00:00.000","-209.12"
"2011","1","DEL TECH AND COMM COLLEGE","OWENS CAMPUS","FISHER AUTO PARTS","AUTOMOTIVE PARTS ACCESSORIES STORES","2010-06-25T00:00:00.000","253.84"
"2011","1","DEPT OF EDUCATION","E PENCADER BUSINESS AND FINA","A STITCH IN TIME","ACCESSORY AND APPAREL STORES-MISCELLANEOUS","2010-06-25T00:00:00.000","1755.48"
"2011","1","DEPT OF NATRL RES AND ENV CONT","PARKS AND RECREATION","WHOLESALE JANITORIAL SUP","CLEANING AND MAINTENANCE JANITORIAL SERVICES","2010-06-25T00:00:00.000","70"
"2011","1","DEPT OF TRANSPORTATION","MAINTENANCE DISTRICTS","DUKES LUMBER CO. INC.","BUILDING MATERIALS LUMBER STORES","2010-06-25T00:00:00.000","35"
"2011","1","DEPT OF TRANSPORTATION","MAINTENANCE DISTRICTS","FISHER AUTO PARTS","AUTOMOTIVE PARTS ACCESSORIES STORES","2010-06-25T00:00:00.000","10.7"
"2011","1","DEPT OF TRANSPORTATION","MAINTENANCE DISTRICTS","FISHER AUTO PARTS","AUTOMOTIVE PARTS ACCESSORIES STORES","2010-06-25T00:00:00.000","287.1"
"2011","1","DEPT OF TRANSPORTATION","MAINTENANCE DISTRICTS","FISHER AUTO PARTS","AUTOMOTIVE PARTS ACCESSORIES STORES","2010-06-25T00:00:00.000","382.09"
"2011","1","DEL TECH AND COMM COLLEGE","DTCC - TERRY CAMPUS","918 CHESTNUT ST GARAGE #3","AUTOMOBILE PARKING LOTS AND GARAGES","2010-06-26T00:00:00.000","21"
"2011","1","DEPT OF STATE","LIBRARIES","WASHINGTON DC CC REST","EATING PLACES RESTAURANTS","2010-06-26T00:00:00.000","12"
"2011","1","DEPT OF STATE","LIBRARIES","WASHINGTON DC CC REST","EATING PLACES RESTAURANTS","2010-06-26T00:00:00.000","16"
"2011","1","DEPT OF STATE","LIBRARIES","WASHINGTON DC CC REST","EATING PLACES RESTAURANTS","2010-06-26T00:00:00.000","9"
"2011","1","EXECUTIVE","PENSIONS","BILTMORE HOTEL AND SUITES","LODGING","2010-06-26T00:00:00.000","877.25"
"2011","1","THOMAS A EDISON CHARTER SCHOOL","THOMAS A EDISON CHARTER SCHOOL","HYATT HOTELS MCCORMICK PL","LODGING","2010-06-26T00:00:00.000","229.63"
"2011","1","ACADEMY OF DOVER CHARTER SCHL","ACADEMY OF DOVER CHARTER SCHL","ALL SEASONS NURSERY","FLORIST SUPPLIES NURSERY STOCK FLOWERS","2010-06-27T00:00:00.000","78.92"
"2011","1","ACADEMY OF DOVER CHARTER SCHL","ACADEMY OF DOVER CHARTER SCHL","THE HOME DEPOT #1608","HOME SUPPLY WAREHOUSE STORES","2010-06-27T00:00:00.000","68.92"
"2011","1","DEL TECH AND COMM COLLEGE","DTCC - OFFICE OF THE PRESIDENT","POSTIANO COAST BY ALDO LA","EATING PLACES RESTAURANTS","2010-06-27T00:00:00.000","27.52"
"2011","1","DEL TECH AND COMM COLLEGE","OWENS CAMPUS","STAPLES 00104307","OFFICE SCHOOL SUPPLY AND STATIONERY STORES","2010-06-27T00:00:00.000","29.99"
"2011","1","DEPT OF CORRECTIONS","BUREAU CHIEF-PRISONS","BLIMPIE/CEREALITY","FAST FOOD RESTAURANTS","2010-06-27T00:00:00.000","8.15"
"2011","1","DEPT OF EDUCATION","EDUCATION BLOCK GRANTS","USAIRWAYS 0372393655041","AIRLINE","2010-06-27T00:00:00.000","25"
"2011","1","DEPT OF HEALTH AND SOCIAL SV","COMMUNITY HEALTH","CONTINENTAL 0052602277257","AIRLINE","2010-06-27T00:00:00.000","25.96"
"2011","1","DEPT OF HEALTH AND SOCIAL SV","COMMUNITY HEALTH","HILTON QUEBEC FRONT DESK","LODGING","2010-06-27T00:00:00.000","1736.85"
"2011","1","DEPT OF HEALTH AND SOCIAL SV","COMMUNITY HEALTH","TAXI COOP QUEBEC 525-5","TRAVEL","2010-06-27T00:00:00.000","31.76"
"2011","1","DEPT OF HEALTH AND SOCIAL SV","E VOLUNTEER SERVICES","NYC-TAXI","TRAVEL","2010-06-27T00:00:00.000","10.2"
"2011","1","DEPT OF HEALTH AND SOCIAL SV","E VOLUNTEER SERVICES","NYC-TAXI","TRAVEL","2010-06-27T00:00:00.000","7.8"
"2011","1","DEPT OF HEALTH AND SOCIAL SV","E VOLUNTEER SERVICES","WPA-PENN LOT","AUTOMOBILE PARKING LOTS AND GARAGES","2010-06-27T00:00:00.000","21"
"2011","1","DEPT OF NATRL RES AND ENV CONT","PARKS AND RECREATION","ACTION HARDWARE","HARDWARE EQUIPMENT AND SUPPLIES","2010-06-27T00:00:00.000","15.98"
"2011","1","DEPT OF NATRL RES AND ENV CONT","PARKS AND RECREATION","DOLRTREE 1653 00016535","DISCOUNT STORES","2010-06-27T00:00:00.000","8"
"2011","1","DEPT OF NATRL RES AND ENV CONT","PARKS AND RECREATION","MICHAELS #1549","VARIETY STORES","2010-06-27T00:00:00.000","23.39"
