"uid","name","description","type","category","url","audience","publication_stage","creation_date","last_data_updated_date","visits","downloads"
"827n-m6xc","Public Crash Data","<DIV STYLE=""text-align:Left;""><DIV><DIV><P STYLE=""text-align:Justify;margin:0 0 0 0;""><SPAN><SPAN>The Delaware Department of Safety and Homeland Security (DSHS) is the official custodian of Delaware crash reports and is responsible for statewide crash data collection and dissemination.  A crash report is a summary of information collected about a collision and is filled out by a Delaware law enforcement officer who is investigating the crash.  The data contained on FirstMap and the Open Data Portal represents the best available information at DSHS and is not an official record of what transpired in a particular crash or for a particular crash type and does not contain personal information.  This data is generated from crash reports and allows any member of the public to engage in interactive analysis and data exploration for the purpose of identifying, evaluating or planning the safety enhancement of potential crash sites, hazardous roadway conditions, or railway-highway crossings.  This data is updated monthly and contains crashes that occurred since 2009 through six months ago.  Official crash reports are confidential and are not a public record under the Delaware Freedom of Information Act.  Authorized parties may contact the reporting police agency directly for official copies of crash reports (21 Del. C. §313).</SPAN></SPAN></P><P STYLE=""text-align:Justify;margin:0 0 0 0;""><SPAN><SPAN> </SPAN></SPAN></P><P STYLE=""text-align:Justify;margin:0 0 0 0;""><SPAN><SPAN>DSHS is committed to bringing public awareness to crash information.  The Office of Highway Safety’s annual reports (</SPAN></SPAN><A href=""https://ohs.delaware.gov/reports.shtml"" STYLE=""text-decoration:underline;""><SPAN STYLE=""text-decoration:underline;""><SPAN>https://ohs.delaware.gov/reports.shtml</SPAN></SPAN></A><SPAN><SPAN>), the Office of Highway Safety’s annual safety plan (</SPAN></SPAN><A href=""https://ohs.delaware.gov/reports.shtml"" STYLE=""text-decoration:underline;""><SPAN STYLE=""text-decoration:underline;""><SPAN>https://ohs.delaware.gov/reports.shtml</SPAN></SPAN></A><SPAN><SPAN>), and the Delaware State Police Traffic Statistical Reports  (</SPAN></SPAN><A href=""https://dsp.delaware.gov/reports/"" STYLE=""text-decoration:underline;""><SPAN STYLE=""text-decoration:underline;""><SPAN>https://dsp.delaware.gov/reports/</SPAN></SPAN></A><SPAN><SPAN>) also contain a variety of information and data.  In addition, the State of Delaware’s Strategic Highway Safety Plan is available at </SPAN></SPAN><A href=""https://deldot.gov/Programs/DSHSP/index.shtml"" STYLE=""text-decoration:underline;""><SPAN STYLE=""text-decoration:underline;""><SPAN>https://deldot.gov/Programs/DSHSP/index.shtml</SPAN></SPAN></A><SPAN> and is updated every five years.</SPAN></P></DIV></DIV></DIV>","dataset","Transportation","https://data.delaware.gov/d/827n-m6xc","public","published","2022-07-25T16:13:50.000","2022-09-07T01:00:26.000","193","10"
"5ifs-apni","Boilers and Pressure Vessels","A listing of active, inactive and scrapped boilers and pressure vessels found in the state of Delaware.","dataset","Energy and Environment","https://data.delaware.gov/d/5ifs-apni","public","published","2022-07-01T18:48:01.000","2022-07-01T19:02:40.000","122","15"
"3wbd-dxc6","Transit - Bus Stops","<DIV STYLE=""text-align:Left;font-size:12pt""><P><SPAN>Updated Delaware Transit Information including Bus Stops, Bus Routes, Train Stations, Park and Rides, Park and Pools.  Data is updated on a quarterly basis</SPAN></P></DIV>","dataset",,"https://data.delaware.gov/d/3wbd-dxc6","public","published","2022-06-14T20:45:56.000","2022-06-14T20:45:59.000","20","9"
"2y82-4pak","Certified Delaware Brownfields","A listing of sites in Delaware that have been certified as brownfields by the DNREC Brownfields Development Program.","dataset","Energy and Environment","https://data.delaware.gov/d/2y82-4pak","public","published","2022-04-05T19:00:02.000","2022-09-08T12:45:42.000","520","65"
"adne-snct","Artificial Reefs","Locations and information about the Delaware Artificial Reef Sites.","story",,"https://data.delaware.gov/stories/s/adne-snct","public","published","2022-02-07T15:29:56.000","2022-08-22T16:05:46.000","625","0"
"gkv7-32vn","Reef Guide","Artificial reef programs site, manage and develop reefs, but also have the responsibility to communicate the locations of reef material placements to anglers in order to facilitate enhanced fishing opportunities, one of the major goals of the effort. Because angler and boater funds (excise taxes) are primarily used for reef development, it is important to communicate this information to anglers and it is part of the federal aid project.","dataset","Energy and Environment","https://data.delaware.gov/d/gkv7-32vn","public","published","2022-02-01T19:48:10.000","2022-08-18T15:31:26.000","80","44"
"fmwn-yrdz","Drag Drops","Artificial reef programs site, manage and develop reefs, but also have the responsibility to communicate the locations of reef material placements to anglers in order to facilitate enhanced fishing opportunities, one of the major goals of the effort. Because angler and boater funds (excise taxes) are primarily used for reef development, it is important to communicate this information to anglers and it is part of the federal aid project.","dataset","Energy and Environment","https://data.delaware.gov/d/fmwn-yrdz","public","published","2022-02-01T19:48:03.000","2022-08-17T15:54:29.000","52","21"
"mtpk-gdgc","High Points","Artificial reef programs site, manage and develop reefs, but also have the responsibility to communicate the locations of reef material placements to anglers in order to facilitate enhanced fishing opportunities, one of the major goals of the effort. Because angler and boater funds (excise taxes) are primarily used for reef development, it is important to communicate this information to anglers and it is part of the federal aid project.","dataset","Energy and Environment","https://data.delaware.gov/d/mtpk-gdgc","public","published","2022-02-01T19:47:57.000","2022-08-17T15:54:37.000","51","18"
"yuhw-i5yp","Rock Deployment","Artificial reef programs site, manage and develop reefs, but also have the responsibility to communicate the locations of reef material placements to anglers in order to facilitate enhanced fishing opportunities, one of the major goals of the effort. Because angler and boater funds (excise taxes) are primarily used for reef development, it is important to communicate this information to anglers and it is part of the federal aid project.","dataset","Energy and Environment","https://data.delaware.gov/d/yuhw-i5yp","public","published","2022-02-01T19:47:51.000","2022-08-11T19:24:03.000","62","19"
"35bu-5jjg","Reef Sites","Artificial reef programs site, manage and develop reefs, but also have the responsibility to communicate the locations of reef material placements to anglers in order to facilitate enhanced fishing opportunities, one of the major goals of the effort. Because angler and boater funds (excise taxes) are primarily used for reef development, it is important to communicate this information to anglers and it is part of the federal aid project.","dataset","Energy and Environment","https://data.delaware.gov/d/35bu-5jjg","public","published","2022-02-01T19:47:44.000","2022-08-17T15:54:33.000","97","46"
