"geography","industry_type","industry","race","year","percent_of_employed"
"New Orleans","Traded, Key Industry","Oil & Gas Production & Transportation","Asian","2016","3"
"New Orleans","Traded, Key Industry","Electric Power Generation & Transmission","Asian","2016","0"
"New Orleans","Traded, Key Industry","Fishing & Fishing Products","Asian","2016","16"
"New Orleans","Traded, Key Industry","Water Management","Asian","2016","2"
"New Orleans","Traded, Key Industry","Water Transportation","Asian","2016","3"
"New Orleans","Traded, Key Industry","Food Processing & Manufacturing","Asian","2016","2"
"New Orleans","Traded, Key Industry","Upstream Chemical Products","Asian","2016","0"
"New Orleans","Traded, Key Industry","Video Production & Distribution","Asian","2016","2"
"New Orleans","Traded, Key Industry","Hospitality & Tourism","Asian","2016","3"
"New Orleans","Traded, Key Industry","Performing Arts","Asian","2016","1"
"New Orleans","Local","Health Services","Asian","2016","3"
"New Orleans","Local","Hospitality Establishments","Asian","2016","3"
"New Orleans","Local","Government","Asian","2016","0"
"New Orleans","Local","Commercial Services","Asian","2016","2"
"New Orleans","Local","Real Estate","Asian","2016","1"
"New Orleans","Local","Education & Training","Asian","2016","1"
"New Orleans","Local","Retail","Asian","2016","3"
"New Orleans","Local","Community Organizations","Asian","2016","2"
"New Orleans","Local","Food & Beverage","Asian","2016","5"
"New Orleans","Local","Motor Vehicle","Asian","2016","3"
"New Orleans","Traded, Key Industry","Video Production & Distribution","Black or African American","2016","19"
"New Orleans","Local","Motor Vehicle","Black or African American","2016","41"
"New Orleans","Local","Education & Training","Black or African American","2016","43"
"New Orleans","Traded, Key Industry","Food Processing & Manufacturing","Black or African American","2016","33"
"New Orleans","Traded, Key Industry","Performing Arts","Black or African American","2016","54"
"New Orleans","Local","Retail","Black or African American","2016","45"
"New Orleans","Traded, Key Industry","Oil & Gas Production & Transportation","Black or African American","2016","8"
"New Orleans","Traded, Key Industry","Water Management","Black or African American","2016","24"
"New Orleans","Local","Community Organizations","Black or African American","2016","46"
"New Orleans","Local","Health Services","Black or African American","2016","47"
"New Orleans","Local","Real Estate","Black or African American","2016","30"
"New Orleans","Local","Commercial Services","Black or African American","2016","36"
"New Orleans","Traded, Key Industry","Upstream Chemical Products","Black or African American","2016","10"
"New Orleans","Traded, Key Industry","Electric Power Generation & Transmission","Black or African American","2016","21"
"New Orleans","Local","Hospitality Establishments","Black or African American","2016","38"
"New Orleans","Traded, Key Industry","Fishing & Fishing Products","Black or African American","2016","20"
"New Orleans","Traded, Key Industry","Hospitality & Tourism","Black or African American","2016","50"
"New Orleans","Traded, Key Industry","Water Transportation","Black or African American","2016","30"
"New Orleans","Local","Food & Beverage","Black or African American","2016","37"
"New Orleans","Local","Government","Black or African American","2016","34"
"New Orleans","Local","Hospitality Establishments","Hispanic or Latino","2016","7"
"New Orleans","Local","Commercial Services","Hispanic or Latino","2016","6"
"New Orleans","Local","Real Estate","Hispanic or Latino","2016","8"
"New Orleans","Local","Retail","Hispanic or Latino","2016","6"
"New Orleans","Traded, Key Industry","Water Management","Hispanic or Latino","2016","6"
"New Orleans","Local","Education & Training","Hispanic or Latino","2016","4"
"New Orleans","Traded, Key Industry","Electric Power Generation & Transmission","Hispanic or Latino","2016","0"
"New Orleans","Traded, Key Industry","Food Processing & Manufacturing","Hispanic or Latino","2016","5"
"New Orleans","Traded, Key Industry","Water Transportation ","Hispanic or Latino","2016","7"
"New Orleans","Traded, Key Industry","Upstream Chemical Products","Hispanic or Latino","2016","0"
"New Orleans","Local","Motor Vehicle","Hispanic or Latino","2016","7"
"New Orleans","Traded, Key Industry","Video Production & Distribution","Hispanic or Latino","2016","6"
"New Orleans","Local","Food & Beverage","Hispanic or Latino","2016","5"
"New Orleans","Traded, Key Industry","Fishing & Fishing Products","Hispanic or Latino","2016","14"
"New Orleans","Traded, Key Industry","Oil & Gas Production & Transportation","Hispanic or Latino","2016","3"
"New Orleans","Traded, Key Industry","Hospitality & Tourism","Hispanic or Latino","2016","8"
"New Orleans","Traded, Key Industry","Performing Arts","Hispanic or Latino","2016","3"
"New Orleans","Local","Health Services","Hispanic or Latino","2016","5"
"New Orleans","Local","Community Organizations","Hispanic or Latino","2016","3"
"New Orleans","Local","Government","Hispanic or Latino","2016","2"
"New Orleans","Traded, Key Industry","Oil & Gas Production & Transportation","Other","2016","1"
"New Orleans","Traded, Key Industry","Electric Power Generation & Transmission","Other","2016","3"
"New Orleans","Traded, Key Industry","Fishing & Fishing Products","Other","2016","4"
"New Orleans","Traded, Key Industry","Water Management","Other","2016","1"
"New Orleans","Traded, Key Industry","Food Processing & Manufacturing","Other","2016","0"
"New Orleans","Traded, Key Industry","Upstream Chemical Products","Other","2016","0"
"New Orleans","Traded, Key Industry","Video Production & Distribution","Other","2016","2"
"New Orleans","Traded, Key Industry","Hospitality & Tourism","Other","2016","1"
"New Orleans","Traded, Key Industry","Performing Arts","Other","2016","0"
"New Orleans","Local","Health Services","Other","2016","0"
"New Orleans","Local","Hospitality Establishments","Other","2016","1"
"New Orleans","Local","Government","Other","2016","3"
"New Orleans","Local","Commercial Services","Other","2016","1"
