"geography","race","gender","year","percent"
"United States","Black or African American","Female","2010","54.37"
"United States","Black or African American","Male","2016","49.01"
"United States","Black or African American","Male","2010","45.29"
"United States","Black or African American","Female","2016","58.21"
"New Orleans","Black or African American","Female","1990","35.00"
"New Orleans","Black or African American","Female","1980","20.13"
"New Orleans","Black or African American","Male","2010","38.49"
"New Orleans","Black or African American","Female","2010","51.32"
"New Orleans","Black or African American","Male","1980","20.30"
"New Orleans","Black or African American","Male","1990","31.20"
"New Orleans","Black or African American","Male","2016","42.18"
"New Orleans","Black or African American","Female","2016","55.07"
"New Orleans","Black or African American","Male","2000","36.32"
"United States","Black or African American","Male","1980",
"United States","Black or African American","Male","2000","39.57"
"United States","Black or African American","Female","2000","44.93"
"New Orleans","Black or African American","Female","2000","42.99"
"United States","Black or African American","Female","1980",
"United States","Black or African American","Male","1990","33.94"
"United States","Black or African American","Female","1990","36.14"
"United States","Hispanic or Latino","Female","2010","38.49"
"United States","Hispanic or Latino","Female","1990","27.33"
"United States","Hispanic or Latino","Male","1980",
"United States","Hispanic or Latino","Male","2000","29.01"
"United States","Hispanic or Latino","Female","2000","31.63"
"United States","Hispanic or Latino","Male","2010","33.02"
"New Orleans","Hispanic or Latino","Male","2010","37.67"
"New Orleans","Hispanic or Latino","Male","1980","40.40"
"New Orleans","Hispanic or Latino","Female","1980","27.60"
"New Orleans","Hispanic or Latino","Male","1990","45.60"
"New Orleans","Hispanic or Latino","Female","1990","38.10"
"New Orleans","Hispanic or Latino","Male","2000","53.47"
"New Orleans","Hispanic or Latino","Female","2000","47.75"
"New Orleans","Hispanic or Latino","Female","2010","57.58"
"New Orleans","Hispanic or Latino","Male","2016","59.85"
"New Orleans","Hispanic or Latino","Female","2016","69.15"
"United States","Hispanic or Latino","Female","1980",
"United States","Hispanic or Latino","Male","1990","29.21"
"United States","Hispanic or Latino","Male","2016","36.46"
"United States","Hispanic or Latino","Female","2016","42.17"
"United States","White, not Hispanic","Male","1990","51.05"
"New Orleans","White, not Hispanic","Female","1980","35.94"
"New Orleans","White, not Hispanic","Male","1990","66.90"
"New Orleans","White, not Hispanic","Female","1990","53.80"
"New Orleans","White, not Hispanic","Male","2000","75.59"
"New Orleans","White, not Hispanic","Female","2000","68.03"
"New Orleans","White, not Hispanic","Male","2010","82.86"
"New Orleans","White, not Hispanic","Female","2010","80.41"
"New Orleans","White, not Hispanic","Male","2016","85.54"
"New Orleans","White, not Hispanic","Female","2016","87.77"
"United States","White, not Hispanic","Female","2016","65.95"
"United States","White, not Hispanic","Male","2016","64.12"
"United States","White, not Hispanic","Female","2010","61.63"
"United States","White, not Hispanic","Male","2010","61.22"
"United States","White, not Hispanic","Female","2000","54.10"
"United States","White, not Hispanic","Male","2000","56.91"
"United States","White, not Hispanic","Male","1980",
"United States","White, not Hispanic","Female","1980",
"United States","White, not Hispanic","Female","1990","44.61"
"New Orleans","White, not Hispanic","Male","1980","50.94"
