"geography","race","gender","year","percent_employed"
"Aspirational Metros ","White, not Hispanic","Male","1980","92"
"Aspirational Metros ","White, not Hispanic","Male","1990","82"
"Aspirational Metros ","White, not Hispanic","Male","2000","82"
"Aspirational Metros ","White, not Hispanic","Male","2016","79"
"Aspirational Metros ","White, not Hispanic","Female","1980","66"
"Aspirational Metros ","White, not Hispanic","Female","1990","68"
"Aspirational Metros ","White, not Hispanic","Female","2000","68"
"Aspirational Metros ","White, not Hispanic","Female","2016","68"
"Aspirational Metros ","Black or African American","Male","1980","70"
"Aspirational Metros ","Black or African American","Male","1990","65"
"Aspirational Metros ","Black or African American","Male","2000","63"
"Aspirational Metros ","Black or African American","Male","2016","67"
"Aspirational Metros ","Black or African American","Female","1980","61"
"Aspirational Metros ","Black or African American","Female","1990","63"
"Aspirational Metros ","Black or African American","Female","2000","64"
"Aspirational Metros ","Black or African American","Female","2016","68"
"Aspirational Metros ","Hispanic or Latino","Male","1980","79"
"Aspirational Metros ","Hispanic or Latino","Male","1990","74"
"Aspirational Metros ","Hispanic or Latino","Male","2000","69"
"Aspirational Metros ","Hispanic or Latino","Male","2016","79"
"Aspirational Metros ","Hispanic or Latino","Female","1980","49"
"Aspirational Metros ","Hispanic or Latino","Female","1990","54"
"Aspirational Metros ","Hispanic or Latino","Female","2000","53"
"Aspirational Metros ","Hispanic or Latino","Female","2016","59"
"Metro New Orleans","White, not Hispanic","Male","1980","85.05"
"Metro New Orleans","White, not Hispanic","Male","1990","77.20"
"Metro New Orleans","White, not Hispanic","Male","2000","77.61"
"Metro New Orleans","White, not Hispanic","Male","2016","75.89"
"Metro New Orleans","White, not Hispanic","Female","1980","53.05"
"Metro New Orleans","White, not Hispanic","Female","1990","60.32"
"Metro New Orleans","White, not Hispanic","Female","2000","64.67"
"Metro New Orleans","White, not Hispanic","Female","2016","68.07"
"Metro New Orleans","Black or African American","Male","1990","55.29"
"Metro New Orleans","Black or African American","Male","2000","53.84"
"Metro New Orleans","Black or African American","Male","2016","55.62"
"Metro New Orleans","Black or African American","Female","2016","61.14"
"Metro New Orleans","Black or African American","Male","1980","64.24"
"Metro New Orleans","Black or African American","Female","1990","50.85"
"Metro New Orleans","Black or African American","Female","2000","55.16"
"Metro New Orleans","Black or African American","Female","1980","48.38"
"Metro New Orleans","Hispanic or Latino","Male","1990","72.99"
"Metro New Orleans","Hispanic or Latino","Male","2000","71.41"
"Metro New Orleans","Hispanic or Latino","Male","2016","77.41"
"Metro New Orleans","Hispanic or Latino","Female","1980","51.54"
"Metro New Orleans","Hispanic or Latino","Female","1990","57.00"
"Metro New Orleans","Hispanic or Latino","Male","1980","76.87"
"Metro New Orleans","Hispanic or Latino","Female","2016","64.51"
"Metro New Orleans","Hispanic or Latino","Female","2000","59.20"
"New Orleans","White, not Hispanic","Male","1980","76.10"
"New Orleans","White, not Hispanic","Male","1990","72.13"
"New Orleans","White, not Hispanic","Male","2000","75.31"
"New Orleans","White, not Hispanic","Male","2016","79.02"
"New Orleans","White, not Hispanic","Female","1980","54.66"
"New Orleans","White, not Hispanic","Female","1990","63.09"
"New Orleans","White, not Hispanic","Female","2000","68.01"
"New Orleans","White, not Hispanic","Female","2016","73.57"
"New Orleans","Black or African American","Male","1980","62.53"
"New Orleans","Black or African American","Male","1990","53.59"
"New Orleans","Black or African American","Male","2000","51.92"
"New Orleans","Black or African American","Male","2016","51.52"
"New Orleans","Black or African American","Female","1990","50.00"
"New Orleans","Black or African American","Female","1980","48.47"
"New Orleans","Black or African American","Female","2000","54.47"
"New Orleans","Black or African American","Female","2016","59.11"
"New Orleans","Hispanic or Latino","Male","1990","65.10"
"New Orleans","Hispanic or Latino","Male","1980","68.92"
"New Orleans","Hispanic or Latino","Male","2000","68.08"
"New Orleans","Hispanic or Latino","Female","2016","66.51"
"New Orleans","Hispanic or Latino","Female","2000","57.02"
"New Orleans","Hispanic or Latino","Female","1980","53.11"
"New Orleans","Hispanic or Latino","Female","1990","57.87"
"New Orleans","Hispanic or Latino","Male","2016","72.32"
"United States","White, not Hispanic","Male","1980","81.43"
"United States","White, not Hispanic","Male","1990","79.32"
"United States","White, not Hispanic","Male","2000","78.07"
"United States","White, not Hispanic","Male","2016","74.87"
"United States","White, not Hispanic","Female","1980","57.51"
"United States","White, not Hispanic","Female","1990","65.67"
"United States","White, not Hispanic","Female","2000","67.80"
"United States","White, not Hispanic","Female","2016","68.02"
"United States","Black or African American","Female","1980","52.11"
"United States","Black or African American","Female","1990","58.45"
"United States","Black or African American","Female","2000","59.01"
"United States","Black or African American","Female","2016","64.42"
