"geography","year","race","percent_of_population","total_population"
"New Orleans","1860","Black or African American","6.27","174491"
"New Orleans","1721","Black or African American","0.00","470"
"New Orleans","1769","Black or African American","3.20","3090"
"New Orleans","1788","Black or African American","15.41","5321"
"New Orleans","1805","Black or African American","18.95","8212"
"New Orleans","1810","Black or African American","28.71","17242"
"New Orleans","1820","Black or African American","17.32","41351"
"New Orleans","1830","Black or African American","23.90","49826"
"New Orleans","1840","Black or African American","18.81","102193"
"New Orleans","1850","Black or African American","8.34","119460"
"New Orleans","1870","Black or African American","26.36","191418"
"New Orleans","2010","Black or African American","60.17","343829"
"New Orleans","2000","Black or African American","67.25","484674"
"New Orleans","1990","Black or African American","61.92","496938"
"New Orleans","1980","Black or African American","55.27","557515"
"New Orleans","1970","Black or African American","45.03","593471"
"New Orleans","1960","Black or African American","37.21","627525"
"New Orleans","1950","Black or African American","31.87","570445"
"New Orleans","1940","Black or African American","30.14","494537"
"New Orleans","1930","Black or African American","28.26","458762"
"New Orleans","1920","Black or African American","26.07","387219"
"New Orleans","1910","Black or African American","26.33","339075"
"New Orleans","1900","Black or African American","27.07","287104"
"New Orleans","1890","Black or African American","26.64","242039"
"New Orleans","1880","Black or African American","26.66","216090"
"New Orleans","1721","Enslaved","37.02","470"
"New Orleans","1769","Enslaved","38.45","3090"
"New Orleans","1788","Enslaved","40.05","5321"
"New Orleans","1805","Enslaved","37.81","8212"
"New Orleans","1810","Enslaved","34.57","17242"
"New Orleans","1820","Enslaved","36.14","41351"
"New Orleans","1830","Enslaved","33.39","49826"
"New Orleans","1840","Enslaved","22.94","102193"
"New Orleans","1850","Enslaved","15.12","119460"
"New Orleans","1860","Enslaved","8.30","174491"
"New Orleans","1870","Other","0.02","191418"
"New Orleans","1880","Other","0.05","216090"
"New Orleans","1890","Other","0.07","242039"
"New Orleans","1900","Other","0.15","287104"
"New Orleans","1910","Other","0.12","339075"
"New Orleans","1920","Other","0.10","387219"
"New Orleans","1930","Other","0.31","458762"
"New Orleans","1940","Other","0.15","494537"
"New Orleans","1950","Other","0.15","570445"
"New Orleans","1960","Other","0.23","627525"
"New Orleans","1970","Other","0.46","593471"
"New Orleans","1980","Other","2.22","557515"
"New Orleans","1990","Other","3.15","496938"
"New Orleans","2000","Other","4.70","484674"
"New Orleans","2010","Other","6.84","343829"
"New Orleans","1721","White","62.98","470"
"New Orleans","1769","White","58.35","3090"
"New Orleans","1788","White","44.54","5321"
"New Orleans","1805","White","43.24","8212"
"New Orleans","1810","White","36.72","17242"
"New Orleans","1820","White","46.54","41351"
"New Orleans","1830","White","42.71","49826"
"New Orleans","1840","White","58.24","102193"
"New Orleans","1850","White","76.54","119460"
"New Orleans","1860","White","85.43","174491"
"New Orleans","1870","White","73.62","191418"
"New Orleans","1880","White","73.29","216090"
"New Orleans","1890","White","73.28","242039"
"New Orleans","1900","White","72.78","287104"
"New Orleans","1910","White","73.55","339075"
"New Orleans","1920","White","73.84","387219"
"New Orleans","1930","White","71.44","458762"
"New Orleans","1940","White","69.72","494537"
"New Orleans","1950","White","67.98","570445"
"New Orleans","1960","White","62.56","627525"
"New Orleans","1970","White","54.51","593471"
"New Orleans","1980","White","42.51","557515"
"New Orleans","1990","White","34.92","496938"
"New Orleans","2000","White","28.05","484674"
"New Orleans","2010","White","32.99","343829"
