"geography","industry_type","industry","year","number_employed"
"New Orleans","Traded, Key Industry","Oil & Gas Production & Transportation","2002","5022"
"New Orleans","Traded, Key Industry","Oil & Gas Production & Transportation","2003","4789"
"New Orleans","Traded, Key Industry","Oil & Gas Production & Transportation","2004","4371"
"New Orleans","Traded, Key Industry","Oil & Gas Production & Transportation","2005","4309"
"New Orleans","Traded, Key Industry","Oil & Gas Production & Transportation","2006","3751"
"New Orleans","Traded, Key Industry","Oil & Gas Production & Transportation","2007","3954"
"New Orleans","Traded, Key Industry","Oil & Gas Production & Transportation","2008","4120"
"New Orleans","Traded, Key Industry","Oil & Gas Production & Transportation","2009","3916"
"New Orleans","Traded, Key Industry","Oil & Gas Production & Transportation","2010","3443"
"New Orleans","Traded, Key Industry","Oil & Gas Production & Transportation","2011","3025"
"New Orleans","Traded, Key Industry","Oil & Gas Production & Transportation","2012","2526"
"New Orleans","Traded, Key Industry","Oil & Gas Production & Transportation","2013","2489"
"New Orleans","Traded, Key Industry","Oil & Gas Production & Transportation","2014","2629"
"New Orleans","Traded, Key Industry","Oil & Gas Production & Transportation","2015","2359"
"New Orleans","Traded, Key Industry","Oil & Gas Production & Transportation","2016","1756"
"New Orleans","Traded, Key Industry","Electric Power Generation & Transmission","2001","232"
"New Orleans","Traded, Key Industry","Electric Power Generation & Transmission","2002","211"
"New Orleans","Traded, Key Industry","Electric Power Generation & Transmission","2003","213"
"New Orleans","Traded, Key Industry","Electric Power Generation & Transmission","2004","189"
"New Orleans","Traded, Key Industry","Electric Power Generation & Transmission","2005","190"
"New Orleans","Traded, Key Industry","Electric Power Generation & Transmission","2006","167"
"New Orleans","Traded, Key Industry","Electric Power Generation & Transmission","2007","144"
"New Orleans","Traded, Key Industry","Electric Power Generation & Transmission","2008","106"
"New Orleans","Traded, Key Industry","Electric Power Generation & Transmission","2009","96"
"New Orleans","Traded, Key Industry","Electric Power Generation & Transmission","2010","26"
"New Orleans","Traded, Key Industry","Electric Power Generation & Transmission","2013","23"
"New Orleans","Traded, Key Industry","Electric Power Generation & Transmission","2014","24"
"New Orleans","Traded, Key Industry","Electric Power Generation & Transmission","2015","18"
"New Orleans","Traded, Key Industry","Electric Power Generation & Transmission","2016","70"
"New Orleans","Local","Health Services
","2015","19362"
"New Orleans","Traded, Key Industry","Water Management","2001","7484"
"New Orleans","Traded, Key Industry","Water Management","2002","7014"
"New Orleans","Traded, Key Industry","Water Management","2003","6039"
"New Orleans","Traded, Key Industry","Water Management","2004","5785"
"New Orleans","Traded, Key Industry","Water Management","2005","4979"
"New Orleans","Traded, Key Industry","Water Management","2006","5570"
"New Orleans","Traded, Key Industry","Water Management","2007","4971"
"New Orleans","Traded, Key Industry","Water Management","2008","4979"
"New Orleans","Traded, Key Industry","Water Management","2009","5436"
"New Orleans","Traded, Key Industry","Water Management","2010","5871"
"New Orleans","Traded, Key Industry","Water Management","2011","5990"
"New Orleans","Traded, Key Industry","Water Management","2012","6083"
"New Orleans","Traded, Key Industry","Water Management","2013","6797"
"New Orleans","Traded, Key Industry","Water Management","2014","7071"
"New Orleans","Traded, Key Industry","Water Management","2015","6761"
"New Orleans","Traded, Key Industry","Water Management","2016","6098"
"New Orleans","Traded, Key Industry","Food Processing & Manufacturing","2001","1862"
"New Orleans","Traded, Key Industry","Food Processing & Manufacturing","2002","1352"
"New Orleans","Traded, Key Industry","Food Processing & Manufacturing","2003","1240"
"New Orleans","Traded, Key Industry","Food Processing & Manufacturing","2004","1264"
"New Orleans","Traded, Key Industry","Food Processing & Manufacturing","2005","1332"
"New Orleans","Traded, Key Industry","Food Processing & Manufacturing","2006","1135"
"New Orleans","Traded, Key Industry","Food Processing & Manufacturing","2007","1305"
"New Orleans","Traded, Key Industry","Food Processing & Manufacturing","2008","1259"
"New Orleans","Traded, Key Industry","Food Processing & Manufacturing","2009","1236"
"New Orleans","Traded, Key Industry","Food Processing & Manufacturing","2010","1256"
"New Orleans","Traded, Key Industry","Food Processing & Manufacturing","2011","1170"
"New Orleans","Traded, Key Industry","Food Processing & Manufacturing","2012","1154"
"New Orleans","Traded, Key Industry","Food Processing & Manufacturing","2013","1251"
"New Orleans","Traded, Key Industry","Food Processing & Manufacturing","2014","1186"
"New Orleans","Traded, Key Industry","Food Processing & Manufacturing","2015","1272"
"New Orleans","Traded, Key Industry","Food Processing & Manufacturing","2016","1260"
"New Orleans","Traded, Key Industry","Upstream Chemical Products","2001","102"
"New Orleans","Traded, Key Industry","Upstream Chemical Products","2002","47"
"New Orleans","Traded, Key Industry","Upstream Chemical Products","2003","38"
"New Orleans","Traded, Key Industry","Upstream Chemical Products","2004","35"
"New Orleans","Traded, Key Industry","Upstream Chemical Products","2005","28"
"New Orleans","Traded, Key Industry","Upstream Chemical Products","2006","45"
"New Orleans","Traded, Key Industry","Upstream Chemical Products","2007","26"
"New Orleans","Traded, Key Industry","Upstream Chemical Products","2008","30"
"New Orleans","Traded, Key Industry","Upstream Chemical Products","2009","36"
"New Orleans","Traded, Key Industry","Upstream Chemical Products","2010","36"
"New Orleans","Traded, Key Industry","Upstream Chemical Products","2011","35"
"New Orleans","Traded, Key Industry","Upstream Chemical Products","2012","48"
"New Orleans","Traded, Key Industry","Upstream Chemical Products","2013","143"
"New Orleans","Traded, Key Industry","Upstream Chemical Products","2014","113"
"New Orleans","Traded, Key Industry","Upstream Chemical Products","2015","64"
