"fiscal_year","fiscal_month","check_date","org","org_desc","object","object_desc","fund","fund_desc","payee","amount","payment_id","check_status","check_number","inv_number","char_code","char_code_desc","payment_type","vendor_no","goal_category"
"2020","10","2020-08-04T00:00:00.000","255434","HOUSING CARES ACT - COVID19","6101","OFFICE SUPPLIES","224","HOUSING CARES ACT - COVID19","STAPLES CONTRACT & COMMERCIAL, INC","9.48","327631","CLEARED",,"3452016942","61","SUPPLIES","EFT","4343",
"2021","11","2021-08-23T00:00:00.000","405000","EQUIPMENT SERVICES","6278","MAINTENANCE OF MOTOR VEHICLES","100","GENERAL","JOHN FERRY","225","375697","CLEARED",,"812212173","62","CONTRACTUAL SERVICES","PRINT","1269",
"2021","3","2020-12-08T00:00:00.000","210000","POLICE ADMINISTRATION","6101","OFFICE SUPPLIES","100","GENERAL","CITY OF MESQUITE","38.97","343953","CLEARED",,"06559","61","SUPPLIES","PRINT","490",
"2016","12","2016-09-08T00:00:00.000","605627","RUTHERFORD COMM CENTER","6239","POOL/PERSONAL CAR USAGE","100","GENERAL","EMPLOYEE EXPENSE","145.35","142760","CLEARED",,"1631","62","CONTRACTUAL SERVICES","PRINT","999998",
"2017","3","2017-01-10T00:00:00.000","405000","EQUIPMENT SERVICES","6170","MOTOR VEHICLE PARTS","100","GENERAL","IRRIGATORS SUPPLY, INC.","3.08","155420","CLEARED",,"72929","61","SUPPLIES","EFT","2114",
"2021","11","2021-08-17T00:00:00.000","100","GENERAL","1103","INVENTORY - AUTO WAREHOUSE","100","GENERAL","GENUINE PARTS CO.","52.36","374604","CLEARED",,"4044-543212",,"BALANCE SHEET ACCOUNT","EFT","3165",
"2019","9","2019-06-25T00:00:00.000","100","GENERAL","1103","INVENTORY - AUTO WAREHOUSE","100","GENERAL","MIDWEST MOTOR SUPPLY CO. INC.","-128.64","275111","CLEARED",,"7155842",,"BALANCE SHEET ACCOUNT","PRINT","2970",
"2020","9","2020-07-07T00:00:00.000","271000","ENVIRONMENTAL CODE INSPECTION","6290","OTHER CONTRACTUAL SERVICES","100","GENERAL","TX DEPARTMENT OF TRANSPORTATION","41.96","320520","CLEARED",,"06052020","62","CONTRACTUAL SERVICES","PRINT","4577",
"2021","2","2020-11-19T00:00:00.000","255434","HOUSING CARES ACT - COVID19","6109","MISCELLANEOUS SUPPLIES","224","HOUSING CARES ACT - COVID19","APPLE INC","679","340596","CLEARED",,"AD24041815","61","SUPPLIES","PRINT","5972",
"2019","11","2019-08-13T00:00:00.000","100","GENERAL","1103","INVENTORY - AUTO WAREHOUSE","100","GENERAL","GENUINE PARTS CO.","50.15","281824","CLEARED",,"4044-380999",,"BALANCE SHEET ACCOUNT","EFT","3165",
