"report_date","health_district","age_group_type","age_group","number_of_cases","number_of_hospitalizations","number_of_deaths"
"2022-09-09T00:00:00.000","Alexandria","Case Age Group","0-9 Years","4517","17","0"
"2022-09-09T00:00:00.000","Alexandria","Case Age Group","10-19 Years","3444","17","0"
"2022-09-09T00:00:00.000","Alexandria","Case Age Group","20-29 Years","7544","41","2"
"2022-09-09T00:00:00.000","Alexandria","Case Age Group","30-39 Years","9908","95","3"
"2022-09-09T00:00:00.000","Alexandria","Case Age Group","40-49 Years","6458","118","12"
"2022-09-09T00:00:00.000","Alexandria","Case Age Group","50-59 Years","4475","139","21"
"2022-09-09T00:00:00.000","Alexandria","Case Age Group","60-69 Years","2672","151","36"
"2022-09-09T00:00:00.000","Alexandria","Case Age Group","70-79 Years","1314","121","50"
"2022-09-09T00:00:00.000","Alexandria","Case Age Group","80+ Years","740","99","77"
"2022-09-09T00:00:00.000","Alexandria","Case Age Group","Missing","9","0","0"
"2022-09-09T00:00:00.000","Alexandria","Vaccine Age Group","0-4 Years","2432","15","0"
"2022-09-09T00:00:00.000","Alexandria","Vaccine Age Group","12-15 Years","1294","1","0"
"2022-09-09T00:00:00.000","Alexandria","Vaccine Age Group","16-17 Years","669","6","0"
"2022-09-09T00:00:00.000","Alexandria","Vaccine Age Group","18-24 Years","3377","29","1"
"2022-09-09T00:00:00.000","Alexandria","Vaccine Age Group","25-34 Years","10135","64","2"
"2022-09-09T00:00:00.000","Alexandria","Vaccine Age Group","35-44 Years","8223","105","8"
"2022-09-09T00:00:00.000","Alexandria","Vaccine Age Group","45-54 Years","5406","135","12"
"2022-09-09T00:00:00.000","Alexandria","Vaccine Age Group","5-11 Years","2859","4","0"
"2022-09-09T00:00:00.000","Alexandria","Vaccine Age Group","55-64 Years","3517","137","31"
"2022-09-09T00:00:00.000","Alexandria","Vaccine Age Group","65-74 Years","1927","147","50"
"2022-09-09T00:00:00.000","Alexandria","Vaccine Age Group","75-84 Years","833","97","46"
"2022-09-09T00:00:00.000","Alexandria","Vaccine Age Group","85+ Years","400","58","51"
"2022-09-09T00:00:00.000","Alexandria","Vaccine Age Group","Missing","9","0","0"
"2022-09-09T00:00:00.000","Alleghany","Case Age Group","0-9 Years","2684","4","0"
"2022-09-09T00:00:00.000","Alleghany","Case Age Group","10-19 Years","5491","12","0"
"2022-09-09T00:00:00.000","Alleghany","Case Age Group","20-29 Years","7415","13","3"
"2022-09-09T00:00:00.000","Alleghany","Case Age Group","30-39 Years","7319","29","5"
"2022-09-09T00:00:00.000","Alleghany","Case Age Group","40-49 Years","6772","50","15"
"2022-09-09T00:00:00.000","Alleghany","Case Age Group","50-59 Years","7189","129","59"
"2022-09-09T00:00:00.000","Alleghany","Case Age Group","60-69 Years","5387","193","105"
"2022-09-09T00:00:00.000","Alleghany","Case Age Group","70-79 Years","3479","190","214"
"2022-09-09T00:00:00.000","Alleghany","Case Age Group","80+ Years","2242","164","263"
"2022-09-09T00:00:00.000","Alleghany","Case Age Group","Missing","0","0","0"
"2022-09-09T00:00:00.000","Alleghany","Vaccine Age Group","0-4 Years","1125","3","0"
"2022-09-09T00:00:00.000","Alleghany","Vaccine Age Group","12-15 Years","1915","3","0"
"2022-09-09T00:00:00.000","Alleghany","Vaccine Age Group","16-17 Years","1267","3","0"
"2022-09-09T00:00:00.000","Alleghany","Vaccine Age Group","18-24 Years","5223","12","1"
"2022-09-09T00:00:00.000","Alleghany","Vaccine Age Group","25-34 Years","7351","19","6"
"2022-09-09T00:00:00.000","Alleghany","Vaccine Age Group","35-44 Years","6960","40","9"
"2022-09-09T00:00:00.000","Alleghany","Vaccine Age Group","45-54 Years","7143","83","29"
"2022-09-09T00:00:00.000","Alleghany","Vaccine Age Group","5-11 Years","2433","1","0"
"2022-09-09T00:00:00.000","Alleghany","Vaccine Age Group","55-64 Years","6557","170","85"
"2022-09-09T00:00:00.000","Alleghany","Vaccine Age Group","65-74 Years","4367","206","175"
"2022-09-09T00:00:00.000","Alleghany","Vaccine Age Group","75-84 Years","2439","154","184"
"2022-09-09T00:00:00.000","Alleghany","Vaccine Age Group","85+ Years","1198","90","175"
"2022-09-09T00:00:00.000","Alleghany","Vaccine Age Group","Missing","0","0","0"
"2022-09-09T00:00:00.000","Arlington","Case Age Group","0-9 Years","5717","22","1"
"2022-09-09T00:00:00.000","Arlington","Case Age Group","10-19 Years","5854","15","0"
"2022-09-09T00:00:00.000","Arlington","Case Age Group","20-29 Years","15031","50","0"
"2022-09-09T00:00:00.000","Arlington","Case Age Group","30-39 Years","12281","95","1"
"2022-09-09T00:00:00.000","Arlington","Case Age Group","40-49 Years","8734","126","18"
"2022-09-09T00:00:00.000","Arlington","Case Age Group","50-59 Years","5994","172","22"
"2022-09-09T00:00:00.000","Arlington","Case Age Group","60-69 Years","3438","200","43"
"2022-09-09T00:00:00.000","Arlington","Case Age Group","70-79 Years","1840","223","79"
"2022-09-09T00:00:00.000","Arlington","Case Age Group","80+ Years","1081","294","172"
"2022-09-09T00:00:00.000","Arlington","Case Age Group","Missing","11","0","0"
"2022-09-09T00:00:00.000","Arlington","Vaccine Age Group","0-4 Years","2598","19","1"
"2022-09-09T00:00:00.000","Arlington","Vaccine Age Group","12-15 Years","2273","6","0"
"2022-09-09T00:00:00.000","Arlington","Vaccine Age Group","16-17 Years","1183","5","0"
"2022-09-09T00:00:00.000","Arlington","Vaccine Age Group","18-24 Years","6556","19","0"
"2022-09-09T00:00:00.000","Arlington","Vaccine Age Group","25-34 Years","16468","80","1"
"2022-09-09T00:00:00.000","Arlington","Vaccine Age Group","35-44 Years","10236","112","10"
"2022-09-09T00:00:00.000","Arlington","Vaccine Age Group","45-54 Years","7113","132","20"
"2022-09-09T00:00:00.000","Arlington","Vaccine Age Group","5-11 Years","4475","4","0"
"2022-09-09T00:00:00.000","Arlington","Vaccine Age Group","55-64 Years","4721","208","29"
