"fips","state","county","sodatax_stores14","sodatax_vendm14","chipstax_stores14","chipstax_vendm14","food_tax14"
"01001","AL","Autauga","4.0","4.0","4.0","4.0","4.0"
"01003","AL","Baldwin","4.0","4.0","4.0","4.0","4.0"
"01005","AL","Barbour","4.0","4.0","4.0","4.0","4.0"
"01007","AL","Bibb","4.0","4.0","4.0","4.0","4.0"
"01009","AL","Blount","4.0","4.0","4.0","4.0","4.0"
"01011","AL","Bullock","4.0","4.0","4.0","4.0","4.0"
"01013","AL","Butler","4.0","4.0","4.0","4.0","4.0"
"01015","AL","Calhoun","4.0","4.0","4.0","4.0","4.0"
"01017","AL","Chambers","4.0","4.0","4.0","4.0","4.0"
"01019","AL","Cherokee","4.0","4.0","4.0","4.0","4.0"
"01021","AL","Chilton","4.0","4.0","4.0","4.0","4.0"
"01023","AL","Choctaw","4.0","4.0","4.0","4.0","4.0"
"01025","AL","Clarke","4.0","4.0","4.0","4.0","4.0"
"01027","AL","Clay","4.0","4.0","4.0","4.0","4.0"
"01029","AL","Cleburne","4.0","4.0","4.0","4.0","4.0"
"01031","AL","Coffee","4.0","4.0","4.0","4.0","4.0"
"01033","AL","Colbert","4.0","4.0","4.0","4.0","4.0"
"01035","AL","Conecuh","4.0","4.0","4.0","4.0","4.0"
"01037","AL","Coosa","4.0","4.0","4.0","4.0","4.0"
"01039","AL","Covington","4.0","4.0","4.0","4.0","4.0"
"01041","AL","Crenshaw","4.0","4.0","4.0","4.0","4.0"
"01043","AL","Cullman","4.0","4.0","4.0","4.0","4.0"
"01045","AL","Dale","4.0","4.0","4.0","4.0","4.0"
"01047","AL","Dallas","4.0","4.0","4.0","4.0","4.0"
"01049","AL","DeKalb","4.0","4.0","4.0","4.0","4.0"
"01051","AL","Elmore","4.0","4.0","4.0","4.0","4.0"
"01053","AL","Escambia","4.0","4.0","4.0","4.0","4.0"
"01055","AL","Etowah","4.0","4.0","4.0","4.0","4.0"
"01057","AL","Fayette","4.0","4.0","4.0","4.0","4.0"
"01059","AL","Franklin","4.0","4.0","4.0","4.0","4.0"
"01061","AL","Geneva","4.0","4.0","4.0","4.0","4.0"
"01063","AL","Greene","4.0","4.0","4.0","4.0","4.0"
"01065","AL","Hale","4.0","4.0","4.0","4.0","4.0"
"01067","AL","Henry","4.0","4.0","4.0","4.0","4.0"
"01069","AL","Houston","4.0","4.0","4.0","4.0","4.0"
"01071","AL","Jackson","4.0","4.0","4.0","4.0","4.0"
"01073","AL","Jefferson","4.0","4.0","4.0","4.0","4.0"
"01075","AL","Lamar","4.0","4.0","4.0","4.0","4.0"
"01077","AL","Lauderdale","4.0","4.0","4.0","4.0","4.0"
"01079","AL","Lawrence","4.0","4.0","4.0","4.0","4.0"
"01081","AL","Lee","4.0","4.0","4.0","4.0","4.0"
"01083","AL","Limestone","4.0","4.0","4.0","4.0","4.0"
"01085","AL","Lowndes","4.0","4.0","4.0","4.0","4.0"
"01087","AL","Macon","4.0","4.0","4.0","4.0","4.0"
