"market_name","address","location","landmarks","market_season","days_open","hours_open","snap_match","wic_farmers_market_nutrition","senior_farmers_market","website","notes_for_updates","pa_snap_ed_agents_2017","market_manager","market_phone","market_email"
"4-Mile Run Farmers & Artisans Market","4109 Mt Vernon Avenue Alexandria, VA 22305","Alexandria",,"Year Round","Sunday","9AM - 1PM","Yes (Up to $20)","No","Yes","http://www.4mrmarket.org/","Updated July 2020",,,"(804) 4Mi-Run1","4MRMarket@arlandria.org"
"Abingdon Farmers Market","100 Remsburg Drive Abingdon, VA 24210","Abingdon","Abingdon Town Pavilion","Year Round","Tuesday, Saturday","Tuesday 3PM - 6PM; Saturday 8AM - 1PM","Yes (Up to $20)","No","Yes","http://www.abingdonfarmersmarket.com/","Updated July 2020","SNAP Ed Agent, Sharon Rice, partnered with Appalachian Sustainable Development and did cooking demos. PA, Andrea Wann did cooking demos, SNAP outreach, and FNP/VCE promotion.","David McLeish","(276)698-1434","Abingdonmarket@gmail.com"
"Big Stone Gap Farmers Market","460 Shawnee Avenue East Big Stone Gap, VA 24219","Big Stone Gap",,"May - October","Saturday","8AM - 12PM","Yes (Up to $25)","Yes","Yes","https://www.facebook.com/bsgfarmersmarket/info/?tab=overview","Updated July 2020",,,"804-334-1964","tourismdiractor@bigstonegap.org"
"Birdhouse Farmers Market","1507 Grayland Avenue Richmond, VA 23220","Richmond","next to the Randolph Community Center basketball courts and pool","May - November","Tuesday","3PM - 6:30PM","Yes (Up to $20)","No","No","http://www.birdhousefarmersmarket.org/","Updated July 2020","SNAP Ed Agent, Ann Vargo, did a special Family Fun Day, SNAP promotion and marketing, and food demos","Kate Ruby","804-261-0841","birdhousefarmersmarket@gmail.com"
"Blacksburg Farmers Market","108 West Roanoke Street Blacksburg, VA 24063","Blacksburg",,"Year Round","Saturday, Wednesday","APR - OCT: Wednesday 12PM - 6PM; Saturday 8AM - 2PM
NOV - DEC: Wednesday 12PM - 6PM; Saturday 9AM - 2PM
JAN - MAR: Saturday 10AM - 2PM","Yes (Up to $30)","No","No","http://www.blacksburgfarmersmarket.com/","Updated July 2020",,"Ian Littlejohn","804-334-1965","bbfarmersmarket@gmail.com"
"Bowling Greens Farmers Market","211 N Main St, Bowling Green, VA 22427","Bowling Green","on the Lawn next to Union First Market Bank on Main Street","March - October","Saturday","8AM - 12PM","Yes (Up to $30)",,,"https://co.caroline.va.us/297/Farmers-Markets","Updated July 2020","PA, LaWanda Wright, did cooking demos, SNAP outreach, nutrition education, and food preservation.",,"804-633-6212",
"Broadway Farmers Market","161 South Main Street Broadway, VA 22815","Broadway","Veteran's Memorial Wall","May - October","Saturday","8AM - 1PM (May-Sept), 9AM-1PM (Sept-Oct)","Yes (Up to $20)","No","No","http://www.town.broadway.va.us/farmers-market.html","Updated July 2020",,,"(540) 896-5152","info@town.broadway.va.us"
"Buckroe Farmers Market","100 N First St, Hampton, VA 23664 - 1216","Hampton","grassy area surrounding the Buckroe Beach gazebo","May-Fall","Saturday","9:00-1:00","Yes(unlimited for fruits and veggies)","No","no","https://www.villageevents.org/","Updated July 2020",,"Mark Meadford","(757)-877-2933","mark@villageevents.org"
"Cape Charles Farmers Market","814 Randolph Ave, Cape Charles, VA 23310","Cape Charles",,"May - October","Tuesday","3PM - 6PM","Yes (Up to $10)","No","Yes","http://www.capecharlesfarmersmarket.org/","Updated July 2020",,,"757-331-1008 or 757-607-6483","capecharlesmarket@gmail.com"
"Cascades Farmers Market","21060 Whitfield Drive, Sterling, VA 22075","Sterling","parking lot of senior center","May-December","Sunday","9AM - 1PM","Yes (No limit)","No","No","http://loudounfarmersmarkets.org/markets/cascades/","Updated July 2020",,"Brook Robison","540-454-8089","info@loudounfarmersmarkets.org"
