"barcode","file_name","year","first_name","middle_name","surname","alias","additional_plaintiffs","defendant_first_name","defendant_middle_name","defendant_surname","additional_defendants","enslaver","plaintiff_s_claim","freedom_granted","additional_enslaved","additional_free_black_names","deponents_affiants","locality","source","date_added"
"7573136","_0001_0001_0001-0011","1794","Thomas",,,"Tom",,"Edward",,"Roberts",,"Anne Mifflin; Anne Roberts; Humphrey Roberts; Ann Roberts; Edward Roberts","Emancipated by deed of emancipation by Ann Roberts","no","Catharine; Cato; Mary; Samuel; Sam; Moll; Nell; Harry; Tabitha; Adam; Jacob; Jos; Joseph; Leah; James; Eli; Rhoda; Jacob; Judah; Jane; Ezekiel; Daniel; Pricilla; Grace; Gilbert; Adam; Abigail; Lucretia; George; Anady; Stephen; Cate;",,"Mifflin","Accomack County","Accomack County (Va.) District Court Papers, 1789-1808","2021-02-03T00:00:00.000"
"7573136","_0001_0002_0001-0007","1795","Mary",,,,,"Edward",,"Roberts",,"Anne Mifflin; Anne Roberts; Humphrey Roberts; Ann Roberts; Edward Roberts","Emancipated by deed of emancipation by Ann Roberts","no","James",,,"Accomack County","Accomack County (Va.) District Court Papers, 1789-1808","2021-02-03T00:00:00.000"
"7573136","_0001_0003_0001-0008","1801","Major",,,,,"Ann","Maria","Andrews",,"Ann Maria Andrews","Descendant of Native Americans","yes",,,,"Accomack County","Accomack County (Va.) District Court Papers, 1789-1808","2021-02-03T00:00:00.000"
"7573136","_0001_0004_0001-0004","1802","Cyrus",,,,,"Henry",,"Satchell",,"Henry Satchell; South Satchell","Descendant of Native Americans","unknown","Lydia; Betty",,,"Accomack County","Accomack County (Va.) District Court Papers, 1789-1808","2021-02-03T00:00:00.000"
"7573136","_0001_0005_0001-0023","1804","Mary",,,,,"Robert",,"Andrews","Anna Maria Andrews","Robert Andrews","Descendant of Native Americans","no","Lucy; Annis; George Russell",,"Buck","Accomack County","Accomack County (Va.) District Court Papers, 1789-1808","2021-02-03T00:00:00.000"
"7573136","_0001_0006_0001-0018","1805","Ibby",,"Harman",,,"William","S","Roberts",,"William S Roberts; Edmond Scarburgh; William Scarburgh; Arthur Roberts","Descendant of Native Americans","no","Alice; Parthena; Lucy",,"Johnson","Accomack County","Accomack County (Va.) District Court Papers, 1789-1808","2021-02-03T00:00:00.000"
"7573136","_0001_0007_0001-0011","1806","Lydia",,,,,"John",,"Mears",,"John Mears","Descendant of Native Americans","yes","Cyrus; Sybil",,,"Accomack County","Accomack County (Va.) District Court Papers, 1789-1808","2021-02-03T00:00:00.000"
"7573136","_0001_0008_0001-0016","1808","Joe",,,,,"Exr. Of Jacob",,"Lillitson; etc.","Susannah Lilliston; Isaac Lilliston; John Lilliston; Eleanor Lilliston","Elijah Lilliston","Emancipated by will of Eilijah Lilliston","yes",,,"Custis","Accomack County","Accomack County (Va.) District Court Papers, 1789-1808","2021-02-03T00:00:00.000"
"7573136","_0001_0009_0001-0041","1796","George",,"Cook","George",,"John",,"Walker Jr.",,"Edmund Scarbrough; Mitchell Scarbrough; Hillary Stringer; Juniper; Thomas Hall; Ann Foxcraft; John Walker","Descendant of Native Americans","unknown","Mary Cook; Major; Lucy; Rosary; Betty; Rosaria; Rose Airy; Annise; Peter Cook",,"Johnson; Parker; Smith","Accomack County","Accomack County (Va.) District Court Papers, 1789-1808","2021-02-03T00:00:00.000"
"7593069","_0001_0001_0001-0008","1818","Esther, etc",,,,,"Robert",,"Williams",,"Polly Purnell","Emancipated by deed","unknown",,,"Gumby; Pritchard","Accomack County","Accomack County (Va.) Judgments (Freedom Suits), 1818-1860","2021-02-03T00:00:00.000"
"7593069","_0001_0002_0001-0011","1828","Mason",,"Ames",,,"Thomas","A","Coleburn",,"Levin Ames","Daughter of Bridget Ames, emancipated by the deed of Levin Ames","unknown",,"Bridget Ames",,"Accomack County","Accomack County (Va.) Judgments (Freedom Suits), 1818-1860","2021-02-03T00:00:00.000"
"7593069","_0001_0003_0001-0004","1829","Leah",,"Burston",,,"John",,"Harmon",,"Thomas Burston","Emancipated by the will of Thomas Burston","unknown",,,,"Accomack County","Accomack County (Va.) Judgments (Freedom Suits), 1818-1860","2021-02-03T00:00:00.000"
