"credentialid","name","type","businessname","dba","fullcredentialcode","credentialtype","credentialnumber","credentialsubcategory","credential","status","statusreason","active","issuedate","effectivedate","expirationdate","address","city","state","zip","recordrefreshedon","geocoded_column"
"2381669","OLD GLORY DAYS","SOLE PROPRIETOR","OLD GLORY DAYS","OLD GLORY DAYS","ALSA","ALSA",,,"Assisted Living Service Agency","PENDING","ABCMS REVIEW","0",,,,"211 WOODBURY RD","WATERTOWN","CT","06795","2022-06-15T00:00:00.000","POINT (-73.126956 41.603705)"
"930102","CEDAR LLC","BUSINESS","CEDAR LLC","LAUREL GARDENS OF TRUMBULL","ALSA.0AL0037","ALSA","AL0037",,"Assisted Living Service Agency","INACTIVE",,"0","2004-10-01T00:00:00.000","2004-10-01T00:00:00.000","2006-09-30T00:00:00.000","2750 RESERVOIR AVENUE","TRUMBULL","CT","06611","2010-05-18T00:00:00.000","POINT (-73.196173 41.237949)"
"2090588","ASSISTED LIVING SERVICES AGENCY AT CREAMERY BROOK","CORPORATION","ASSISTED LIVING SERVICES AGENCY AT CREAMERY BROOK","ASSISTED LIVING SERVICES AGENCY AT CREAMERY BROOK","ALSA.0000226","ALSA","226",,"Assisted Living Service Agency","ACTIVE IN RENEWAL","CURRENT","1","2020-10-08T00:00:00.000","2020-10-01T00:00:00.000","2022-09-30T00:00:00.000","36 VINA LANE","BROOKLYN","CT","06234","2022-09-02T00:00:00.000","POINT (-71.944691 41.782419)"
"929695","ARDEN COURTS  (AVON)","LIMITED LIABILITY COMPANY","ARDEN COURTS  (AVON)","ARDEN COURTS  (AVON)","ALSA.0000124","ALSA","124",,"Assisted Living Service Agency","ACTIVE","CURRENT","1","2009-10-01T00:00:00.000","2021-10-01T00:00:00.000","2023-09-30T00:00:00.000","100 FISHER DIRVE","AVON","CT","06001","2022-07-21T00:00:00.000",
"929118","BAL HAMDEN LLC","LIMITED LIABILITY COMPANY","BAL HAMDEN LLC","Benchmark Senior Living at Hamden","ALSA.0000133","ALSA","133",,"Assisted Living Service Agency","ACTIVE IN RENEWAL","CURRENT","1","2008-12-01T00:00:00.000","2020-10-01T00:00:00.000","2022-09-30T00:00:00.000","35 HAMDEN HILLS DR","HAMDEN","CT","065185322","2022-08-25T00:00:00.000","POINT (-72.910228 41.388808)"
"1003704","ATRIA CROSSROADS PLACE","LIMITED LIABILITY COMPANY","ATRIA CROSSROADS PLACE","ATRIA CROSSROADS PLACE","ALSA.0000157","ALSA","157",,"Assisted Living Service Agency","ACTIVE","CURRENT","1","2011-06-22T00:00:00.000","2021-04-01T00:00:00.000","2023-03-31T00:00:00.000","1 BEECHWOOD DR","WATERFORD","CT","063851227","2021-12-23T00:00:00.000","POINT (-72.157423 41.36639)"
"928945","SENIORS' CHOICE AT CROSS ROAD","BUSINESS","SENIORS' CHOICE AT CROSS ROAD","SENIORS' CHOICE AT CROSS ROAD","ALSA.AL-0051","ALSA","AL-0051",,"Assisted Living Service Agency","INACTIVE",,"0","2000-04-07T00:00:00.000","2000-04-07T00:00:00.000","2002-03-31T00:00:00.000","1 Beechwood Drive","Waterford","CT","06385","2010-05-18T00:00:00.000","POINT (-72.157423 41.36639)"
"929941","BROOKDALE SOUTH WINDSOR","LIMITED LIABILITY COMPANY","BROOKDALE SOUTH WINDSOR","BROOKDALE SOUTH WINDSOR","ALSA.0000100","ALSA","100",,"Assisted Living Service Agency","ACTIVE","CURRENT","1","2008-07-01T00:00:00.000","2022-07-01T00:00:00.000","2024-06-30T00:00:00.000","1715 ELLINGTON RD","SOUTH WINDSOR","CT","060742707","2022-09-08T00:00:00.000","POINT (-72.556214 41.826801)"
"929156","VISITING NURSE ASSOCIATION OF RIDGEFIELD INC.","BUSINESS","VISITING NURSE ASSOCIATION OF RIDGEFIELD INC.","RIDGEFIELD VISITING NURSE ASSOCIATION","ALSA.0000146","ALSA","146",,"Assisted Living Service Agency","INACTIVE","VOLUNTARILY AGREED NOT TO RENEW/REINSTATE","0","2009-06-06T00:00:00.000","2009-06-06T00:00:00.000","2011-03-31T00:00:00.000","90 E RIDGE RD","RIDGEFIELD","CT","068774683","2011-10-03T00:00:00.000","POINT (-73.494114 41.282387)"
"933992","POMPERAUG WOODS","CORPORATION","POMPERAUG WOODS","POMPERAUG WOODS","ALSA.0000151","ALSA","151",,"Assisted Living Service Agency","ACTIVE IN RENEWAL","CURRENT","1","2010-05-28T00:00:00.000","2020-04-01T00:00:00.000","2022-03-31T00:00:00.000","80 HERITAGE RD","SOUTHBURY","CT","064881882","2022-07-29T00:00:00.000","POINT (-73.217481 41.482196)"
