"sid","title","funding_amount","detailed_reporting_category","description","use_of_evidence_program_evaluation","performance_report_mandatory_and_optional_indicators_"
"29691","Enhance Student Retention at Community Colleges","19500000","2.37 - Economic Impact Assistance Other","In response to declining student achievement retention and a corresponding loss of tuition and fee revenue that has been exacerbated by the COVID-19 pandemic, the Connecticut community colleges are implementing Guided Pathways Advising, a wholistic case management advising model.  With partial support from State Fiscal Relief funding, Guided Pathways Advising will be implemented at scale across all 12 Connecticut community colleges beginning in FY 2022. Under the program, Connecticut community colleges will hire 158 advisors and eight other supervisory and support staff over a 3-year period.","Research shows that individualized, intrusive advising and long-term mentorship experiences that involve goal setting, the learning of personal success strategies, intentional conversation, and positive connection can increase students’ sense of belonging, engagement, achievement, persistence, retention and completion (Achieving the Dream, 2018; Bettinger & Baker, 2011; Karp & Stacey, 2013; Miller & Murray, 2005; Pierce, 2016). Many exemplar community colleges have implemented advising models similar to Connecticut’s GPA program and observed significantly higher retention and graduation rates. At Lorain County Community College, for example, the graduation rate jumped from 8 percent to 25 percent within seven years (Dryden, 2018) and the equity gap in developmental course completion rates and first-term credit accrual has also narrowed (Ohio Higher Ed, 2018). At the Alamo Colleges District, in less than six years since the launch of their Alamo ADVISE model, time to degree completion decreased from 4.6 to 3.9 years, and the average number of credit hours at completion fell from 92 to 82 hours (Excelencia in Education, 2020). Furthermore, Austin Community College saw a 15.5 percent increase in term-to-term retention upon implementing its own Guided Pathways Advising and Coaching initiative; distance learning students saw the highest gains in retention (24 percent) among all demographics (Ashford, 2019).","Program implementation ongoing
Metrics to be tracked include:
-Number of staff to be hired
-Number of students advised"
"29692","Higher Education – CSCU","15000000","6.1 - Provision of Government Services","Support is provided to Connecticut State Colleges and University (CSCU) for the provision of public services. This allocation from Connecticut's State Fiscal Recovery Fund award will be used to support adjunct faculty necessary to provide adequate course availability to students at CSCU institutions.  Without these funds fiscal constraints would require these institutions to eliminate a large number of course sections across 16 institutions.  Given CSCU's CDC-compliant social distancing protocols which limit class size based on room, the students served by adjunct faculty in these courses would have difficulty finding alternatives within the system resulting in deferred completion, further decreased revenue for the system, and diminished student success.",,
"29693","Senior Food Vouchers","200000","2.1 - Household Assistance: Food Programs","The funds will be used to increase the value of the check booklets provided to seniors over the age of 60 and disabled individuals living in congregate housing where nutrition services are provided. Eligible program participants facing increased faced food insecurity due to the negative economic impacts of the COVID-19 pandemic will receive check booklets that were increased in value from $15 to $21 to purchase fresh fruits and vegetables at participating Connecticut farmers' markets and farm stands.","Older adults who are less food secure are more likely to have adverse health consequence than food secure older adults. Chronic health conditions combined with food insecurity can negatively affect older adults’ ability to remain in the community. Due to a rise in food prices during Covid-19 and the resulting economic downturns, nutritious food is less accessible to income-restricted households. Research demonstrates the benefits of nutrition programs targeted specifically at seniors (Administration on Aging Research Brief Number 8, 2015; Lloyd JL and Wellman NS, “Older Americans Act Nutrition Programs” 2015). The expansion of existing benefits will provide stability and health benefits for Connecticut’s aging population.","The program is in early development stages and will provide performance metrics in future reports."
"29694","Farmer's Market Nutrition","200000","2.1 - Household Assistance: Food Programs","The funds will be used to increase the value of the check booklets provided to WIC participants facing food insecurity due to the negative economic impacts of the COVID-19 pandemic. This year check booklets increased from $15 to $21 to purchase fresh fruits and vegetables at participating Connecticut farmers' markets and farm stands.","The WIC program is one of the most well-documented, cost-effective programs that demonstrates real benefits to women and children. Researchers have found that: “Women who participate in WIC give birth to healthier babies who are more likely to survive infancy. WIC supports more nutritious diets and better infant feeding practices. WIC participants buy and eat more fruits, vegetables, whole grains, and low-fat dairy products, following the introduction of improved WIC food packages more closely aligned to current dietary guidance. Low-income children participating in WIC are just as likely to be immunized as more affluent children, and are more likely to receive preventive medical care than other low-income children.” (Center on Budget and Policy Priorities, WIC Works, 2021). Given the rise in food prices during Covid-19 and the resulting economic downturns, nutritious food is less accessible to income-restricted households.","The program is in early development stages and will provide performance metrics in future reports."
"29695","Farm-to-School Grant","750000","6.1 - Provision of Government Services","Connecticut Grown for Connecticut Kids Grant is a grant program to support and establish farm to school programs in schools school districts childcare centers and homes. Farm to school enriches the connection communities have with fresh healthy food and local food producers by changing food purchasing and education practices at schools, and early care and education sites. Students gain access to healthy local foods as well as education opportunities such as school gardens, cooking lessons, and farm field trips.",,"• Number of students served: 8,053
• Demographic data for students served:
Age: Birth to preschool (4%); elementary school (35%); middle school (1%); high school (4%); mixed (56%)
Three sub-programs collected data on race, representing 17% of total program participants:
Hispanic/Latino (46%); White (40%); Black (11%); Asian(2%); Multi-racial or other (2%)"
"29696","Food Insecurity Grants to Food Pantries and Food Banks","1000000","2.1 - Household Assistance: Food Programs","In partnership with End Hunger CT! funds will enable SNAP participants who have faced an increase in food insecurity due to the negative economic impacts of the COVID-19 pandemic to double the value of their SNAP benefits to purchase Connecticut Grown farm products at participating Connecticut farmer stands, at farmers' markets, and at End Hunger CT!'s Full Shelves Pantry Program which supports food pantries and social service organizations with bulk purchases of food. This program enables organizations to achieve economies of scale through bulk purchase of food access to a more diverse selection of foods and the efficient delivery of those foods than can be achieved independently which assists low to moderate communities with improving accessibly to food to individuals and families that have felt the negative economic impacts of the COVID-19 pandemic.","Food banks and pantries are a primary long-term solution to addressing food insecurity and food-based pantry interventions have a strong-evidence basis for reducing food insecurity. Furthermore, the ""Double Up Food Bucks"" program is considered an evaluated, and pilot-tested intervention per the USDA.

The implementing agency has indicated their intention to conduct a program evaluation of this project.","• Total people served: 619,189
• Total pounds of food delivered: 17,164,270
• Geographic data for people served by distribution center:
o People served: Norwich (27,966); East Hartford (28,857); Norwalk (56,304); West Haven (16,661); Bristol (24,180); Torrington/Winsted (9,292); Bridgeport (135,177); Putnam (21,861); Danbury (21,470); Rentschler Field (277,421)
o Pounds of food by percent of total: Norwich (7%); East Hartford (4%); Norwalk (9%); West Haven (2%); Bristol (3%); Torrington/Winsted (1%); Bridgeport (14%); Putnam (2%); Danbury (1%); Rentschler Field (55%)
o Note: Rentschler Field Stadium has served as an emergency food distribution location since the beginning of the pandemic, serving large numbers of families in the greater Hartford area, many of whom were new to food insecurity."
"29697","Respite Care for Family Caregivers","3000000","To be determined","Because these populations were hit harder by aspects of COVID-19 restrictions related to underlying health conditions or living situations funding is recommended to enhance or expand services across a variety of respite settings - - children or adults with complex behaviors related to intellectual disabilities or autism diagnoses or older adults needing adult day or Alzheimer's programs.",,
"29698","Beardsley Zoo","492242","2.35 - Aid to Tourism Travel or Hospitality","Funding to provide financial assistance due to loss of revenue. Due to the pandemic admissions and ticket sales for the zoo declined drastically. Additionally, there was a revenue decline in their programs and services due to limited in person programs and capacity restrictions.",,
"29699","Amistad","400000","2.35 - Aid to Tourism Travel or Hospitality","Funding provided to mitigate financial hardship as this entity experience negative economic impacts from the pandemic specifically revenue loss.  Specifically, this revenue loss was due to declines in revenue from their programs. Discovering Amistad is an organization that purchased the Amistad, Connecticut’s flagship and replica of the original schooner.  The organization developed interactive curriculum with lessons conducted by trained educators in classrooms and aboard the ship. To date they have brought their program to more than 50,000 students.",,
"29700","Maritime Center Authority","392590","2.35 - Aid to Tourism Travel or Hospitality","Funding provided to mitigate financial hardship as this entity experience negative economic impacts from the pandemic specifically revenue loss.  Specifically, this revenue loss was due to declines in admission and ticket sales as well as decreased revenue from their programs and lowered memberships and subscriptions during the course of the pandemic.",,
