"fisc_period","fisc_year","region","office","town","ttl_cps_acept_m","ttl_cps_subs_m","ttl_allegat_m","ttl_allegat_subs_m","ttl_phys_abuse_m","ttl_educ_neglect_m","ttl_emot_neglect_m","ttl_high_risk_m","ttl_medi_neglect_m","ttl_at_risk_m","ttl_phys_neglect_m","ttl_sex_abuse_m","ttl_hmntr_m","ttl_em_ab_m","ttl_moral_neglect_m","subs_phys_abuse_m","subs_educ_neglect_m","subs_emot_neglect_m","subs_high_risk_m","subs_medi_neglect_m","subs_at_risk_m","subs_phys_neglect_m","subs_sex_abuse_m","sub_hmntr_m","sub_em_ab_m","sub_moral_neglect_m","children_subs","rate_phys_abuse_m","rate_educ_neglect_m","rate_emot_neglect_m","rate_high_risk_m","rate_medi_neglect_m","rate_at_risk_m","rate_phys_neglect_m","rate_sex_abuse_m","rate_hmntr_m","rate_em_ab_m","rate_moral_neglect_m"
"07/01/2019 - 06/30/2020","2020","ALL","NULL","Statewide","23875","4792","56107","14197","5141","2297","8769","-","1284","-","35571","1470","42","961","572","499","382","2984","-","241","-","9399","480","<= 10","109","98","6798","10%","17%","34%","-","19%","-","26%","33%","11 - 21 %","11%","17%"
"07/01/2019 - 06/30/2020","2020","OTHER","NULL","OTHER","264","41","595","119","53","16","86","-","13","-","406","<= 10","-","<= 10","<= 10","-","<= 10","32","-","<= 10","-","77","<= 10","-","<= 10","-","54","-","30 - 40 %","37%","-","14 - 24 %","-","19%","19 - 29 %","-","24 - 34 %","0 - 9 %"
"07/01/2019 - 06/30/2020","2020","OTHER","NULL","Out Of State","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"07/01/2019 - 06/30/2020","2020","REGION 1","BRIDGEPORT","BRIDGEPORT","1510","412","3443","1018","349","185","496","-","76","-","2120","103","<= 10","72","40","50","47","165","-","19","-","674","38","-","14","11","571","14%","25%","33%","-","25%","-","32%","37%","0 - 9 %","19%","28%"
"07/01/2019 - 06/30/2020","2020","REGION 1","BRIDGEPORT","EASTON","12","<= 10","30","<= 10","<= 10","-","<= 10","-","-","-","21","<= 10","-","-","-","-","-","-","-","-","-","<= 10","-","-","-","-","<= 10","0 - 9 %","-","0 - 9 %","-","-","-","4 - 14 %","0 - 9 %","-","-","-"
"07/01/2019 - 06/30/2020","2020","REGION 1","BRIDGEPORT","FAIRFIELD","145","26","285","54","34","14","54","-","<= 10","-","159","<= 10","-","<= 10","<= 10","<= 10","<= 10","21","-","-","-","28","-","-","<= 10","<= 10","34","5 - 15 %","6 - 16 %","39%","-","0 - 9 %","-","18%","0 - 9 %","-","10 - 20 %","32 - 42 %"
"07/01/2019 - 06/30/2020","2020","REGION 1","BRIDGEPORT","MONROE","53","13","141","35","11","<= 10","43","-","<= 10","-","72","-","-","<= 10","<= 10","-","<= 10","<= 10","-","<= 10","-","23","-","-","-","<= 10","17","-","49 - 59 %","15 - 25 %","-","42 - 52 %","-","32%","-","-","0 - 9 %","49 - 59 %"
"07/01/2019 - 06/30/2020","2020","REGION 1","BRIDGEPORT","STRATFORD","305","69","695","172","90","43","78","-","36","-","416","11","-","<= 10","12","<= 10","15","19","-","16","-","97","<= 10","-","<= 10","<= 10","99","9 - 19 %","35%","24%","-","44%","-","23%","44 - 54 %","-","32 - 42 %","66 - 76 %"
"07/01/2019 - 06/30/2020","2020","REGION 1","BRIDGEPORT","TRUMBULL","91","22","210","53","24","<= 10","27","-","<= 10","-","127","<= 10","-","<= 10","<= 10","-","<= 10","12","-","<= 10","-","28","<= 10","-","<= 10","-","34","-","24 - 34 %","44%","-","16 - 26 %","-","22%","99 - 109 %","-","39 - 49 %","0 - 9 %"
"07/01/2019 - 06/30/2020","2020","REGION 1","NORWALK","NORWALK","471","151","983","378","115","45","129","-","27","-","612","28","<= 10","18","<= 10","11","15","71","-","<= 10","-","254","14","-","<= 10","<= 10","221","10%","33%","55%","-","21 - 31 %","-","42%","50%","0 - 9 %","16 - 26 %","49 - 59 %"
"07/01/2019 - 06/30/2020","2020","REGION 1","NORWALK","WESTON","22","<= 10","56","<= 10","<= 10","<= 10","16","-","-","-","27","-","-","<= 10","<= 10","-","-","<= 10","-","-","-","<= 10","-","-","<= 10","-","<= 10","0 - 9 %","0 - 9 %","18 - 28 %","-","-","-","14 - 24 %","-","-","24 - 34 %","0 - 9 %"
"07/01/2019 - 06/30/2020","2020","REGION 1","NORWALK","WESTPORT","54","<= 10","124","27","15","<= 10","14","-","<= 10","-","90","<= 10","-","-","<= 10","<= 10","-","<= 10","-","-","-","23","-","-","-","-","15","6 - 16 %","0 - 9 %","20 - 30 %","-","0 - 9 %","-","26%","0 - 9 %","-","-","0 - 9 %"
"07/01/2019 - 06/30/2020","2020","REGION 1","NORWALK","WILTON","45","<= 10","90","14","12","-","20","-","<= 10","-","49","-","-","<= 10","<= 10","-","-","<= 10","-","<= 10","-","<= 10","-","-","<= 10","<= 10","<= 10","-","-","14 - 24 %","-","74 - 84 %","-","9 - 19 %","-","-","49 - 59 %","66 - 76 %"
"07/01/2019 - 06/30/2020","2020","REGION 1","STAMFORD","DARIEN","24","<= 10","59","<= 10","<= 10","-","<= 10","-","<= 10","-","43","-","-","-","-","-","-","<= 10","-","-","-","<= 10","-","-","-","-","<= 10","0 - 9 %","-","49 - 59 %","-","0 - 9 %","-","15 - 25 %","-","-","-","-"
"07/01/2019 - 06/30/2020","2020","REGION 1","STAMFORD","GREENWICH","152","25","331","64","35","18","41","-","11","-","195","11","-","13","<= 10","<= 10","<= 10","<= 10","-","<= 10","-","41","<= 10","-","-","-","40","5 - 15 %","27 - 37 %","23 - 33 %","-","35 - 45 %","-","21%","17 - 27 %","-","-","0 - 9 %"
"07/01/2019 - 06/30/2020","2020","REGION 1","STAMFORD","NEW CANAAN","31","<= 10","84","20","12","-","<= 10","-","<= 10","-","56","<= 10","-","<= 10","<= 10","<= 10","-","<= 10","-","-","-","16","-","-","-","-","11","7 - 17 %","-","37 - 47 %","-","0 - 9 %","-","29%","0 - 9 %","-","0 - 9 %","0 - 9 %"
"07/01/2019 - 06/30/2020","2020","REGION 1","STAMFORD","STAMFORD","632","202","1296","449","166","70","209","-","38","-","746","41","-","16","<= 10","21","25","99","-","11","-","276","14","-","<= 10","<= 10","278","13%","36%","47%","-","29%","-","37%","34%","-","5 - 15 %","19 - 29 %"
"07/01/2019 - 06/30/2020","2020","REGION 2","MILFORD","ANSONIA","189","51","430","141","40","27","87","-","16","-","250","<= 10","-","<= 10","<= 10","<= 10","<= 10","42","-","<= 10","-","87","-","-","-","-","70","4 - 14 %","18 - 28 %","48%","-","30 - 40 %","-","35%","0 - 9 %","-","0 - 9 %","0 - 9 %"
"07/01/2019 - 06/30/2020","2020","REGION 2","MILFORD","BETHANY","16","<= 10","39","<= 10","<= 10","<= 10","12","-","<= 10","-","16","<= 10","-","<= 10","-","-","-","<= 10","-","-","-","<= 10","<= 10","-","-","-","<= 10","0 - 9 %","0 - 9 %","57 - 67 %","-","0 - 9 %","-","12 - 22 %","49 - 59 %","-","0 - 9 %","-"
"07/01/2019 - 06/30/2020","2020","REGION 2","MILFORD","BRANFORD","89","26","230","89","14","<= 10","23","-","<= 10","-","168","<= 10","-","<= 10","<= 10","<= 10","-","<= 10","-","<= 10","-","72","<= 10","-","-","-","47","13 - 23 %","0 - 9 %","42 - 52 %","-","32 - 42 %","-","43%","49 - 59 %","-","0 - 9 %","0 - 9 %"
"07/01/2019 - 06/30/2020","2020","REGION 2","MILFORD","DERBY","119","35","268","90","32","12","39","-","<= 10","-","168","<= 10","-","<= 10","<= 10","<= 10","<= 10","17","-","<= 10","-","64","<= 10","-","-","-","47","8 - 18 %","24 - 34 %","44%","-","66 - 76 %","-","38%","32 - 42 %","-","0 - 9 %","0 - 9 %"
"07/01/2019 - 06/30/2020","2020","REGION 2","MILFORD","EAST HAVEN","200","48","465","115","35","15","80","-","<= 10","-","300","<= 10","<= 10","<= 10","<= 10","<= 10","<= 10","31","-","<= 10","-","72","<= 10","-","<= 10","-","65","2 - 12 %","39 - 49 %","39%","-","9 - 19 %","-","24%","32 - 42 %","0 - 9 %","24 - 34 %","0 - 9 %"
