"fiscal_year","town_code","municipality","total_consideration_for","total_amount_due","consideration_for_unimproved","tax_on_unimproved_land","total_consideration_for_1","consideration_for_residential","tax_on_consideration_under","consideration_for_residential_1","tax_on_consideration_over","consideration_for_residential_2","tax_on_consideration_between","consideration_for_residential_3","tax_on_consideration_over_1","residential_property_other","tax_on_residential_property","nonresidential_property_other","tax_on_nonresidential_property","delinquent_mortgage_conveyance","tax_on_delinquent_mortgagor","number_of_taxable_conveyances","number_of_non_taxable_and"
"FY 2020-21","001","ANDOVER (001)","17111964","128340","789500","5921","16322464","16322464","122418",,,"0","0","0","0","0","0","0","0","0","0","64","32"
"FY 2020-21","002","ANSONIA (002)","77608982","586742","1920500","14404","74437482","74437482","558281",,,"0","0","0","0","316000","2370","935000","11688","0","0","315","139"
"FY 2020-21","003","ASHFORD (003)","25613177","194738","910801","6831","24242476","24174476","181309",,,"68000","850","0","0","0","0","459900","5749","0","0","117","44"
"FY 2020-21","004","AVON (004)","215147550","1713721","3988500","29914","206346086","190981136","1432359",,,"15114950","188937","250000","5625","655000","4913","4157965","51975","0","0","497","221"
"FY 2020-21","005","BARKHAMSTED (005)","25113043","193758","1707500","12806","22723543","22323543","167427",,,"400000","5000","0","0","0","0","682000","8525","0","0","101","59"
"FY 2020-21","006","BEACON FALLS (006)","40434462","323017","976810","7326","35470974","35470974","266032",,,"0","0","0","0","35000","263","3951678","49396","0","0","143","65"
"FY 2020-21","007","BERLIN (007)","124613133","1002288","2875447","21566","108159783","108044883","810337",,,"114900","1436","0","0","155000","1163","13422903","167786","0","0","402","211"
"FY 2020-21","008","BETHANY (008)","48899448","374908","1814900","13612","46289548","45452048","340890",,,"837500","10469","0","0","0","0","795000","9938","0","0","133","33"
"FY 2020-21","009","BETHEL (009)","223644751","1797416","2276900","17077","202321451","198342451","1487568",,,"3429000","42863","550000","12375","109400","821","18937000","236713","0","0","525","178"
"FY 2020-21","010","BETHLEHEM (010)","34878143","268186","2154100","16156","32654043","31404043","235530",,,"1250000","15625","0","0","0","0","70000","875","0","0","103","52"
"FY 2020-21","011","BLOOMFIELD (011)","147801426","1336043","5640000","42300","96292017","96292017","722190",,,"0","0","0","0","363000","2723","45506409","568830","0","0","414","179"
"FY 2020-21","012","BOLTON (012)","29335356","222115","107400","806","28807956","28807956","216060",,,"0","0","0","0","0","0","420000","5250","0","0","107","41"
"FY 2020-21","013","BOZRAH (013)","14639671","125909","636000","4770","10806296","10781296","80860",,,"25000","313","0","0","0","0","3197375","39967","0","0","50","26"
"FY 2020-21","014","BRANFORD (014)","276740523","2298026","8422401","63168","239940316","220365206","1652739",,,"17475110","218439","2100000","47250","7658500","57439","20719306","258991","0","0","767","324"
"FY 2020-21","015","BRIDGEPORT (015)","579250078","4644721","16727674","125458","485962958","481717958","3612885",,,"2245000","28063","2000000","45000","24735368","185515","51824078","647801","0","0","2169","860"
"FY 2020-21","016","BRIDGEWATER (016)","45454195","385334","7189500","53921","37552575","29379248","220344",,,"8173327","102167","0","0","0","0","712120","8902","0","0","64","26"
"FY 2020-21","017","BRISTOL (017)","354389387","2808709","5160562","38704","277886680","275823680","2068678",,,"2063000","25788","0","0","43247400","324356","28094745","351184","0","0","1372","515"
"FY 2020-21","018","BROOKFIELD (018)","193653621","1594018","3412248","25592","177190373","162643174","1219824",,,"14184699","177309","362500","8156","0","0","13051000","163138","0","0","440","174"
"FY 2020-21","019","BROOKLYN (019)","52012233","394192","1595310","11965","48417023","48417023","363128",,,"0","0","0","0","1179900","8849","820000","10250","0","0","206","102"
"FY 2020-21","020","BURLINGTON (020)","88853969","670474","2185900","16394","86189319","85664319","642482",,,"525000","6563","0","0","190000","1425","288750","3609","0","0","250","90"
"FY 2020-21","021","CANAAN (021)","15520182","122416","232000","1740","15288182","14085182","105639",,,"1203000","15038","0","0","0","0","0","0","0","0","45","10"
"FY 2020-21","022","CANTERBURY (022)","24296551","183574","1696150","12721","22315401","22315401","167366",,,"0","0","0","0","15000","113","270000","3375","0","0","106","105"
"FY 2020-21","023","CANTON (023)","91431715","717572","2625525","19691","83319368","81889368","614170",,,"1430000","17875","0","0","549900","4124","4936922","61712","0","0","267","88"
"FY 2020-21","024","CHAPLIN (024)","9721621","77223","583900","4379","8275477","8275477","62066",,,"0","0","0","0","0","0","862244","10778","0","0","48","20"
"FY 2020-21","025","CHESHIRE (025)","231881573","1969069","4323326","32425","181467714","180416819","1353126",,,"1050896","13136","0","0","1150000","8625","44940533","561757","0","0","528","238"
"FY 2020-21","026","CHESTER (026)","36301365","290330","1174100","8806","32024765","31485265","236139",,,"539500","6744","0","0","28000","210","3074500","38431","0","0","96","47"
"FY 2020-21","027","CLINTON (027)","154628119","1245062","6538500","49039","140011319","129294319","969707",,,"10567000","132088","150000","3375","2025000","15188","6053300","75666","0","0","414","184"
