"fiscal_year","agency","disbursement_number","disbursement_date","vendor_setid","vendor_header_id","vendor_id","agency_description","vendor_name","vendor_address_line1","ct_vndr_name2","contract_id","sid","sid_desc","account_","object_code_description","grant_ind","grant_desc","payment_detail_purchase_order","payment_accounting_net_amount","sens_po_ind_","edoc_number"
"2019","UOC","234100","2018-08-20T00:00:00.000",,"10029","10029-0","University of Connecticut","WW Grainger Inc",,,,,,,"Tools","false",,"306644","387.10",,"7955711"
"2019","UOC","1152477","2019-06-07T00:00:00.000",,"11072","11072-0","University of Connecticut","Nippon Express USA Inc",,,,,,,"Freight+Cartage Expenses","false",,,"420.52",,"8985587"
"2019","UOC","1130106","2018-09-25T00:00:00.000",,"10004","10004-0","University of Connecticut","Assoc For Black Culture Ctrs",,,,,,,"Dues - Individual, Civic Or Social Org.","false",,,"350.00",,"8184721"
"2019","UOC","231381","2018-07-13T00:00:00.000",,"10006","10006-0","University of Connecticut","Caterpillar Financial Services",,,,,,,"Interest On Debt","false",,,"70660.11",,"7907636"
"2019","UOC","231381","2018-07-13T00:00:00.000",,"10006","10006-0","University of Connecticut","Caterpillar Financial Services",,,,,,,"Long-Term Debt-Other","false",,,"390985.02",,"7907636"
"2019","UOC","234021","2018-08-17T00:00:00.000",,"10006","10006-0","University of Connecticut","Caterpillar Financial Services",,,,,,,"Interest On Debt","false",,,"72268.01",,"7996692"
"2019","UOC","234021","2018-08-17T00:00:00.000",,"10006","10006-0","University of Connecticut","Caterpillar Financial Services",,,,,,,"Long-Term Debt-Other","false",,,"389377.12",,"7996692"
"2019","UOC","236202","2018-09-18T00:00:00.000",,"10006","10006-0","University of Connecticut","Caterpillar Financial Services",,,,,,,"Interest On Debt","false",,,"71523.65",,"8114714"
"2019","UOC","236202","2018-09-18T00:00:00.000",,"10006","10006-0","University of Connecticut","Caterpillar Financial Services",,,,,,,"Long-Term Debt-Other","false",,,"390121.48",,"8114714"
"2019","UOC","238697","2018-10-18T00:00:00.000",,"10006","10006-0","University of Connecticut","Caterpillar Financial Services",,,,,,,"Interest On Debt","false",,,"68494.71",,"8217202"
"2019","UOC","238697","2018-10-18T00:00:00.000",,"10006","10006-0","University of Connecticut","Caterpillar Financial Services",,,,,,,"Long-Term Debt-Other","false",,,"393150.42",,"8217202"
"2019","UOC","241506","2018-11-16T00:00:00.000",,"10006","10006-0","University of Connecticut","Caterpillar Financial Services",,,,,,,"Interest On Debt","false",,,"70026.30",,"8336774"
"2019","UOC","241506","2018-11-16T00:00:00.000",,"10006","10006-0","University of Connecticut","Caterpillar Financial Services",,,,,,,"Long-Term Debt-Other","false",,,"391618.83",,"8336774"
