"fiscal_year","company_name","company_address","municipality","state","zip_code","business_industry","naics_code","woman_minority_veteran_international_export","contract_execution_date","grant_amount","loan_amount","total_assistance","total_project_cost","amount_leveraged","funding_source","statutory_reference","job_obligation_status","penalty_if_applicable","forgiveness_earned_if_applicable","status","count"
"2017","AQR Capital Management, LLC","2 Greenwich Plaza","Greenwich","CT","06830","Manufacturing","523920","No","2016-12-06T00:00:00.000","7000000","28000000","35000000","72783300","37783300","Manufacturing Assistance Act- First Five","CH 588l","Met","n/a","$   13,000,000","Active","1"
"2018","ASML US, LLC","77 Danbury Road","Wilton","CT","06897","Manufacturing","333242","No","2018-06-27T00:00:00.000","14000000","0","14000000","82911102","68911102","Manufacturing Assistance Act- First Five","CH 588l","Met","n/a","n/a","Active","1"
"2016","Bridgewater Associates, LP*","1 Glendinning Place","Westport","CT","06880","Manufacturing","523930","No","2016-05-16T00:00:00.000","5000000","17000000","22000000","527500000","505500000","Manufacturing Assistance Act - First Five/URA Tax Credits","CH 588l","Met","n/a","$   10,837,500","Active","1"
"2014","CareCentrix, Inc.","20 Church Street, Suite 1200","Hartford","CT","06103","Manufacturing","621610","No","2013-07-10T00:00:00.000","24000000","0","24000000","167682907","143682907","Manufacturing Assistance Act - First Five","CH 588l","Met","n/a","n/a","Active","1"
"2014","Charter Communications Holding Company, LLC","400 Atlantic Street","Stamford","CT","06901","Manufacturing","515210","No","2014-01-17T00:00:00.000","2000000","6500000","8500000","13680553","5180553","Manufacturing Assistance Act - First Five","CH 588l","Met","n/a","$   6,500,000","Active","1"
"2019","Charter Communications Holding Company, LLC","400 Atlantic Street","Stamford","CT","06901","Telecommunications","517911","No","2019-01-02T00:00:00.000","0","10000000","10000000","126475306","116475306","Manufacturing Assistance Act - First Five/URA Tax Credits","CH 588l","Met","n/a","$   7,000,000","Active","1"
"2012","Cigna Health & Life Insurance Company","900 Cottage Grove Road","Bloomfield","CT","06002","Manufacturing","524114","No","2011-12-22T00:00:00.000","6000000","15000000","21000000","154995080","133995080","Manufacturing Assistance Act - First Five/URA Tax Credits","CH 588l","Met","n/a","$   10,000,000","Active","1"
"2015","Deloitte Services, LP","695 East Main Street","Stamford","CT","06902","Manufacturing","541219","No","2014-08-15T00:00:00.000","14500000","0","14500000","81946380","67446380","Manufacturing Assistance Act - First Five","CH 588l","Pending","n/a","n/a","Active","1"
"2015","HANWHA Aerospace USA, LLC (f/k/a EDAC Technologies Corporation)","5 McKee Place","Cheshire","CT","06410","Manufacturing","336412","No","2014-11-07T00:00:00.000","10000000","38000000","48000000","121299750","73299750","Manufacturing Assistance Act - First Five","CH 588l","Met","n/a","$   28,000,000","Active","1"
"2018","Henkel of America, Inc.","200 Elm Street","Stamford","CT","06902","Manufacturing","325611","No","2018-04-26T00:00:00.000","0","20000000","20000000","50267967","30267967","Manufacturing Assistance Act - First Five/URA Tax Credits","CH 588l","Met","n/a","$   20,000,000","Active","1"
"2013","Navigators Management Company, Inc.","400 Atlantic Street","Stamford","CT","06901","Manufacturing","561110","No","2013-05-15T00:00:00.000","3500000","8000000","11500000","25000000","13500000","Manufacturing Assistance Act - First Five","CH 588l","Met","n/a","$   7,000,000","Active","1"
"2014","NBC Sports Network, LP","208 Harbor Drive","Stamford","CT","06902","Manufacturing","515210","No","2014-06-18T00:00:00.000","0","26000000","26000000","127850623","101850623","Manufacturing Assistance Act - First Five","CH 588l","Met","n/a","$   26,000,000","Active","1"
"2015","Pitney Bowes, Inc.","1 Elmcroft Road","Stamford","CT","06926","Manufacturing","333318","No","2014-08-14T00:00:00.000","1000000","15000000","16000000","25100000","9100000","Manufacturing Assistance Act - First Five/URA Tax Credits","CH 588l","Met","n/a","$   10,000,000","Active","1"
"2018","Seven Stars Cloud Group, Inc.","1700 and 1800 Asylum Avenue","West Hartford","CT","06111","Manufacturing","541611","No","2018-06-29T00:00:00.000","0","10000000","10000000","283300000","273300000","Manufacturing Assistance Act Revolving Loan Fund- First Five","CH 588l","Pending","n/a","n/a","Active","1"
"2014","Sustainable Building Systems USA, LLC","18 Craftsman Road","East Windsor","CT","06088","Manufacturing","332311","No","2014-05-05T00:00:00.000","0","19100000","19100000","98578769","79478769","Manufacturing Assistance Act - First Five","CH 588l","Pending","n/a","n/a","Active","1"
"2016","Synchrony Bank","777 Long Ridge Road","Stamford","CT","06902","Manufacturing","522210","No","2015-12-15T00:00:00.000","20000000","0","20000000","71300000","51300000","Manufacturing Assistance Act - First Five","CH 588l","Met","n/a","n/a","Active","1"
