"certifyingagent","certno","primaryscope","operationname","physicaladdress","zipcode","county","productsproduced","location_1"
"Baystate Organic Certifiers","15047","CROPS","Hamlet Hill Farm","40 Hamlet Hill Rd","06244"," East Woodstock"," Berries, Flowers, Fruit Trees, Herbs, Vegetables","40 Hamlet Hill Rd
East Woodstock, CT 06244"
"Baystate Organic Certifiers","16042","CROPS","Salmon Kill Farm","317 Salmon Kill Rd.","16042"," Salisbury"," Hay, Vegetables, Herbs, Flowers, Fruit, Seedlings","317 Salmon Kill Rd.
Salisbury, CT 16042"
"Baystate Organic Certifiers","2092","CROPS","Wayne's Organic Garden","1080 Plainfield Pike","06373-0154"," Oneco"," Greenhouse Tomatoes, Herbs, Sedlings, Strawberries, Vegetables","1080 Plainfield Pike
Oneco, CT 06373-0154"
"Oregon Tilth Certified Organic",,"HANDLING","Guida Seibert Dairy Co.","PO Box 2110","06050"," New Britain"," Cream, Low Fat (1%) Milk, Non Fat (skim) Milk, Reduced Fat (2%) Milk, Whole Milk","PO Box 2110
New Britain, CT 06050"
"Northeast Organic Farming Association of New York","2014006","CROPS","Sub Edge Farm","199 Town Farm Road","06032"," Farmington"," Garlic, Hay, Pasture, Slicing Tomatoes, Transplants","199 Town Farm Road
Farmington, CT 06032
(41.75556, -72.827769)"
"Quality Assurance International",,"HANDLING","Nature's Pure Beverage Co LLC","Two Corporate Drive Suite 136","06484"," Shelton"," Cherry Jubilee Cola (8 oz and 16 oz), Cola (8 oz and 16 oz), French Vanilla Cola (8 oz and 16 oz)","Two Corporate Drive Suite 136
Shelton, CT 06484"
"Baystate Organic Certifiers","12142","CROPS","Blueberry Hill Organic Farm","314 Margaret Henry Rd.","06239"," Danielson"," Blueberries, Herbs, Seedlings, Vegetables","314 Margaret Henry Rd.
Danielson, CT 06239
(41.774393, -71.82172)"
"Baystate Organic Certifiers","8030","CROPS","Koster Keunen LLC","1021 Echo Lake Rd.","06795"," Watertown"," Wax ","1021 Echo Lake Rd.
Watertown, CT 06795
(41.610195, -73.082)"
"Baystate Organic Certifiers","3041","CROPS","Starry Night Farm","368 Mistuxet Ave.","06378"," Stonington"," Vegetables","368 Mistuxet Ave.
Stonington, CT 06378
(41.36525, -71.933671)"
"Baystate Organic Certifiers","6053","CROPS","Valchris Farm","400 Ridge Hill Rd.","06370"," Oakdale"," Vegetables","400 Ridge Hill Rd.
Oakdale, CT 06370
(41.442869, -72.195728)"
"Baystate Organic Certifiers","16006","CROPS","Maple Craft Foods, LLC","6 Cider Mill Rd","06482"," Sandy Hook","  ","6 Cider Mill Rd
Sandy Hook, CT 06482
(41.413985, -73.224805)"
"Baystate Organic Certifiers","9035","CROPS","Hop Top Organic Tillage","220 Leonard Rd.","06076"," Stafford Springs"," Fruit, Hay, Herbs, Seedlings, Vegetables","220 Leonard Rd.
Stafford Springs, CT 06076
(42.013666, -72.295276)"
"Baystate Organic Certifiers","3051","CROPS","The George Hall Farm Aka Ogre Farm","180 Old Farms Rd.","06070"," Simsbury"," Berries, Flowers, Herbs, Seedlings, Vegetables ","180 Old Farms Rd.
Simsbury, CT 06070
(41.894459, -72.846916)"
"Baystate Organic Certifiers","13079","HANDLING","Raw Food Central LLC","83 White Oak Dr.","06037"," Berlin"," Chips, Crackers, Onion Rings, Snack Mix","83 White Oak Dr.
Berlin, CT 06037
(41.640529, -72.723967)"
"Baystate Organic Certifiers","9061","HANDLING","Poor Me Tea LLC","43 Cornwall Rd","06013"," Burlington"," Tea","43 Cornwall Rd
Burlington, CT 06013
(41.761287, -72.961718)"
"Baystate Organic Certifiers","13026","HANDLING","Freshbev LLC","26 Kendall St.","06512"," New Haven"," Project Fresh Drinks","26 Kendall St.
New Haven, CT 06512
(41.292998, -72.899724)"
"Baystate Organic Certifiers","14060","HANDLING","Ben's Beans LLC","164 Main St.","06260"," Putnam"," Roasted Coffee","164 Main St.
Putnam, CT 06260
(41.91623, -71.909549)"
"Baystate Organic Certifiers","15012","HANDLING","Moringa Source LLC","22 Shelter Rock Lane","06810"," Danbury"," Moringa products","22 Shelter Rock Lane
Danbury, CT 06810
(41.388801, -73.423076)"
