"fmid","marketname","website","county","season1date","season1time","season2date","season2time","season3date","season3time","season4date","season4time","x","y","location","credit","wic","wiccash","sfmnp","snap","bakedgoods","cheese","crafts","flowers","eggs","seafood","herbs","vegetables","honey","jams","maple","meat","nursery","nuts","plants","poultry","prepared","soap","trees","wine","updatetime","location_1"
"1007460","Meriden Farmers Market",,"New Haven",,,,,,,,,"-72.804900000000004","41.538200000000003",,"Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","2009","Butler Street parking lot
Meriden, Connecticut 6450
(41.5382, -72.8049)"
"1007500","WATERBURY - MALL FARMERS’ MARKET",,"New Haven",,,,,,,,,"-73.043300000000002","41.554400000000001",,"Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","2009","Brass City Mall, West Parking Lot
Waterbury, Connecticut 
(41.5544, -73.0433)"
"1007509","Preston Farmers’ Market",,"New London",,,,,,,,,"-71.984099999999998","41.488100000000003",,"Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","2011","#1 Route 164
Preston, Connecticut 
(41.4881, -71.9841)"
"1007501","ASHFORD FARMERS’ MARKET",,"Windham",,,,,,,,,"-72.164599999999993","41.866300000000003",,"Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","2009","Pompey Hollow Park, across from the Town Hall
Ashford, Connecticut 
(41.8663, -72.1646)"
"1007769","NORFOLK FARMERS’ MARKET","http://www.norfolkfarmersmarket.org","Litchfield",,,,,,,,,"-73.202057999999994","41.993983",,"Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","2009","Center of Town, Rte. 44
Norfolk, Connecticut 
(41.993983, -73.202058)"
"1007489","SOUTHINGTON - PLANTSVILLE FARMERS’ MARKET",,"Hartford",,,,,,,,,"-72.894499999999994","41.579900000000002",,"Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","2009","997-1003 South Main Steet
Plantsville, Connecticut 
(41.5799, -72.8945)"
"1000162","Bozrah Farmers Market","http://www.bozrahfarmersmarket.org","New London","07/05/2013 to 10/11/2013","Fri: 4:00 PM-7:00 PM;",,,,,,,"-72.168330999999995","41.552173000000003","Other","Y","Y","N","Y","N","Y","Y","Y","Y","Y","Y","N","Y","Y","Y","Y","Y","N","N","Y","Y","Y","Y","Y","N","41445.53329861111","45 Bozrah Street
Bozrah, Connecticut 6334
(41.552173, -72.168331)"
"1007512","Stamford Museum & Nature Center Farmers’ Market",,"Fairfield",,,,,,,,,"-73.545199999999994","41.123600000000003",,"Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","2011","39 Scofieldtown Road
Stamford, Connecticut 
(41.1236, -73.5452)"
"1007475","Burlington Farmers Market",,"Hartford",,,,,,,,,"-72.967100000000002","41.768900000000002",,"Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","2009","Burlington Congregational Church
Burlington, Connecticut 6013
(41.7689, -72.9671)"
"1001312","Higganum Village Farmers' Market","http://www.higganumvillagefarmersmarket.org","Middlesex","06/07/2013 to 10/25/2013","Fri: 3:30 PM-6:30 PM;",,,,,,,"-72.560406","41.496845999999998","Local government building grounds","Y","Y","Y","Y","N","Y","Y","Y","Y","Y","N","Y","Y","Y","N","N","Y","N","N","Y","Y","Y","Y","Y","N","41449.616481481484","231 Saybrook Road
Higganum, Connecticut 6441
(41.496846, -72.560406)"
