"township","age_group","age","count"
"Andover","1","Under 1 year old","12"
"Andover","2","Ages 1-4","32"
"Andover","3","Ages 5-17","105"
"Andover","4","Ages 18-64","420"
"Andover","5","Ages 65 and older","86"
"Ansonia","1","Under 1 year old","199"
"Ansonia","2","Ages 1-4","724"
"Ansonia","3","Ages 5-17","2263"
"Ansonia","4","Ages 18-64","5851"
"Ansonia","5","Ages 65 and older","961"
"Ashford","1","Under 1 year old","20"
"Ashford","2","Ages 1-4","92"
"Ashford","3","Ages 5-17","255"
"Ashford","4","Ages 18-64","786"
"Ashford","5","Ages 65 and older","166"
"Avon","1","Under 1 year old","18"
"Avon","2","Ages 1-4","96"
"Avon","3","Ages 5-17","389"
"Avon","4","Ages 18-64","1296"
"Avon","5","Ages 65 and older","572"
"Barkhamsted","1","Under 1 year old","14"
"Barkhamsted","2","Ages 1-4","41"
"Barkhamsted","3","Ages 5-17","134"
"Barkhamsted","4","Ages 18-64","441"
"Barkhamsted","5","Ages 65 and older","125"
"Beacon Falls","1","Under 1 year old","16"
"Beacon Falls","2","Ages 1-4","95"
"Beacon Falls","3","Ages 5-17","255"
"Beacon Falls","4","Ages 18-64","825"
"Beacon Falls","5","Ages 65 and older","193"
"Berlin","1","Under 1 year old","50"
"Berlin","2","Ages 1-4","211"
"Berlin","3","Ages 5-17","690"
"Berlin","4","Ages 18-64","2231"
"Berlin","5","Ages 65 and older","1049"
"Bethany","1","Under 1 year old","7"
"Bethany","2","Ages 1-4","44"
"Bethany","3","Ages 5-17","135"
"Bethany","4","Ages 18-64","539"
"Bethany","5","Ages 65 and older","130"
"Bethel","1","Under 1 year old","82"
"Bethel","2","Ages 1-4","398"
"Bethel","3","Ages 5-17","1292"
"Bethel","4","Ages 18-64","2906"
"Bethel","5","Ages 65 and older","735"
"Bethlehem","1","Under 1 year old","10"
"Bethlehem","2","Ages 1-4","35"
"Bethlehem","3","Ages 5-17","158"
"Bethlehem","4","Ages 18-64","425"
"Bethlehem","5","Ages 65 and older","139"
"Bloomfield","1","Under 1 year old","90"
"Bloomfield","2","Ages 1-4","490"
"Bloomfield","3","Ages 5-17","1594"
"Bloomfield","4","Ages 18-64","4542"
"Bloomfield","5","Ages 65 and older","1662"
"Bolton","1","Under 1 year old","9"
"Bolton","2","Ages 1-4","54"
"Bolton","3","Ages 5-17","187"
"Bolton","4","Ages 18-64","572"
"Bolton","5","Ages 65 and older","143"
"Bozrah","1","Under 1 year old","12"
"Bozrah","2","Ages 1-4","43"
"Bozrah","3","Ages 5-17","137"
"Bozrah","4","Ages 18-64","476"
"Bozrah","5","Ages 65 and older","112"
"Branford","1","Under 1 year old","65"
"Branford","2","Ages 1-4","331"
"Branford","3","Ages 5-17","1201"
"Branford","4","Ages 18-64","4373"
"Branford","5","Ages 65 and older","1407"
"Bridgeport","1","Under 1 year old","1920"
"Bridgeport","2","Ages 1-4","7482"
"Bridgeport","3","Ages 5-17","23406"
"Bridgeport","4","Ages 18-64","54239"
"Bridgeport","5","Ages 65 and older","9963"
"Bridgewater","1","Under 1 year old","9"
"Bridgewater","2","Ages 1-4","14"
"Bridgewater","3","Ages 5-17","27"
"Bridgewater","4","Ages 18-64","167"
"Bridgewater","5","Ages 65 and older","44"
"Bristol","1","Under 1 year old","436"
"Bristol","2","Ages 1-4","1883"
"Bristol","3","Ages 5-17","5840"
"Bristol","4","Ages 18-64","15189"
"Bristol","5","Ages 65 and older","3920"
"Brookfield","1","Under 1 year old","50"
"Brookfield","2","Ages 1-4","238"
"Brookfield","3","Ages 5-17","817"
"Brookfield","4","Ages 18-64","2065"
"Brookfield","5","Ages 65 and older","481"
"Brooklyn","1","Under 1 year old","43"
"Brooklyn","2","Ages 1-4","197"
"Brooklyn","3","Ages 5-17","609"
"Brooklyn","4","Ages 18-64","1610"
"Brooklyn","5","Ages 65 and older","477"
"Burlington","1","Under 1 year old","19"
"Burlington","2","Ages 1-4","54"
"Burlington","3","Ages 5-17","264"
"Burlington","4","Ages 18-64","801"
"Burlington","5","Ages 65 and older","218"
"Canaan","1","Under 1 year old","16"
"Canaan","2","Ages 1-4","57"
"Canaan","3","Ages 5-17","260"
"Canaan","4","Ages 18-64","773"
"Canaan","5","Ages 65 and older","299"
"Canterbury","1","Under 1 year old","20"
"Canterbury","2","Ages 1-4","106"
"Canterbury","3","Ages 5-17","298"
"Canterbury","4","Ages 18-64","842"
"Canterbury","5","Ages 65 and older","219"
"Canton","1","Under 1 year old","25"
"Canton","2","Ages 1-4","86"
"Canton","3","Ages 5-17","322"
"Canton","4","Ages 18-64","975"
"Canton","5","Ages 65 and older","425"
"Chaplin","1","Under 1 year old","15"
"Chaplin","2","Ages 1-4","44"
"Chaplin","3","Ages 5-17","194"
"Chaplin","4","Ages 18-64","486"
"Chaplin","5","Ages 65 and older","94"
"Cheshire","1","Under 1 year old","38"
"Cheshire","2","Ages 1-4","190"
