"fiscal_year","type","applicant","address","municipality","county","zip_code","project","closing_date","funding_source","grant_amount","loan_amount","total_assistance","total_project_cost","amount_leveraged","location_1"
"2012","Infrastructure Project","Seven Angels Theatre","P.O.Box 3358","Waterbury","Waterbury","06705","Production Building & Casting House","2012-01-09T00:00:00.000","UA (OPM)","$   500,000",,"$   500,000","$   500,000","$   - 0",
"2015.0","Infrastructure Project","Seymour, Town of","One First Street","Seymour","New Haven","06483","Sidewalk Replacement Phase III","2014-08-27T00:00:00.000","STEAP","$   168,000",,"$   168,000","$   168,000","$   - 0",
"2017.0","Infrastructure Project","Norwalk, City of","125 East Ave","Norwalk",,"06851","Lockwood Mathews Mansion","2016-08-24T00:00:00.000","Urban Act","$   500,000",,"$   500,000","$   500,000","$   - 0","POINT (-73.407657 41.113119)"
"2012","Technical Program Support","Waterbury Regional Chamber of Commerce","83 Bank Street, P.O. Box 1469","Waterbury","New Haven","06721","2112/13 CT Partnership Initiative","2012-06-12T00:00:00.000","Manufacturers Assistance Act","$   40,000","$   - 0","$   40,000","$   80,000","$   40,000","POINT (-73.040935 41.554665)"
"2021.0",,"Marlborough, Town of","15 School Drive","Marlborough",,"06447","Richmond Memorial Library ADA","2021-03-25T00:00:00.000","STEAP","$   128,205",,"$   128,205","$   526,205","$   398,000","POINT (-72.45786 41.62908800000001)"
"2014.0","Arts, Culture and Entertainment Projects","Hartford, City of","550 Main Street","Hartford","Hartford","06103","John E Rogers African American Cultural Center","2013-12-09T00:00:00.000","Urban Act","$   1,000,000","$   - 0","$   1,000,000","$   1,207,000","$   207,000","POINT (-72.674293 41.762756)"
"2013","Infrastructure Project","Suffield, Town of","83 Mountain Road","Suffield","Hartford","06078","Suffield Utility Extension Project","2013-01-15T00:00:00.000","Urban Act","$   980,000","$   - 0","$   980,000","$   980,000","$   - 0","POINT (-72.653683 41.982754)"
"2020.0",,"Goodspeed Musicals","6 Main Street","East Haddam",,"06423","Norwich and Lumberyard Roads Resoration - Flood Damage","2020-05-06T00:00:00.000","UA-OPM","$   400,000",,"$   400,000","$   400,000","$   - 0","POINT (-72.462208 41.451941)"
"2020.0",,"Stamford Center for the Arts","61 Atlantic Street","Stamford",,"06901","Palace Theater and Rich Forum Improvements","2019-08-07T00:00:00.000","UA (OPM)","$   1,221,000",,"$   1,221,000","$   1,221,000","$   - 0","POINT (-73.539351 41.05439100000001)"
"2017.0","Infrastructure Project","Brookfield, Town of","100 Pocono Road","Brookfield",,"06804","Four Corners Streetscape Improvements  - Phase II","2016-07-25T00:00:00.000","STEAP","$   500,000",,"$   500,000","$   500,000","$   - 0","POINT (-73.397734 41.466196)"
"2016.0","Infrastructure Project","Ridgefield, Town of","400 Main Street","Ridgefield","Fairfield","06877","Ridgefield Rt. 35 Improvements Ph 3","2016-02-19T00:00:00.000","STEAP","$   320,000",,"$   320,000","$   320,000","$   - 0","POINT (-73.498431 41.28147)"
"2012","Infrastructure Project","Putnam, Town of","126 Church Street","Putnam","Windham","06260","Three Community Development Projects","2011-07-01T00:00:00.000","STEAP","$   95,000",,"$   95,000","$   95,000","$   - 0","POINT (-71.912084 41.918751)"
"2013","Infrastructure Project","Putnam, Town of","126 Church Street","Putnam","Windham","06260","Quinebaug Regional Technology Park Phase I","2012-11-05T00:00:00.000","STEAP","$   469,000","$   - 0","$   469,000","$   469,000","$   - 0","POINT (-71.912084 41.918751)"
"2021.0",,"Connecticut Association for Performing Arts","247 College Street","New Haven",,"06510","Shubert Theater Phase II Renovations","2020-10-14T00:00:00.000","UA-OPM","$   500,000",,"$   500,000","$   500,000","$   - 0","POINT (-72.929169 41.306663)"
"2015.0","Infrastructure Project","Bridgeport, City of","999 Broad Street","Bridgeport","Fairfield","06604","Black Rock Business District Improvements","2014-09-08T00:00:00.000","Special Act","$   500,000",,"$   500,000","$   500,000","$   - 0","POINT (-73.190419 41.17678200000001)"
"2013","Museum Investment Projects","Hartford, City of","550 Main Street","Hartford","Hartford","06103","Wadsworth Atheneum Gallery Improvements","2013-05-15T00:00:00.000","Urban Act","$   2,000,000","$   - 0","$   2,000,000","$   2,000,000","$   - 0","POINT (-72.674293 41.762756)"
"2016.0","Infrastructure Project","Berlin, Town of","240 Kensington Road","Berlin","Hartford","06037","Kensington Village Area Sidewalks Project","2015-07-30T00:00:00.000","STEAP","$   500,000",,"$   500,000","$   500,000","$   - 0","POINT (-72.770646 41.627421)"
"2017.0","Infrastructure Project","Cornwalll, Town of","16 Pine St","Cornwall",,"06796","Façade Improvement Program","2017-02-17T00:00:00.000","STEAP","$   120,000",,"$   120,000","$   120,000","$   - 0","POINT (-73.329582 41.844566)"
"2018.0","Infrastructure Project","Hartford, City of","550 Main Street","Hartford",,"06103","Quality of life Initiative Project","2018-05-08T00:00:00.000","UA (OPM)","$   2,500,000",,"$   2,500,000","$   2,500,000","$   - 0","POINT (-72.674293 41.762756)"
"2012","Infrastructure Project","Hartford, City of","550 Main Street","Hartford","Hartford","06103","Construction of Traffic Controls","2011-07-18T00:00:00.000","Urban Act","$   250,000","$   - 0","$   250,000","$   250,000","$   - 0","POINT (-72.674293 41.762756)"
"2013","Infrastructure Project","Westport, Town of","110 Myrtle Avenue","Westport","Fairfield","06880","Levitt Pavillion","2013-06-05T00:00:00.000","Special Act","$   500,000","$   - 0","$   500,000","$   500,000","$   - 0","POINT (-73.360691 41.145001)"
"2016.0","Arts, Culture and Entertainment Projects","Norwalk, City of","125 East Avenue, P.O. Box 5125","Norwalk","Fairfield","06856","Maritime Aquarium Renovations","2016-06-30T00:00:00.000","Special Act","$   4,000,000",,"$   4,000,000","$   4,000,000","$   - 0","POINT (-73.407657 41.113119)"
"2021.0",,"Wethersfield Town of","505 Silas Deane Highway","Wethersfield",,"06109","Wolcott Hill Rd Street Lighting","2021-05-19T00:00:00.000","UA (OPM)","$   500,000",,"$   500,000","$   500,000","$   - 0","POINT (-72.663388 41.711776)"
"2017.0","Infrastructure Project","Sprague, Town of","1 Main Street PO Box 677","Sprague",,"06330","DPW Cold Storage Shed","2016-12-19T00:00:00.000","STEAP","$   420,000",,"$   420,000","$   420,000","$   - 0","POINT (-72.084237 41.61656800000001)"
"2015.0","Arts, Culture and Entertainment Projects","Manchester Historical Society","175 Pine Street","Manchester","Hartford","06040","Manchester Historical Society Renovations","2015-02-05T00:00:00.000","Urban Act","$   173,038",,"$   173,038","$   173,038","$   - 0","POINT (-72.530318 41.767915)"
"2012","Infrastructure Project","Marlborough, Town of","26 North Main Street","Marlborough","Hartford","06447","Town Center Streetscape Improvements","2011-08-11T00:00:00.000","STEAP","$   150,000","$   - 0","$   150,000","$   177,369","$   27,369","POINT (-72.461649 41.632132)"
"2012","Infrastructure Project","Ridgefield, Town of","400 Main Street","Ridgefield","Fairfield","06877","Route 35 Streetscape Improvements Phase II","2012-04-11T00:00:00.000","STEAP","$   250,000",,"$   250,000","$   285,000","$   35,000","POINT (-73.498431 41.28147)"
"2014.0","Arts, Culture and Entertainment Projects","Trumbull, Town of","110 Myrtle Avenue","Trumbull","Fairfield","06611","Hillcrest Pool","2014-01-02T00:00:00.000","Urban Act","$   123,890","$   - 0","$   123,890","$   123,890","$   - 0","POINT (-73.189536 41.164684)"
"2020.0",,"Waterford, Town of","15 Rope Ferry Road","Waterford",,"06385","Waterford Thames River Encroachment Mitigation","2019-12-01T00:00:00.000","MAA","$   525,000",,"$   525,000","$   525,000","$   - 0","POINT (-72.131099 41.34243)"
"2014.0","Infrastructure Project","Hebron, Town of","15 Gilead Street","Hebron","Tolland","06248","Parking and Safety Improvements Project","2014-03-12T00:00:00.000","STEAP","$   500,000","$   - 0","$   500,000","$   500,000","$   - 0","POINT (-72.367483 41.65952)"
"2015.0","Arts, Culture and Entertainment Projects","Stamford Center for the Arts, Inc.","61 Atlantic Street","Stamford","Fairfield","06901","Improvements to Mago Point Park","2014-09-16T00:00:00.000","Special Act","$   579,418","$   - 0","$   579,418","$   742,918","$   163,500","POINT (-73.539351 41.05439100000001)"
"2015.0","Infrastructure Project","Hartford, City of","500 Main Street","Hartford","Hartford","06103","Upper Albany Façade Program","2014-10-09T00:00:00.000","Special Act","$   500,000",,"$   500,000","$   788,885","$   288,885","POINT (-72.674442 41.762214)"
"2012","Infrastructure Project","Plymouth, Town of","80 Main Street","Terryville","Litchfield","06786","Streetscape Improvements","2012-01-26T00:00:00.000","STEAP","$   150,000","$   - 0","$   150,000","$   150,000","$   - 0","POINT (-73.000921 41.679092)"
"2012","Infrastructure Project","Wethersfield, Town of","505 Silas Deane Highway","Wethersfield","Hartford","06109","Silas Deane Streetscape Improvements-Phase 4","2011-10-05T00:00:00.000","STEAP","$   250,000","$   - 0","$   250,000","$   250,000","$   - 0","POINT (-72.663388 41.711776)"
