"phcyname","p1adrs","p1city","p1st","p1zip5","county","phone"
"CVS PHARMACY","3306 W PALMETTO ST","FLORENCE","SC","29501","FLORENCE","8433179365"
"MARK'S PHARMACY","8150 BROOKRIVER DR STE 107","DALLAS","TX","75247","DALLAS","4695472419"
"ROYAL PHARMACY DRUGS","1101 1/2 W GLENOAKS BLVD","GLENDALE","CA","91202","LOS ANGELES","8184847484"
"SAM'S CLUB PHARMACY","7663 N BLACKSTONE AVE","FRESNO","CA","93720","FRESNO","5594460196"
"RITE AID PHARMACY","1396 W CHESTNUT ST","WASHINGTON","PA","15301","WASHINGTON","7242280059"
"A.M. PHARMACY II INC","219 GRAND STREET","NEW YORK","NY","10013","NEW YORK","2122268832"
"CVS PHARMACY","103 FOOTHILLS MALL DR","MARYVILLE","TN","37801","BLOUNT","8659823803"
"MARTIN'S PHARMACY","2121 S CLEVELAND AVE","SAINT JOSEPH","MI","49085","BERRIEN","2699835847"
"SAM'S CLUB PHARMACY","1000 KAMEHAMEHA HWY STE 100","PEARL CITY","HI","96782","HONOLULU","8084540182"
"ELMHURST HOSPITAL CENTER","79-01 BROADWAY D143","ELMHURST","NY","11373","QUEENS","7183342438"
"BUSHNELL PHARMACY","417 N WEST ST","BUSHNELL","FL","33513","SUMTER","3525695800"
"PRIME PHARMACY EAST","5908 HAMPTON OAKS PKWY STE N","TAMPA","FL","33610","HILLSBOROUGH","8778910005"
"FOOD LION PHARMACY","1241 DABNEY DR","HENDERSON","NC","27536","VANCE","2524382539"
"B AND B PHARMACY","18640 FM 1488 RD STE C","MAGNOLIA","TX","77354","MONTGOMERY","2813564303"
"WOODWARD PHARMACY","565 SPRING ST","HOUTZDALE","PA","16651","CLEARFIELD","8143787648"
"WAVERLY PHARMACY","443 CAYUTA AVE","WAVERLY","NY","14892","TIOGA","6075652390"
"CVS PHARMACY","18340 ALLEN RD","MELVINDALE","MI","48122","WAYNE","3139282559"
"ASHLAND CITY PHARMACY","605 N MAIN ST STE A","ASHLAND CITY","TN","37015","CHEATHAM","6152461422"
"GWINNETT PHARMACY","1880 BRASELTON HWY STE 121","LAWRENCEVILLE","GA","30043","GWINNETT","7703381111"
"SALUD CLINIC PHARMACY","500B JEFFERSON BLVD STE 181","WEST SACRAMENTO","CA","95605","YOLO","9164032988"
"HANNAFORD FOOD AND DRUG","787 RIVERSIDE ST","PORTLAND","ME","04103","CUMBERLAND","2078781106"
"AMERICAN CARE OF TAMPA WINTER HAVEN","2791 LAKE ALFRED ROAD","WINTER HAVEN","FL","33881","POLK","3052780200"
"CVS PHARMACY","4561 RIVER RD","COLUMBUS","GA","31904","MUSCOGEE","7063242108"
"BROOKSHIRE PHARMACY","1125 HIGHWAY 80","HAUGHTON","LA","71037","BOSSIER","3189498476"
"GANSE APOTHECARY LTC","7 N CHARLOTTE ST","LANCASTER","PA","17603","LANCASTER","7179842204"
"PEAK PHARMACY INC","7732 W HILLSBOROUGH AVE","TAMPA","FL","33615","HILLSBOROUGH","8134430833"
"OLIVE BRANCH PHARMACY","306 W NORTH ST","ENTERPRISE","OR","97828","WALLOWA","5414267455"
"GRACE PHARMACY","1724 E WASHINGTON BLVD","PASADENA","CA","91104","LOS ANGELES","8189575555"
"SAM'S CLUB PHARMACY","7200 PEACH ST","ERIE","PA","16509","ERIE","8148660984"
"COACHELLA VALLEY LTC","77932 COUNTRY CLUB DR STE 23","PALM DESERT","CA","92211","RIVERSIDE","7605650629"
"PATIENT'S CHOICE PHARMACY","4801 S UNIVERSITY DR STE 105","DAVIE","FL","33328","BROWARD","9546222222"
"LODI HOMETOWN PHARMACY","801 N MAIN ST STE A","LODI","WI","53555","COLUMBIA","6085920662"
"CVS PHARMACY","2041 N ELM ST","COMMERCE","GA","30529","JACKSON","7063355107"
"NEW PHARMACY","57725 29 PALMS HWY STE 209","YUCCA VALLEY","CA","92284","SAN BERNARDINO","7602281600"
"LHO PHARMACY","225 N EAGLE ST","OSHKOSH","WI","54902","WINNEBAGO","9209661345"
"BANDY'S PHARMACY","1413 W WHITTAKER ST","SALEM","IL","62881","MARION","6185484000"
"CHEWELAH COMMUNITY HEALTH CNTR","518 E CLAY AVE","CHEWELAH","WA","99109","STEVENS","5099358424"
"FARMACIA GIUSTI","SONIA ST AJ16 VILLA RICA","BAYAMON","PR","00959","BAYAMON","7877855487"
"CVS PHARMACY","2240 CEDAR ST","HOLT","MI","48842","INGHAM","5176941994"
"REASORS PHARMACY","4909 E 41ST ST","TULSA","OK","74135","TULSA","9182707060"
"SAM'S CLUB PHARMACY","9461 WEBB CHAPEL RD","DALLAS","TX","75220","DALLAS","9728690172"
"CVS PHARMACY","1605 FREDERICA RD","SAINT SIMONS ISLAND","GA","31522","GLYNN","9126387732"
"CVS PHARMACY","1316H N BROAD ST","EDENTON","NC","27932","CHOWAN","2524827491"
"KONZA PRAIRIE COMM HLTH CTR INC","361 GRANT AVE","JUNCTION CITY","KS","66441","GEARY","7855796146"
"RITE AID PHARMACY","8775 NORWIN AVE","NORTH HUNTINGDON","PA","15642","WESTMORELAND","7248639074"
"TELESCRIPT PHARMACY","3535 E NEW YORK ST STE 117","AURORA","IL","60504","DUPAGE","6302993900"
"YOKES PHARMACY","1233 N LIBERTY LAKE RD","LIBERTY LAKE","WA","99019","SPOKANE","5099220705"
"CVS PHARMACY","109 E DABNEY DR","HENDERSON","NC","27536","VANCE","2524382337"
"LAWNDALE CHRSTN HLTH CNTR PHCY","3910 W OGDEN AVE","CHICAGO","IL","60623","COOK","8725883250"
"YOUNGS PHARMACY AND GENERAL STORE","1636 BURDEN LAKE RD","AVERILL PARK","NY","12018","RENSSELAER","5186743663"
"CVS PHARMACY","102 N BICKETT BLVD","LOUISBURG","NC","27549","FRANKLIN","9194966111"
"CIRCLE HEALTH SERVICES RX PHCY","12201 EUCLID AVE","CLEVELAND","OH","44106","CUYAHOGA","2167073557"
"CVS PHARMACY","5618 LAKEWOOD TWN CTR BLVD SW","LAKEWOOD","WA","98499","PIERCE","2534141232"
"CVS PHARMACY","240 INDEPENDENCE WAY","DANVERS","MA","01923","ESSEX","9787623154"
"CVS PHARMACY","850 W NORTH AVE","MELROSE PARK","IL","60160","COOK","7083382795"
"TELLICO FAMILY WELLNESS CENTER","707 VETERANS MEMORIAL DR","TELLICO PLAINS","TN","37385","MONROE","4232536003"
"WAYNE DRUGS","34815 W MICHIGAN AVE STE B","WAYNE","MI","48184","WAYNE","7346294336"
"PARK AVE PHARMACY","107 PARK AVE","PATERSON","NJ","07501","PASSAIC","9739288888"
"CVS PHARMACY","456 N 5TH ST","PHILADELPHIA","PA","19123","PHILADELPHIA","2155920104"
"CITY DRUG STORE","602 US HIGHWAY 77A S","YOAKUM","TX","77995","DEWITT","3612932181"
"PUBLIX PHARMACY","2880 GEORGIA HIGHWAY 212 SW","CONYERS","GA","30094","ROCKDALE","7703880320"
"CHURCH HILL DRUG STORE","104 E MAIN BLVD","CHURCH HILL","TN","37642","HAWKINS","4233577441"
"VALLEY HEALTH CARE PHARMACY ELKINS","240 ALLEGHENY HIGHWAY","ELKINS","WV","26241","RANDOLPH","3046354036"
"DIVISION PHARMACY INC","10918 SE DIVISION ST","PORTLAND","OR","97266","MULTNOMAH","5032610303"
"CVS PHARMACY","16964 SLOVER AVE","FONTANA","CA","92337","SAN BERNARDINO","9093560540"
"VIVO HEALTH PHARMACY AT LIJ","270-05 76TH AVE","NEW HYDE PARK","NY","11040","QUEENS","7184708486"
"CVS PHARMACY","3210 N TENAYA WAY","LAS VEGAS","NV","89129","CLARK","7023967840"
"CROSBYS DRUGS","2609 N HIGH ST","COLUMBUS","OH","43202","FRANKLIN","6142639424"
"OPTIMUM WELLNESS PHARMACY","8900 RUFFIAN LANE","NEWBURGH","IN","47630","WARRICK","8125183428"
"MEDICAL PARK PHARMACY EAST","1513 LIVE OAK ST","BEAUFORT","NC","28516","CARTERET","2528381787"
"GEROULD'S PROFESSIONAL PHCY INC.","215 HOFFMAN ST","ELMIRA","NY","14905","CHEMUNG","6077320597"
"ATLANTA CITY PHARMACY","2215 CHESHIRE BRIDGE RD NE #D","ATLANTA","GA","30324","FULTON","4045903785"
"PUBLIX PHARMACY","503 E ALTAMONTE DR","ALTAMONTE SPRINGS","FL","32701","SEMINOLE","4075512260"
"AMERICARE PHARMACY CORP","8114 5TH AVE","BROOKLYN","NY","11209","KINGS","9293735577"
"FEEL BETTER PHARMACY","8710 NORTHERN BLVD STE 104","JACKSON HEIGHTS","NY","11372","QUEENS","7188981001"
"CVS PHARMACY","3730 BELT LINE RD","ADDISON","TX","75001","DALLAS","2144140026"
"CARE ONE PHARMACY","1835 PENNSYLVANIA AVE","BALTIMORE","MD","21217","BALTIMORE CITY","4106693744"
"IMPERIAL PHARMACY","15074 IMPERIAL HWY","LA MIRADA","CA","90638","LOS ANGELES","5629025580"
"KC PHARMACY","2060 ABORN RD SUITE 150B","SAN JOSE","CA","95121","SANTA CLARA","4084004755"
"COMMUNITY HLTH SYSTEMS BECKLEY","252 RURAL ACRES DR","BECKLEY","WV","25801","RALEIGH","3042556800"
"KWIK RX PHARMACY","2308 12TH ST","HARLAN","IA","51537","SHELBY","7127553823"
"SOUTHSIDE DRUG COMPANY","430 WESTERN AVE","STATESVILLE","NC","28677","IREDELL","7048737612"
"PHAST PHARMACY","1121 W COLUMBUS ST","BAKERSFIELD","CA","93301","KERN","6615786500"
"NEW LONDON SPECIALTY PHARMACY","246 8TH AVE 2ND FL STE A","NEW YORK","NY","10011","NEW YORK","2124149755"
"NEERGAARD PHARMACY","454 5TH AVE","BROOKLYN","NY","11215","KINGS","7187680600"
"PUBLIX PHARMACY","36301 E LAKE RD","PALM HARBOR","FL","34685","PINELLAS","7277858837"
"ALBERTSONS MARKET PHARMACY","7800 ENCHANTED HILLS BLVD NE","RIO RANCHO","NM","87144","SANDOVAL","5057718411"
"CAREMOR COLDWATER PHARMACY LLC","407 E CHICAGO ST","COLDWATER","MI","49036","BRANCH","5179241999"
"TOWN & COUNTRY PHARMACY","2209 FREEPORT RD","NEW KENSINGTON","PA","15068","WESTMORELAND","7243352330"
"PUBLIX PHARMACY","1090 SPIRIT LAKE RD","WINTER HAVEN","FL","33880","POLK","8632935007"
"CVS PHARMACY","3600 S LOUISE AVE","SIOUX FALLS","SD","57106","MINNEHAHA","6052541100"
"HEALTHPLUS & PHARMACY AT JMH","16000 JOHNSTON MEMORIAL DR","ABINGDON","VA","24211","WASHINGTON","2762581990"
"SANDHILLS MEDICAL PHARMACY","40 BALDWIN AVE","LUGOFF","SC","29078","KERSHAW","8034385537"
"ATRIUM PHARMACY AT DEPAUL","155 KINGSLEY LN STE 125","NORFOLK","VA","23505","NORFOLK CITY","7572782150"
"13 AND UTICA DRUGS","16970 13 MILE RD","ROSEVILLE","MI","48066","MACOMB","5868790997"
"PUBLIX PHARMACY","731 DUVAL STATION RD STE 4","JACKSONVILLE","FL","32218","DUVAL","9046963363"
"BETTER CARE RX","4128 W BURBANK BLVD","BURBANK","CA","91505","LOS ANGELES","8185000079"
"BILLINGS DRUG","163 E COLLEGE AVE # 37","STANTON","KY","40380","POWELL","6066632848"
"SUNRISE PHARMACY","139 S PEBBLE BEACH BLVD # 103","SUN CITY CENTER","FL","33573","HILLSBOROUGH","8136338222"
"WALKER PHARMACY","410 W MAIN STREET","STERLING","CO","80751","LOGAN","9705221302"
"CVS PHARMACY","1485 POLARIS PKWY","COLUMBUS","OH","43240","DELAWARE","6144305596"
"CVS PHARMACY","233 CARMICHAEL WAY","CHESAPEAKE","VA","23322","CHESAPEAKE CITY","7574216641"
"CLAREMORE COMPOUNDING","1151 N LYNN RIGGS BLVD","CLAREMORE","OK","74017","ROGERS","9182833784"
"INDIAN VILLAGE PHARMACY","8415 E JEFFERSON AVE","DETROIT","MI","48214","WAYNE","3133312000"
"PIONEER UNITED DRUGS","1261 MAIN ST","NEWMAN","CA","95360","STANISLAUS","2098622955"
"NORTHSHORE UNIV HEALTHSYSTEM","9669 KENTON AVE STE 1726","SKOKIE","IL","60076","COOK","8479336890"
"PROFESSIONAL PHARMACY","9106 PHILADELPHIA RD STE 100","ROSEDALE","MD","21237","BALTIMORE","4106878113"
"CVS PHARMACY","8290 TRANSIT RD","WILLIAMSVILLE","NY","14221","ERIE","7166398204"
"COLLEGE PARK PHARMACY","4701 MELBOURNE PL","COLLEGE PARK","MD","20740","PRINCE GEORGES","3014740500"
"MOSELEY DRUG COMPANY","412 JOHNSON ST SE","DAWSON","GA","39842","TERRELL","2299952126"
"SEVEN LAKES PRESCRIPTION SHOPPE","120 MACDOUGALL DR","WEST END","NC","27376","MOORE","9106737467"
"CVS PHARMACY","900 HARTFORD TPKE","WATERFORD","CT","06385","NEW LONDON","8604433171"
"MC CULLOUGHS","547 KENOSHA ST","WALWORTH","WI","53184","WALWORTH","2622752137"
"PRIMACARE PHARMACY INC","41-28 MAIN ST STORE","FLUSHING","NY","11355","QUEENS","7188868968"
"COUNTY MARKET PHARMACY","520 W CLINTON ST","RUSHVILLE","IL","62681","SCHUYLER","2173223383"
"CENTRAL PHARMACY LAINGSBURG","7400 WOODBURY RD","LAINGSBURG","MI","48848","SHIAWASSEE","5176511777"
"CVS PHARMACY","7530 ORANGETHORPE AVE","BUENA PARK","CA","90621","ORANGE","7146760014"
"FLORENCE PHARMACY NORTH","5549 OLD HWY 93","FLORENCE","MT","59833","RAVALLI","4062736565"
"CEDARFIELD PHARMACY","7016 LEE PARK RD STE 300","MECHANICSVILLE","VA","23111","HANOVER","8049685530"
"BRIDGEPORT PHARMACY","527 MEDICAL PARK DR STE 105","BRIDGEPORT","WV","26330","HARRISON","3049333880"
"CORNERSTONE FAMILY PHARMACY","851 GOODYEAR AVE","GADSDEN","AL","35903","ETOWAH","2564565850"
"PROMPTCARE HOME INFUSION LLC","41 SPRING ST STE 103B","NEW PROVIDENCE","NJ","07974","UNION","7326922745"
"RX PRO PENNSYLVANIA","280 INDIAN SPRINGS RD STE 125","INDIANA","PA","15701","INDIANA","7244639300"
"MCLESKEY TODD PHARMACY","109 N MAIN ST","GREER","SC","29650","GREENVILLE","8648770753"
"HANNAFORD FOOD & DRUG","299 ELM ST","BIDDEFORD","ME","04005","YORK","2072830409"
