"applicant_recipient","applicant_address","applicant_city","applicant_state","applicant_zip_code","project_address","project_municipality","project_zip_code","unnamed_column","program_name","statutory_reference","fiscal_year","total_tax_credits_issued","total_tax_credit_allocation","contract_date_allocation","total_number_of_investments","total_qualified_expenditures"
"Schoolhouse Redevelopment LP/T.D. Bank","6 Faneuil Hall Marketplace","Boston","MA","2109","127 Easton Avenue","Waterbury","6704",,"Webster School","C.G.S. Sect. 10-416c","2020","1291048.30","1291048.30","2019-08-21T00:00:00.000","4740625.00","4568008.00"
"Shepherd Home Limited Partnership/Eversource Energy","586 Ella Grasso Blvd.","New Haven","CT","6519","Bow Lane and Eastern Drive","Middletown","6457",,"Shepherd Home","C.G.S. Sect. 10-416c","2020","1819168.50","1819168.50","2019-09-20T00:00:00.000","6204950.00","6086094.00"
"Hamden Economic Development Corp/Eversource Energy","2750 Dixwell Avenue","Hamden","CT","6518","496 Newhall Street","Hamden","6518",,"Newhall School","C.G.S. Sect. 10-416c","2020","1823395.00","1823395.00","2019-09-20T00:00:00.000","7365447.00","7293581.00"
"Vista Life Innocations, Inc./Eversource Energy","107 Bradley Road","Madison","CT","6443","1356 Old Clinton Road","Westbrook","6498",,"Capt. Jos. W. Spencer House","C.G.S. Sect. 10-416c","2020","261731.38","261731.38","2019-12-29T00:00:00.000","1790470.39","1263429.00"
"Historic Cargill Falls LLC/Eversource Energy","52-56 Pomfret Street","Putnam","CT","6260","52-56 Pomfret Street","Putnam","6260",,"Cargill Falls Mill","C.G.S. Sect. 10-416c","2020","4436402.00","4436402.00","2020-02-21T00:00:00.000","13957017.00","14788077.00"
"Duncan New Haven Owner, LLC","133 N Jefferson Street, 4th floor","Chicago","IL","60661","1151 Chapel Street","New Haven","6510",,"Hotel Duncan","C.G.S. Sect. 10-416c","2020","4500000.00","4500000.00","2020-03-10T00:00:00.000",,"22393304.00"
"Ponemah Riverbank Unit A North, LLC/Eversource Energy","241 Hudson Street","Hackensack","NJ","7601","607 Norwich Avenue","Norwich","6380",,"Ponemah Mills Building 1","C.G.S. Sect. 10-416c","2020","4500000.00","4500000.00","2020-04-27T00:00:00.000","19718716.00","19916183.00"
"Spectra 111, LLC/Eversource Energy","894 6th Avenue, 4th floor","New York","NY","10001","111 Pearl Street","Hartford","6103",,"Neiditz Building","C.G.S. Sect. 10-416c","2020","3859447.75","3859447.75","2020-05-04T00:00:00.000","14120094.00","15437791.00"
"BC Montgomery Mill, LLC/Eversource Energy","Two Center Plaza, Suite 700","Boston","MA","2108","25 Canal Bank Road","Windsor Locks","6098",,"J.R. Montgomery Mill, Building 1 & G","C.G.S. Sect. 10-416c","2020","4054502.10","4054502.10","2020-06-30T00:00:00.000","13799667.00","13515007.00"
"Block 912 JV, LLC","155 East 44th Street, 6th Floor","New York","NY","10017","179-205 Middle Street","Bridgeport","6604",,"Historic Rehabilitation Tax Credit","C.G.S. Sect. 10-416c","2020","2634150.60","2634150.60","2020-06-29T00:00:00.000","11981370.00","11981370.00"
"BC Montgomery Mill, LLC/Eversource","Two Center Plaza, Suite 700","Boston","MA","2108","25 Canal Bank Road","Windsor Locks","6098",,"Historic Rehabilitation Tax Credit","C.G.S. Sect. 10-416c","2020","4054502.10","4054502.10","2020-06-30T00:00:00.000","13515007.00","13515007.00"
"BC Montgomery Mill, LLC/Eversource","Two Center Plaza, Suite 700","Boston","MA","2108","25 Canal Bank Road","Windsor Locks","6098",,"Historic Rehabilitation Tax Credit","C.G.S. Sect. 10-416c","2021","4085027.70","4085027.70","2020-07-05T00:00:00.000","13616759.00","13616759.00"
"BC Montgomery Mill, LLC/Eversource","Two Center Plaza, Suite 700","Boston","MA","2108","25 Canal Bank Road","Windsor Locks","6098",,"Historic Rehabilitation Tax Credit","C.G.S. Sect. 10-416c","2021","3986433.90","3986433.90","2020-07-05T00:00:00.000","13288113.00","13288113.00"
"Solectran LLC/Eversource Energy","29 Notch Road","Simsbury","CT","6092","690 Hopmeadow Street","Simsbury","6070",,"Historic Rehabilitation Tax Credit","C.G.S. Sect. 10-416c","2021","481440.25","481440.25","2020-07-30T00:00:00.000","2001449.64","2001449.64"
