"fiscal_year","company_name","company_address","municipality","county_1","state","zip_code","business_industry","naics_code","woman_minority_veteran_international_export","contract_execution_date","grant_amount","loan_amount","total_assistance","total_project_cost","amount_leveraged","funding_source","statutory_reference","per_contract_full_time_ct_jobs_to_be_retained","per_contract_full_time_ct_jobs_to_be_created","per_contract_part_time_ct_jobs_to_be_retained","per_contract_part_time_ct_jobs_to_be_created","actual_jobs_at_time_of_review","job_obligation_status","penalty_if_applicable","forgiveness_earned_if_applicable","per_application_existing_full_time_jobs_in_ct","per_application_full_time_jobs_to_be_created_in_ct","per_application_existing_part_time_jobs_in_ct","per_application_part_time_jobs_to_be_created_in_ct","full_time_ct_employment_at_6_30_18","part_time_ct_employment_at_6_30_18","status","location_1","count","geocoded_location"
"2017","Davis-Standard, LLC","# 1 Extrusion Drive","Pawcatuck","New London","CT","06379","Manufacturing","333249","No","2017-01-30T00:00:00.000","1312050","0","1312050","2625000","1312950","Manufacturing Assistance Act","CH 588l","373","0","0","0","413","Met","n/a","n/a","373","0","0","0",,,"Active","# 1 Extrusion Drive","1",
"2012","Suffield Village Dental, P.C.","215 Suffield Village","Suffield","Hartford","CT","06078","Service","621210","No","2012-05-17T00:00:00.000","25238","0","25238","50476","25238","Small Business Express Program","CGS Sec. 32-7g","0","1","0","0","9","Met","n/a","n/a","7","1","0","0",,,"Active","215 Suffield Village","1",
"2013","Berkshire Concrete Cutting, LLC","3595 Winston Road","Torrington","Litchfield","CT","06790","Poured Concrete Foundation & Structure Contractors","238110","No","2012-09-24T00:00:00.000","100000","0","100000","200000","100000","Small Business Express Program","CGS Sec. 32-7g","2","0","0","0","10","Met","n/a","n/a","2","0","0","0",,,"Active","3595 Winston Road","1",
"2013","Just Cakes, LLC","2031 Foxon Road","North Branford","New","CT","06471","Bakery & Wedding","311812","No","2013-05-29T00:00:00.000","25344","0","25344","51093","25749","Small Business Express Program","CGS Sec. 32-7g","2","1","0","0","5","Met","n/a","n/a","2","2","0","0",,,"Active","2031 Foxon Road","1","2031 Foxon Road
North Branford, CT 06471
(41.334239, -72.757656)"
"2013","Liteideas, LLC","P. O. Box 331","Mansfield Center","Tolland","CT","06250","Lighting","332613","No","2013-02-05T00:00:00.000","60000","0","60000","120000","60000","Small Business Express Program","CGS Sec. 32-7g","4","3","0","0","5","Not Met","$5,000","n/a","4","3","0","0",,,"Active","P. O. Box 331","1",
"2013","Orthozon Technologies, LLC","11 Wyngate Drive","Avon","Hartford","CT","06001","Medical Technology","541700","No","2012-08-29T00:00:00.000","100000","0","100000","200000","100000","Small Business Express Program","CGS Sec. 32-7g","0","2","0","0","1","Not Met","$1,000","n/a","0","2","0","0","4","3","Out of Business- written off","11 Wyngate Drive","1","11 Wyngate Drive
Avon, CT 06001
(41.797644, -72.86714)"
"2013","Sunset Nurseries, Inc.","P.O. Box 6","Thompson","Windham","CT","06277","Landscaping Services","561730","No","2013-05-30T00:00:00.000","100000","0","100000","295000","195000","Small Business Express Program","CGS Sec. 32-7g","10","10","0","0","9","Not Met","$11,000","n/a","10","10","0","0",,,"Compliance Complete","P.O. Box 6","1",
"2014","Tierney Electric, Inc.","P.O. Box 131","East Hampton","Middlesex","CT","06414","Electrical Contracting","238210","Yes Woman","2013-11-13T00:00:00.000","0","50000","50000","50000","0","Small Business Express Program","CGS Sec. 32-7g","1","1","0","0","2","Met","n/a","n/a","2","1","0","0","3","0","Compliance Complete","P.O. Box 131","1",
"2015","Joneser's Express Transportation LLC","P.O. Box 872","Windsor Locks","Hartford","CT","06096","General Freight and Trucking","484120","No","2014-10-10T00:00:00.000","75000","300000","375000","498000","123000","Small Business Express Program","CGS Sec. 32-7g","7","4","0","0","18","Met","n/a","n/a","8","4","0","0",,,"Active","P.O. Box 872","1",
"2017","Presstek, LLC","55 Executive Drive","Hudson",,"NH","03051","Manufacturing","333244","No","2017-03-27T00:00:00.000","100000","0","100000","500000","400000","Small Business Express Program","CGS Sec. 32-7g","60","15","0","0","Pending","Met","n/a","n/a","0","90","0","0",,,"Active","55 Executive Drive","1","55 Executive Drive
Hudson, NH 03051
(42.741646, -71.435616)"
"2017","Waterbury Plating, LLC","114 Porter Street","Waterbury","New Haven","CT","06708","Metal Plating","332812","No","2016-12-16T00:00:00.000","100000","300000","400000","500000","100000","Small Business Express Program","CGS Sec. 32-7g","62","5","0","0","Pending","Pending","n/a","n/a","62","5","0","0",,,"Active","114 Porter Street","1","114 Porter Street
Waterbury, CT 06708
(41.542431, -73.042064)"
"2020","Milford Four Brothers Pizza LLC dba Silver Sands Pizza","415 Boston Post Road","Milford","New Haven","CT","06460","Restaurant","722511","No","2020-05-07T00:00:00.000","0","280000","280000","335000","55000","Small Business Express Program","CGS Sec. 32-7g","3","2","0","0","Pending","Pending","n/a","n/a","3","2","4","2",,,,"415 Boston Post Road","1","415 Boston Post Road
Milford, CT 06460
(41.226933, -73.07033)"
"2013","J.H. & C.S. Odell, LLC","25 Falls Road, Building #5","East Haddam","Middlesex","CT","06423","Organ Tuning & Repairs","811490","No","2012-08-31T00:00:00.000","0","56500","56500","56500","0","Small Business Express Program","CGS Sec. 32-7g","2","0","0","0","0","Not Met","OOB","n/a","2","0","0","0",,,"Out of Business- written off","25 Falls Road, Building #5","1","25 Falls Road, Building #5
East Haddam, CT 06423
(41.505535, -72.446421)"
"2013","Viola, Chrabascz, Reynolds & Co, LLP","103 Phoenix Avenue","Enfield","Hartford","CT","06082","Tax Preparation Services","541213","No","2013-01-25T00:00:00.000","62500","0","62500","125000","62500","Small Business Express Program","CGS Sec. 32-7g","7","3","0","0","10","Met","n/a","n/a","7","3","0","0",,,"Active","103 Phoenix Avenue","1","103 Phoenix Avenue
Enfield, CT 06082
(41.975487, -72.581388)"
"2015","CURE Innovations, LLC","93 Shennocossett Road","Groton","New London","CT","06340","Manufacturing","541690","No","2014-10-03T00:00:00.000","4205000","0","4205000","4625500","420500","Manufacturing Assistance Act","CH 588l","0","20",,,"Pending","Pending","n/a",,"2","20","1","0",,,"Active","93 Shennocossett Road","1","93 Shennocossett Road
Groton, CT 06340
(41.336928, -72.073098)"
"2015","Emanuele A. Mangiafico, Attorney At Law, LLC","185 West Main Street","New Britain","Hartford","CT","06052","Attorney","541100","Yes Veteran","2014-11-21T00:00:00.000","35000","0","35000","70000","35000","Small Business Express Program","CGS Sec. 32-7g","1","1","0","0","2","Met","n/a","n/a","1","1","0","0",,,"Active","185 West Main Street","1","185 West Main Street
New Britain, CT 06052
(41.666431, -72.787417)"
"2016","State Wide Insurance, LLC","1347 East Main Street","Meriden","New Haven","CT","06450","Insurance","524210","Yes Minority","2015-11-25T00:00:00.000",,"235000","235000","968000","733000","Small Business Express Program","CGS Sec. 32-7g",,,"0","0","Pending","Pending","n/a","n/a","2","2","0","0",,,"Active","1347 East Main Street","1","1347 East Main Street
Meriden, CT 06450
(41.525683, -72.757529)"
"2014","Go Elite Car, LLC","14 Governors Row","West Hartford","Hartford","CT","06117","Delivery Service","485320","No","2014-05-05T00:00:00.000","100000","100000","200000","303000","103000","Small Business Express Program","CGS Sec. 32-7g","0","5","0","0","3","Not Met","from 3% to 4%","n/a","1","5","0","0",,,"Active","14 Governors Row","1","14 Governors Row
West Hartford, CT 06117
(41.787978, -72.764369)"
"2016","Hospital Marketing Services, Inc.","162 Great Hill Road","Naugatuck","New Haven","CT","06770","Hospital Marketing","339112","Yes International Export","2016-01-15T00:00:00.000","50000","50000","100000","150000","50000","Small Business Express Program","CGS Sec. 32-7g","24","2","0","0","Pending","Pending","n/a","n/a","24","2","0","0",,,"Compliance Complete","162 Great Hill Road","1","162 Great Hill Road
Naugatuck, CT 06770
(41.507524, -73.037405)"
"2016","Airlink Ground Transportation, LLC","39 Old Ridgebury Road","Danbury","Fairfield","CT","06810","Limousine and Black Car Service","485320","Yes Woman/Minority","2016-04-04T00:00:00.000",,"206500","206500","206500","0","Small Business Express Program","CGS Sec. 32-7g","0","4","0","0","1","Not Met","2% to 3%","n/a","0","4","0","0",,,"Active","39 Old Ridgebury Road","1","39 Old Ridgebury Road
Danbury, CT 06810
(41.3851, -73.533345)"
"2013","Sav-Mor Cooling & Heating, Inc.","231 Captain Lewis Drive","Southington","Hartford","CT","06489","Furnaces & Heating Wholesalers","507507","No","2012-07-03T00:00:00.000","100000","0","100000","210068","110068","Small Business Express Program","CGS Sec. 32-7g","9","1","0","0","12","Met","n/a","n/a","9","1","0","0",,,"Compliance Complete","231 Captain Lewis Drive","1","231 Captain Lewis Drive
Southington, CT 06489
(41.643834, -72.888258)"
"2017","Red Owl Jewelry and Gifts, LLC","205 Maple Avenue","Cheshire","New Haven","CT","06410","Retail","448310/448150","Yes Woman/Minority/Veteran","2017-01-05T00:00:00.000","100000","0","100000","250040","150040","Small Business Express Program","CGS Sec. 32-7g","1","7","0","0","Pending","Pending","n/a","n/a","1","7","4","2",,,"Active","205 Maple Avenue","1","205 Maple Avenue
Cheshire, CT 06410
(41.504598, -72.903834)"
"2015","Futuramik Industries, Inc.","245 Hamilton Street","Hartford","Hartford","CT","06106","Plastics","326199","No","2015-05-26T00:00:00.000","60000","40000","100000","223985","123985","Small Business Express Program","CGS Sec. 32-7g","20","3","0","0","15","Not Met","2% to 3% & $20,869","n/a","16","4","0","0",,,"Active","245 Hamilton Street","1","245 Hamilton Street
Hartford, CT 06106
(41.754378, -72.7045)"
"2017","Back Porch, LLC","142 Ferry Road","Old Saybrook","New London","CT","06475","Restaurant (Food & Beverage)","722511","Yes Woman","2017-04-18T00:00:00.000","100000","300000","400000","2225000","1825000","Small Business Express Program","CGS Sec. 32-7g","1","18","0","0","28","Met","n/a","n/a","13","50","32","14",,,"Active","142 Ferry Road","1","142 Ferry Road
Old Saybrook, CT 06475
(41.314785, -72.352631)"
"2019","ACCEL Compliance, LLC","433 South Main Street","West Hartford","Hartford","CT","06110",,,,"2018-08-30T00:00:00.000","20000","100000","120000","143000","23000","Small Business Express Program","CGS Sec. 32-7g","4","2","0","0","Pending","Pending","n/a","n/a",,,,,"122","4","Out of Business- confirmed","433 South Main Street","1","433 South Main Street
West Hartford, CT 06110
(41.733139, -72.743278)"
"2015","Palladin Precision Products, Inc.","57 Bristol Street","Waterbury","New Haven","CT","06708","Manufacturing","332721","Yes Woman/International Export","2014-09-17T00:00:00.000","100000","300000","400000","500000","100000","Small Business Express Program","CGS Sec. 32-7g","46","6","0","0","44","Not Met","Rate increase from 3% to 4% and $15,392","n/a","46","6","0","0",,,"Active","57 Bristol Street","1","57 Bristol Street
Waterbury, CT 06708
(41.519395, -73.054758)"
"2013","HP Planning, LLC dba Creative Benefit Planning","1100 Summer Street","Stamford","Fairfield","CT","06905","Employee Benefits Insurance Company","524210","No","2013-04-17T00:00:00.000","50000","0","50000","221000","171000","Small Business Express Program","CGS Sec. 32-7g","32","2","0","0","34","Met","n/a","n/a","32","2","0","0",,,"Active","1100 Summer Street","1","1100 Summer Street
Stamford, CT 06905
(41.060434, -73.540766)"
"2014","Fitness Squared, LLC","90 State House Square","Hartford","Hartford","CT","06103","Health & Fitness","711210","Yes Woman","2013-10-28T00:00:00.000","100000","300000","400000","505500","105500","Small Business Express Program","CGS Sec. 32-7g","7","6","0","0","11","Not Met","from 2% to 3%","n/a","7","6","0","0",,,"Active","90 State House Square","1","90 State House Square
Hartford, CT 06103
(41.766381, -72.672521)"
"2015","Thrive Active, LLC","883 Route 148","Killingworth","Middlesex","CT","06419","Health Club","713900","No","2015-06-03T00:00:00.000","95000","0","95000","529000","434000","Small Business Express Program","CGS Sec. 32-7g","2","6","0","0","Pending","Pending","n/a","n/a","2","6","0","0",,,"Active","883 Route 148","1","883 Route 148
Killingworth, CT 06419
(41.434575, -72.643918)"
"2012","New Morning Country Store LLC","129 Main Street North","Woodbury","Litchfield","CT","06798","Retail","445110","No","2012-05-15T00:00:00.000","100000","250000","350000","557500","207500","Small Business Express Program","CGS Sec. 32-7g","41","14","0","0","46","Not Met","from 2% to 3%","n/a","41","14","0","0",,,"Active","129 Main Street North","1","129 Main Street North
Woodbury, CT 06798
(41.554586, -73.202061)"
"2015","LCN-USA, Inc.","8 Custom Drive","Old Saybrook","New London","CT","06475","Wholesale Beauty Supplier","425120","Yes Woman","2015-03-10T00:00:00.000","18738","0","18738","37476","18738","Small Business Express Program","CGS Sec. 32-7g","3","1","0","0","2","Not Met","$   9,368","n/a","3","1","0","0",,,"Compliance Complete","8 Custom Drive","1","8 Custom Drive
Old Saybrook, CT 06475
(41.29166, -72.423718)"
"2018","Global Atlantic Financial Company","82 Hopmeadow Street, 2nd Floor","Simsbury","Hartford","CT","06089","Manufacturing","524113","No","2018-06-29T00:00:00.000","0","1000000","1000000","4610182","3610182","Manufacturing Assistance Act","CH 588l","66","29",,,"85","Met","n/a","n/a","66","54","0","0",,,"Active","82 Hopmeadow Street, 2nd Floor","1",
"2017","Jak of All Trades, Inc. dba Old Wethersfield Country Store","221 Main Street","Wethersfield","Hartford","CT","06109","Retail-Specialty Grocery","445110","No","2016-11-10T00:00:00.000","0","75000","75000","75000","0","Small Business Express Program","CGS Sec. 32-7g","0","1","0","0","Pending","Pending","n/a","n/a","0","1","0","0",,,"Active","221 Main Street","1","221 Main Street
Wethersfield, CT 06109
(41.712389, -72.652694)"
"2014","The Mattatuck Historical Society","144 West Main Street","Waterbury","New Haven","CT","06702","Museum","712110","No","2013-12-04T00:00:00.000","22900","0","22900","46876","23976","Small Business Express Program","CGS Sec. 32-7g","11","1","0","0","12","Met","n/a","n/a","12","1","7","2",,,"Active","144 West Main Street","1","144 West Main Street
Waterbury, CT 06702
(41.557047, -73.043165)"
"2014","Solutions Center, LLC","377 Foxon Boulevard","New Haven","New Haven","CT","06513","Communications and Technology Retail","443142","No","2014-03-17T00:00:00.000","100000","297700","397700","497700","100000","Small Business Express Program","CGS Sec. 32-7g","21","5","0","0","49","Met","n/a","n/a","25","5","0","0",,,"Compliance Complete","377 Foxon Boulevard","1","377 Foxon Boulevard
New Haven, CT 06513
(41.320505, -72.872674)"
"2013","Point Lighting Corporation","61 West Dudley Town Road","Bloomfield","Hartford","CT","06002","Manufacturer of Airfield, Obstruction & Heliport Lighting","335129","No","2012-11-13T00:00:00.000","56000","100000","156000","212000","56000","Small Business Express Program","CGS Sec. 32-7g","20","2","0","0","29","Met","n/a","n/a","20","2","0","0",,,"Active","61 West Dudley Town Road","1","61 West Dudley Town Road
Bloomfield, CT 06002
(41.853603, -72.71439)"
"2016","Log Storm Security, Inc. d/b/a BlackStratus","9 West Broad Street","Stamford","Fairfield","CT","06902","Manufacturing","511210","No","2016-06-10T00:00:00.000","0","5500000","5500000","25500000","20000000","Manufacturing Assistance Act","CH 588l","0","49","0","0","Pending","Pending","n/a","n/a","0","65","0","0",,,"Active","9 West Broad Street","1","9 West Broad Street
Stamford, CT 06902
(41.055582, -73.545714)"
