"town","address","tower_type","owner","height","comments","carrier_1","carrier_2","carrier_3","carrier_4","carrier_5","carrier_6","carrier_7","carrier_8","carrier_9"
"Ansonia","** West Main Street",,,"45'","Arms Building City of Ansonia",,,,,,,,,
"Bridgeport","*** Charles Street","rooftop",,,,"T-Mobile @ 49'",,,,,,,,
"Clinton","*** Glenwood Road","utility pole","Verizon","37","small cell","Verizon @ 36.8'",,,,,,,,
"Danbury","** South Street","utility pole",,"32","PURA","AT&T @ 31.5'",,,,,,,,
"Derby","** Olivia Street","rooftop",,,,"Cingular @ 81'",,,,,,,,
"Enfield","* Alden Ave.","rooftop",,,,"Sprint @ 45'",,,,,,,,
"Ellington","** Main St.","church steeple",,,,"Verizon @ 75'","AT&T @ 91'",,,,,,,
"Greenwich","Shore Road","utility pole","Verizon","35","small cell; adjacent to 134 Shore Road","Verizon @ 35'",,,,,,,,
"Hamden","**** Dixwell Avenue","rooftop",,,,,,,,,,,,
"Hartford","*** Campfield Avenue",,,,,,,,,,,,,
"Meriden","*** Sherman Avenue","small cell","234 Sherman LLC.","73","EFR 1133","Verizon @ 69.5'",,,,,,,,
"New Haven","*** Orange Avenue","smokestack",,,,"Verizon @ 80'",,,,,,,,
"Newington","*** West Hill Road","utility pole","Verizon","36","small cell","Verizon @ 36'",,,,,,,,
"Norwalk","*** Connecticut Avenue","rooftop",,,,,,,,,,,,
"Shelton","*** Bridgeport Avenue","rooftop","Hampton Inn",,,"Verizon @ 75'",,,,,,,,
"Somers","*** South Road","silo",,,,"Verizon @ 84'",,,,,,,,
"Southbury","*** Stillson Road","monopole","Town of Southbury","140",,"town @ various",,,,,,,,
"Waterbury","** Johnson Street","rooftop",,,,,,,,,,,,
"Winchester","*** Spencer Street","rooftop",,,,"T-Mobile @ 75'",,,,,,,,
"West Haven","*** Saw Mill Road","in-building IP access",,,"Walmart","T-Mobile",,,,,,,,
"Greenwich","Indian Field Road/I-** overpass","utility  pole","AT&T","43","AT&T @ 42",,,,,,,,,
"Hartland","Route *** - Center Hill Road","lattice","Town of Hartland","180'","approved by Town of Hartland (mtg. 11/3/05)","Verizon @ 180'",,,,,,,,
"Bethlehem","*** Watertown Road","monopole","SBA","199",,"Nextel @ 185'","AT&T @ 165'","Verizon @ 175'","Sprint @ 195'","T-Mobile @ 155'",,,,
"Westport","** Compo Beach Road","utility pole","Verizon","27","small cell","Verizon @ 27'",,,,,,,,
"New London","*** Chester Street (*** Jefferson Ave)","rooftop",,,"New London High School","T-Mobile @ 70'",,,,,,,,
"Shelton","*** Nell's Rock Rd.","self-supporting lattice","AT&T","162","d045.3","Cingular @ 162'","Sprint @ 155'","T-Mobile @ 140'","arrow bus @ 170'",,,,,
"Prospect","** New Haven Road","tower","Town of Prospect","108'",,,,,,,,,,
"Old Lyme","*** Shore Road","monopole","Bay Communications","110","d0391; motion to reopen and remove T-Arm condition - 7/18/19","T-Mobile @ 100'","AT&T @ 109'","Verizon @ 90'",,,,,,
"Hartford","**** Broad Street","smokestack",,"78'",,"Sprint @ 78'",,,,,,,,
"Stonington","*** Stonington Rd","o-unipole","SBA","150",,"T-Mobile @ 150'","Cingular @ 125'","MetroPCS @ 153'",,,,,,
