"credentialid","name","type","businessname","dba","fullcredentialcode","credentialtype","credentialnumber","credentialsubcategory","credential","status","statusreason","active","issuedate","effectivedate","expirationdate","city","state","zip","recordrefreshedon"
"1000195","SUPER EAST COLLEGIATE HOCKEY LEAGUE INC","CORPORATION","SUPER EAST COLLEGIATE HOCKEY LEAGUE INC",,"CHR.0055568","CHR","55568",,"PUBLIC CHARITY","ACTIVE IN RENEWAL","ACTIVE","1","2011-06-01T00:00:00.000","2021-12-01T00:00:00.000","2022-11-30T00:00:00.000","WATERTOWN","CT","067951679","2021-11-30T00:00:00.000"
"1000367","COLLEGE OF PSYCHIATRIC AND NEUROLOGIC PHARMACISTS FOUNDATION","CORPORATION","COLLEGE OF PSYCHIATRIC AND NEUROLOGIC PHARMACISTS FOUNDATION",,"CHR.0055575","CHR","55575",,"PUBLIC CHARITY","INACTIVE",,"0","2011-06-02T00:00:00.000","2012-06-01T00:00:00.000","2013-05-31T00:00:00.000","LINCOLN","NE","685102565","2014-08-25T00:00:00.000"
"1000399","WATERBURY KNIGHTS YOUTH FOOTBALL & CHEER","CORPORATION","WATERBURY KNIGHTS YOUTH FOOTBALL & CHEER",,"CHR.055576A","CHR","55576A",,"PUBLIC CHARITY","INACTIVE","STATUS CHANGED","0","2011-06-02T00:00:00.000","2014-12-01T00:00:00.000","2015-11-30T00:00:00.000","WATERBURY","CT","06704","2019-05-15T00:00:00.000"
"1000408","RHS BOYS HOCKEY BOOSTER CLUB INC","CORPORATION","RHS BOYS HOCKEY BOOSTER CLUB INC",,"CHR.0055577","CHR","55577",,"PUBLIC CHARITY","ACTIVE","CURRENT","1","2011-06-02T00:00:00.000","2022-05-01T00:00:00.000","2023-04-30T00:00:00.000","RIDGEFIELD","CT","068774129","2022-04-26T00:00:00.000"
"1000410","RONALD MCDONALD HOUSE CHARITIES OF MORGANTOWN INC","CORPORATION","RONALD MCDONALD HOUSE CHARITIES OF MORGANTOWN INC",,"CHR.0055578","CHR","55578",,"PUBLIC CHARITY","INACTIVE","DUE TO NON-RENEWAL OF CREDENTIAL","0","2011-06-02T00:00:00.000","2012-06-01T00:00:00.000","2013-11-30T00:00:00.000","MORGANTOWN","WV","265057324","2019-11-29T00:00:00.000"
"1000484","WALLINGFORD PUBLIC ACCESS ASSOCIATION INC","CORPORATION","WALLINGFORD PUBLIC ACCESS ASSOCIATION INC",,"CHR.0055579","CHR","55579",,"PUBLIC CHARITY","INACTIVE","DUE TO NON-RENEWAL OF CREDENTIAL","0","2011-06-02T00:00:00.000","2014-12-01T00:00:00.000","2015-11-30T00:00:00.000","WALLINGFORD","CT","064924129","2016-10-30T00:00:00.000"
"1000486","CRIMEWATCH OF STRATFORD INC","CORPORATION","CRIMEWATCH OF STRATFORD INC",,"CHR.0055580","CHR","55580",,"PUBLIC CHARITY","INACTIVE",,"0","2011-06-02T00:00:00.000","2011-06-01T00:00:00.000","2011-11-30T00:00:00.000","STRATFORD","CT","066145007","2014-08-25T00:00:00.000"
"1000504","IQUILT PARTNERSHIP INC","CORPORATION","IQUILT PARTNERSHIP INC",,"CHR.0055581","CHR","55581",,"PUBLIC CHARITY","LAPSED","INACTIVE","1","2011-06-06T00:00:00.000","2020-11-30T00:00:00.000","2022-05-31T00:00:00.000","HARTFORD","CT","061031631","2022-06-05T00:00:00.000"
"1000514","KURT BUSCH FOUNDATION","CORPORATION","KURT BUSCH FOUNDATION",,"CHR.0055582","CHR","55582",,"PUBLIC CHARITY","INACTIVE",,"0","2011-06-02T00:00:00.000","2012-06-01T00:00:00.000","2013-11-30T00:00:00.000","MOORESVILLE","NC","281179300","2014-08-25T00:00:00.000"
"1000583","LEADERSHIP ROUNDTABLE INC","CORPORATION","LEADERSHIP ROUNDTABLE INC",,"CHR.0055583","CHR","55583",,"PUBLIC CHARITY","ACTIVE","CURRENT","1","2011-06-03T00:00:00.000","2022-12-01T00:00:00.000","2023-11-30T00:00:00.000","WASHINGTON","DC","20017","2022-05-31T00:00:00.000"
"1000592","PETER WOJTECKI VETERAN TRUST","CORPORATION","PETER WOJTECKI VETERAN TRUST",,"CHR.0055585","CHR","55585",,"PUBLIC CHARITY","INACTIVE","DUE TO NON-RENEWAL OF CREDENTIAL","0","2011-06-03T00:00:00.000","2013-06-01T00:00:00.000","2014-11-30T00:00:00.000","NEW CANAAN","CT","068405312","2015-10-31T00:00:00.000"
