"ein","name","ico","street","city","state","zip_code","group","subsection","affiliation","classification","ruling","deductibility","foundation","activity","organization","status","tax_period","asset_cd","income_cd","filing_req_cd","pf_filing_req_cd","acct_pd","asset_amt","income_amt","revenue_amt","ntee_cd","sort_name","geocoded_column"
"010282855","B M CLARK FOUNDATION",,"38 BOSTON RD APT 316","MIDDLETOWN","CT","06457-3564","0","3","3","1000","197009","1","4","40000000","1","1","202012","3","1","0","1","12","85158","8972",,,,"38 BOSTON RD APT 316
MIDDLETOWN, CT 06457-3564
(41.553634, -72.676906)"
"010366432","WESTERN CONNECTICUT CHAPTER NATIONAL RAILWAY HISTORICAL SOCIET","% KEVIN FEENEY TREASURER","77 WASHINGTON ST","NORWALK","CT","06854-3086","0","3","3","2000","198003","1","16","119299000","1","1","202103","3","2","2","0","3","72611","12056","10883",,,"77 WASHINGTON ST
NORWALK, CT 06854-3086
(41.099012, -73.418157)"
"010371179","GOVERNOR JAMES B LONGLEY SCHOLARSHIP FOUNDATION TRUST","% NORMAN HANSON & DETROY LLC","PEOPLES UNITED BANK 850 MAIN ST RC","BRIDGEPORT","CT","06604-0000","0","3","3","1000","0","1","4","0","5","1","202108","4","3","0","1","8","241194","50970",,,"KATHRYN M LONGLEY-LEAHY",
"010441043","COURI FOUNDATION INC","% JOHN A COURI PRESIDENT","164 RAMAPOO RD","RIDGEFIELD","CT","06877-3732","0","3","3","1000","198907","1","3","0","1","1","202112","1","1","0","1","12","9514","1",,,,"164 RAMAPOO RD
RIDGEFIELD, CT 06877-3732
(41.291628, -73.515764)"
"010462738","U A LOCAL 716 APPRENTICESHIP AND TRAINING TRUST","% S & A INC","10 TECHNOLOGY DR","WALLINGFORD","CT","06492-1955","0","3","3","2000","201006","1","11","0","2","1","202012","6","4","1","0","12","1088643","327352","283754","B30","LOCAL 716 TRAINING FUND","10 TECHNOLOGY DR
WALLINGFORD, CT 06492-1955
(41.490474, -72.760942)"
"010483460","KAPPA DELTA PHI NATIONAL AFFILIATED SORORITY ALUMNAE ASSOCIATION INC","% SUE DYER TAYLOR","33 WOODLAND DR","NORWICH","CT","06360-7319","0","7","3","1000","199407","2","0","36000000","1","1","202112","0","0","2","0","12","0","0","0",,,"33 WOODLAND DR
NORWICH, CT 06360-7319
(41.500992, -72.075494)"
"010490877","NATIONAL ATHLETIC TRAINERS ASSOCIATION INC","% JULIE ALEXANDER","PO BOX 693","STORRS MANFLD","CT","06268-0693","7225","6","9","2000","199510","2","0","205000000","5","1","202106","4","4","1","0","6","393511","354361","179542",,"I DISTRICT",
"010502709","ATLANTIC STATES RURAL WATER & WASTEWATER ASSOCIATION","% STEVEN C LEVY","45 SALEM TURNPIKE 1007","NORWICH","CT","06360-6533","0","6","3","1000","199607","2","0","353351123","1","1","202106","4","4","1","0","6","168099","473643","473643",,,"45 SALEM TURNPIKE 1007
NORWICH, CT 06360-6533
(41.513411, -72.107616)"
"010517029","TRUST AGREEMENT FOR POST-RETIREMENT MEDICAL PLAN FOR UNION EMPLOYEES O","% THE NORTHERN TRUST COMPANY","180 MARSH HILL RD","ORANGE","CT","06477-3629","0","9","3","1000","199812","2","0","0","2","1","202012","8","6","1","0","12","19802665","4608406","2710191","Y99","CNTRL ME PWR CO UNION RETE MED VEBA","180 MARSH HILL RD
ORANGE, CT 06477-3629
(41.257467, -73.000217)"
"010517035","TRUST AGREEMENT FOR THE POST- RETIREMENT MEDICAL PLAN FOR NON-","% THE NORTHERN TRUST COMPANY","180 MARSH HILL RD","ORANGE","CT","06477-3629","0","9","3","1000","199812","2","0","265000000","2","1","202012","7","7","1","0","12","6421054","7193773","875078",,"CTRL ME PWR CO NON-UNI RET MED VEBA","180 MARSH HILL RD
ORANGE, CT 06477-3629
(41.257467, -73.000217)"
"010535353","EASTERN FRONTIER EDUCATIONAL","% STEPHEN DUNN","CO R FAVER 481 OLD LONG RIDGE ROA","STAMFORD","CT","06903-0000","0","3","3","1200","200210","1","3","0","1","1","202005","4","3","0","1","5","474650","62128",,"A90",,
"010538112","WATOTO CHARITABLE TR","% TREASURER PETER HARVEY","1364 ROCK RIMMON RD","STAMFORD","CT","06903-1104","0","3","3","1000","200103","1","15","0","1","1","202012","0","0","2","0","12","0","0","0","T30",,"1364 ROCK RIMMON RD
STAMFORD, CT 06903-1104
(41.158466, -73.594184)"
"010563865","WEST HAVEN CHURCH OF CHRIST INC","% WILLIAM BOWLING SR","PO BOX 4416","HAMDEN","CT","06514-0416","0","3","3","7000","200409","1","10","0","1","1",,"0","0","6","0","12",,,,"X20",,
"010566395","BUILDERS BEYOND BORDERS",,"66 FORT POINT ST","NORWALK","CT","06855-1217","0","3","3","1000","200302","1","16","0","1","1","202106","5","4","1","0","6","656597","455812","238156","P30",,"66 FORT POINT ST
NORWALK, CT 06855-1217
(41.103839, -73.407106)"
"010575025","TEMPLE OF PRAISE CHURCH OF CHRIST OF THE APOSTOLIC FAITH INCORPORATE","% DANIEL WADE","21 GRACE AVE","WATERBURY","CT","06710-1019","0","3","3","2700","200306","1","10","0","1","1",,"0","0","6","0","12",,,,"X20",,"21 GRACE AVE
WATERBURY, CT 06710-1019
(41.578187, -73.04465)"
"010580184","COMMUNITY DANCE ENSEMBLE INC","% MARGARET E DENNIS","8 CHAPMAN AVE","QUAKER HILL","CT","06375-1309","0","3","3","1000","200205","1","15","0","1","1","202206","0","0","2","0","6","0","0","0","A60",,"8 CHAPMAN AVE
QUAKER HILL, CT 06375-1309
(41.375936, -72.127022)"
"010589299","CONNECTICUT SPECTRUM MANAGEMENT ASSOCIATION INC","% PAUL GIBSON","31 SANTINA DR","MANCHESTER","CT","06040-7001","0","3","3","1000","200209","1","16","0","1","1","202112","0","0","2","0","12","0","0","0","A34","CSMA","31 SANTINA DR
MANCHESTER, CT 06040-7001
(41.744115, -72.536668)"
"010596826","LIFE EDU ORG INC","% ALBERT KAUSCH","139 BRIAR PATCH RD","STONINGTON","CT","06378-2403","0","3","3","1238","200308","1","15","0","1","1","202112","0","0","2","0","12","0","0","0","U50","KAUSCH ALBERT P PHD PRESIDENT","139 BRIAR PATCH RD
STONINGTON, CT 06378-2403
(41.358062, -71.910588)"
"010597012","CONNECTICUT RIVER LACROSSE CLUB INC","% P ORLANDO","CO PHIL ORLANDO 61 ROWLAND RD","OLD LYME","CT","06371-0000","0","3","3","1000","200207","1","16","0","1","1","202012","2","3","2","0","12","22249","39982","39982","O50",,
"010598781","TED THOMAS DANCE FOUNDATION FOR THE PUBLIC INC","% THEODORE THOMAS","11 MEETING GROVE LN","NORWALK","CT","06850-2205","0","3","3","2100","200304","1","15","0","1","1","202012","2","1","2","0","12","15969","7096","7096","A62",,"11 MEETING GROVE LN
NORWALK, CT 06850-2205
(41.122848, -73.467098)"
"010607204","PRIMERA IGLESIA BAUTISTA INC","% JUSTO J CARRERA","PO BOX 341249","HARTFORD","CT","06134-1249","0","3","3","7000","200304","1","10","0","1","1",,"0","0","6","0","12",,,,"X21",,
"010613380","UNITED HAITIAN AMERICAN SOCIETY","% GERARD AZOR","91 RIDGELEY AVE","FAIRFIELD","CT","06825-4409","0","3","3","1000","200310","1","15","0","1","1","202112","0","0","2","0","12","0","0","0","P84",,"91 RIDGELEY AVE
FAIRFIELD, CT 06825-4409
(41.17748, -73.230623)"
"010618846","WATERBURY CHRISTIAN FELLOWSHIP","% RAYMOND Z SZELIGOWSKI","26 DUBE LN # 1","WATERBURY","CT","06705-1104","0","3","3","7100","200303","1","10","0","1","1",,"0","0","6","0","12",,,,"X21",,"26 DUBE LN # 1
WATERBURY, CT 06705-1104
(41.549952, -73.016854)"
"010628943","NORTHEAST COMMUNITY CHURCH INC","% REV THOMAS MAHONEY","185 EAST AVE","NORWALK","CT","06855-1108","0","3","3","7000","200302","1","10","0","1","1",,"0","0","6","0","12",,,,"X21",,"185 EAST AVE
NORWALK, CT 06855-1108
(41.107342, -73.40556)"
"010648561","HEALTH360 INC","% PATRICIA HARRITY","PO BOX 42","NEWTOWN","CT","06470-0042","0","3","3","1200","200303","1","15","0","1","1","202109","5","6","1","0","9","721831","1384398","1384398","B60",,
"010650071","CHRIST CHURCH INC",,"16 TOWN LINE RD","WOLCOTT","CT","06716-2636","0","3","3","7000","200403","1","10","0","1","1",,"0","0","6","0","12",,,,"X200",,"16 TOWN LINE RD
WOLCOTT, CT 06716-2636
(41.573057, -72.997157)"
"010657417","BETHEL MINISTRY","% REV JUDSON G OLIVEIRA","PO BOX 24","STRATFORD","CT","06615-0024","0","3","3","1700","200402","1","10","0","1","1",,"0","0","6","0","12",,,,"X21",,
"010660984","FOR ONE WORLD","% JOHN DONNELLY","PO BOX 161","SOUTH LYME","CT","06376-0161","0","3","3","1000","200210","1","16","0","1","1","202003","0","0","2","0","3","0","0","0","B99",,
"010668736","WITNESS PROJECT OF CONNECTICUT INC",,"2470 FAIRFIELD AVENUE","WINDSOR","CT","06095-0000","0","3","3","1000","200206","1","15","0","1","1","202112","0","0","2","0","12","0","0","0","G30",,
"010670519","LOVING CARE MINISTRY INC","% LOVING CARE MINISTRY","41 WOLFPIT AVE APT 5T","NORWALK","CT","06851-4230","0","3","3","1000","201810","1","15","0","1","1","202110","0","0","2","0","10","0","0","0","P40",,"41 WOLFPIT AVE APT 5T
NORWALK, CT 06851-4230
(41.126298, -73.394198)"
"010671449","MATCH COALITION INC",,"83 OAK ST","HARTFORD","CT","06106-1515","0","3","3","1000","200209","1","15","0","1","1","202106","0","0","2","0","6","0","0","0","N20",,"83 OAK ST
HARTFORD, CT 06106-1515
(41.760832, -72.684365)"
"010676012","FRIENDS OF ASHA NIKETAN INC",,"PO BOX 182","NEW FAIRFIELD","CT","06812-0182","0","3","3","1200","200208","1","15","0","1","1","202112","4","3","1","0","12","100200","89820","89820","P82",,
"010691315","DANIEL J GRIFFIN MEMORIAL","% MARK SHEPTOFF","130 STANLEY DR","SOUTH WINDSOR","CT","06074-3599","0","3","3","1000","200306","1","16","0","1","1","202103","4","3","1","0","3","467234","72935","16997","B82",,"130 STANLEY DR
SOUTH WINDSOR, CT 06074-3599
(41.816354, -72.576667)"
