"loanrange","loanamount","businessname","address","city","state","zip","naicscode","businesstype","raceethnicity","gender","veteran","nonprofit","jobsreported","dateapproved","lender","cd"
"a $5-10 million",,"THE BERLIN STEEL CONSTRUCTION COMPANY","76 Depot Rd PO Box 428","BERLIN","CT","06037","236220","Subchapter S Corporation","Unanswered","Unanswered","Unanswered",,"425","2020-04-12T00:00:00.000","TD Bank, National Association","CT-01"
"a $5-10 million",,"LATICRETE INTERNATIONAL, INC.","1 Laticrete Park North","BETHANY","CT","06524","325510","Subchapter S Corporation","Unanswered","Unanswered","Unanswered",,,"2020-04-15T00:00:00.000","Citizens Bank, National Association","CT-03"
"a $5-10 million",,"COMNET COMMUNICATIONS, LLC","1 Park Ridge Road Suite","Bethel","CT","06801","238990","Limited  Liability Company(LLC)","Unanswered","Unanswered","Unanswered",,,"2020-04-28T00:00:00.000","Citizens Bank, National Association","CT-05"
"a $5-10 million",,"MASSEY'S PLATE GLASS & ALUMINUM, INC.","734 EAST MAIN ST","BRANFORD","CT","06405","238150","Subchapter S Corporation","Unanswered","Unanswered","Unanswered",,"162","2020-04-06T00:00:00.000","People's United Bank, National Association","CT-03"
"a $5-10 million",,"AFFINECO, LLC","855 MAIN ST","BRIDGEPORT","CT","06604","561720","Limited  Liability Company(LLC)","Unanswered","Unanswered","Unanswered",,"500","2020-04-13T00:00:00.000","People's United Bank, National Association","CT-04"
"a $5-10 million",,"AMERICAN CUSTOMER CARE INC","225 N Main Street","BRISTOL","CT","06010","561422","Corporation","Unanswered","Male Owned","Non-Veteran",,,"2020-04-28T00:00:00.000","Israel Discount Bank of New York","CT-01"
"a $5-10 million",,"FUELCELL ENERGY, INC.","3 GREAT PASTURE RD","DANBURY","CT","06810","334413","Corporation","Unanswered","Unanswered","Unanswered",,"258","2020-04-10T00:00:00.000","Liberty Bank","CT-05"
"a $5-10 million",,"RING'S END, INCORPORATED","181 WEST AVE","DARIEN","CT","06820","444190","Subchapter S Corporation","Unanswered","Unanswered","Unanswered",,"467","2020-04-07T00:00:00.000","Webster Bank, National Association","CT-04"
"a $5-10 million",,"HOBSON & MOTZER, INC","32 AIRLINE RD","DURHAM","CT","06422","332119","Subchapter S Corporation","Unanswered","Male Owned","Unanswered",,"0","2020-04-04T00:00:00.000","People's United Bank, National Association","CT-03"
"a $5-10 million",,"HAMILTON CONNECTIONS INC","1602 MAIN ST","EAST HARTFORD","CT","06108","561320","Corporation","White","Male Owned","Non-Veteran",,"500","2020-04-08T00:00:00.000","Ion Bank","CT-01"
"a $5-10 million",,"GENGRAS MOTOR CARS INC.","300 CONNECTICUT BLVD","EAST HARTFORD","CT","06108","441110","Subchapter S Corporation","Unanswered","Unanswered","Unanswered",,"495","2020-04-08T00:00:00.000","BMO Harris Bank National Association","CT-01"
"a $5-10 million",,"MODA LLC","777 West Putnam Avenue 0","Greenwich","CT","06830","424340","Limited  Liability Company(LLC)","Unanswered","Unanswered","Unanswered",,"224","2020-04-27T00:00:00.000","Citibank, N.A.","CT-04"
"a $5-10 million",,"APPLE CENTRAL, LLC","170 Mason Street","GREENWICH","CT","06830","722511","Limited  Liability Company(LLC)","Unanswered","Unanswered","Unanswered",,,"2020-04-14T00:00:00.000","First Horizon Bank","CT-04"
"a $5-10 million",,"CANTINA HOSPITALITY, LLC","170 Mason Street","GREENWICH","CT","06830","722511","Limited  Liability Company(LLC)","Unanswered","Unanswered","Unanswered",,,"2020-04-14T00:00:00.000","First Horizon Bank","CT-04"
"a $5-10 million",,"CONNECTICUT ORTHOPAEDIC SPECIALISTS, P.C.","2408 Whitney Ave","Hamden","CT","06518","621111","Corporation","Unanswered","Unanswered","Unanswered",,"0","2020-04-29T00:00:00.000","Truist Bank d/b/a Branch Banking & Trust Co","CT-03"
"a $5-10 million",,"PROPARK INC","1 Union Place","Hartford","CT","06103","812930","Corporation","Unanswered","Unanswered","Unanswered",,,"2020-04-29T00:00:00.000","Citizens Bank, National Association","CT-01"
"a $5-10 million",,"SHIPMAN & GOODWIN LLP","1 Constitution Plaza","Hartford","CT","06103","541110","Limited  Liability Company(LLC)","Unanswered","Unanswered","Unanswered",,"320","2020-04-15T00:00:00.000","Manufacturers and Traders Trust Company","CT-01"
"a $5-10 million",,"THE VILLAGE FOR FAMILIES & CHILDREN, INC.","1680 ALBANY AVE","HARTFORD","CT","06105","624110","Non-Profit Organization","Unanswered","Unanswered","Unanswered","true","495","2020-04-10T00:00:00.000","Salisbury Bank & Trust Company","CT-01"
"a $5-10 million",,"DAY PITNEY LLP","242 TRUMBULL ST","HARTFORD","CT","06103","541110","Partnership","Unanswered","Unanswered","Unanswered",,"477","2020-04-08T00:00:00.000","Professional Bank","CT-01"
"a $5-10 million",,"ROBINSON & COLE LLP","280 TRUMBULL ST., FL 29","HARTFORD","CT","06103","541110","Limited Liability Partnership","Unanswered","Unanswered","Unanswered",,"357","2020-04-27T00:00:00.000","Bank of America, National Association","CT-01"
"a $5-10 million",,"PROPARK AMERICA WEST, LLC","1 UNION PL","HARTFORD","CT","06103","812930","Limited  Liability Company(LLC)","Unanswered","Unanswered","Unanswered",,"500","2020-05-06T00:00:00.000","People's United Bank, National Association","CT-01"
"a $5-10 million",,"FUSS & O'NEILL INC","146 Hartford Rd","MANCHESTER","CT","06040","541330","Corporation","Unanswered","Unanswered","Unanswered",,"295","2020-04-14T00:00:00.000","Bank of America, National Association","CT-01"
"a $5-10 million",,"ALLIED PRINTING SERVICES, INC.","1 ALLIED WAY","MANCHESTER","CT","06042","323111","Subchapter S Corporation","Unanswered","Unanswered","Unanswered",,"368","2020-04-05T00:00:00.000","People's United Bank, National Association","CT-01"
"a $5-10 million",,"BL COMPANIES, INC.","355 Research Parkway","Meriden","CT","06450","541330","Subchapter S Corporation","Unanswered","Unanswered","Unanswered",,,"2020-04-15T00:00:00.000","Citizens Bank, National Association","CT-05"
"a $5-10 million",,"CORNELL SCOTT-HILL HEALTH CORPORATION","400 Columbus Avenue","New Haven","CT","06519","621498","Non-Profit Organization","Unanswered","Unanswered","Unanswered","true","0","2020-08-07T00:00:00.000","Capital One, National Association","CT-03"
"a $5-10 million",,"CONNECTICUT CONTAINER CORP","455 SACKETT POINT RD","NORTH HAVEN","CT","06473","326112","Corporation","Unanswered","Unanswered","Unanswered",,"392","2020-04-15T00:00:00.000","Bank of America, National Association","CT-03"
"a $5-10 million",,"HB COMMUNICATIONS, INC.","60 DODGE AVE","NORTH HAVEN","CT","06473","423620","Corporation","Unanswered","Unanswered","Unanswered",,"345","2020-04-08T00:00:00.000","Citizens Bank, National Association","CT-03"
"a $5-10 million",,"ULBRICH STAINLESS STEELS & SPECIAL METALS, INC","153 WASHINGTON AVE","NORTH HAVEN","CT","06473","331491","Corporation","Unanswered","Unanswered","Unanswered",,"278","2020-04-07T00:00:00.000","People's United Bank, National Association","CT-03"
"a $5-10 million",,"R.T. VANDERBILT HOLDING COMPANY, INC.","30 Winfield Street 0.0","Norwalk","CT","06855","325180","Corporation","Unanswered","Unanswered","Unanswered",,"426","2020-04-09T00:00:00.000","JPMorgan Chase Bank, National Association","CT-04"
"a $5-10 million",,"MERRITT HOSPITALITY, LLC","101 Merritt 7 Corp Park, 1st Floor 0.0","Norwalk","CT","06851","721110","Limited  Liability Company(LLC)","Unanswered","Unanswered","Unanswered",,"40","2020-04-15T00:00:00.000","JPMorgan Chase Bank, National Association","CT-04"
"a $5-10 million",,"UNITED COMMUNITY AND FAMILY SERVICES, INC.","34 EAST TOWN ST","NORWICH","CT","06360","624190","Non-Profit Organization","Unanswered","Unanswered","Unanswered","true","367","2020-04-06T00:00:00.000","Dime Bank","CT-02"
"a $5-10 million",,"ECP-PF HOLDINGS GROUP, INC.","35 Old Tavern Road Suite 200","Orange","CT","06477","713940","Corporation","Unanswered","Unanswered","Unanswered",,"492","2020-04-15T00:00:00.000","Manufacturers and Traders Trust Company","CT-03"
"a $5-10 million",,"PORTER AND CHESTER INSTITUTE, INC","30 Waterchase Drive","Rocky Hill","CT","06067","611519","Corporation","Unanswered","Male Owned","Unanswered",,"500","2020-04-13T00:00:00.000","Nutmeg State Financial CU","CT-01"
"a $5-10 million",,"STARLING PHYSICIANS, P.C. & SUBSIDIARIES","2110 SILAS DEANE HWY","ROCKY HILL","CT","06067","621111","Corporation","Unanswered","Unanswered","Unanswered",,"500","2020-04-27T00:00:00.000","Citizens Bank, National Association","CT-01"
"a $5-10 million",,"INTEGRATED ANESTHESIA ASSOCIATES LLC","2 TRAP FALLS RD","SHELTON","CT","06484","621111","Limited  Liability Company(LLC)","Unanswered","Unanswered","Unanswered",,"244","2020-04-07T00:00:00.000","Webster Bank, National Association","CT-04"
"a $5-10 million",,"WILLIAM RAVEIS HOLDINGS, INC.","7 TRAP FALLS RD","SHELTON","CT","06484","531210","Corporation","Unanswered","Unanswered","Unanswered",,"411","2020-04-05T00:00:00.000","People's United Bank, National Association","CT-04"
"a $5-10 million",,"SERVICE MANAGEMENT GROUP","25 CONTROLS DR","SHELTON","CT","06484","561720","Limited  Liability Company(LLC)","Unanswered","Unanswered","Unanswered",,"500","2020-04-06T00:00:00.000","People's United Bank, National Association","CT-04"
