"fiscal_year","company_name","company_address","municipality","state","zip_code","business_industry","naics_code","woman_minority_veteran_international_export","contract_execution_date","grant_amount","loan_amount","total_assistance","total_project_cost","amount_leveraged","funding_source","statutory_reference","job_obligation_status","penalty_if_applicable","forgiveness_earned_if_applicable","status","count"
"2015","101 Things 2 Do, LLC","40 Bell Street","Bridgeport","CT","06610","Financial Services","541213","Yes Woman","2015-03-25T00:00:00.000","25000","0","25000","58927","33927","Small Business Express Program","CGS Sec. 32-7g","Met","n/a","n/a","Active","1"
"2014","1-2-3 Floors, Inc dba Floors Now!","2516 Berlin Turnpike","Newington","CT","06111","Retailer","238331","No","2014-04-13T00:00:00.000","75000","0","75000","150000","75000","Small Business Express Program","CGS Sec. 32-7g","Met","n/a","n/a","Compliance Complete","1"
"2013","360 Diva, LLC dba Atelier 360","113 Greenwich Avenue","Greenwich","CT","06830","Retailer/Manufacturing","421710/315233","No","2012-09-12T00:00:00.000","100000","0","100000","257731","157731","Small Business Express Program","CGS Sec. 32-7g","Met","n/a","n/a","Compliance Complete","1"
"2014","385 Central Glass & Mirror, Inc. dba New England Glass & Mirror Co.","31 Connecticut Avenue","Norwich","CT","06360","Glass & Glazing Contractor","238150","No","2014-02-06T00:00:00.000","0","100000","100000","103000","3000","Small Business Express Program","CGS Sec. 32-7g","Met","n/a","n/a","Active","1"
"2012","385 Central Glass & Mirror, Inc. dba New England Glass & Mirror Co.","31 Connecticut Avenue","Norwich","CT","06360","Glass & Glazing Contractor","238150","No","2012-06-27T00:00:00.000","100000","0","100000","203000","103000","Small Business Express Program","CGS Sec. 32-7g","Met","n/a","n/a","Active","1"
"2016","3D Asset Management, Inc.","100 Constitution Plaza, Suite 700","Hartford","CT","06103","Investment Advice","523930","No","2016-03-15T00:00:00.000","100000","300000","400000","500000","100000","Small Business Express Program","CGS Sec. 32-7g","Not Met","2% to 3% and $23,528","n/a","Active","1"
"2018","3 Fellas Pizza & Market, LLC","4 East Hampton Road","Marlborough","CT","06447","Limited Service Restaurant","722513","No","2017-09-01T00:00:00.000","100000","300000","400000","800000","400000","Small Business Express Program","CGS Sec. 32-7g","Pending","n/a","n/a","Active","1"
"2014","3GTMS, Inc., Transits Technology, Inc.","4 Armstrong Road, Suite 210","Shelton","CT","06484","Software Development","541519","No","2014-05-05T00:00:00.000","0","300000","300000","1651300","1351300","Small Business Express Program","CGS Sec. 32-7g","Not Met","from 2% to 3%","n/a","Active","1"
"2015","525 Tunxis Hill Cut-Off, LLC dba Chip's Family Restaurant","321 Boston Post Road","Orange","CT","06477","Food Restaurant","722210","No","2014-10-02T00:00:00.000","95705","300000","395705","500000","104295","Small Business Express Program","CGS Sec. 32-7g","Met","n/a","n/a","Active","1"
"2014","71 Pine Street Cleaners, Inc. dba New Canaan Cleaners","71 Pine Street","New Canaan","CT","06840","Dry Cleaning and Laundry Service","812320","No","2013-12-02T00:00:00.000","72000","0","72000","144000","72000","Small Business Express Program","CGS Sec. 32-7g","Met","n/a","n/a","Active","1"
"2017","7 Summits Construction, LLC","36 John Street","Hartford","CT","06106","Construction","236220","Yes Minority","2017-05-31T00:00:00.000","100000","0","100000","758100","658100","Small Business Express Program","CGS Sec. 32-7g","Pending","n/a","n/a","Active","1"
"2014","9 Round New England, LLC","280 Branford Road","North Branford","CT","06471","Specialty Products/Services","713940","No","2014-06-06T00:00:00.000","20000","0","20000","48250","28250","Small Business Express Program","CGS Sec. 32-7g","Met","n/a","n/a","Active","1"
"2014","ABC Printing, Inc.","875 Foxon Road","East Haven","CT","06513","Printing Manufacturer","323100","No","2014-02-04T00:00:00.000","100000","0","100000","203000","103000","Small Business Express Program","CGS Sec. 32-7g","Not Met","$23,828","n/a","Active","1"
"2017","Absolute Mechanical Systems, Inc.","29 Milldale Avenue","Plantsville","CT","06749","HVAC","238220","Yes Woman","2017-02-15T00:00:00.000","100000","300000","400000","500000","100000","Small Business Express Program","CGS Sec. 32-7g","Pending","n/a","n/a","Active","1"
"2016","Absolute Precision Group, LLC","50 Founders Plaza, Suite 100","East Hartford","CT","06108","Precision Manufacturing","811219","Yes Woman/Minority","2016-01-26T00:00:00.000","100000","300000","400000","538733","138733","Small Business Express Program","CGS Sec. 32-7g","Pending","n/a","n/a","Active","1"
"2013","Absolute Wellness, LLC","428 Hartford Turnpike","Vernon","CT","06066","Health Wellness Screenings","812999","No","2013-02-19T00:00:00.000","0","149426","149426","149426","0","Small Business Express Program","CGS Sec. 32-7g","Not Met","OOB","n/a","Compliance Complete","1"
"2018","A.B. Training Center, LLC","35 Great Neck Road","Waterford","CT","06385","Transportation","611000","Yes Veteran","2018-05-04T00:00:00.000","36800","135400","172200","351500","179300","Small Business Express Program","CGS Sec. 32-7g","Pending","n/a","n/a","Active","1"
"2017","Academy Di Capelli, LLC","950 Yale Street, Suite 20","Wallingford","CT","06492","Cosmetology & Barber Schools","611511","Yes Woman","2016-11-17T00:00:00.000","100000","300000","400000","583000","183000","Small Business Express Program","CGS Sec. 32-7g","Pending","n/a","n/a","Active","1"
"2013","Accelatis, LLC","126 Old Ridgefield Road","Wilton","CT","06897","Computer Systems Design Services","561990","No","2012-07-26T00:00:00.000","100000","250000","350000","505000","155000","Small Business Express Program","CGS Sec. 32-7g","Not Met","Loan repaid","n/a","Active","1"
"2019","ACCEL Compliance, LLC","433 South Main Street","West Hartford","CT","06110",,,,"2018-08-30T00:00:00.000","20000","100000","120000","143000","23000","Small Business Express Program","CGS Sec. 32-7g","Pending","n/a","n/a","Out of Business- confirmed","1"
"2018","ACCEL Compliance, LLC","65 LaSalle Road, Suite 400","West Hartford","CT","06107","Financial Services/Compliance","541990","Consulting","2017-07-20T00:00:00.000","80000","100000","180000","345139","165139","Small Business Express Program","CGS Sec. 32-7g","Pending","n/a","n/a","Active","1"
"2018","Accounting + More, LLC","48 Wilson Road, P.O. Box 550","Litchfield","CT","06759","Accounting/Finance","541219","Yes Woman","2018-01-08T00:00:00.000","0","200000","200000","205625","5625","Small Business Express Program","CGS Sec. 32-7g","Pending","n/a","n/a","Out of Business- written off","1"
"2017","Accutrol, LLC","21 Commerce Drive","Danbury","CT","06810","HVAC Controls Manufacturing","333415","Yes International Export","2017-06-01T00:00:00.000","100000","300000","400000","3679500","3279500","Small Business Express Program","CGS Sec. 32-7g","Pending","n/a","n/a","Active","1"
"2016","Ace Technologies, Inc dba Nutmeg Technologies","279 Nutmeg Road","Newington","CT","06111","Computer Systems Design Services","541512","Yes Woman","2016-03-23T00:00:00.000","100000","213000","313000","413000","100000","Small Business Express Program","CGS Sec. 32-7g","Not Met","3% to 4% and $4,545","n/a","Active","1"
"2018","ACI Auto Group, LLC","187 South Main Street","East WIndsor","CT","06088","Automotive","423100","Yes International Export","2018-05-23T00:00:00.000","60000",,"60000","120000","60000","Small Business Express Program","CGS Sec. 32-7g","Pending","n/a","n/a","Active","1"
"2015","Active Internet Technologies, LLC dba Finalsite","809 Main Street","East Hartford","CT","06108","Computer Systems Design Services","541512","No","2014-07-18T00:00:00.000","100000","0","100000","200000","100000","Small Business Express Program","CGS Sec. 32-7g","Met","n/a","n/a","Out of Business- written off","1"
"2015","Aculer, LLC","422 Main Street","Middletown","CT","06457","Furniture","442110","No","2015-06-05T00:00:00.000","100000","140000","240000","915250","675250","Small Business Express Program","CGS Sec. 32-7g","Pending","n/a","n/a","Active","1"
"2015","Adaco, Inc.","40 Richards Avenue","Norwalk","CT","06854","Software","541511","No","2014-08-01T00:00:00.000","72500","0","72500","218000","145500","Small Business Express Program","CGS Sec. 32-7g","Met","n/a","n/a","Active","1"
"2016","Adam Equipment, Inc.","1 Fox Hollow Road","Danbury","CT","06810","Direct Sells Marketing","454390","No","2015-11-10T00:00:00.000","100000","300000","400000","2931476","2531476","Small Business Express Program","CGS Sec. 32-7g","Met","n/a","n/a","Active","1"
"2019","Adaptive Prosthetics & Orthotics, LLC","52 National Drive","Glastonbury","CT","06033","Healthcare","621399","No","2019-04-24T00:00:00.000","100000","300000","400000","500000","100000","Small Business Express Program","CGS Sec. 32-7g","Pending","n/a","n/a","Active","1"
