"company","file_no","opened","closed","coverage","subcoverage","reason","subreason","disposition","conclusion","recovery","status"
"Cigna Health and Life Insurance Company","7015934","2018-07-11T00:00:00.000","2018-08-13T00:00:00.000","Group","Health Only","Marketing & Sales","Misrepresentation","Claim Settled","Furnished Information","0.00","Closed"
"Cigna Health and Life Insurance Company","7013129","2019-02-22T00:00:00.000","2019-03-18T00:00:00.000","Individual","Dental","Claim Handling","Unsatisfactory Settlement/Offer","Company Position Substantiated","Furnished Information","0.00","Closed"
"Cigna Health and Life Insurance Company","7014049","2019-01-25T00:00:00.000","2019-02-22T00:00:00.000","Group","Health Only","Claim Handling","Delays","Claim Settled","Justified","593.37","Closed"
"Cigna Health and Life Insurance Company","7013857","2019-01-23T00:00:00.000","2019-01-23T00:00:00.000","Group","Health Only","Claim Handling","UR Case Management",,"Furnished Information","0.00","Closed"
"Cigna Health and Life Insurance Company","7013857","2019-01-23T00:00:00.000","2019-01-23T00:00:00.000","Group","Health Only","Claim Handling","UR Case Management",,"Refer-Judicial/Attorney","0.00","Closed"
"Cigna Health and Life Insurance Company","7013858","2019-01-23T00:00:00.000","2019-02-20T00:00:00.000","Individual","Dental","Claim Handling","Denial of Claim",,"Furnished Information","0.00","Closed"
"Cigna Health and Life Insurance Company","7013858","2019-01-23T00:00:00.000","2019-02-20T00:00:00.000","Individual","Dental","Claim Handling","Denial of Claim",,"Coverage Granted","0.00","Closed"
"Cigna Health and Life Insurance Company","7013840","2019-01-23T00:00:00.000","2019-02-08T00:00:00.000","Individual","Dental","Claim Handling","Other","No Action Requested/Required","Furnished Information","0.00","Closed"
"Cigna Health and Life Insurance Company","7017682","2018-08-06T00:00:00.000","2019-09-27T00:00:00.000","Individual","Dental","Claim Handling","Coordination of Benefits","Contract Provision/Legal Issue","Furnished Information","0.00","Closed"
"Cigna Health and Life Insurance Company","7017943","2019-11-22T00:00:00.000","2019-12-27T00:00:00.000","Group","Health Only","Claim Handling","Other","Compromised Settlement/Resolution","Furnished Information","0.00","Closed"
"Cigna Health and Life Insurance Company","7017765","2018-05-01T00:00:00.000","2018-06-13T00:00:00.000","Group","Health Only","Claim Handling","Denial of Claim","Claim Settled","Voluntary Reconsideration","2703.00","Closed"
"Cigna Health and Life Insurance Company","7013417","2018-11-28T00:00:00.000","2018-12-17T00:00:00.000","Group","Health Only","Claim Handling","Eligibility of Provider","Contract Provision/Legal Issue","Furnished Information","0.00","Closed"
"Cigna Health and Life Insurance Company","7014311","2018-10-23T00:00:00.000","2018-11-07T00:00:00.000","Group","Health Only","Claim Handling","Eligibility of Provider","Claim Settled","Voluntary Reconsideration","519.81","Closed"
"Cigna Health and Life Insurance Company","7014976","2018-06-26T00:00:00.000","2018-07-13T00:00:00.000","Group","Health Only","Claim Handling","Denial of Claim",,"Furnished Information","0.00","Closed"
"Cigna Health and Life Insurance Company","7014084","2019-02-19T00:00:00.000","2019-03-07T00:00:00.000","Individual","Dental","Claim Handling","Unsatisfactory Settlement/Offer","Company Position Substantiated","Furnished Information","0.00","Closed"
"Cigna Health and Life Insurance Company","7014091","2019-02-19T00:00:00.000","2019-03-20T00:00:00.000","Individual","Dental","Marketing & Sales","Misappropriation of Premium","Compromised Settlement/Resolution","Voluntary Reconsideration","0.00","Closed"
"Cigna Health and Life Insurance Company","7015288","2018-03-26T00:00:00.000","2018-04-11T00:00:00.000","Individual","Dental","Claim Handling","Claim Procedure","Company Position Substantiated","Furnished Information","0.00","Closed"
"Cigna Health and Life Insurance Company","7015433","2018-08-14T00:00:00.000","2018-09-05T00:00:00.000","Group","Health Only","PolicyHolder Service","Delays/No Response","Insufficient Information","Furnished Information","0.00","Closed"
"Cigna Health and Life Insurance Company","7012528","2019-01-04T00:00:00.000","2019-03-25T00:00:00.000","Group","Health Only","Claim Handling","UR MEDICALLY NECESSARY DENIAL","No Action Requested/Required","Furnished Information","0.00","Closed"
"Cigna Health and Life Insurance Company","7016464","2018-06-11T00:00:00.000","2018-08-15T00:00:00.000","Individual","Dental","Claim Handling","Unsatisfactory Settlement/Offer","Claim Settled","Furnished Information","21.00","Closed"
"Cigna Health and Life Insurance Company","7016924","2018-07-26T00:00:00.000","2018-08-15T00:00:00.000","Group","Health Only","Claim Handling","Eligibility of Provider","Compromised Settlement/Resolution","Justified","1850.00","Closed"
"Cigna Health and Life Insurance Company","7014353","2018-10-25T00:00:00.000","2018-11-02T00:00:00.000","Group","Health Only","Claim Handling","UR MEDICALLY NECESSARY DENIAL","No Action Requested/Required","Furnished Information","0.00","Closed"
"Cigna Health and Life Insurance Company","7014372","2018-12-17T00:00:00.000","2019-01-25T00:00:00.000","Individual","Dental","Claim Handling","Denial of Claim","Claim Settled","Furnished Information","0.00","Closed"
"Cigna Health and Life Insurance Company","7015485","2018-03-28T00:00:00.000","2018-04-13T00:00:00.000","Individual","Dental","Claim Handling","Denial of Claim","Company Position Substantiated","Furnished Information","0.00","Closed"
"Cigna Health and Life Insurance Company","7017642","2018-05-14T00:00:00.000","2018-06-12T00:00:00.000","Group","Health Only","Claim Handling","Claim Procedure","Claim Settled","Furnished Information","6618.00","Closed"
"Cigna Health and Life Insurance Company","7015767","2018-07-11T00:00:00.000","2018-10-02T00:00:00.000","Group","Health Only","Claim Handling","Denial of Claim",,"Justified","1077.00","Closed"
"Cigna Health and Life Insurance Company","7015767","2018-07-11T00:00:00.000","2018-10-02T00:00:00.000","Group","Health Only","Claim Handling","Denial of Claim",,"Claim Paid With Interest","1077.00","Closed"
"Cigna Health and Life Insurance Company","7012500","2019-01-02T00:00:00.000","2019-08-21T00:00:00.000","Group","Health Only","Claim Handling","Unsatisfactory Settlement/Offer","Compromised Settlement/Resolution","Voluntary Reconsideration","0.00","Closed"
"Cigna Health and Life Insurance Company","7017429","2018-05-08T00:00:00.000","2018-06-20T00:00:00.000","Individual","Dental","Claim Handling","Coordination of Benefits","Contract Provision/Legal Issue","Furnished Information","0.00","Closed"
"Cigna Health and Life Insurance Company","7017442","2018-05-08T00:00:00.000","2018-10-30T00:00:00.000","Individual","Dental","Claim Handling","Denial of Claim","Claim Settled","Furnished Information","1005.20","Closed"
"Cigna Health and Life Insurance Company","7012391","2018-09-24T00:00:00.000","2018-10-10T00:00:00.000","Individual","Dental","Claim Handling","Denial of Claim","Claim Settled","Furnished Information","91.00","Closed"
"Cigna Health and Life Insurance Company","7040854","2021-11-14T00:00:00.000","2022-01-07T00:00:00.000","A & H","A & H","Claim Handling","Claim Delays",,"Furnished Information","0.00","Closed"
"Cigna Health and Life Insurance Company","7040854","2021-11-14T00:00:00.000","2022-01-07T00:00:00.000","Group","A & H","Claim Handling","Claim Delays",,"Furnished Information","0.00","Closed"
"Cigna Health and Life Insurance Company","7040854","2021-11-14T00:00:00.000","2022-01-07T00:00:00.000","A & H","A & H","Claim Handling","Delays",,"Furnished Information","0.00","Closed"
"Cigna Health and Life Insurance Company","7040854","2021-11-14T00:00:00.000","2022-01-07T00:00:00.000","Group","A & H","Claim Handling","Delays",,"Furnished Information","0.00","Closed"
"Cigna Health and Life Insurance Company","7040854","2021-11-14T00:00:00.000","2022-01-07T00:00:00.000","A & H","Health Only","Claim Handling","Claim Delays",,"Furnished Information","0.00","Closed"
"Cigna Health and Life Insurance Company","7040854","2021-11-14T00:00:00.000","2022-01-07T00:00:00.000","Group","Health Only","Claim Handling","Claim Delays",,"Furnished Information","0.00","Closed"
"Cigna Health and Life Insurance Company","7040854","2021-11-14T00:00:00.000","2022-01-07T00:00:00.000","A & H","Health Only","Claim Handling","Delays",,"Furnished Information","0.00","Closed"
"Cigna Health and Life Insurance Company","7040854","2021-11-14T00:00:00.000","2022-01-07T00:00:00.000","Group","Health Only","Claim Handling","Delays",,"Furnished Information","0.00","Closed"
"Cigna Health and Life Insurance Company","7040854","2021-11-14T00:00:00.000","2022-01-07T00:00:00.000","A & H","Self Funded/ERISA","Claim Handling","Claim Delays",,"Furnished Information","0.00","Closed"
"Cigna Health and Life Insurance Company","7040854","2021-11-14T00:00:00.000","2022-01-07T00:00:00.000","Group","Self Funded/ERISA","Claim Handling","Claim Delays",,"Furnished Information","0.00","Closed"
"Cigna Health and Life Insurance Company","7040854","2021-11-14T00:00:00.000","2022-01-07T00:00:00.000","A & H","Self Funded/ERISA","Claim Handling","Delays",,"Furnished Information","0.00","Closed"
"Cigna Health and Life Insurance Company","7040854","2021-11-14T00:00:00.000","2022-01-07T00:00:00.000","Group","Self Funded/ERISA","Claim Handling","Delays",,"Furnished Information","0.00","Closed"
