"business_name","street_address","municipality","state","zip_code","funding_date","loan_amt","woman_owned","minority_owned","veteran_owned","industry"
"Southington Sports Group, LLC","235 Queen Street","Southington","CT","6489","2020-08-03T00:00:00.000","5555","0","0","0","Arts, Entertainment, Recreation, Accomodation and Food Services"
"J AND H HOSPITALITY LLC","35 Governor Winthrop Blvd","New London","CT","6320","2020-08-03T00:00:00.000","37500","0","0","0","Arts, Entertainment, Recreation, Accomodation and Food Services"
"J AND H HOSPITALITY MYSTIC LLC","6 Coogan Blvd","Mystic","CT","6355","2020-08-03T00:00:00.000","37500","0","0","0","Arts, Entertainment, Recreation, Accomodation and Food Services"
"Napco Plastics, LLC","75 Napco Drive","Terryville","CT","6786","2020-07-27T00:00:00.000","14999","1","0","0","Manufacturing"
"Neighborhood Studios of Fairfield County","391 East Washington Avenue","Bridgeport","CT","6608","2020-07-27T00:00:00.000","10000","0","0","0","Professional, Scientific and Technical Services"
"David Mandel and Associates, LLC","39 High Street","Canton","CT","6019","2020-07-27T00:00:00.000","37500","0","0","0","Other"
"911 Consulting","20 Indian Hill Road","Wilton","CT","06897","2020-07-23T00:00:00.000","16665",,,,"Blank"
"Studio Poesis Incorporated","120 Limerock Road","Lakeville","CT","6039","2020-07-22T00:00:00.000","11110","0","0","0","Other"
"Ciderjacks LLC","83 Salmon Brook Street","Granby","ct","6035","2020-07-21T00:00:00.000","15093","1","0","1","Arts, Entertainment, Recreation, Accomodation and Food Services"
"CHIPS WETHERSFIELD LLC","1301 SILAS DEANE HIGHWAY","Wethersfield","CT","6109","2020-07-21T00:00:00.000","37500","0","0","0","Arts, Entertainment, Recreation, Accomodation and Food Services"
"John K LLC","806 State Street","New Haven","CT","6511","2020-07-17T00:00:00.000","30083","1","0","0","Arts, Entertainment, Recreation, Accomodation and Food Services"
"LIng's Banquet LLC","423 Post Road East","Westport","CT","6880","2020-07-17T00:00:00.000","37499","1","1","0","Arts, Entertainment, Recreation, Accomodation and Food Services"
"LTD Animals LLC","617 Westchester Rd.","Colchester","CT","6415","2020-07-15T00:00:00.000","5000","1","0","0","Other"
"Eaglewood Hospitality Group llc",,,,,"2020-07-15T00:00:00.000","20832",,,,"Blank"
"DPV LLC","90 South Main Street","East Windsor","CT","06088","2020-07-15T00:00:00.000","37500",,,,"Blank"
"Somers Day Spa & Salon LLC","36 South Rd","Somers","CT","6071","2020-07-15T00:00:00.000","37500","0","0","0","Other"
"Vintanthromodern Vintage, LLC","895 Whalley Avenue","New Haven","CT","6511","2020-07-14T00:00:00.000","3000","1","1","0","Retail Trade"
"Jefferson Group, LLC","85 Research Drive","Stamford","CT","6902","2020-07-14T00:00:00.000","37500","0","0","0","Other"
