"credentialid","type","businessname","dba","fullcredentialcode","credentialtype","credentialnumber","credentialsubcategory","credential","status","statusreason","active","issuedate","effectivedate","expirationdate","address","city","state","zip","recordrefreshedon"
"957058","CORPORATION","1000 FRIENDS OF CONNECTICUT INC",,"CHR.0051422","CHR","51422",,"PUBLIC CHARITY","INACTIVE","DUE TO NON-RENEWAL OF CREDENTIAL","0","2007-08-08T00:00:00.000","2012-06-01T00:00:00.000","2013-05-31T00:00:00.000","PO BOX 1988","HARTFORD","CT","061441988","2019-11-29T00:00:00.000"
"961672","CORPORATION","100 BLACK MEN OF STAMFORD INC",,"CHR.0006264","CHR","6264",,"PUBLIC CHARITY","ACTIVE IN RENEWAL","ACTIVE","1","2022-08-01T00:00:00.000","2022-08-01T00:00:00.000","2022-11-30T00:00:00.000","PO BOX 1313","STAMFORD","CT","069041313","2022-08-02T00:00:00.000"
"965883","CORPORATION","100 WOMEN IN FINANCE FOUNDATION",,"CHR.0050072","CHR","50072",,"PUBLIC CHARITY","ACTIVE IN RENEWAL","ACTIVE","1",,"2021-12-01T00:00:00.000","2022-11-30T00:00:00.000","888C 8TH AVE # 453","NEW YORK","NY","100198511","2021-11-17T00:00:00.000"
"1380204","CORPORATION","10/40 CONNECTIONS INC",,"CHR.0060105","CHR","60105",,"PUBLIC CHARITY","ACTIVE IN RENEWAL","ACTIVE","1","2016-09-21T00:00:00.000","2022-02-22T00:00:00.000","2022-11-30T00:00:00.000","2120 NORTHGATE PARK LN STE 400","CHATTANOOGA","TN","374156956","2022-02-23T00:00:00.000"
"1157201","CORPORATION","1214 FOUNDATION INC",,"CHR.0057105","CHR","57105",,"PUBLIC CHARITY","ACTIVE IN RENEWAL","ACTIVE","1","2013-04-04T00:00:00.000","2021-12-01T00:00:00.000","2022-11-30T00:00:00.000","PO Box 90","NEWTOWN","CT","064701943","2021-11-18T00:00:00.000"
"965651","CORPORATION","12345 KIDS COUNT OF MILFORD INC.",,"CHR.0012434-EXEMPT","CHR","12434","EXEMPT","PUBLIC CHARITY-EXEMPT FROM FINANCIAL REQUIREMENTS","ACTIVE",,"1","2004-08-10T00:00:00.000",,,"PO BOX 169","MILFORD","CT","064600169","2017-03-16T00:00:00.000"
"1660759","CORPORATION","127 WORLDWIDE INC",,"CHR.0062814-EXEMPT","CHR","62814","EXEMPT","PUBLIC CHARITY-EXEMPT FROM FINANCIAL REQUIREMENTS","ACTIVE","CURRENT","1","2019-05-23T00:00:00.000","2019-05-23T00:00:00.000",,"9200 STRICKLAND RD","RALEIGH","NC","276152022","2019-05-28T00:00:00.000"
"1399614","CORPORATION","12 BY 12 BY 12 INC",,"CHR.0060417","CHR","60417",,"PUBLIC CHARITY","INACTIVE","DUE TO NON-RENEWAL OF CREDENTIAL","0","2017-01-25T00:00:00.000","2017-01-25T00:00:00.000","2018-11-30T00:00:00.000","20 BANK ST","NEW MILFORD","CT","067762706","2019-10-31T00:00:00.000"
"958727","CORPORATION","12M YACHT DEVELOPMENT FOUNDATION INC",,"CHR.0052127","CHR","52127",,"PUBLIC CHARITY","ACTIVE IN RENEWAL","ACTIVE","1","2008-05-20T00:00:00.000","2021-12-01T00:00:00.000","2022-11-30T00:00:00.000","353 GREENWICH AVE","GREENWICH","CT","068306505","2021-10-27T00:00:00.000"
"959883","CORPORATION","1421 OPPORTUNITY NET",,"CHR.0007853-EXEMPT","CHR","7853","EXEMPT","PUBLIC CHARITY-EXEMPT FROM FINANCIAL REQUIREMENTS","ACTIVE",,"1",,,,"16 SALISBURY LANE","WINSTED","CT","06098","2017-03-16T00:00:00.000"
