"fiscal_year","company_name","company_address","municipality","state","zip_code","business_industry","naics_code","woman_minority_veteran_international_export","contract_execution_date","grant_amount","loan_amount","total_assistance","total_project_cost","amount_leveraged","funding_source","statutory_reference","job_obligation_status","forgiveness_earned_if_applicable","penalty_if_applicable","status","count"
"2017","1st Alliance Lending, LLC","111 Founders Plaza, Suite 1300","East Hartford","CT","06108","Manufacturing","522310","No","2016-09-16T00:00:00.000","0","6000000","1500000","11451931","9951931","Manufacturing Assistance Act","CH 588l","Pending","n/a","n/a","Active","1"
"2015","A-1 Machining Company","235 John Downey Drive","New Britain","CT","06051","Manufacturing","336412","No","2015-02-22T00:00:00.000","0","1250000","1250000","1860000","610000","Manufacturing Assistance Act","CH 588l","Pending","n/a","n/a","Active","1"
"2017","ABB, Inc.","5 Waterside Crossing","Windsor","CT","06095","Manufacturing","335999","no","2016-08-02T00:00:00.000","750000","0","750000","2000000","1250000","Manufacturing Assistance Act","CH 588l","Pending","n/a","n/a","Active","1"
"2017","Accel International Holdings, Inc.","508 North Colony Street","Meriden","CT","06450","Manufacturing","331422","Yes","2016-07-22T00:00:00.000","0","3000000","3000000","20970000","17970000","Manufacturing Assistance Act","CH 588l","Met","n/a","n/a","Active","1"
"2019","Accel International Holdings, Inc.","508 Colony Street","Meriden","CT","06450","Manufacturer","331420","Yes","2019-05-29T00:00:00.000","0","5000000","5000000","43000000","38000000","Manufacturing Assistance Act","CH 588l","Pending","n/a","n/a","Active","1"
"2016","Acme Monaco Corporation","75 Winchell Road","New Britain","CT","06052","Manufacturing","332110","No","2015-10-22T00:00:00.000","0","417481","417481","1342114","924633","Manufacturing Assistance Act","CH 588l","Pending","n/a","n/a","Active","1"
"2016","ACMT, Inc. fka AdChem Manufacturing Technologies, Inc.","369 Progress Drive","Manchester","CT","06042","Manufacturing","336412","No","2016-03-14T00:00:00.000","0","3000000","3000000","8671000","5671000","Manufacturing Assistance Act","CH 588l","Pending","n/a","n/a","Active","1"
"2012","Advanced Business Banking Solutions, LLC","1331 Silas Deane Highway, Suite 202","Wethersfield","CT","06109","Financial Services","522110","No","2012-03-05T00:00:00.000","100000","0","100000","203000","103000","Manufacturing Assistance Act","CH 588l","Pending","n/a","n/a","Active","1"
"2013","Advance Stores Company, Incorporated","300 Shaker Road","Enfield","CT","06082","Retail Trade","441310","No","2012-10-03T00:00:00.000","0","5000000","5000000","33000000","28000000","Manufacturing Assistance Act","CH 588l","Met","$   5,000,000","n/a","Active","1"
"2017","Aer Lingus Limited","Dublin Airport, Dublin, Ireland","n/a",,,"Transportation",,"No","2016-09-08T00:00:00.000","13300000","0","13300000","13300000","0","Manufacturing Assistance Act","CH 588l","n/a","n/a","n/a","Active","1"
"2017","AI Engineers, Inc.","919 Middle Street","Middletown","CT","06457","Manufacturing","541330","Yes","2016-09-15T00:00:00.000","0","1600000","1600000","1800000","200000","Manufacturing Assistance Act","CH 588l","Pending","n/a","n/a","Active","1"
"2013","Akademos, Inc.","200 Connecticut Avenue","Norwalk","CT","06854","Manufacturing","454111","No","2013-05-07T00:00:00.000","100000","300000","400000","800000","400000","Manufacturing Assistance Act","CH 588l","Met","n/a","n/a","Active","1"
"2018","Alpha Q, Inc.","87 Upton Road","Colchester","CT","06415","Manufacturing","336413","No","2017-12-22T00:00:00.000","0","2500000","2500000","7488000","4988000","Manufacturing Assistance Act","CH 588l","Pending","n/a","n/a","Active","1"
"2011","Alstom Power, Inc.","200 Great Pond Drive","Windsor","CT","06095","Manufacturing","333611","No","2011-05-04T00:00:00.000","0","3000000","3000000","39055000","36055000","Manufacturing Assistance Act","CH 588l","met","$   2,000,000","n/a","Active","1"
"2014","Alstom Power, Inc.","200 Great Pond Drive","Windsor","CT","06095","Manufacturing","333611","No","2014-05-05T00:00:00.000","500000","3000000","3500000","20391000","16891000","Manufacturing Assistance Act","CH 588l","Not Met","n/a","n/a","Active","1"
"2015","Amco Precision Tools, Inc.","921 Farmington Avenue","Kensington","CT","06037","Manufacturing","333500","No","2014-12-31T00:00:00.000","0","2100000","2100000","4720000","2620000","Manufacturing Assistance Act","CH 588l","Met","$   1,600,000","n/a","Active","1"
"2016","American Woolen Company, Inc.","8 Furnace Avenue","Stafford Springs","CT","06076","Manufacturing","313210","No","2016-03-04T00:00:00.000","0","500000","500000","1250000","750000","Manufacturing Assistance Act","CH 588l","Met","$   200,000","n/a","Active","1"
"2017","Amgraph Packaging, Inc.","90 Papermill Road","Baltic","CT","06330","Manufacturing","322221","No","2017-06-06T00:00:00.000","0","4000000","4000000","12750000","8750000","Manufacturing Assistance Act","CH 588l","Pending","n/a","n/a","Active","1"
"2018","Anthem Sports, LLC","2 Extrusion Drive","Pawcatuck","CT","06379","Manufacturing","451110","No","2018-03-09T00:00:00.000","0","350000","350000","350000","0","Manufacturing Assistance Act/Small Business Revolving Loan Fund","PA 10-75","Pending",,"Pending","Active","1"
"2011","Aperture Optical Sciences, Inc.","27 Parson Lane","Durham","CT","06422","Manufacturing","333314","No","2011-05-27T00:00:00.000","0","350000","350000","1139000","789000","Manufacturing Assistance Act/Small Business Revolving Loan Fund","PA 10-75","n/a","n/a","n/a","Active","1"
"2015","Aperture Optical Sciences, Inc.","27 Parson Lane","Durham","CT","06422","Manufacturing","333314","No","2015-03-18T00:00:00.000","0","650000","650000","3161000","2511000","Manufacturing Assistance Act Revolving Loan Fund","CH 588l","Pending","n/a","n/a","Active","1"
"2014","Applango USA, Inc.","16 Windsor Lane","Cos Cob","CT","06807","Manufacturing","519130","No","2014-01-14T00:00:00.000","100000","0","100000","553600","453600","Manufacturing Assistance Act","CH 588l","Met","n/a","n/a","Active","1"
"2018","Applied Tooling Concepts aka D&D Carbide Grading","598 Deming Road","Berlin","CT","06037","Manufacturing","333518","No","2018-04-25T00:00:00.000",,"365000","365000","365000","0","Manufacturing Assistance Act/Small Business Revolving Loan Fund","PA 10-75","Pending","n/a",,"Active","1"
"2013","APS Technology, Inc.","7 Laser Lane","Wallingford","CT","06492","Manufacturing","333132","No","2013-06-05T00:00:00.000","0","5000000","5000000","10000000","5000000","Manufacturing Assistance Act","CH 588l","Met","$   2,000,000","n/a","Active","1"
"2017","AQR Capital Management, LLC","2 Greenwich Plaza","Greenwich","CT","06830","Manufacturing","523920","No","2016-12-06T00:00:00.000","7000000","28000000","35000000","72783300","37783300","Manufacturing Assistance Act- First Five","CH 588l","Met","$   13,000,000","n/a","Active","1"
"2013","Aqua Comfort Technologies, LLC","6 Coventry Court","Wallingford","CT","06492","Manufacturing","236220","No","2012-12-26T00:00:00.000","100000","650000","750000","2303000","1553000","Manufacturing Assistance Act","CH 588l","Pending","n/a","n/a","Active","1"
"2021","Aquinas Consulting, LLC","601 Boston Post Road","Milford","CT","06460","Outsourcing, Placement Service","561311","No","2021-06-15T00:00:00.000","150000","0","150000","3100000","2950000","Manufacturing Assistance Act","CH 588l","Pending","n/a","n/a","Active","1"
"2017","Aristeia Capital, LLC","One Greenwich Plaza","Greenwich","CT","06830","Manufacturing","523110","No","2016-07-13T00:00:00.000","0","1500000","1500000","4275000","2775000","Manufacturing Assistance Act","CH 588l","Met","$   1,100,000","n/a","Active","1"
"2014","Arvinas, Inc.","5 Science Park","New Haven","CT","06511","Manufacturing","541711","No","2014-01-24T00:00:00.000","0","2500000","2500000","25281775","22781775","Manufacturing Assistance Act","CH 588l","Met","$   2,500,000","n/a","Active","1"
