"manifest","dtshipp","batch_numbers","genepa","genname","gensitestreetaddress","gensitetown","gensitezipcode","wasteoccr","usdot","contno","contty","qty","wtvol","epa_waste_codes","copies","tsdfepa","tsdfname","tsdfstreetaddress","tsdftown","tsdfzipcode","tsdfcountry","tran1epa","tran1name","tran1streetaddress","tran1town","tran1state","tran1zipcode","tran1country","tran2epa","tran2name","tran2streetaddress","tran2town","tran2state","tran2zipcode","tran2country","genmailaddress","genmailtown","genmailstate","genmailzipcode","discrep","recdate","tr2date","altfacepa","altfacname","altfacstreetaddress","altfactown","altfacstate","altfaczip","altfacdate","tsdfstate","uniquekey"
"MAB009476","1985-12-17T00:00:00.000","999999","CTP000001687","MASTIKURE PRODUCTS CO","RT 32","FRANKLIN",,"2","WASTE CORROSIVE LIQUID NOS","003","DM","165","G","D002","2","MAD980523203","CLEAN HARBORS INC","10 MERCER RD","NATICK","01760","USA","MAD980523203","CLEAN HARBORS, INC.",,,"CT",,"USA",,,,,"CT",,"USA","RT 32","FRANKLIN","CT","06254","N","1985-12-17T00:00:00.000",,,,,,,,,"MA","MAB0094762"
"CTA0009227","1985-01-29T00:00:00.000","999999","CT$000014040","MACDERMID CHEMICALS LTD",,,,"1","CORROSIVE LIQUID, NOS, MATERIAL",,"TT","2000","G","D002","1","CTD001164599","MACDERMID INC","526 HUNTINGTON AVE","WATERBURY","06708","USA","CTD001164599","MACDERMID INCORPORATED",,,"CT",,"USA",,,,,"CT",,"USA","2737 LOUIS A AMOS","LACHINE","QU",,"N","1985-01-30T00:00:00.000",,,,,,,,,"CT","CTA00092271"
"AR168094","1988-06-01T00:00:00.000",,"CTD001451004","OLIN CORP","24 SCIENCE PARK","NEW HAVEN","06511","2","WASTE FLAMMABLE LIQUID NOS","002","DM","500","P","D001",,"ARD069748192","ENSCO INC","AMERICAN OIL RD","EL DORADO","71730","USA","NYD980769947","HAZMAT TRUCKING",,,"CT",,"USA",,,,,"CT",,"USA","24 SCIENCE PARK","NEW HAVEN","CT","06511",,,,,,,,,,,"AR","AR1680942"
"AR168181","1988-03-01T00:00:00.000",,"CTD043210673","CLAIROL INC","1 BLACHLEY RD","STAMFORD","06922","1","WASTE FLAMMABLE LIQUID NOS","017","DM","6800","[","D001",,"ARD069748192","ENSCO INC","AMERICAN OIL RD","EL DORADO","71730","USA","NYD980769947","HAZMAT TRUCKING",,,"CT",,"USA",,,,,"CT",,"USA","1 BLACHLEY RD","STAMFORD","CT","06922",,,,,,,,,,,"AR","AR1681811"
"AR168181","1988-03-01T00:00:00.000",,"CTD043210673","CLAIROL INC","1 BLACHLEY RD","STAMFORD","06922","2","WASTE FLAMMABLE LIQUID NOS","001","DM","200","P","F002",,"ARD069748192","ENSCO INC","AMERICAN OIL RD","EL DORADO","71730","USA","NYD980769947","HAZMAT TRUCKING",,,"CT",,"USA",,,,,"CT",,"USA","1 BLACHLEY RD","STAMFORD","CT","06922",,,,,,,,,,,"AR","AR1681812"
"AR269607","1988-10-18T00:00:00.000",,"CTD000604488","CECOS TREATMENTORP","51 BRODERICK RD","BRISTOL","06010","1","HAZARDOUS WASTE SOLID, NOS","001","DM","403","P","F002",,"ARD069748192","ENSCO INC","AMERICAN OIL RD","EL DORADO","71730","USA","ARD069748192","ENSCO INC",,,"CT",,"USA",,,,,"CT",,"USA","51 BRODERICK RD","BRISTOL","CT","06010","N",,,,,,,,,,"AR","AR2696071"
"AR269609","1988-07-26T00:00:00.000",,"CTD000604488","CECOS TREATMENTORP","51 BRODERICK RD","BRISTOL","06010","1","WASTE FLAMMABLE LIQUID NOS","007","DM","385","G","D001",,"ARD069748192","ENSCO INC","AMERICAN OIL RD","EL DORADO","71730","USA","ARD069748192","ENSCO INC",,,"CT",,"USA",,,,,"CT",,"USA","51 BRODERICK RD","BRISTOL","CT","06010","N",,,,,,,,,,"AR","AR2696091"
"AR269609","1988-07-26T00:00:00.000",,"CTD000604488","CECOS TREATMENTORP","51 BRODERICK RD","BRISTOL","06010","2","WASTE FLAMMABLE SOLID NOS","001","DM","400","P","D001",,"ARD069748192","ENSCO INC","AMERICAN OIL RD","EL DORADO","71730","USA","ARD069748192","ENSCO INC",,,"CT",,"USA",,,,,"CT",,"USA","51 BRODERICK RD","BRISTOL","CT","06010","N",,,,,,,,,,"AR","AR2696092"
"CTA0025045","1985-01-16T00:00:00.000","999999","CTD001184324","QUALITRONORP","4 FINANCE DR","DANBURY","06810","1","WASTE ALKALINE LIQUID NOS","012","DF","600","G","D002","1","CTD001164599","MACDERMID INC","526 HUNTINGTON AVE","WATERBURY","06708","USA",,,,,"CT",,"USA",,,,,"CT",,"USA","FINANCE DR","DANBURY","CT","06810","N","1985-01-16T00:00:00.000",,,,,,,,,"CT","CTA00250451"
"AR269610","1988-07-26T00:00:00.000",,"CTD000604488","CECOS TREATMENTORP","51 BRODERICK RD","BRISTOL","06010","1","WASTE FLAMMABLE LIQUID NOS","002","DM","110","G","D001",,"ARD069748192","ENSCO INC","AMERICAN OIL RD","EL DORADO","71730","USA","ARD069748192","ENSCO INC",,,"CT",,"USA",,,,,"CT",,"USA","51 BRODERICK RD","BRISTOL","CT","06010",,,,,,,,,,,"AR","AR2696101"
"CTA0025974","1985-11-15T00:00:00.000",,"CTD001148303","WINDSOR MFGO","169 KENNEDY RD","WINDSOR","06095","1","HAZARDOUS WASTE LIQUID NOS",,"CM","20","Y","F006",,"NYD980116485","STABLEX CANADA INC","760 BOULE INDUSTRIEL BLAINVILLE","QUEBEC",,"USA","CTD980521280","SEALAND ENVIRONMENTAL SERVICES, INC.,",,,"CT",,"USA",,,,,"CT",,"USA","169 KENNEDY RD","WINDSOR","CT","06095",,,,,,,,,,,"CA","CTA00259741"
"CTA0026294","1985-11-14T00:00:00.000",,"CTD001142181","CIRCUITS INC","59 DEMING RD","BERLIN","06037","1","ALAKLINE LIQUID, NOS","011","DF","550","G","D002",,"CTD001164599","MACDERMID INC","526 HUNTINGTON AVE","WATERBURY","06708","USA","CTD001164599","MACDERMID INCORPORATED",,,"CT",,"USA",,,,,"CT",,"USA","59 DEMING RD","BERLIN","CT","06037","N",,,,,,,,,,"CT","CTA00262941"
"AR269610","1988-07-26T00:00:00.000",,"CTD000604488","CECOS TREATMENTORP","51 BRODERICK RD","BRISTOL","06010","2","WASTE FLAMMABLE LIQUID NOS","001","DM","55","G","D001",,"ARD069748192","ENSCO INC","AMERICAN OIL RD","EL DORADO","71730","USA","ARD069748192","ENSCO INC",,,"CT",,"USA",,,,,"CT",,"USA","51 BRODERICK RD","BRISTOL","CT","06010",,,,,,,,,,,"AR","AR2696102"
"AR269610","1988-07-26T00:00:00.000",,"CTD000604488","CECOS TREATMENTORP","51 BRODERICK RD","BRISTOL","06010","3","WASTE FLAMMABLE LIQUID NOS","002","DM","110","G","D001",,"ARD069748192","ENSCO INC","AMERICAN OIL RD","EL DORADO","71730","USA","ARD069748192","ENSCO INC",,,"CT",,"USA",,,,,"CT",,"USA","51 BRODERICK RD","BRISTOL","CT","06010",,,,,,,,,,,"AR","AR2696103"
