"opportunity_zone_fips","state","county","amtrak_station_in_oz","amtrak_station_in_oz_code","amtrak_station_in_oz_name","amtrak_station_qtr_mi_oz","amtrak_station_qtr_mi_oz_code","amtrak_station_qtr_mi_oz_name","amtrak_station_hlf_mi_oz","amtrak_station_hlf_mi_oz_code","amtrak_station_hlf_mi_oz_name"
"1073002700","Alabama","Jefferson","Yes","BHM","Birmingham, Alabama","No",,,"No",,
"1015000800","Alabama","Calhoun","No",,,"Yes","ATN","Anniston, Alabama","No",,
"1097001200","Alabama","Mobile","Yes","MOE","Mobile, Alabama","No",,,"No",,
"5119003001","Arkansas","Pulaski","No",,,"No",,,"Yes","LRK","Little Rock, Arkansas"
"5119002500","Arkansas","Pulaski","No",,,"No",,,"Yes","LRK","Little Rock, Arkansas"
"5059020200","Arkansas","Hot Spring","No",,,"Yes","MVN","Malvern, Arkansas","No",,
"6083002502","California","Santa Barbara","Yes","GUA","Guadalupe, California","No",,,"No",,
"6053001300","California","Monterey","Yes","SNS","Salis, California","No",,,"No",,
"6061020401","California","Placer","No",,,"No",,,"Yes","ARN","Auburn, California"
"6061020901","California","Placer","No",,,"Yes","RSV","Roseville, California","No",,
"6059011601","California","Orange","No",,,"Yes","FUL","Fullerton, California","No",,
"6059011602","California","Orange","No",,,"Yes","FUL","Fullerton, California","No",,
"6059042107","California","Orange","No",,,"No",,,"Yes","SNP","San Clemente Pier, California"
"6059074405","California","Orange","Yes","S","Santa A, California","No",,,"No",,
"6059042312","California","Orange","Yes","SNC","San Juan Capistrano, California","No",,,"No",,
"6085500800","California","Santa Clara","No",,,"Yes","SJC","San Jose, California","No",,
"6085505100","California","Santa Clara","No",,,"No",,,"Yes","SCC","University Station"
"6029004402","California","Kern","Yes","WAC","Wasco, California","No",,,"No",,
"6029001600","California","Kern","Yes","BFD","Bakersfield, California","No",,,"No",,
"6113010602","California","Yolo","Yes","DAV","Davis, California","No",,,"No",,
"6039000506","California","Madera","Yes","MDR","Madera, California","No",,,"No",,
"6067005301","California","Sacramento","Yes","SAC","Sacramento, California","No",,,"No",,
"6067009800","California","Sacramento","No",,,"Yes","ACA","Antioch-Pittsburg, California","No",,
"6099002002","California","Stanislaus","No",,,"No",,,"Yes","MOD","Modesto, California"
"6077004403","California","San Joaquin","No",,,"Yes","LOD","Lodi, California","No",,
"6077000700","California","San Joaquin","Yes","SKN","Stockton (711-718), California","No",,,"No",,
"6077000100","California","San Joaquin","Yes","SKT","Stockton (ACE, 701-704), California","No",,,"No",,
"6071001400","California","San Bernardino","Yes","O","Ontario, California","No",,,"No",,
"6071004900","California","San Bernardino","Yes","SNB","San Berrdino (Amtrak Station), California","No",,,"No",,
"6071009800","California","San Bernardino","Yes","VRV","Victorville, California","No",,,"No",,
"6065030400","California","Riverside","Yes","RIV","Riverside, California","No",,,"No",,
"6013376000","California","Contra Costa","Yes","RIC","Richmond, California","No",,,"No",,
"6111009100","California","Ventura","Yes","OXN","Oxrd, California","No",,,"No",,
"6001403300","California","Alameda","Yes","OKJ","Oakland, California","No",,,"No",,
"6001423200","California","Alameda","No",,,"Yes","BKY","Berkeley, California","No",,
"6001408800","California","Alameda","Yes","OAC","Coliseum/Oakland Airport, Oakland, California","No",,,"No",,
"6047001302","California","Merced","Yes","MCD","Merced, California","No",,,"No",,
"6095252607","California","Solano","No",,,"Yes","SUI","Suisun, California","No",,
"6037206020","California","Los Angeles","Yes","LAX","Los Angeles, California","No",,,"No",,
"6037186401","California","Los Angeles","No",,,"No",,,"Yes","GDL","Glendale, California"
"6037127210","California","Los Angeles","No",,,"Yes","VNC","Van Nuys (Amtrak), California","No",,
"6037408800","California","Los Angeles","Yes","POS","Pomo (Sunset Ltd), California","No",,,"No",,
"6037120030","California","Los Angeles","No",,,"Yes","VNC","Van Nuys (Amtrak), California","No",,
"6037120020","California","Los Angeles","No",,,"Yes","VNC","Van Nuys (Amtrak), California","No",,
"6037123103","California","Los Angeles","No",,,"No",,,"Yes","BUR","Burbank (Airport), California"
"9001070600","Connecticut","Fairfield","Yes","BRP","Bridgeport, Connecticut","No",,,"No",,
"9001022200","Connecticut","Fairfield","Yes","STM","Stamford, Connecticut","No",,,"No",,
"9011690500","Connecticut","New London","Yes","NLC","New London, Connecticut","No",,,"No",,
"9003524600","Connecticut","Hartford","No",,,"Yes","HFD","Hartford, Connecticut","No",,
"9009140200","Connecticut","New Haven","Yes","NHV","New Haven, Connecticut","No",,,"No",,
"9009170100","Connecticut","New Haven","Yes","MDN","Meriden, Connecticut","No",,,"No",,
"10003014402","Delaware","New Castle","Yes","NRK","Newark, Delaware","No",,,"No",,
"10003002700","Delaware","New Castle","Yes","WIL","Wilmington, Delaware","No",,,"No",,
"12011041400","Florida","Broward","No",,,"Yes","FTL","Fort Lauderdale, Florida","No",,
"12031011600","Florida","Duval","Yes","JAX","Jacksonville, Florida","No",,,"No",,
