"reportingrailroadcode","reportingrailroadname","report_year","incidentnumber","accidentyear","accidentmonth","otherrailroadcode","otherrailroadname","otheraccidentnumber","accidentyearother","accidentmonthother","maintenancerailroadcode","maintenancerailroadname","maintenanceaccidentnumber","maintenanceaccidentyear","maintenanceaccidentmonth","gxid","day","date","time","accident_type_code","accidenttype","hazmatcars","hazmatcarsdamaged","hazmatreleasedcars","personsevacuated","subdivision","divisioncode","division","station","milepost","statecode","stateabbr","statename","countycode","countyname","district","temperature","visibilitycode","visibility","weather_condition_code","weathercondition","track_type_code","tracktype","trackname","trackclass","trackdensity","train_direction_code","traindirection","equipment_type_code","equipmenttype","equipmentattended","trainnumber","trainspeed","recordedestimatedspeed","maximumspeed","grosstonnage","signalization_code","signalization","method_of_operation_code","methodofoperation","adjunct_1","adjunctcode1","adjunct_2","adjunctcode2","adjunct_3","adjunctcode3","remote_control_locomotive_code","remotecontrollocomotive","firstcarinitials","firstcarnumber","firstcarposition","firstcarloaded","causingcarinitials","causingcarnumber","causingcarposition","causingcarloaded","positivealcoholtests","positivedrugtests","passengerstransported","headendlocomotives","midtrainmanuallocomotives","midtrainremotelocomotives","rearendmanuallocomotives","rearendremotelocomotives","derailedheadendlocomotives","derailedmidtrainmanuallo","derailedmidtrainremotelo","derailedrearendmanualloc","derailedrearendremoteloc","loadedfreightcars","loadedpassengercars","emptyfreightcars","emptypassengercars","cabooses","derailedloadedfreightcars","derailedloadedpassengercars","derailedemptyfreightcars","derailedemptypassengercars","derailedcabooses","equipmentdamagecost","trackdamagecost","totaldamagecost","primaryaccidentcausecode","primaryaccidentcause","contributingaccidentcausecode","contributingaccidentcause","accidentcausecode","accidentcause","engineersonduty","firemenonduty","conductorsonduty","brakemenonduty","hoursengineersonduty","minutesengineersonduty","hoursconductorsonduty","minutesconductorsonduty","railroademployeeskilled","railroademployeesinjured","passengerskilled","passengersinjured","otherskilled","othersinjured","personskilledforreportin","personsinjuredforreporti","totalpersonskilled","totalpersonsinjured","totalkilledform54","totalinjuredform54","specialstudy1","specialstudy2","latitude","longitude","narrative","jointtracktype","jointtrackclass","classcode","class","jointcd","incidentkey","reportkey","reporting_railroad_company_grouping","reporting_railroad_class","reporting_railroad_smt_grouping","reporting_parent_railroad_company_code","reporting_parent_railroad_company_name","reporting_railroad_holding_company","other_railroad_company_grouping","other_railroad_class","other_railroad_smt_grouping","other_parent_railroad_company_code","other_parent_railroad_company_name","other_railroad_holding_company","maintenance_railroad_company_grouping","maintenance_railroad_class","maintenance_railroad_smt_grouping","maintenance_parent_railroad_company_code","maintenance_parent_railroad_company_name","maintenance_railroad_holding_company"
"ARR","Alaska Railroad Corporation","2013","20130079","13","08",,,,,,"ARR","Alaska Railroad Corporation","20130079","13","08",,"15","2013-08-15T00:00:00.000","9:00 PM","01","Derailment","0","0","0","0","ALASKA",,,"ANCHORAGE","115","02","AK","ALASKA","20","ANCHORAGE","8","60.0","3","Dusk","2","Cloudy","2","Yard","TRACK 1","1",,"1","North","7","Yard/switching","Yes","440W","4","Estimated","4","0","2","Not Signaled",,"Other Than Main Track",,,,,,,"0","Not a remotely controlled operation","CRDX","020424","47","Yes",,,"0",,"0","0","No","2","0","0","0","0","0","0","0","0","0","48","0","0","0","0","1","0","0","0","0","0","10300","10300","T319","Switch point gapped (between switch point and stock rail)",,,"T319","Switch point gapped (between switch point and stock rail)","1","0","1","1","1","30","1","30","0","0","0","0","0","0","0","0","0","0","0","0","OTH",,"61.227243999999999","-149.848108","CREW HAD JUST SWITCHED OUT 2 CARS AND PULLED OVER THE TK-1 SWITCH, THE COMMAND BACK 5 CARS TO A CUTWAS GIVEN AND WHILE SHOVING OVER THE TK-1 SWITCH THE CAR PICKED THE SWITCH AND THE SOUTH TRUCKS DERAILED AND WENT APROX 100 FT. THE CREW RE-RAILED THE CAR AND WHEN THEY PULLED BACK OVER THE SWITCH, THE RAIL ON STRAIGHT TRACK IN TK-1 WAS BROKEN.","Yard","1","Cl","Cl","1","ARR20130079201308","ARR20130079201308","Shortline","Class 2","SMT-7 - Commuter West, High Speed Rail, some Tourist/Historic","ARR","Alaska Railroad Corporation","Not Assigned",,,,,,,"Shortline","Class 2","SMT-7 - Commuter West, High Speed Rail, some Tourist/Historic","ARR","Alaska Railroad Corporation","Not Assigned"
"ARR","Alaska Railroad Corporation","2011","20110041","11","04",,,,,,"ARR","Alaska Railroad Corporation","20110041","11","04",,"02","2011-04-02T00:00:00.000","5:45 PM","11","Fire/violent rupture","0","0","0","0",,"ALASKA","ALASKA","NENANA","404.50","02","AK","ALASKA","68","DENALI","8","38.0","3","Dusk","1","Clear","1","Main","MAIN","4",,"1","North","2","Passenger Train - Pulling","Yes","235N","49","Recorded","49","220",,,"KM",,,,,,,,"0","Not a remotely controlled operation","ARR","000101","3","Yes",,,"0",,,,"Yes","2","0","0","0","0","0","0","0","0","0","0","2","0","1","0","0","0","0","0","0","35000","0","35000","M406","Fire, other than vandalism, involving on-track equipment",,,"M406","Fire, other than vandalism, involving on-track equipment","1","1","1","0","9","30","9","30","0","2","0","0","0","0","0","2","0","2","0","2",,,"0.0","0.0","ON APRIL 2, 2011 A NORTHBOUND ALASKA RAILROAD PASSENGER TRAIN CONSISTING OF 2 LOCOMOTIVES AND 3 PASSENGER CARS ( 2 PASSENGER COACHES, 1 BAGGAGE CAR) SUSTAINED A FIRE OF UNKNOWN ORIGIN TO A BAGGAGE CAR. THE TRAIN WAS LOCATED AT OR NEAR M.P. 404.5 ON THE ALASKA DIVISION WHICH IS 7.2 MILES SOUTH OF NENANA, ALASKA,","Main","4","Cl","Cl","1","ARR20110041201104","ARR20110041201104","Shortline","Class 2","SMT-7 - Commuter West, High Speed Rail, some Tourist/Historic","ARR","Alaska Railroad Corporation","Not Assigned",,,,,,,"Shortline","Class 2","SMT-7 - Commuter West, High Speed Rail, some Tourist/Historic","ARR","Alaska Railroad Corporation","Not Assigned"
"CSX","CSX Transportation","1998","059812027","98","05",,,,,,"CSX","CSX Transportation","059812027","98","05",,"27","1998-05-27T00:00:00.000","3:23 PM","12","Other impacts","0","0","0","0",,,"FLORIDA BU","TAMPA","0841.0","12","FL","FLORIDA","57","HILLSBOROUGH","3","70.0","2","Day","1","Clear","2","Yard","YARD","1","000000","2","South","5","Single Car","No","ONE","7","Estimated","7","80",,,"L",,,,,,,,,,"UTLX","718410","1","Yes","UTLX","718410","1","Yes",,,,"0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","7622","0","7622","E21C","Center sill broken or bent",,,"E21C","Center sill broken or bent","0","0","0","0",,,,,"0","0","0","0","0","0","0","0","0","0","0","0",,,,,"PULLED END OF CAR OUT IN YEOMAN YARD.NoneNoneNoneNoneNoneNoneNoneNoneNoneNoneNoneNoneNoneNone","Yard","1","1L","1L","1","CSX059812027199805","CSX059812027199805",,"Class 1","SMT-9 - CSX","CSX","CSX Transportation","CSX Transportation",,,,,,,,"Class 1","SMT-9 - CSX","CSX","CSX Transportation","CSX Transportation"
"IC","Illinois Central Railroad Company","2007","543854","07","01",,,,,,"CAEZ","Cargill Elevator","INDUSTRY","07","01",,"11","2007-01-11T00:00:00.000","7:10 AM","01","Derailment","0","0","0","0",,"CENTRA","CENTRAL","RESERVE","420.50","22","LA","LOUISIANA","95","ST JOHN THE BAPTIST","5","56.0","2","Day","2","Cloudy","4","Industry","#4 SWITCH AT CARGILL","1",,"2","South","1","Freight Train","Yes","RNO1","4","Estimated","4","14100",,,"N",,,,,,,,"0","Not a remotely controlled operation","CGEX","002000","70","Yes",,,"0",,,,"No","2","0","0","0","0","0","0","0","0","0","101","0","0","0","0","3","0","0","0","0","5220","4766","9986","T311","Switch damaged or out of adjustment",,,"T311","Switch damaged or out of adjustment","1","0","1","1","10","28","10","28","0","0","0","0","0","0","0","0","0","0","0","0",,,"0.0","0.0","RNO12-10 WAS SPOTTING CARS ON TRACK #2 AT CARGILL WHEN CGOX 3097, CGAX 9437 & CGEX 2000 DERAILED ATTHE #4 SWITCH ACCOUNT SWITCH OUT OF ADJUSTMENT.","Industry","1","1L","1L","1","CAEZINDUSTRY200701","IC543854200701",,"Class 1","SMT-4 - CN, CP, and Chicago Commuters (NIRC, NICD, BNSO, UPME)","CN","Canadian National - North America","Canadian National - North America",,,,,,,"Shippers","Class 3",,"CAEZ","Cargill Elevator","Not Assigned"
"CSX","CSX Transportation","2013","000117523","13","06",,,,,,"CSX","CSX Transportation","000117523","13","06",,"17","2013-06-17T00:00:00.000","10:30 PM","01","Derailment","0","0","0","0","BOYLES TERMINAL",,,"TARRANT CITY","0389.0","01","AL","ALABAMA","73","JEFFERSON","3","72.0","4","Dark","3","Rain","2","Yard","C29","1","0000.0","1","North","7","Yard/switching","Yes","Y290","4","Recorded","7","0","2","Not Signaled",,"Other Than Main Track",,,,,,,"1","Remote control portable transmitter","DJTX","000641","4","No",,,"0",,,,"No","1","0","0","0","0","0","0","0","0","0","6","0","5","0","0","0","0","3","0","0","21118","0","21773","M408","Yard skate slid and failed to stop cars",,,"M408","Yard skate slid and failed to stop cars","1","0","0","0","8",,,,"0","0","0","0","0","0","0","0","0","0","0","0","OTH",,"33.513494999999999","-86.803837000000001","DURING NORMAL HUMP OPERATIONS AIGX 400057 ROLLED OUT INTO A CUT OF CARS DUE TO SKATE FAILURE RESULTING IN A THREE CAR DERAILMENT.","Yard","1","CL","CL","3","CSX000117523201306","CSX000117523201306",,"Class 1","SMT-9 - CSX","CSX","CSX Transportation","CSX Transportation",,,,,,,,"Class 1","SMT-9 - CSX","CSX","CSX Transportation","CSX Transportation"
"NS","Norfolk Southern Railway Company","2010","038660","10","03",,,,,,"NS","Norfolk Southern Railway Company","038660","10","03",,"04","2010-03-04T00:00:00.000","1:05 PM","04","Side collision","0","0","0","0",,"ALABAM","ALABAMA","MAYLENE","011.40","01","AL","ALABAMA","117","SHELBY","3","50.0","2","Day","1","Clear","1","Main","SINGLE MAIN TRACK","3","2","1","North","1","Freight Train","Yes","61GA","17","Recorded","17","4918",,,"N",,,,,,,,"0","Not a remotely controlled operation","NS","008403","1",,,,"0",,"0","0","No","2","0","0","0","0","0","0","0","0","0","39","0","0","0","0","0","0","0","0","0","6000","0","11100","H607","Failure to comply with restricted speed or its equivalent not in connection with a block or interloc",,,"H607","Failure to comply with restricted speed or its equivalent not in connection with a block or interloc","1","0","1","0","5","15","5","15","0","0","0","0","0","0","0","0","0","0","0","0",,,"0.0","0.0","TRAIN 61G MOVING NORTH ON THE LACEY SIDING WITH 2 UNITS, 39-0-4918, STRUCK THE REAR CAR OF THE TRAIN341 AT THE NORTH END SWITCH DERAILING DERAILING TILX 516830 AND DAMAGING NS E8403.","Main","3","CL","CL","1","NS038660201003","NS038660201003",,"Class 1","SMT-3 - Norfolk Southern","NS","Norfolk Southern Railway Company","Norfolk Southern Railway Company",,,,,,,,"Class 1","SMT-3 - Norfolk Southern","NS","Norfolk Southern Railway Company","Norfolk Southern Railway Company"
"CO","CHESAPEAKE & OHIO RAILWAY CO.","1982","AOH0140","82","06",,,,,,"CO","CHESAPEAKE & OHIO RAILWAY CO.","AOH0140","82","06",,"15","1982-06-15T00:00:00.000","1:45 PM","01","Derailment","0","0","0","0",,"OHIO","OHIO","GALLIPOLIS","112.8","39","OH","OHIO","53","GALLIA","2","82.0","2","Day","1","Clear","1","Main","MAIN","2","0000.1","3","East","1","Freight Train","Yes","4823","24","Recorded","24","6900",,,"O",,,,,,,,,,"AEPX","000055","30","Yes",,,,,"0","0","No","4","0","0","0","0","0","0","0","0","0","50","0","50","0","1","8","0","0","0","0","14000","7000","21000","T213","Joint bar broken (compromise)",,,"T213","Joint bar broken (compromise)","1","0","1","2","7","45","7","45","0","0","0","0","0","0","0","0","0","0","0","0",,,,,"NoneNoneNoneNoneNoneNoneNoneNoneNoneNoneNoneNoneNoneNoneNone","Main","2","1L","1L","1","COAOH0140198206","COAOH0140198206",,"Class 1","SMT-9 - CSX","CSX","CSX Transportation","CSX Transportation",,,,,,,,"Class 1","SMT-9 - CSX","CSX","CSX Transportation","CSX Transportation"
"CSX","CSX Transportation","2012","000107553","12","08",,,,,,"CSX","CSX Transportation","000107553","12","08",,"28","2012-08-28T00:00:00.000","8:30 PM","01","Derailment","12","0","0","0","BOYLES TERMINAL",,,"TARRANT CITY","0389.0","01","AL","ALABAMA","73","JEFFERSON","3","74.0","4","Dark","1","Clear","2","Yard","D09","1","0000.0","2","South","1","Freight Train","Yes","Q689","7","Recorded","7","6165","2","Not Signaled",,"Other Than Main Track",,,,,,,"0","Not a remotely controlled operation","CSXT","007634","1","No",,,"0",,,,"No","3","0","0","0","0","3","0","0","0","0","41","0","29","0","0","2","0","0","0","0","8746","1500","10246","T222","Worn rail",,,"T222","Worn rail","1","0","1","0","1","45","1","45","0","0","0","0","0","0","0","0","0","0","0","0","OTH",,"33.513494999999999","-86.803837000000001","Q68928 WAS DEPARTING WEST YARD WHEN ALL THREE LOCOMOTIVES AND TWO CARS DERAILED DUE TO BROKEN RAIL.","Yard","1","CL","CL","1","CSX000107553201208","CSX000107553201208",,"Class 1","SMT-9 - CSX","CSX","CSX Transportation","CSX Transportation",,,,,,,,"Class 1","SMT-9 - CSX","CSX","CSX Transportation","CSX Transportation"
"CSX","CSX Transportation","2013","000117523","13","06",,,,,,"CSX","CSX Transportation","000117523","13","06",,"17","2013-06-17T00:00:00.000","10:30 PM","01","Derailment","0","0","0","0","BOYLES TERMINAL",,,"TARRANT CITY","0389.0","01","AL","ALABAMA","73","JEFFERSON","3","72.0","4","Dark","3","Rain","2","Yard","C29","1","0000.0","1","North","5","Single Car","No",,"7","Recorded","7","0","2","Not Signaled",,"Other Than Main Track",,,,,,,"0","Not a remotely controlled operation","AIGX","400057","1","Yes",,,"0",,,,"No","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","505","150","21773","M408","Yard skate slid and failed to stop cars",,,"M408","Yard skate slid and failed to stop cars","0","0","0","0",,,,,"0","0","0","0","0","0","0","0","0","0","0","0","OTH",,"33.513494999999999","-86.803837000000001","DURING NORMAL HUMP OPERATIONS AIGX 400057 ROLLED OUT INTO A CUT OF CARS DUE TO SKATE FAILURE RESULTING IN A THREE CAR DERAILMENT.","Yard","1","CL","CL","1","CSX000117523201306","CSX000117523201306",,"Class 1","SMT-9 - CSX","CSX","CSX Transportation","CSX Transportation",,,,,,,,"Class 1","SMT-9 - CSX","CSX","CSX Transportation","CSX Transportation"
"TASD","Terminal Railway Alabama State Docks","2010","D20100225A","10","02",,,,,,"TASD","Terminal Railway Alabama State Docks","D20100225A","10","02",,"25","2010-02-25T00:00:00.000","3:45 PM","01","Derailment","0","0","0","0",,"SYSTEM","SYSTEM","MOBILE",,"01","AL","ALABAMA","97","MOBILE","3","51.0","2","Day","1","Clear","2","Yard","MCDUFFIE LEAD","1",,"1","North","7","Yard/switching","Yes","MCD","5","Estimated","5","0",,,"L",,,,,,,,"0","Not a remotely controlled operation","AEPX","011053","1","Yes",,,"0",,,,"No","2","0","0","0","0","0","0","0","0","0","50","0","0","0","0","2","0","0","0","0","37461","1161","38622","H307","Shoving movement, man on or at leading end of movement, failure to control","H607","Failure to comply with restricted speed or its equivalent not in connection with a block or interloc","H307","Shoving movement, man on or at leading end of movement, failure to control","1",,"1","1",,"45",,"45","0","0","0","0","0","0","0","0","0","0","0","0",,,"0.0","0.0","CREW WAS MAKING A SHOVE MOVE OUT OF MCDUFFIE YARD.  EMPLOYEE WAS ON POINT ROUNDING CURVE SAW A DERAIL PLACED ON RAIL BY CSXT MAINTENANCE WITHIN TASD LIMITS.  TRAINMAN ATTEMPED TO STOP HIS TRAIN BEFOREHITTING DERAIL BUT RAILCAR HIT THE DERAIL CAUSING TWO RAILCARS TO DERAIL.  AFTER INVESTIGATION IT WAS DETERMINED DERAIL WAS INSTALLED IMPROPERLY WITHIN TASD LIMITS WITHOUT PROPER PERMISSION FROM TASD.","Yard","1","Cl","Cl","1","TASDD20100225A201002","TASDD20100225A201002","Shortline","Class 3","SMT-2 - Shortline – East","TASD","Terminal Railway Alabama State Docks","Not Assigned",,,,,,,"Shortline","Class 3","SMT-2 - Shortline – East","TASD","Terminal Railway Alabama State Docks","Not Assigned"
