"state","issuingorganization","feedname","url","format","active","datafeed_frequency_update","version","socratadataseturl","sdate","edate","pipedtosandbox","lastingestedtosandbox","pipedtosocrata","socratadatasetid","geocoded_column"
"arizona","Maricopa County DOT","mcdot","http://api.mcdot-its.com/WZDx/Activity/Get","json","false","4h","1","http://data.transportation.gov/d/wd94-wugt","2019-10-15T00:00:00.000","2020-10-07T00:00:00.000","true","2020-10-07T18:13:32.794347","false","wd94-wugt","POINT (-111.664616 34.293239)"
"arizona","AZTech","mcdot","https://api.mcdot-its.com/WZDx_v3.0/Activity/Get","geojson","false","24h","3","http://data.transportation.gov/d/9jif-8qi5","2020-10-07T00:00:00.000",,"true","2022-03-22T21:45:49.379632","true","9jif-8qi5","POINT (-111.664616 34.293239)"
"massachusetts","Massachusetts DOT","massdot","https://wzdx.massdot-swzm.com/massdot_wzdx_v2.0.geojson","geojson","false","15m","2","http://data.transportation.gov/d/xqcj-nkn2","2020-09-21T00:00:00.000",,"true","2022-03-23T21:30:49.296973","true","xqcj-nkn2","POINT (-71.382437 42.407211)"
"iowa","Iowa DOT","iowadot","https://cloud.iowadot.gov/Highway/OTO/wzdx.xml","xml","false","15m","1",,"2019-10-15T00:00:00.000","2021-09-20T18:15:00.000","true","2022-03-23T21:30:49.738277","false",,"POINT (-93.500061 42.074659)"
"massachusetts","Massachusetts DOT","massdot__v3_1","https://wzdx.massdot-swzm.com/massdot_wzdx_v3.1.geojson","geojson","false","15m","3.1","http://data.transportation.gov/d/6m7q-g56h","2021-06-10T00:00:00.000",,"true","2022-03-23T21:30:50.283115","true","6m7q-g56h","POINT (-71.382437 42.407211)"
"texas","Texas DOT","txdot","http://txdot-its-c2c.dot.state.tx.us/WZDx/conversion","geojson","false","15m","2","http://data.transportation.gov/d/h4kh-i7b7","2020-05-05T00:00:00.000",,"true","2022-06-02T13:00:53.269104","true","h4kh-i7b7","POINT (-99.9018 31.968600000000002)"
"utah","Utah DOT","udot","https://udottraffic.utah.gov/wzdx/udot/v40/data","json","true","15m","4.0","https://data.transportation.gov/d/69qe-yiui","2022-07-15T00:00:00.000",,"true","2022-09-02T15:45:49.177292","false",,"POINT (-111.678222 39.323779)"
"iowa","Iowa DOT","idot","https://iowa-atms.cloud-q-free.com/api/rest/dataprism/wzdx/wzdxfeed","json","true","1m","4.0","https://data.transportation.gov/d/69qe-yiui","2022-08-25T00:00:00.000",,"true","2022-09-02T16:00:49.074017","false",,"POINT (-93.500061 42.074659)"
"colorado","Colorado DOT","cdot","https://data.cotrip.org/api/v1/wzdx?apiKey=JG1Q1VW-3G343QM-JB707W3-SPY9T26","geojson","true","5m","4.0","https://data.transportation.gov/Roadways-and-Bridges/Work-Zone-Data-Exchange-WZDx-Feed-Registry/69qe-yiui","2022-05-03T00:00:00.000",,"true","2022-09-02T16:00:50.074025","false",,"POINT (-105.547832 38.998552)"
"north carolina","North Carolina DOT","ncdot","https://us-datacloud.one.network/wzdx-north-carolina.json?app_key=db73336d-85c4-7d0b-258b71e36573","json","true","4m","3.1","http://data.transportation.gov/d/wzfs-4rgw","2022-01-15T00:00:00.000",,"true","2022-09-02T16:00:50.846968","true","wzfs-4rgw","POINT (-79.130883 35.52603)"
"oklahoma","Oklahoma DOT","odot","https://oktraffic.org/api/Geojsons/workzones?&access_token=feOPynfHRJ5sdx8tf3IN5yOsGz89TAUuzHsN3V0jo1Fg41LcpoLhIRltaTPmDngD","geojson","true","1m","4.0","https://data.transportation.gov/d/69qe-yiui","2022-03-30T00:00:00.000",,"true","2022-09-02T16:00:51.490335","false",,"POINT (-97.508297 35.583449)"
