"the_geom","crossing","railroad","rrdiv","rrsubdiv","highway","street","typexing","posxing","effdate","edate","reason","citycd","ttstn","milepost","prvcat","prvind","prvsign","latitude","longitud","llsource","stcyfips","inv_link","acc_link","objectid","statecode","countycode","type","init","whistban","rrcont","polcont","ttstnnam","xpurpose","operatingrailroadcode","operatingrailroadtype","daythru","nghtthru","maintrk","sidingtrk","yardtrk","transittrk","industrytrk","othrtrk","wdcode","revisiondate","lastupdated","crossingclosed","aadt","aadtyear","statename","stateab","countyname","cityname"
"POINT (-79.987899999685 36.756900000235)","468409A","NS","BLUE RIDGE","WINSTON-SALEM","SR 57","FAIRYSTONE PARK HIGHWAY","3","1","220509","999999","14","510890120","266343","0056.810","13",,,"36.7568706","-79.9878989","1","5151089","http://safetydata.fra.dot.gov/OfficeofSafety/publicsite/Crossing/Report.aspx?phasetype=C&rpttype=I&txtcrossingnum=468409A","http://safetydata.fra.dot.gov/OfficeofSafety/publicsite/Crossing/Report.aspx?phasetype=C&rpttype=A&txtcrossingnum=468409A","110171","51","51089","0","1","0","8009464744","8009464744","BASSETT","1","NS","Primary","3","3","1","0","0","0","0","0","8","2022-05-09T00:00:00.000Z","2022-05-09T11:26:57.000Z","2","007300","2011","VIRGINIA","VA","HENRY","BASSETT"
"POINT (-101.46700000015 47.833499999725)","693237L","SOO","EAST","NEWTOWN","local rural","mclean  cr 2/29TH ST NW","3","1","211220","999999","14","381010830","516127","0475.290","11",,,"47.833541","-101.467236","1","3838055","http://safetydata.fra.dot.gov/OfficeofSafety/publicsite/Crossing/Report.aspx?phasetype=C&rpttype=I&txtcrossingnum=693237L","http://safetydata.fra.dot.gov/OfficeofSafety/publicsite/Crossing/Report.aspx?phasetype=C&rpttype=A&txtcrossingnum=693237L","108887","38","38055","0","1","0","8007169132","8007169132","DOUGLAS","1","SOO","Primary","2","2","1","0","0","0","0","0","3","2021-12-20T00:00:00.000Z","2021-12-20T16:19:36.000Z","2","000025","2018","NORTH DAKOTA","ND","MCLEAN","DOUGLAS"
"POINT (-86.894700000005 32.49960000034)","727582T","NS","GULF","3B NORTH","CR 264","PRIVATE DRIVE","2","1","220206","999999","14","010472760","475449","0181.870","16","1",,"32.4995514","-86.8947253","1","011047","http://safetydata.fra.dot.gov/OfficeofSafety/publicsite/Crossing/Report.aspx?phasetype=C&rpttype=I&txtcrossingnum=727582T","http://safetydata.fra.dot.gov/OfficeofSafety/publicsite/Crossing/Report.aspx?phasetype=C&rpttype=A&txtcrossingnum=727582T","85595","1","1047","0","1","0","8009464744","8009464744","FREMONT","1","NS","Primary","3","4","1","0","0","0","0","0",,"2022-02-06T00:00:00.000Z","2022-02-06T14:17:22.000Z","2",,"1997","ALABAMA","AL","DALLAS","SELMA"
"POINT (-101.4219999997 47.819900000285)","693233J","SOO","EAST","NEWTOWN","CITY ST","39TH AVE NW","3","1","211220","999999","14","380552060","516127","0472.920","11",,,"47.819906","-101.422015","1","3838055","http://safetydata.fra.dot.gov/OfficeofSafety/publicsite/Crossing/Report.aspx?phasetype=C&rpttype=I&txtcrossingnum=693233J","http://safetydata.fra.dot.gov/OfficeofSafety/publicsite/Crossing/Report.aspx?phasetype=C&rpttype=A&txtcrossingnum=693233J","108885","38","38055","0","1","0","8007169132","8007169132","DOUGLAS","1","SOO","Primary","2","2","1","0","0","0","0","0","3","2021-12-20T00:00:00.000Z","2021-12-20T16:19:30.000Z","2","000050","2018","NORTH DAKOTA","ND","MCLEAN","MAX"
"POINT (-101.4780000002 47.848100000315)","693239A","SOO","EAST","NEWTOWN","local access","FIELD access","3","1","211220","999999","14","381010830","516127","0476.420","11",,,"47.848055","-101.478422","1","3838101","http://safetydata.fra.dot.gov/OfficeofSafety/publicsite/Crossing/Report.aspx?phasetype=C&rpttype=I&txtcrossingnum=693239A","http://safetydata.fra.dot.gov/OfficeofSafety/publicsite/Crossing/Report.aspx?phasetype=C&rpttype=A&txtcrossingnum=693239A","108888","38","38101","0","1","0","8007169132","8007169132","DOUGLAS","1","SOO","Primary","2","2","1","0","0","0","0","0","3","2021-12-20T00:00:00.000Z","2021-12-20T16:19:40.000Z","2","000005","2018","NORTH DAKOTA","ND","WARD","DOUGLAS"
"POINT (-90.564299999945 38.853899999785)","068779Y","BNSF","HEARTLAND","HANNIBAL","Not Yet Reported by State","GOLDEN EAGLE FERRY RD","2","1","210803","999999","14","291838286","567225","0039.863","17","1",,"38.85387","-90.564262","1","2929183","http://safetydata.fra.dot.gov/OfficeofSafety/publicsite/Crossing/Report.aspx?phasetype=C&rpttype=I&txtcrossingnum=068779Y","http://safetydata.fra.dot.gov/OfficeofSafety/publicsite/Crossing/Report.aspx?phasetype=C&rpttype=A&txtcrossingnum=068779Y","85583","29","29183","0","1","0","8173521549","8008325452","SEEBURGER","1","BNSF","Primary","4","4","1","0","0","0","0","0",,"2021-08-03T00:00:00.000Z","2021-08-03T15:06:24.000Z","2","000005","1986","MISSOURI","MO","ST CHARLES","WESTALTON"
"POINT (-100.91499999985 38.344700000105)","013062K","GCW","SYSTEM","na","CR","Farmers Crossing","2","1","210706","999999","14","201714970",,"0129.90","11",,,"38.3446889","-100.914754","1","2020171","http://safetydata.fra.dot.gov/OfficeofSafety/publicsite/Crossing/Report.aspx?phasetype=C&rpttype=I&txtcrossingnum=013062K","http://safetydata.fra.dot.gov/OfficeofSafety/publicsite/Crossing/Report.aspx?phasetype=C&rpttype=A&txtcrossingnum=013062K","85593","20","20171","0","1","0","8009143808","8009143808","SHALLOW WATER","1","GCW","Primary","0","0","1","0","0","0","0",,,"2021-07-06T00:00:00.000Z","2021-07-06T10:22:28.000Z","2","000043","2009","KANSAS","KS","SCOTT","SCOTT CITY"
"POINT (-83.84219999963 41.107500000325)","472485A","NS","GREAT LAKES","FOSTORIA","CR 53","CR 53","3","1","220430","999999","14","390634520","346123","0303.450","16",,,"41.1075105","-83.8422149","1","3939063","http://safetydata.fra.dot.gov/OfficeofSafety/publicsite/Crossing/Report.aspx?phasetype=C&rpttype=I&txtcrossingnum=472485A","http://safetydata.fra.dot.gov/OfficeofSafety/publicsite/Crossing/Report.aspx?phasetype=C&rpttype=A&txtcrossingnum=472485A","113184","39","39063","0","1","0","8009464744","8009464744","MCCOMB","1","NS","Primary","10","8","1","0","0","0","0","0","8","2022-04-30T00:00:00.000Z","2022-04-30T16:32:49.000Z","2","000142","2007","OHIO","OH","HANCOCK","MCCOMB"
"POINT (-122.87300000025 45.9959999998)","057967H","PNWR","WESTERN","ASTORIA","NA","PVT XING","2","1","200717","999999","14","410090820","853134","0038.00","16","1",,"45.9959691","-122.8726441","1","4141009","http://safetydata.fra.dot.gov/OfficeofSafety/publicsite/Crossing/Report.aspx?phasetype=C&rpttype=I&txtcrossingnum=057967H","http://safetydata.fra.dot.gov/OfficeofSafety/publicsite/Crossing/Report.aspx?phasetype=C&rpttype=A&txtcrossingnum=057967H","86031","41","41009","0","1","0","8008002203","8008002203","GOBLE","1","PNWR","Primary","0","0","1","0","0","0","0","0",,"2020-07-17T00:00:00.000Z","2020-07-17T17:27:32.000Z","2",,"1988","OREGON","OR","COLUMBIA","GOBLE"
"POINT (-78.24039999976 40.67320000038)","506292A","NBER","#N\A","#N\A","LR","West 12th Street","3","1","220509","999999","14","420138670","212410","0000.65","12",,,"40.6732376","-78.2403588","1","4242013","http://safetydata.fra.dot.gov/OfficeofSafety/publicsite/Crossing/Report.aspx?phasetype=C&rpttype=I&txtcrossingnum=506292A","http://safetydata.fra.dot.gov/OfficeofSafety/publicsite/Crossing/Report.aspx?phasetype=C&rpttype=A&txtcrossingnum=506292A","110173","42","42013","0","2","0","5704737949","8776352929","PARK","1","NBER","Primary","4","0","1","0","0","0","0","0","8","2022-05-09T00:00:00.000Z","2022-05-09T11:40:26.000Z","2","000188","2009","PENNSYLVANIA","PA","BLAIR","TYRONE"
