"railroadcode","railroadname","year","incidentnumber","incidentyear","incidentmonth","otherrailroadcode","otherrailroadname","otherincidentnumber","otherincidentyear","otherincidentmonth","maintenanceincicidentrai","maintenancerailroadname","maintainenanceincidentnumber","maintenanceincidentyear","maintenanceincidentmonth","gradecrossingid","date","month","day","hour","minute","ampm","time","neareststation","division","subdivision","countycode","countyname","statecode","statename","cityname","highwayname","publicprivatecode","publicprivate","highwayusercode","highwayuser","estimatedvehiclespeed","vehicledirectioncode","vehicledirection","highwayuserpositioncode","highwayuserposition","equipmentinvolvedcode","equipmentinvolved","railroadcarunitposition","equipmentstruckcode","equipmentstruck","hazmatinvolvementcode","hazmatinvolvement","hazmatreleasedbycode","hazmatreleasedby","hazmatreleasedname","hazmatreleasedquantity","hazmatreleasedmeasure","temperature","visibilitycode","visibility","weatherconditioncode","weathercondition","equipmenttypecode","equipmenttype","tracktypecode","tracktype","trackname","trackclass","numberoflocomotiveunits","numberofcars","trainspeed","estimatedrecordedspeedcode","traindirectioncode","traindirection","crossingwarningexpandedcode1","crossingwarningexpandedcode2","crossingwarningexpandedcode3","crossingwarningexpandedcode4","crossingwarningexpandedcode5","crossingwarningexpandedcode6","crossing_warning_expanded_code_7","crossing_warning_expanded_code_8","crossing_warning_expanded_code_9","crossing_warning_expanded_code_10","crossing_warning_expanded_code_11","crossing_warning_expanded_code_12","crossingwarningexpanded1","crossingwarningexpanded2","crossingwarningexpanded3","crossingwarningexpanded4","crossingwarningexpanded5","crossingwarningexpanded6","crossing_warning_expanded_7","crossing_warning_expanded_8","crossing_warning_expanded_9","crossing_warning_expanded_10","crossing_warning_expanded_11","crossing_warning_expanded_12","crossingwarningcode","crossingwarning","crossingwarningexplanationcode","crossingwarningexplanation","roadwayconditioncode","roadwaycondition","crossingwarninglocationcode","crossingwarninglocation","warningconnectedtosignal","crossingilluminated","userage","usergender","userstruckbysecondtraincode","highwayuseractioncode","highwayuseraction","driverpassedvehicle","viewobstructioncode","viewobstruction","driverconditioncode","drivercondition","driverinvehicle","userskilledforreportingr","usersinjuredforreporting","vehicledamagecost","numbervehicleoccupants","employeeskilledforreport","employeesinjuredforrepor","numberpeopleontrain","form54filed","passengerskilledforrepor","passengersinjuredforrepo","videotaken","videoused","specialstudy1","specialstudy2","narrative","totalkilledform57","totalinjuredform57","railroadtype","railroadreporting","personskilledforreportin","totalinjuredform55a","district","whistlebancode","whistleban","reportkey","reporting_railroad_company_grouping","reporting_railroad_class","reporting_railroad_smt_grouping","reporting_parent_railroad_code","reporting_parent_railroad_name","reporting_railroad_holding_company","other_railroad_grouping","other_railroad_class","other_railroad_smt_grouping","other_parent_railroad_code","other_parent_railroad_name","other_railroad_holding_company","maintenance_railroad_grouping","maintenance_railroad_class","maintenance_railroad_smt_grouping","maintenance_parent_railroad_code","maintenance_parent_railroad_name","maintenance_railroad_holding_company"
"SP","Southern Pacific Transportation Company","1986","F3166","86","05",,,,,,"SP","Southern Pacific Transportation Company","F3166","86","05","762634A","1986-05-01T00:00:00.000","05","01","03","07","PM","3:07 PM","WARREN",,,"149","WARREN","28","MISSISSIPPI","WARDEN","HWY 1948","Y","Public","G","School bus","0","4","West","1","Stalled or stuck on crossing","1","Train (units pulling)","1","1","Rail equipment struck highway user","2","Rail equipment",,,,,,"65.0","2","Day","3","Rain","1","Freight Train","1","Main","MAIN","3","4","85","28","E","1","North","5",,,,,,,,,,,"7","Hwy. traffic signals",,,,,,,,,,,"Crossbucks","1","Provided minimum 20-second warning",,,,,"1","Both sides","No","Yes",,,"No","4","Stopped on crossing","No","8","Not obstructed","3","Uninjured","No","0","0","10000","0","0","0",,"No","0","0",,,,,"NoneNoneNoneNoneNone","0","0","1L","1","0","0.0","3",,,"SPF3166198605",,"Class 1","SMT-6 - Union Pacific and KCS","UP","Union Pacific Railroad Company","Union Pacific Railroad Company",,,,,,,,"Class 1","SMT-6 - Union Pacific and KCS","UP","Union Pacific Railroad Company","Union Pacific Railroad Company"
"CAGY","Columbus & Greenville Railway Company","1986","86038","86","06",,,,,,"CAGY","Columbus & Greenville Railway Company","86038","86","06","302285Y","1986-06-02T00:00:00.000","06","02","12","45","PM","12:45 PM","GREENWOOD",,,"087","LOWNDES","28","MISSISSIPPI","GREENWOOD","HWY 82","Y","Public","C","Truck-trailer","45","1","North","3","Moving over crossing","1","Train (units pulling)","1","2","Rail equipment struck by highway user","4","Neither",,,,,,"80.0","2","Day","1","Clear","7","Yard/switching","1","Main","MAINLINE","1","1","4","8","E","4","West",,,,,,,,,,,,"5",,,,,,,,,,,,"Hwy. traffic signals","1","Provided minimum 20-second warning",,,,,"1","Both sides","Unknown","No",,,"No","3","Did not stop","No","8","Not obstructed","3","Uninjured","Yes","0","0","200","1","0","1",,"No","0","0",,,,,"NoneNoneNoneNoneNone","0","0","3L","1","0","1.0","3",,,"CAGY86038198606","Shortline","Class 3","SMT-2 - Shortline – East","CAGY","Columbus & Greenville Railway Company","Genesee & Wyoming",,,,,,,"Shortline","Class 3","SMT-2 - Shortline – East","CAGY","Columbus & Greenville Railway Company","Genesee & Wyoming"
"CAGY","Columbus & Greenville Railway Company","1986","86049","86","06",,,,,,"CAGY","Columbus & Greenville Railway Company","86049","86","06","302285Y","1986-06-19T00:00:00.000","06","19","01","35","PM","1:35 PM","GREENWOOD",,,"083","LEFLORE","28","MISSISSIPPI","GREENWOOD","HWY 82","Y","Public","A","Auto",,"3","East","3","Moving over crossing","2","Train (units pushing)","1","1","Rail equipment struck highway user","4","Neither",,,,,,"95.0","2","Day","1","Clear","7","Yard/switching","2","Yard","SCALE TRACK",,"1","6","1","E","3","East","5",,,,,,,,,,,"10","Hwy. traffic signals",,,,,,,,,,,"Flagged by crew","1","Provided minimum 20-second warning",,,,,"3","Opposite side of vehicle approach","Unknown","Unknown",,,"No","3","Did not stop","No","8","Not obstructed","3","Uninjured","Yes","0","0","200","2","0","0",,"No","0","0",,,,,"NoneNoneNoneNoneNone","0","0","3L","1","0","0.0","3",,,"CAGY86049198606","Shortline","Class 3","SMT-2 - Shortline – East","CAGY","Columbus & Greenville Railway Company","Genesee & Wyoming",,,,,,,"Shortline","Class 3","SMT-2 - Shortline – East","CAGY","Columbus & Greenville Railway Company","Genesee & Wyoming"
"DM","Detroit & Mackinac Railway Company","1986","57147","86","11",,,,,,"DM","Detroit & Mackinac Railway Company","57147","86","11","250900E","1986-11-10T00:00:00.000","11","10","10","05","PM","10:05 PM","PINCONNING",,,"017","BAY","26","MICHIGAN","PINCONNING","CODY ESTEY RD","Y","Public","A","Auto","28","2","South","3","Moving over crossing","1","Train (units pulling)","1","2","Rail equipment struck by highway user","2","Rail equipment",,,,,,"35.0","4","Dark","2","Cloudy","1","Freight Train","1","Main","SINGLE MAIN TRACK","2","2","36","28","R","2","South","7",,,,,,,,,,,"11","Crossbucks",,,,,,,,,,,"Other",,,,,,,"1","Both sides","No","Yes",,,"No","3","Did not stop","No","8","Not obstructed","2","Injured","Yes","0","1","5000","1","0","0",,"No","0","0",,,,,"NoneNoneNoneNoneNone","0","1","3L","1","0","1.0","4",,,"DM57147198611",,"Class 3",,"DM","Detroit & Mackinac Railway Company","Not Assigned",,,,,,,,"Class 3",,"DM","Detroit & Mackinac Railway Company","Not Assigned"
"GSMR","GULF AND MISSISSIPPI RAILROAD CORPORATION","1986","GM92799","86","07",,,,,,"GSMR","GULF AND MISSISSIPPI RAILROAD CORPORATION","GM92799","86","07","303964R","1986-07-14T00:00:00.000","07","14","11","40","PM","11:40 PM","WEST POINT",,,"025","CLAY","28","MISSISSIPPI","WEST POINT","TIBBEE ROAD","Y","Public","A","Auto","25","3","East","3","Moving over crossing","1","Train (units pulling)","41","2","Rail equipment struck by highway user","4","Neither",,,,,,"85.0","4","Dark","1","Clear","1","Freight Train","1","Main","MAIN","2","2","96","25","E","2","South","6",,,,,,,,,,,"7","Audible",,,,,,,,,,,"Crossbucks","1","Provided minimum 20-second warning",,,,,"1","Both sides","No","No",,,"No","3","Did not stop","No","8","Not obstructed","2","Injured","Yes","0","1","1000","1","0","0",,"No","0","0",,,,,"NoneNoneNoneNoneNone","0","1","3L","1","0","1.0","3",,,"GSMRGM92799198607",,"Class 3",,"GMSR","Gulf And Mississippi Railroad Corporation","Not Assigned",,,,,,,,"Class 3",,"GMSR","Gulf And Mississippi Railroad Corporation","Not Assigned"
"ICG","Illinois Central Gulf Railroad Company","1986","95359","86","07",,,,,,"ICG","Illinois Central Gulf Railroad Company","95359","86","07",,"1986-07-22T00:00:00.000","07","22","02","10","PM","2:10 PM","BYRAM",,,"049","HINDS","28","MISSISSIPPI","BYRAM","PRIVATE-IND PARK","N","Private","A","Auto","0","3","East","2","Stopped on crossing","2","Train (units pushing)","1","1","Rail equipment struck highway user","4","Neither",,,,,,"95.0","2","Day","1","Clear","1","Freight Train","4","Industry","CANTON DIST","3","3","3","3","E","1","North","10",,,,,,,,,,,"11","Flagged by crew",,,,,,,,,,,"Other",,,,,,,"1","Both sides","No","Unknown",,,"No","4","Stopped on crossing","No","8","Not obstructed","3","Uninjured","Yes","0","0","1000","1","0","0",,"No","0","0",,,,,"NoneNoneNoneNoneNone","0","0","1L","1","0","0.0","3",,,"ICG95359198607",,"Class 1","SMT-4 - CN, CP, and Chicago Commuters (NIRC, NICD, BNSO, UPME)","CN","Canadian National - North America","Canadian National - North America",,,,,,,,"Class 1","SMT-4 - CN, CP, and Chicago Commuters (NIRC, NICD, BNSO, UPME)","CN","Canadian National - North America","Canadian National - North America"
"MSRC","MIDSOUTH RAILROAD CORPORATION","1986","C0709","86","07",,,,,,"MSRC","MIDSOUTH RAILROAD CORPORATION","C0709","86","07","305167G","1986-07-17T00:00:00.000","07","17","04","35","PM","4:35 PM","GULFPORT",,,"047","HARRISON","28","MISSISSIPPI","GULFPORT","28TH ST","Y","Public","A","Auto","27","4","West","3","Moving over crossing","6","Light loco(s) (moving)","1","2","Rail equipment struck by highway user","4","Neither",,,,,,"95.0","2","Day","1","Clear","8","Light loco(s)","1","Main","SINGLE MAIN TRACK","1","3","0","12","E","2","South",,,,,,,,,,,,"7",,,,,,,,,,,,"Crossbucks",,,,,,,"1","Both sides","No","No",,,"No","3","Did not stop","No","8","Not obstructed","3","Uninjured","Yes","0","0","500","1","0","0",,"No","0","0",,,,,"NoneNoneNoneNoneNone","0","0","3L","1","0","0.0","3",,,"MSRCC0709198607",,"Class 1","SMT-6 - Union Pacific and KCS","KCS","Kansas City Southern Railway Company","Kansas City Southern Railway Company",,,,,,,,"Class 1","SMT-6 - Union Pacific and KCS","KCS","Kansas City Southern Railway Company","Kansas City Southern Railway Company"
"DM","Detroit & Mackinac Railway Company","1986","57149","86","12",,,,,,"DM","Detroit & Mackinac Railway Company","57149","86","12","250900E","1986-12-07T00:00:00.000","12","07","08","05","PM","8:05 PM","PINCONNING",,,"017","BAY","26","MICHIGAN","PINCONNING","CODY ESTEY RD","Y","Public","A","Auto","35","4","West","3","Moving over crossing","1","Train (units pulling)","1","2","Rail equipment struck by highway user","2","Rail equipment",,,,,,"30.0","4","Dark","2","Cloudy","1","Freight Train","1","Main","SINGLE MAIN TRACK","2","2","19","20","R","2","South","7",,,,,,,,,,,"11","Crossbucks",,,,,,,,,,,"Other",,,,,,,"1","Both sides","No","No",,,"No","3","Did not stop","No","8","Not obstructed","2","Injured","Yes","0","1","5000","1","0","0",,"No","0","0",,,,,"NoneNoneNoneNoneNone","0","1","3L","1","0","1.0","4",,,"DM57149198612",,"Class 3",,"DM","Detroit & Mackinac Railway Company","Not Assigned",,,,,,,,"Class 3",,"DM","Detroit & Mackinac Railway Company","Not Assigned"
"ICG","Illinois Central Gulf Railroad Company","1986","95354","86","07",,,,,,"ICG","Illinois Central Gulf Railroad Company","95354","86","07","299649P","1986-07-15T00:00:00.000","07","15","12","02","PM","12:02 PM","WINONA",,,"097","MONTGOMERY","28","MISSISSIPPI","WINONA","FRONT ST","Y","Public","A","Auto","2","3","East","3","Moving over crossing","1","Train (units pulling)","1","1","Rail equipment struck highway user","4","Neither",,,,,,"95.0","2","Day","1","Clear","1","Freight Train","1","Main","GRENADA DIST","3","3","25","30","E","2","South",,,,,,,,,,,,"3",,,,,,,,,,,,"Standard FLS","1","Provided minimum 20-second warning",,,,,"1","Both sides","No","Unknown",,,"No","3","Did not stop","No","8","Not obstructed","3","Uninjured","Yes","0","0","175","3","0","0",,"No","0","0",,,,,"NoneNoneNoneNoneNone","0","0","1L","1","0","0.0","3",,,"ICG95354198607",,"Class 1","SMT-4 - CN, CP, and Chicago Commuters (NIRC, NICD, BNSO, UPME)","CN","Canadian National - North America","Canadian National - North America",,,,,,,,"Class 1","SMT-4 - CN, CP, and Chicago Commuters (NIRC, NICD, BNSO, UPME)","CN","Canadian National - North America","Canadian National - North America"
"ICG","Illinois Central Gulf Railroad Company","1986","95363","86","07",,,,,,"ICG","Illinois Central Gulf Railroad Company","95363","86","07","299649P","1986-07-30T00:00:00.000","07","30","08","21","AM","8:21 AM","WINONA",,,"097","MONTGOMERY","28","MISSISSIPPI","WINONA","FRONT ST","Y","Public","A","Auto",,"3","East","3","Moving over crossing","1","Train (units pulling)","1","1","Rail equipment struck highway user","4","Neither",,,,,,"90.0","2","Day","1","Clear","2","Passenger Train - Pulling","1","Main","GRENADA DIST MAIN","3","2","12","30","E","2","South",,,,,,,,,,,,"3",,,,,,,,,,,,"Standard FLS","1","Provided minimum 20-second warning",,,,,"1","Both sides","Yes","Unknown",,,"No","4","Stopped on crossing","No","2","Standing railroad equipment","2","Injured","Yes","0","1","4000","1","0","0",,"No","0","0",,,,,"NoneNoneNoneNoneNone","0","1","1L","1","0","1.0","3",,,"ICG95363198607",,"Class 1","SMT-4 - CN, CP, and Chicago Commuters (NIRC, NICD, BNSO, UPME)","CN","Canadian National - North America","Canadian National - North America",,,,,,,,"Class 1","SMT-4 - CN, CP, and Chicago Commuters (NIRC, NICD, BNSO, UPME)","CN","Canadian National - North America","Canadian National - North America"
