"id","record_id","record_name","permit_status","active_permit","business_type","address","city","zip","permit_owner_full","permit_owner","last_updated","geocoded_column"
"37926","DEH2007-FFPP-423969","MURRIETAS MEXICAN RESTAURANT","Permit Renewed","true","Restaurant Food Facility","5170 BONITA RD","BONITA","91902","FRANCISCO SIFUENTES","619-479-8024","2022-04-27T12:49:38.000",
"46061","DEH2017-FFPP-008935","THE VINE","Permit Renewed","true","Restaurant Food Facility","9336 ABRAHAM WAY","SANTEE","92071-2861","MARIA HARO","619-258-9300 X 5203","2022-02-23T16:29:17.000",
"43605","DEH2015-FFPP-005671","NOTHING BUNDT CAKES","Permit Renewed","true","Restaurant Food Facility","5950 VILLAGE WAY 104","SAN DIEGO","92130-2499","MV KAKERY LLC","858-436-3311","2022-04-19T16:32:42.000",
"41240","DEH2013-FFPP-001568","TOAST","Permit Renewed","true","Caterer","2277 ROSECRANS ST","SAN DIEGO","92106","SAM BEHNAM","858-208-9422","2021-09-07T11:50:49.000",
"39435","DEH2010-FFPP-439160","CRAB HUT","Permit Renewed","true","Restaurant Food Facility","1007 05TH AVE","SAN DIEGO","92101","CRAB HUT II INC","619-234-0628","2022-06-30T00:00:00.000",
"51798","DEH2022-FFPP-014624","GALLO 68","Issued","true","Retail Food Processing","2707 BOSTON AVE 24","SAN DIEGO","92113-3707","TRIUNVIRATO INC","619-877-9320","2022-06-02T09:39:13.000",
"52578","DEH2022-FFPP-015308","GOSEN PRODUCE","Issued","true","Retail Market with Deli","1605 E 4TH ST","NATIONAL CITY","91950-2710","AARON MENDOZA","619-493-7258","2022-07-29T09:23:13.000",
"43014","DEH2015-FFPN-000942","ALDI #94","Permit Renewed","true","Pre-Packaged Retail Market","40 N 4TH AVE 110","CHULA VISTA","91910","ALDI INC","619-426-2907","2022-04-18T12:14:45.000",
"35614","DEH2002-FFPP-321275","FARB MIDDLE","Permit Renewed","true","School Food Auxiliary Facility","4880 LA CUENTA DR","SAN DIEGO","92124","SAN DIEGO CITY SCHOOLS","858-496-8090","2022-07-22T00:00:00.000",
"34222","DEH2002-FFPP-302718","DINOS GYROS","Permit Renewed","true","Restaurant Food Facility","4705 CLAIREMONT DR","SAN DIEGO","92117","PETER & EDNA ZANE","858-274-1619","2022-06-30T00:00:00.000",
"33464","DEH2002-FFMP-304671","M V SEARCHER","Permit Renewed","true","Boat","2838 GARRISON ST","SAN DIEGO","92106","ARTHUR TAYLOR","619-226-2403","2022-06-21T16:11:22.000",
