"condition","outcome","year","geography","geotype","geoname","geoid","region","district","total","totalrate","aarate","age0_14","age0_14rate","age15_24","age15_24rate","age25_44","age25_44rate","age45_64","age45_64rate","age65plus","age65plusrate","total_male","total_malerate","aa_totalmalerate","age0_14_male","age0_14_malerate","age15_24_male","age15_24_malerate","age25_44_male","age25_44_malerate","age45_64_male","age45_64_malerate","age65plus_male","age65plus_malerate","total_female","total_femalerate","aa_totalfemalerate","age0_14_female","age0_14_femalerate","age15_24_female","age15_24_femalerate","age25_44_female","age25_44_femalerate","age45_64_female","age45_64_femalerate","age45plus_female","age45plus_femalerate","age65plus_female","age65plus_femalerate","white_total","white_totalrate","white_age0_14","white_age0_14rate","white_age15_24","white_age15_24rate","white_age25_44","white_age25_44rate","white_age45_64","white_age45_64rate","white_age65plus","white_age65plusrate","white_total_male","white_total_malerate","white_age0_14_male","white_age0_14_malerate","white_age15_24_male","white_age15_24_malerate","white_age25_44_male","white_age25_44_malerate","white_age45_64_male","white_age45_64_malerate","white_age65plus_male","white_age65plus_malerate","white_total_female","white_total_femalerate","white_age0_14_female","white_age0_14_femalerate","white_age15_24_female","white_age15_24_femalerate","white_age25_44_female","white_age25_44_femalerate","white_age45_64_female","white_age45_64_femalerate","white_age45plus_female","white_age45plus_femalerate","white_age65plus_female","white_age65plus_femalerate","black_total","black_totalrate","black_age0_14","black_age0_14rate","black_age15_24","black_age15_24rate","black_age25_44","black_age25_44rate","black_age45_64","black_age45_64rate","black_age65plus","black_age65plusrate","black_total_male","black_total_malerate","black_age0_14_male","black_age0_14_malerate","black_age15_24_male","black_age15_24_malerate","black_age25_44_male","black_age25_44_malerate","black_age45_64_male","black_age45_64_malerate","black_age65plus_male","black_age65plus_malerate","black_total_female","black_total_femalerate","black_age0_14_female","black_age0_14_femalerate","black_age15_24_female","black_age15_24_femalerate","black_age25_44_female","black_age25_44_femalerate","black_age45_64_female","black_age45_64_femalerate","black_age45plus_female","black_age45plus_femalerate","black_age65plus_female","black_age65plus_femalerate","hispanic_total","hispanic_totalrate","hispanic_age0_14","hispanic_age0_14rate","hispanic_age15_24","hispanic_age15_24rate","hispanic_age25_44","hispanic_age25_44rate","hispanic_age45_64","hispanic_age45_64rate","hispanic_age65plus","hispanic_age65plusrate","hispanic_total_male","hispanic_total_malerate","hispanic_age0_14_male","hispanic_age0_14_malerate","hispanic_age15_24_male","hispanic_age15_24_malerate","hispanic_age25_44_male","hispanic_age25_44_malerate","hispanic_age45_64_male","hispanic_age45_64_malerate","hispanic_age65plus_male","hispanic_age65plus_malerate","hispanic_total_female","hispanic_total_femalerate","hispanic_age0_14_female","hispanic_age0_14_femalerate","hispanic_age15_24_female","hispanic_age15_24_femalerate","hispanic_age25_44_female","hispanic_age25_44_femalerate","hispanic_age45_64_female","hispanic_age45_64_femalerate","hispanic_age45plus_female","hispanic_age45plus_femalerate","hispanic_age65plus_female","hispanic_age65plus_femalerate","api_total","api_totalrate","api_age0_14","api_age0_14rate","api_age15_24","api_age15_24rate","api_age25_44","api_age25_44rate","api_age45_64","api_age45_64rate","api_age65plus","api_age65plusrate","api_total_male","api_total_malerate","api_age0_14_male","api_age0_14_malerate","api_age15_24_male","api_age15_24_malerate","api_age25_44_male","api_age25_44_malerate","api_age45_64_male","api_age45_64_malerate","api_age65plus_male","api_age65plus_malerate","api_total_female","api_total_femalerate","api_age0_14_female","api_age0_14_femalerate","api_age15_24_female","api_age15_24_femalerate","api_age25_44_female","api_age25_44_femalerate","api_age45_64_female","api_age45_64_femalerate","api_age45plus_female","api_age45plus_femalerate","api_age65plus_female","api_age65plus_femalerate","aian_total","aian_totalrate","aian_age0_14","aian_age0_14rate","aian_age15_24","aian_age15_24rate","aian_age25_44","aian_age25_44rate","aian_age45_64","aian_age45_64rate","aian_age65plus","aian_age65plusrate","aian_total_male","aian_total_malerate","aian_age0_14_male","aian_age0_14_malerate","aian_age15_24_male","aian_age15_24_malerate","aian_age25_44_male","aian_age25_44_malerate","aian_age45_64_male","aian_age45_64_malerate","aian_age65plus_male","aian_age65plus_malerate","aian_total_female","aian_total_femalerate","aian_age0_14_female","aian_age0_14_femalerate","aian_age15_24_female","aian_age15_24_femalerate","aian_age25_44_female","aian_age25_44_femalerate","aian_age45_64_female","aian_age45_64_femalerate","aian_age45plus_female","aian_age45plus_femalerate","aian_age65plus_female","aian_age65plus_femalerate","other_notaian_total","other_notaian_totalrate","other_notaian_age0_14","other_notaian_age0_14rate","other_notaian_age15_24","other_notaian_age15_24rate","other_notaian_age25_44","other_notaian_age25_44rate","other_notaian_age45_64","other_notaian_age45_64rate","other_notaian_age65plus","other_notaian_age65plusrate","other_notaian_total_male","other_notaian_total_malerate","other_notaian_age0_14_male","other_notaian_age0_14_malerate","other_notaian_age15_24_male","other_notaian_age15_24_1","other_notaian_age25_44_male","other_notaian_age25_44_1","other_notaian_age45_64_male","other_notaian_age45_64_1","other_notaian_age65plus_male","other_notaian_age65plus_1","other_notaian_total_female","other_notaian_total_femalerate","other_notaian_age0_14_female","other_notaian_age0_14_1","other_notaian_age15_24_female","other_notaian_age15_24_2","other_notaian_age25_44_female","other_notaian_age25_44_2","other_notaian_age45_64_female","other_notaian_age45_64_2","other_notaian_age45plus_female","other_notaian_age45plus","other_notaian_age65plus_female","other_notaian_age65plus_2"
"Pulmonary Diseases","Death","2017","San Diego County","NA","SAN DIEGO COUNTY","99","NA","NA","1025","30.91","27.68",,,,,"5","0.57","100","12.28","918","197.93","471","28.25","30.23",,,,,,,"55","13.70","412","200.27","554","33.59","25.67",,,,,,,"45","10.90","551","82.12","506","196.06","816","53.27",,,,,,,"69","16.08","746","243.11","353","44.99",,,,,,,"39","17.80","314","223.27","463","61.97",,,,,,,"30","14.29","462","122.82","432","259.91","41","27.41",,,,,,,"12","32.39","27","174.94","26","32.56",,,,,,,"7","35.58","17","243.38","15","21.51",,,,,,,"5","28.78","15","58.09","10","118.36","76","6.69",,,,,,,"7","3.06","67","83.19","39","6.93",,,,,,,,,"34","102.56","37","6.46",,,,,,,,,"36","21.46","33","69.64","67","17.74",,,,,,,"6","5.89","59","108.00","40","22.41",,,,,,,,,"38","172.65","27","13.56",,,,,,,"5","8.93","26","29.35","21","64.38",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10","9.40",,,,,,,,,"9","201.03",,,,,,,,,,,,,"9","16.96",,,,,,,,,"9","92.91","8","325.07"
"Pulmonary Diseases","Death","2017","Central Region","Region","CENTRAL","3","CENTRAL","NA","130","25.55","26.66",,,,,,,"21","17.84","105","174.95","72","27.44","35.12",,,,,,,"11","18.06","58","215.34","58","23.53","20.69",,,,,,,"10","17.60","57","63.40","47","142.07","72","44.04",,,,,,,"11","25.37","61","210.32","42","47.54",,,,,,,"7","28.75","35","256.35","30","39.92",,,,,,,,,"30","87.32","26","169.38","29","58.14",,,,,,,"6","44.94","21","362.44","17","64.10",,,,,,,,,"12","458.72","12","51.38",,,,,,,,,"12","127.13","9","283.20","17","7.77",,,,,,,,,"13","88.12","9","8.18",,,,,,,,,"7","113.31","8","7.35",,,,,,,,,"7","22.91","6","69.98","10","16.79",,,,,,,,,"8","84.14",,,,,,,,,,,,,"7","22.73",,,,,,,,,"7","50.76","5","90.91",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pulmonary Diseases","Death","2017","Central San Diego","SRA","CENTRAL SAN DIEGO","1","CENTRAL","Supervisorial District 4","50","24.98","23.42",,,,,,,"6","12.01","44","172.26","28","25.66","29.56",,,,,,,,,"24","199.61","23","24.21","19.00",,,,,,,,,"23","64.41","21","148.99","38","40.74",,,,,,,,,"34","204.94","21","40.07",,,,,,,,,"18","225.43","18","41.55",,,,,,,,,"18","92.25","16","186.32","8","57.51",,,,,,,,,"6","435.65","5","65.28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pulmonary Diseases","Death","2017","Mid-City","SRA","MID-CITY","6","CENTRAL","Supervisorial District 4","42","24.66","26.50",,,,,,,"11","27.03","28","143.88","25","29.14","36.88",,,,,,,,,"18","202.77","17","20.21","18.73",,,,,,,"7","33.31","17","55.67","11","96.39","26","49.52",,,,,,,,,"21","222.57","17","63.37",,,,,,,,,"14","318.31","9","35.07",,,,,,,,,"9","74.41","7","141.71","9","52.76",,,,,,,,,,,"6","62.38",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pulmonary Diseases","Death","2017","Southeastern San Diego","SRA","SOUTHEASTERN SAN DIEGO","5","CENTRAL","Supervisorial District 4","44","29.95","33.74",,,,,,,"5","14.81","38","227.56","23","31.95","45.70",,,,,,,,,"20","273.71","21","27.98","26.16",,,,,,,,,"20","73.75","18","192.31","13","62.17",,,,,,,,,"10","240.46","7","67.66",,,,,,,,,"6","287.14","5","56.09",,,,,,,,,"5","114.42",,,"12","62.53",,,,,,,,,"10","430.58","6","66.35",,,,,,,,,"5","512.68","5","58.55",,,,,,,,,"5","137.08","5","369.22","13","16.21",,,,,,,,,"11","189.87","6","16.63",,,,,,,,,"5","234.43","6","15.80",,,,,,,,,"5","45.91","5","158.43","6","26.19",,,,,,,,,"6","154.99",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pulmonary Diseases","Death","2017","East Region","Region","EAST","5","EAST","NA","195","40.37","33.36",,,,,,,"22","17.56","173","233.48","86","36.07","34.47",,,,,,,"12","19.73","74","225.97","109","44.56","32.19",,,,,,,"10","15.51","109","102.99","99","239.44","160","60.22",,,,,,,"14","17.72","146","262.81","66","49.84",,,,,,,"6","15.30","60","238.97","94","70.54",,,,,,,"8","20.10","94","133.81","86","282.47",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"13","8.81",,,,,,,,,"11","103.00","5","6.89",,,,,,,,,,,"8","10.67",,,,,,,,,"8","36.61","8","128.31","10","39.65",,,,,,,,,"9","212.16","5","44.57",,,,,,,,,"5","311.14","5","35.70",,,,,,,,,"5","72.56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pulmonary Diseases","Death","2017","Alpine","SRA","ALPINE","38","EAST","Supervisorial District 2","8","49.83","42.18",,,,,,,,,"7","253.61","5","66.21","67.23",,,,,,,,,,,,,,,,,,,,,,,,,,"8","69.96",,,,,,,,,"7","295.55","5","92.76",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pulmonary Diseases","Death","2017","El Cajon","SRA","EL CAJON","34","EAST","Supervisorial District 2","56","43.87","36.13",,,,,,,"5","15.53","51","258.96","28","43.49","40.07",,,,,,,,,"24","276.64","29","44.24","31.93",,,,,,,,,"29","102.40","27","245.14","41","55.43",,,,,,,,,"39","253.36","19","51.37",,,,,,,,,"18","256.24","22","59.42",,,,,,,,,"22","113.47","21","251.02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7","17.55",,,,,,,,,"5","181.86",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pulmonary Diseases","Death","2017","Harbison Crest","SRA","HARBISON CREST","37","EAST","Supervisorial District 5","7","47.95","40.96",,,,,,,,,"7","297.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6","67.88",,,,,,,,,"6","314.49",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pulmonary Diseases","Death","2017","Harbison Crest-El Cajon","NA","HARBISON CREST-EL CAJON","99","EAST","Supervisorial District 2","64","44.30","36.62",,,,,,,"5","14.75","58","262.99","31","43.55","40.37",,,,,,,,,"27","279.92","33","45.04","32.69",,,,,,,,,"33","104.15","31","249.75","47","56.78",,,,,,,,,"45","259.90","21","52.23",,,,,,,,,"20","261.79","25","61.26",,,,,,,,,"25","116.93","24","258.37",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7","17.42",,,,,,,,,"5","187.60",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
