"agency","housing_type","address","city","phone_number","clientele","population_served","additional_information","website","location"
"15th Avenue Cooperative Apts.","Affordable Housing","444 W. 15th Avenue","Escondido","(858) 537-2026","Low Income",,"Units: 16
Bedrooms: 1-4",,"444 W. 15th Avenue
Escondido, CA 92025
(33.106678, -117.0774)"
"16th and Market St. Apts.","Affordable Housing","1550 Market Street","San Diego","(619) 687-1074","Families",,"Units: 98
Bedrooms: 1","www.svdpv.org/16m.html","1550 Market Street
San Diego, CA 92101
(32.71152, -117.149758)"
"1st Congregational Memorial Tower","Affordable Housing","3541 Park Blvd","San Diego","(619) 293-3893","Elderly","Disabled","Units: 98
Bedrooms: 1",,"3541 Park Blvd
San Diego, CA 92103
(32.74325, -117.147566)"
"34th Street Project LLC","Affordable Housing","4637 34th Street","San Diego","(619) 255-1472","Low Income",,"Units: 34
Bedrooms: 1",,"4637 34th Street
San Diego, CA 92116
(32.762056, -117.120647)"
"500 West Hotel","Single Room Occupancy
Hotels","500 W. Broadway","San Diego","(619) 234-5252","Low Income",,,,"500 W. Broadway
San Diego, CA 92101
(32.715756, -117.167836)"
"54th Place Apts.","Affordable Housing","4238 54th Place","San Diego","(619) 229-8944","Families",,"Units: 26
Bedrooms: 2",,"4238 54th Place
San Diego, CA 92115
(32.754078, -117.078664)"
"900 F St Apts.","Affordable Housing","900 F Street","San Diego","(619) 233-4787","Low Income",,"Units: 117
Bedrooms: Studio-3",,"900 F Street
San Diego, CA 92101
(32.713628, -117.156168)"
"Alabama Manor Apts.","Affordable Housing","3836 Alabama Street","San Diego","(619) 955-8075","Elderly","Seniors 55+","Units: 67
Bedrooms: 1-2",,"3836 Alabama Street
San Diego, CA 92104
(32.747927, -117.142215)"
"Alpha Project
Casa Base","Transitional Shelter","975 Postal Way","Vista","(760) 631-1300","Adult Men","Substance Abuse Treatment","Beds: 36
Max Stay: 9-12 Months",,"975 Postal Way
Vista, CA 92083
(33.191473, -117.231789)"
"Alpha Project
Casa Raphael","Transitional Shelter","993 Postal Way","Vista","(760) 630-9922","Adult Men","Substance Abuse Treatment","Beds: 98
Max Stay: 9-12 Months",,"993 Postal Way
Vista, CA 92083
(33.190388, -117.229941)"
"Alpha Project
Metro Hotel","Permanent Supportive Housing","434 13th Street","San Diego","(619) 696-6500","Adult Men/ Women","Severely Mentally Ill","Beds: 193
Max Stay: Unlimited",,"434 13th Street
San Diego, CA 92101
(32.709866, -117.152822)"
"Alta Vista Apts.","Affordable Housing","3535 43rd Street","San Diego","(619) 563-7728","Low Income",,"Units: 12
Bedrooms: 2",,"3535 43rd Street
San Diego, CA 92105
(32.742895, -117.102094)"
"Anja House I","Affordable Housing","10045 Anja Place","Lakeside","(619) 938-2850","Elderly","Assisted Living","Units: 
Bedrooms: ",,"10045 Anja Place
Lakeside, CA 92040
(32.860002, -116.960619)"
"Anja House I","Affordable Housing","10045 Anja Place","Lakeside","(619) 938-2850","Low Income","Assisted Living","Units: 
Bedrooms: ",,"10045 Anja Place
Lakeside, CA 92040
(32.860002, -116.960619)"
"Anza Terrace Apts.","Affordable Housing","1012 N. Anza Street","El Cajon","(619) 440-5921","Elderly","Seniors 55+","Units: 26
Bedrooms: 1",,"1012 N. Anza Street
El Cajon, CA 92021
(32.809071, -116.94806)"
"Aquilla Housing I","Affordable Housing","10200 Aquilla Drive","Lakeside","(619) 938-2850","Low Income","Assisted Living","Units: 
Bedrooms: ",,"10200 Aquilla Drive
Lakeside, CA 92040
(32.862275, -116.961135)"
"Archstone Apts.","Affordable Housing","1100 Garden View Road","Encinitas","(760) 635-3760","Low Income",,"Units: 22
Bedrooms: 1-3",,"1100 Garden View Road
Encinitas, CA 92024
(33.061172, -117.266984)"
"Archstone Pacific View Apts.","Affordable Housing","5162 Whitman Way","Carlsbad","(760) 931-5825","Low Income",,"Units: 111
Bedrooms: 1-3",,"5162 Whitman Way
Carlsbad, CA 92008
(33.141601, -117.303155)"
"Arlington Apartments","Single Room Occupancy
Hotels","701 7th Avenue","San Diego","(619) 231-2385","Low Income",,,,"701 7th Avenue
San Diego, CA 92101
(32.712837, -117.158341)"
"Aster St. Apts.","Affordable Housing","518 Aster Street","Escondido","(760) 489-6380","Low Income",,"Units: 8
Bedrooms: 2",,"518 Aster Street
Escondido, CA 92025
(33.137152, -117.058378)"
"Auburn Park Apts.","Affordable Housing","5135 University Avenue","San Diego","(714) 363-4090","Low Income",,"Units: 69
Bedrooms: Studio-3","www.affirmedhousing.com","5135 University Avenue
San Diego, CA 92105
(32.749079, -117.08569)"
"Autumn Terrace","Affordable Housing","251 Autumn Drive","San Marcos","(760) 471-5001","Families",,"Units: 100 
Bedrooms: 1-3","www.hitzkedevelopment.com","251 Autumn Drive
San Marcos, CA 92069
(33.143488, -117.168165)"
"Baltic Inn","Single Room Occupancy
Hotels","521 6th Avenue","San Diego","(619) 237-0687","Low Income",,,,"521 6th Avenue
San Diego, CA 92101
(32.710759, -117.159217)"
"Bandar Salaam Apts.","Affordable Housing","3810 Winona Avenue","San Diego","(619) 563-5872","Families",,"Units: 68
Bedrooms: 1-5",,"3810 Winona Avenue
San Diego, CA 92105
(32.747065, -117.088)"
"Beachwind Court","Affordable Housing","624 12th Street","Imperial Beach","(619) 662-0359","Low Income",,"Units: 15
Bedrooms: 2 & 5",,"624 12th Street
Imperial Beach, CA 91932
(32.58497, -117.10815)"
"Beechwood","Single Room Occupancy
Hotels","1465 4th Avenue","San Diego","(619) 696-9694","Low Income",,,,"1465 4th Avenue
San Diego, CA 92101
(32.720758, -117.161107)"
"Bella Vista Apartments","Affordable Housing","545 N. Mollison Avenue","El Cajon","(619) 442-8306","Low Income",,"Units: 
Bedrooms: ",,"545 N. Mollison Avenue
El Cajon, CA 92021
(32.801262, -116.950997)"
"Bella Vista Apts.","Affordable Housing","4742 Solola Avenue","San Diego","(619) 527-8600","Families",,"Units: 170
Bedrooms: 1-3",,"4742 Solola Avenue
San Diego, CA 92113
(32.693611, -117.092608)"
"Beyer Courtyards","Affordable Housing","3412 Beyer Blvd","San Diego","(619) 662-0857","Low Income",,"Units: 60
Bedrooms: 2-3",,"3412 Beyer Blvd
San Diego, CA 92173
(32.565993, -117.060854)"
"Big Sister League Residency","Affordable Housing","3360 4th Avenue","San Diego","(619) 692-1485","Low Income","Disabled ;
Transitional Housing","Units: 
Bedrooms: ","www.bigsisterleagueresidency.com","3360 4th Avenue
San Diego, CA 92103
(32.740493, -117.161266)"
"Bradley Arms Apts.","Affordable Housing","310 E. Bradley","El Cajon","(619) 562-3792","Low Income",,"Units: 117
Bedrooms: 1-2",,"310 E. Bradley
El Cajon, CA 92021
(32.819114, -116.957114)"
"Brisa del Mar Apts.","Affordable Housing","1689 Broadway","Chula Vista","(619) 429-9613","Low Income",,"Units: 106
Bedrooms: 2-4","www.brisadelmar.com","1689 Broadway
Chula Vista, CA 91911
(32.595568, -117.075512)"
"Broadway Apts. I","Affordable Housing","1562 E. Main Street","El Cajon","(619) 442-9467","Low Income",,"Units: 87
Bedrooms: 1-3",,"1562 E. Main Street
El Cajon, CA 92021
(32.806228, -116.924055)"
"Broadway Apts. II","Affordable Housing","849 N. Third Street","El Cajon","(619) 442-9467","Low Income",,"Units: 52
Bedrooms: 1-2",,"849 N. Third Street
El Cajon, CA 92021
(32.806199, -116.926953)"
"Brookview Village Senior Apts.","Affordable Housing","13150 Pomerado Road","Poway","(858) 668-1777","Elderly","Seniors 55+","Units: 100
Bedrooms: 1-2",,"13150 Pomerado Road
Poway, CA 92064
(32.954134, -117.062536)"
"Brother Benno's Foundation – 
House of Martha Ann Mary & IDA","Emergency Shelter","3260 Production Avenue","Oceanside","(760) 439-1244","Women and Children","Victims of 
Domestic Violence","Beds: 6
Max Stay: 30 Days",,"3260 Production Avenue
Oceanside, CA 92054
(33.216138, -117.347291)"
"Buckner Hotel","Single Room Occupancy
Hotels","765 10th Avenue","San Diego","(619) 231-8712","Low Income",,,,"765 10th Avenue
San Diego, CA 92101
(32.713448, -117.1556)"
"Camden Old Creek Apts.","Affordable Housing","1935 Northstar Way","San Marcos","(760) 510-1005","Families",,"Units: 53
Bedrooms: 1-3","www.camdenliving.com/san -marcos-ca-apartments/camden-
  old-creek  ","1935 Northstar Way
San Marcos, CA 92078
(33.098556, -117.218444)"
"Campina Court Apts.","Affordable Housing","9000 Campina Drive","La Mesa","(619) 698-6440","Low Income",,"Units: 
Bedrooms: 2-3",,"9000 Campina Drive
La Mesa, CA 91941
(32.784095, -117.00341)"
"Cantebria Senior Homes","Affordable Housing","645 Via Cantebria","Encinitas","(760) 436-1989","Elderly","Seniors 62+","Units: 
Bedrooms: ",,"645 Via Cantebria
Encinitas, CA 92024
(33.058267, -117.268126)"
"Canterbury Court Senior Apts.","Affordable Housing","336 C Street","Chula Vista","(619) 585-8585","Elderly","Seniors 55+","Units: 207
Bedrooms: ","www.sunshineretirementliving.com","336 C Street
Chula Vista, CA 91910
(32.650887, -117.086211)"
"Canyon Rim","Affordable Housing","10845 Via Los Narcisos","San Diego","(858) 672-2001","Low Income",,"Units: 504
Bedrooms: 2-3","www.canyonrim-apts.com","10845 Via Los Narcisos
San Diego, CA 92129
(32.972637, -117.094937)"
"Cape Cod Senior Villas","Affordable Housing","1710 Maxson Street","Oceanside","(760) 754-1556","Elderly","Seniors 62+","Units: 36
Bedrooms: 1","www.capecod.org","1710 Maxson Street
Oceanside, CA 92054
(33.199769, -117.364935)"
"Carlton Country Club Villas","Affordable Housing","9345 Carlton Oaks Drive","Santee","(619) 449-7343","Low Income",,"Units: 130
Bedrooms: 1-3",,"9345 Carlton Oaks Drive
Santee, CA 92071
(32.846103, -116.995776)"
"Casa Colina Del Sol","Affordable Housing","5207 52nd Place","San Diego","(619) 287-2910","Elderly","Seniors 62+ ;
Disabled","Units: 75
Bedrooms: 1",,"5207 52nd Place
San Diego, CA 92105
(32.749941, -117.082596)"
"Casa de Balboa","Affordable Housing","6106 Beadnell Way","San Diego","(858) 560-8325","Elderly","Seniors 62+ ;
Section 8","Units: 88
Bedrooms: 1",,"6106 Beadnell Way
San Diego, CA 92117
(32.820854, -117.175015)"
"Casa Escondida","Affordable Housing","715 N. Broadway","Escondido","(760) 746-4474","Elderly","Seniors 55+ ;
Disabled ;
Section 8","Units: 330
Bedrooms: 1",,"715 N. Broadway
Escondido, CA 92025
(33.129341, -117.084901)"
"Casa Estable I","Affordable Housing","1360 Hemlock Avenue","Imperial Beach","(619) 420-3620","Low Income",,"Units: 7
Bedrooms: 2 ",,"1360 Hemlock Avenue
Imperial Beach, CA 91932
(32.57034, -117.104363)"
"Casa Estable II","Affordable Housing","1260 Calla Avenue","Imperial Beach","(619) 420-3620","Low Income",,"Units: 8
Bedrooms: 2 ",,"1260 Calla Avenue
Imperial Beach, CA 91932
(32.585447, -117.106549)"
"Casa Nueva Vida Apts.","Affordable Housing","1124 Bay Blvd","Chula Vista","(619) 420-3620","Women and Children","Victims of Domestic Violence ","Units: 11
Bedrooms: 1-2",,"1124 Bay Blvd
Chula Vista, CA 91911
(32.606343, -117.092257)"
"Casa Puleta Apartments","Affordable Housing","1445 South 45th Street","San Diego","(619) 266-1891","Families",,"Units: 53
Bedrooms: ",,"1445 South 45th Street
San Diego, CA 92113
(32.691682, -117.098164)"
"Casa Vallecitos","Affordable Housing","852 Avenida Ricardo","San Marcos","(877) 713-2910","Elderly","Seniors 55+","Units: 22
Bedrooms: 1-2","www.casavallecitos.com","852 Avenida Ricardo
San Marcos, CA 92069
(33.137246, -117.121204)"
"Casita de Cortez Apts.","Affordable Housing","520 N. Freeman","Oceanside","(760) 724-0889","Low Income",,"Units: 12
Bedrooms: 1",,"520 N. Freeman
Oceanside, CA 92054
(33.199574, -117.381456)"
"Cassia Heights Apts.","Affordable Housing","2029 Cassia Road","Carlsbad","(760) 476-9648","Low Income",,"Units: 56",,"2029 Cassia Road
Carlsbad, CA 92009
(33.114079, -117.271155)"
"Cathedral Arms Apts.","Affordable Housing","3911 Park Blvd","San Diego","(619) 291-3883","Elderly","Seniors 62+","Units: 207
Bedrooms: Studio-1",,"3911 Park Blvd
San Diego, CA 92103
(32.749032, -117.14625)"
"Cathedral Plaza Apts.","Affordable Housing","1551 Third Avenue","San Diego","(619) 234-0093","Elderly","Seniors 62+","Units: 172
Bedrooms: Studio-1",,"1551 Third Avenue
San Diego, CA 92101
(32.721611, -117.16202)"
"Catholic Charities","Permanent Supportive Housing","349 Cedar Street","San Diego","(619) 231-2828","Adult Women","Severely Mentally Ill ;
Substance Abuse","Beds: 29
Max Stay: Unlimited",,"349 Cedar Street
San Diego, CA 92101
(32.721942, -117.161447)"
"Catholic Charities:
La Posada de Guadalupe","Emergency Shelter","2478 Impala Drive","Carlsbad","(760) 929-2322","Adult Men","Homeless","Beds: 50
Max Stay: 3 Months",,"2478 Impala Drive
Carlsbad, CA 92008
(33.139373, -117.267876)"
"Catholic Charities
La Posada de Guadalupe","Transitional Shelter","2478 Impala Drive","Carlsbad","(760) 929-2322","Adult Men","Homeless","Beds: 50
Max Stay: 3 Months",,"2478 Impala Drive
Carlsbad, CA 92010
(33.139373, -117.267876)"
"Catholic Charities
Rachel's Apartments","Transitional Shelter","759 8th Avenue","San Diego","(619) 696-0873","Adult Women","Homeless","Beds: 35
Max Stay: 18-24 Months",,"759 8th Avenue
San Diego, CA 92101
(32.713326, -117.157423)"
"Catholic Charities
Rachel's Night Shelter","Emergency Shelter","759 8th Avenue","San Diego","(619) 696-0873","Adult Women","Homeless","Beds: 35
Max Stay: 90 Days",,"759 8th Avenue
San Diego, CA 92101
(32.713326, -117.157423)"
"Catholic Charities
St. Francis Center","Hotel / Motel
Voucher Program","328 Vista Village Drive","Vista","(760) 631-1792","Families ","Homeless ;
Disabled ",,,"328 Vista Village Drive
Vista, CA 92083
(33.199899, -117.247507)"
"CCBA Senior Garden","Affordable Housing","438 Third Avenue","San Diego","(619) 236-8130","Elderly","Seniors 55+","Units: 45
Bedrooms: Studio-1","www.barkermgt.com","438 Third Avenue
San Diego, CA 92101
(32.710067, -117.161935)"
"Cedar Nettleton Apts.","Affordable Housing","245 Cedar Road","Vista","(760) 945-3507","Low Income","Homeless","Units: 68
Bedrooms: 2-4",,"245 Cedar Road
Vista, CA 92083
(33.189559, -117.283926)"
"Center for Community Solutions
Hidden Valley House","Emergency Shelter","240 S. Hickory Street, #110","Escondido","(760) 480-0055","Families","Victims of 
Domestic & Sexual Assault Violence","Beds: 35
Max Stay: 28 Days",,"240 S. Hickory Street
Escondido, CA 92025
(33.122366, -117.074935)"
"Center for Community Solutions
Hidden Valley House Shelter-North","Transitional Shelter","240 S. Hickory Street, #110","Escondido","(760) 480-0055","Families","Victims of 
Domestic Violence","Beds: 35
Max Stay: 28 Days",,"240 S. Hickory Street
Escondido, CA 92025
(33.122366, -117.074935)"
"Center for Community Solutions
Next Step - East","Emergency Shelter","460 N. Magnolia Avenue","San Diego","(619) 631-6442","Families","Victims of
Domestic Violence","Beds: 4
Max Stay: 1 Year",,"460 N. Magnolia Avenue
San Diego, CA 91941"
"Center for Community Solutions
Next Step - North","Transitional Shelter","240 S. Hickory Street, #110","Escondido","(760) 480-0055","Families","Victims of 
Domestic Violence","Beds: 5
Max Stay: 12 Months",,"240 S. Hickory Street
Escondido, CA 92025
(33.122366, -117.074935)"
"Center for Community Solutions
Project Safehouse","Emergency Shelter","4508 Mission Bay Drive","San Diego","(619) 631-6442","Women and Children","Victims of
Domestic Violence","Beds: 15
Max Stay: 28 Days",,"4508 Mission Bay Drive
San Diego, CA 92109
(32.802903, -117.216569)"
"Center for Community Solutions
Transitional Housing","Transitional Shelter","240 S. Hickory Street, #110","Escondido","(760) 480-0055","Families","Victims of 
Domestic Violence","Beds: 25
Max Stay: 12 Months",,"240 S. Hickory Street
Escondido, CA 92025
(33.122366, -117.074935)"
"Center for Social Support & ED –
 San Diego Housing","Permanent Supportive Housing","4535 30th Street, Suite 108 ","San Diego","(619) 325-2773","Adult Men/ Women","HIV/AIDS ;
Homeless","Beds: 48
Max Stay: 30 Days",,"4535 30th Street
San Diego, CA 92116
(32.76003, -117.130188)"
"Centre City Manor","Single Room Occupancy
Hotels","1450 4th Avenue","San Diego","(619) 233-4439","Low Income",,,,"1450 4th Avenue
San Diego, CA 92101
(32.720558, -117.161106)"
"Cerro Pueblo Apts.","Affordable Housing","2835 Clairemont Drive","San Diego","(619) 275-5361","Elderly","Seniors 62+ ;
Disabled","Units: 45
Bedrooms: 1",,"2835 Clairemont Drive
San Diego, CA 92117
(32.791201, -117.19829)"
"Chadwick Hotel","Single Room Occupancy
Hotels","646 A Street","San Diego","(619) 239-3950","Low Income",,,,"646 A Street
San Diego, CA 92101
(32.71887, -117.158574)"
"Citron Court","Affordable Housing","7385 Broadway","Lemon Grove","(619) 337-1800","Low Income",,"Units: 36
Bedrooms: Studio-3",,"7385 Broadway
Lemon Grove, CA 91945
(32.742543, -117.038805)"
"City Heights Square","Affordable Housing","4065 43rd Street","San Diego","(619) 281-0483","Elderly","Seniors 62+","Units: 150
Bedrooms: Studio-1",,"4065 43rd Street
San Diego, CA 92105
(32.751031, -117.102008)"
"City of San Diego
Alpha Project Winter Shelter","Winter Shelter","450 16th Street","San Diego","(619) 542-1877","Adult Men/ Women","Homeless","Beds: 200
Max Stay: 3 Months",,"450 16th Street
San Diego, CA 92103
(32.709949, -117.14946)"
